"","headline","headline.type","magnitude","confidence","custom_id","company_name","prompt_type","explanation","input_tokens","output_tokens","headline.type.num","date","permno","ret","ret_fd1","ret_fd5","ret_fd10","ret_ld1","ret_ld2","ret_ld3"
"11","Anticipation Of Powell Speech, G20 Summit Has Market In Wait-And-See Mode","neutral",0.2,0.7,10561,"LENNAR CORP",4,NA,130,28,1,"2019-06-25",52708,-6.20501600205898,-1.38946902006865,0.684359297048687,0.497712551156626,0.116847862955183,-2.50331824871464,-1.30543352404402
"12","Atlantic Equities Initiates Coverage On Constellation Brands with Overweight Rating","positive",0.7,0.8,38369,"CONSTELLATION BRANDS INC",4,NA,128,28,2,"2019-01-22",69796,0.353336497209966,0.522066792473197,2.07612346252382,6.06447263801466,2.36342810094357,2.67074613934002,2.2550272342847
"13","BMO Capital Maintains Outperform on Constellation Brands, Raises Price Target to $230","positive",0.8,0.9,29333,"CONSTELLATION BRANDS INC",4,NA,132,28,2,"2019-09-17",69796,0.937011186033487,0.767923146486282,-0.3450821940019,1.7788596357039,-0.112711801193654,-0.0637372548498937,-1.41703719542385
"14","BTIG Maintains Buy on Lennar, Raises Price Target to $75","positive",0.8,0.9,9450,"LENNAR CORP",4,NA,128,28,2,"2019-10-03",52708,1.19335632771254,1.67493317276239,0.581097550531995,4.40950444615211,3.76884154975414,3.52730771742491,5.66520190115534
"15","Baird Maintains Outperform on Heico, Raises Price Target to $170","positive",0.8,0.9,13341,"HEICO CORP NEW",4,NA,129,25,2,"2019-08-13",32678,0.538049219176173,-2.41531785577536,1.62665515736133,2.17591151947489,-0.821512565016747,-1.09929090129793,1.26900226854012
"16","Baird Upgrades Heico Corporation Common Stock to Outperform","positive",0.8,0.9,39613,"HEICO CORP NEW",4,NA,125,25,2,"2019-05-23",32678,-0.0867675349581986,0.453494023531675,17.3195652925713,23.456192533227,-0.0963098078500479,1.00292739799641,0.572041866142903
"17","Bank Of America Initiates Coverage On Cannabis Stocks, Names Surprising Top Pick","positive",0.6,0.8,35261,"CONSTELLATION BRANDS INC",4,NA,129,28,2,"2019-04-17",69796,0.826276186853647,3.7686612457037,10.7422497817196,9.15544090516027,-0.476641347631812,-0.272925143973524,-0.606791688666886
"18","Bank Of America Taps Out Of Molson Coors, Downgrades Stock","negative",0.9,0.8,11787,"MOLSON COORS BEVERAGE CO",4,NA,133,28,0,"2019-07-15",59248,-1.25046027824283,1.47113762795925,0.986962326859353,5.23276989580559,-0.712067540735006,-2.66690152186302,-2.0885844573721
"19","Bank of America Downgrades Molson Coors Brewing to Underperform","negative",0.85,0.85,11851,"MOLSON COORS BEVERAGE CO",4,NA,131,28,0,"2019-07-15",59248,-1.25046027824283,1.47113762795925,0.986962326859353,5.23276989580559,-0.712067540735006,-2.66690152186302,-2.0885844573721
"20","Bank of America Maintains Buy on Lennar, Lowers Price Target to $55","neutral",0.2,0.6,9233,"LENNAR CORP",4,NA,130,28,1,"2019-06-26",52708,-1.38946902006865,1.8506858497858,3.51209680537723,0.272041706273307,-6.20501600205898,-6.09541856769823,-8.55300295285841
"21","Bank of America Reiterates Buy on Lennar, Lowers Price Target to $58","neutral",0.2,0.6,25065,"LENNAR CORP",4,NA,131,28,1,"2019-01-10",52708,-2.41953488439321,2.74518877267838,-0.86340348774987,-1.26250412583265,7.9272598028183,9.22604980223098,12.327110169559
"22","Barclays Maintains Overweight on Bio-Rad Laboratories, Inc. Class A Common Stock, Raises Price Target to $350","positive",0.8,0.9,12573,"BIO RAD LABORATORIES INC",4,NA,142,28,2,"2019-05-09",61516,4.30676490068436,0.588465901091695,-3.23977896676865,-4.95344241543361,-0.396383041515946,-3.1962057728983,-3.84290309152185
"23","Barclays Upgrades Bio-Rad Laboratories to Overweight, Announces $315","positive",0.8,0.9,6801,"BIO RAD LABORATORIES INC",4,NA,133,28,2,"2019-01-03",61516,-1.65731273591518,0.882744416594505,7.38742398711081,6.03655523903128,-1.78279187530279,-0.687974271143188,-0.783018493755072
"24","Beverage Experts Share Insights On Emerging Cannabis-Infused Market: Canada A 'Laboratory Of Sorts'","positive",0.6,0.8,21418,"CONSTELLATION BRANDS INC",4,NA,136,28,2,"2019-10-21",69796,-1.23845413327217,1.14605594426394,-0.853121431005588,-0.339193988378783,-0.136848818510771,-0.735586190486426,0.13214568668134
"25","Bio-Rad Laboratories Q1 Adj. EPS $1.65 Beats $1.1 Estimate, Sales $553.979M Beat $549.56M Estimate","positive",0.8,0.9,8733,"BIO RAD LABORATORIES INC",4,NA,149,28,2,"2019-05-08",61516,-0.396383041515946,4.30676490068436,-0.728475629335801,-0.391218825846984,-2.81096491962671,-3.46023583806445,-1.49239224295799
"26","Bio-Rad Laboratories Q2 EPS $1.57 Beats $1.33 Estimate, Sales $572.6M Beat $566.19M Estimate","positive",0.8,0.9,6677,"BIO RAD LABORATORIES INC",4,NA,147,28,2,"2019-08-01",61516,-1.43855158239603,8.25788751244545,6.8595575658319,2.82244103110127,-1.866689696908,-1.88197438482359,-2.92250169590914
"27","Bio-Rad Laboratories Q3 EPS $1.61 Beats $1.4 Estimate, Sales $560.6M Miss $565.03M Estimate","neutral",0.2,0.6,10290,"BIO RAD LABORATORIES INC",4,NA,147,28,1,"2019-10-31",61516,-3.73875312507153,6.24509714543819,4.17948723721606,6.7878927448435,1.94720234721899,0.878477248595755,-0.338477073677146
"28","Bio-Rad Labs Reports FDA Clearance For BioPlex 2200 Lyme Total Assay","positive",0.8,0.9,17949,"BIO RAD LABORATORIES INC",4,NA,134,28,2,"2019-04-02",61516,0.566044496372342,-1.05454148724675,-1.04159960960287,-2.49078478046517,0.562680326402187,1.2016440728176,1.64670995496929
"29","Bio-Rad Labs shares are trading higher after the company reported better-than-expected Q1 EPS and sales results.","positive",0.8,0.9,12541,"BIO RAD LABORATORIES INC",4,NA,138,28,2,"2019-05-09",61516,4.30676490068436,0.588465901091695,-3.23977896676865,-4.95344241543361,-0.396383041515946,-3.1962057728983,-3.84290309152185
"30","Bio-Rad Reports Received FDA Clearance For IH-500","positive",0.8,0.9,28149,"BIO RAD LABORATORIES INC",4,NA,127,28,2,"2019-04-08",61516,0.398564850911498,-1.26516362652183,-1.00051839129418,-4.74437843795315,0.918900500983,0.892500485388936,-0.171452789750115
"31","Biome Sees Revenue Quadruple, Gross Profits Triple In Q2","positive",0.8,0.9,15701,"BIO RAD LABORATORIES INC",4,NA,131,28,2,"2019-08-29",61516,0.656504509970546,0.118583464063704,-0.509917133835769,-0.836028278260825,0.122489733621478,-0.0417642448104049,0.733451126741258
"32","Bruce Linton Tells CNBC He Was 'Terminated' From Canopy Growth","neutral",0.2,0.6,46787,"CONSTELLATION BRANDS INC",4,NA,129,28,1,"2019-07-03",69796,0.624177092686296,-1.20559707283974,-1.11555564620098,1.35068142697767,1.31062641739845,0.873363027589558,5.55230684687817
"33","Bryan Garnier Downgrades Molson Coors Brewing to Sell, Announces $51 Price Target","negative",0.9,0.8,9285,"MOLSON COORS BEVERAGE CO",4,NA,138,28,0,"2019-08-01",59248,-2.77829226106405,-0.47628115862608,0.438178006530476,-3.10535508903392,-5.14756962656975,-4.45938197896651,-4.59444867901875
"34","Buckingham Initiates Coverage On Lennar with Buy Rating","positive",0.75,0.85,23769,"LENNAR CORP",4,NA,125,28,2,"2019-01-11",52708,2.74518877267837,-2.6071947067976,-4.97737853298293,-3.98688081880945,-2.41953488439322,5.31592210211942,6.58328742442129
"35","Buckingham Maintains Buy on Lennar, Raises Price Target to $67","positive",0.7,0.8,9466,"LENNAR CORP",4,NA,129,28,2,"2019-10-03",52708,1.19335632771254,1.67493317276239,0.581097550531995,4.40950444615211,3.76884154975414,3.52730771742491,5.66520190115534
"36","CORRECTION: Lennar Gave Q4 Deliveries Guidance On Call Of 15.8-16K Homes; Initial headline included incorrect deliveries figures from the source","neutral",0.2,0.75,25034,"LENNAR CORP",4,NA,147,28,1,"2019-10-02",52708,3.76884154975414,1.19335632771254,2.07540778289121,5.79384045711191,-0.232761423103511,1.82748532515122,0.269932578089738
"37","CORRECTION: Seaport Global Initiates Coverage On Lennar with Buy Rating' A Prior Headline Indicated Stephens Initiated Coverage, This Was Incorrect","positive",0.6,0.8,41661,"LENNAR CORP",4,NA,145,28,2,"2019-08-23",52708,-1.51923252269626,-0.33196285367012,-0.410074338434185,2.40187373037444,0.853371992707253,2.06084237140489,3.93763992401857
"38","Canaccord Genuity Maintains Buy on Heico, Raises Price Target to $130 Price Target","positive",0.8,0.9,25357,"HEICO CORP NEW",4,NA,132,28,2,"2019-05-30",32678,2.16834638267756,1.59591920673847,5.76537553205387,6.50066732627259,11.7108516395092,12.5156075529274,13.0258591087203
"39","Canaccord Genuity Maintains Buy on Heico, Raises Price Target to $160","positive",0.8,0.9,16205,"HEICO CORP NEW",4,NA,130,28,2,"2019-08-29",32678,1.52337402105331,-0.877011846750975,-2.1171610326653,-13.9157230834665,-0.92350896447897,-0.36041323233228,1.33934443814161
"40","Cannabis Stocks Show Signs Of Life As Aurora, Canopy, Others Move Higher","positive",0.65,0.8,20293,"CONSTELLATION BRANDS INC",4,NA,131,28,2,"2019-09-06",69796,-0.0878312974236905,0.976801011711359,-0.332108684419852,0.170943236770071,-2.49785911291838,-1.64147514799297,0.283820040827054
"41","Cannabis Stocks Up In Smoke After Hexo Withdraws 2020 Guidance","negative",0.8,0.8,27570,"CONSTELLATION BRANDS INC",4,NA,130,28,0,"2019-10-10",69796,0.652877846732736,0.191995804198086,2.37662100724718,2.06527711479716,1.02363992482424,1.44113657354352,-1.17683426719302
"42","Canopy Growth Appoints Mike Lee Acting CFO","neutral",0.2,0.6,24117,"CONSTELLATION BRANDS INC",4,NA,123,28,1,"2019-05-21",69796,0.96035310998559,-0.0146335514727979,-7.85366127652755,-8.78048769210135,-0.849646143615246,-1.8133462578147,-0.946388858243818
"43","Canopy Growth CEO Looks To The 'Pharmaceutical World' After String Of M&A Deals","positive",0.6,0.8,11153,"CONSTELLATION BRANDS INC",4,NA,133,28,2,"2019-06-25",69796,1.45647106692195,0.609032297506928,8.02610680356535,9.18433938087036,-1.34436469525099,-2.41197959417589,-1.66016316745842
"44","Canopy Growth CEO Talks Leadership Concerns, Vaping, Beverages, Acreage Deal","neutral",0.2,0.6,26093,"CONSTELLATION BRANDS INC",4,NA,133,28,1,"2019-09-24",69796,-0.354770361445844,-0.507214851677418,2.13129655461717,-7.56924959069396,0.326669006608427,-0.757206537081201,-0.752422459696955
"45","Canopy Growth Investors Pull Back As Losses Widen In Q1; CBD Products Coming To US Market","neutral",0.2,0.6,6117,"CONSTELLATION BRANDS INC",4,NA,135,28,1,"2019-08-14",69796,-1.6129843890667,0.537853362038732,4.90794655057634,4.38043068222311,1.80263947695494,1.61912161382987,2.08709720264053
"46","Canopy Growth Soars On Unexpected Guidance Update, European Acquisition","positive",0.8,0.9,33469,"CONSTELLATION BRANDS INC",4,NA,126,28,2,"2019-04-16",69796,-0.476641347631812,0.826276186853647,10.5941823559212,11.6204426024861,0.204691849648952,-0.130773662381789,0.431347732254483
"47","Canopy Growth's Bruce Linton Out As Co-CEO: 'My Turn Is Over'","neutral",0.2,0.6,46803,"CONSTELLATION BRANDS INC",4,NA,132,28,1,"2019-07-03",69796,0.624177092686296,-1.20559707283974,-1.11555564620098,1.35068142697767,1.31062641739845,0.873363027589558,5.55230684687817
"48","Chubb, Lennar And More: 'Fast Money' Picks For May 20","positive",0.6,0.8,34853,"LENNAR CORP",4,NA,130,28,2,"2019-05-20",52708,-2.48447135090828,0.926461163908243,-0.965064489839196,-0.791352565375647,-0.987698044627905,0.396830908496448,0.720381198918041
"49","Citigroup Maintains Neutral on McCormick & Co, Raises Price Target to $166","positive",0.6,0.8,7921,"MCCORMICK & CO INC",4,NA,131,28,2,"2019-06-28",52090,-0.551742222160101,0.445134146139026,3.38936785809063,3.50590449040364,3.47871594130993,1.81592429663,1.11579692191619
"50","Constellation Brands 8-K Shows Co. Gallo Each Received Request For Added Info, Documentary Material From FTC Related To Deal","neutral",0.2,0.6,35317,"CONSTELLATION BRANDS INC",4,NA,139,28,1,"2019-05-20",69796,-0.849646143615246,0.96035310998559,-4.33883132322886,-9.16523027813855,-0.971958320587874,-0.0975717290618072,-0.262995488300943
"51","Constellation Brands Analysts Bullish After Q1 Print","positive",0.8,0.9,28611,"CONSTELLATION BRANDS INC",4,NA,125,28,2,"2019-07-01",69796,-0.431606639176607,1.31062641739845,0.994439805532776,0.912850499722717,4.6384334564209,6.44254573569238,7.09081521751134
"52","Constellation Brands Beats Q3 Earnings Estimates, But Stock Sinks On Canopy Growth-Related Guidance Cut","negative",0.7,0.8,9305,"CONSTELLATION BRANDS INC",4,NA,136,28,0,"2019-01-09",69796,-12.4173112213612,5.95600232481956,5.92288468667836,9.17582519340805,1.30496192723513,3.43296199845413,6.64603319744799
"53","Constellation Brands CEO Defends Stock, Tells Cramer Sell-Off Was 'Total Overreaction'","positive",0.6,0.8,25545,"CONSTELLATION BRANDS INC",4,NA,133,28,2,"2019-01-10",69796,5.95600232481956,-0.45018820092082,0.268872629577288,4.2956360461017,-12.4173112213612,-11.2743904779511,-9.41063079836614
"54","Constellation Brands CEO Says Working Closely With Canopy Growth On A Focused Long-Term Strategy","positive",0.8,0.9,17573,"CONSTELLATION BRANDS INC",4,NA,135,28,2,"2019-04-04",69796,6.54460117220879,0.966312922537327,-0.146251641715378,3.83912578502661,1.68637633323669,1.18250246220464,2.48673963136987
"55","Constellation Brands Earlier Gave Guidance: Sees FY20 Adj. EPS $8.65-$8.95 vs $8.57 Estimate","positive",0.6,0.8,8281,"CONSTELLATION BRANDS INC",4,NA,143,28,2,"2019-06-28",69796,4.6384334564209,-0.431606639176607,1.60455143133489,0.837815489865479,1.72413922846317,2.34367209072543,3.83427806355232
"56","Constellation Brands Inc Exec Says New Hard Seltzer To Be Introduced In Four Flavors & Will Contain 90 Calories, 0 Carbs And 0 Sugars","positive",0.8,0.9,10130,"CONSTELLATION BRANDS INC",4,NA,149,28,2,"2019-10-03",69796,-6.05928674340248,-0.267676846124232,-0.797893480397471,1.55976462277914,-1.25113902613521,-0.236397844485325,0.383491908282774
"57","Constellation Brands Option Alert: Fri $185 Calls Sweep (34) near the Ask: 523 @ $1.45 vs 591 OI; Earnings 6/28 Before Open Ref=$183.86","neutral",0.4,0.7,15289,"CONSTELLATION BRANDS INC",4,NA,158,28,1,"2019-06-04",69796,4.06816378235817,1.38798393309116,5.70375413449844,-1.33918943366189,0.442050909623504,-5.3713482109817,-6.17787115671545
"58","Constellation Brands Q1 Adj. EPS $2.2 Beats $2.06 Estimate, Sales $2.097B Beat $2.06B Estimate","positive",0.75,0.85,8297,"CONSTELLATION BRANDS INC",4,NA,146,28,2,"2019-06-28",69796,4.6384334564209,-0.431606639176607,1.60455143133489,0.837815489865479,1.72413922846317,2.34367209072543,3.83427806355232
"59","Constellation Brands Q1 Earnings Preview","positive",0.6,0.8,5977,"CONSTELLATION BRANDS INC",4,NA,122,25,2,"2019-06-27",69796,1.72413922846317,4.6384334564209,4.93066177013506,6.05175023011377,0.609032297506928,2.07437374363029,0.702121900122377
"60","Constellation Brands Q2 Adj. EPS Excluding Canopy $2.91 Beats $2.6 Estimate, Sales $2.34B Inline","positive",0.75,0.85,10194,"CONSTELLATION BRANDS INC",4,NA,144,28,2,"2019-10-03",69796,-6.05928674340248,-0.267676846124232,-0.797893480397471,1.55976462277914,-1.25113902613521,-0.236397844485325,0.383491908282774
"61","Constellation Brands Q2 Earnings Outlook","positive",0.6,0.8,25562,"CONSTELLATION BRANDS INC",4,NA,122,28,2,"2019-10-02",69796,-1.25113902613521,-6.05928674340248,-7.41331154784334,-4.01856851520185,1.02759785950184,1.65534155867439,1.62080660343582
"62","Constellation Brands Q3 Comparable EPS $2.37 May Not Compare To $2.06 Estimate; Sees FY19 Comparable EPS $9.20-$9.30 vs $9.43 Estimate","negative",0.7,0.8,9385,"CONSTELLATION BRANDS INC",4,NA,155,28,0,"2019-01-09",69796,-12.4173112213612,5.95600232481956,5.92288468667836,9.17582519340805,1.30496192723513,3.43296199845413,6.64603319744799
"63","Constellation Brands Q3 EPS $2.37 Beats $2.06 Estimate, Sales $1.973B Beat $1.91B Estimate","positive",0.8,0.9,9337,"CONSTELLATION BRANDS INC",4,NA,144,28,2,"2019-01-09",69796,-12.4173112213612,5.95600232481956,5.92288468667836,9.17582519340805,1.30496192723513,3.43296199845413,6.64603319744799
"64","Constellation Brands Q3 Sales $1.97B vs $1.91B Estimate","positive",0.7,0.8,9369,"CONSTELLATION BRANDS INC",4,NA,132,28,2,"2019-01-09",69796,-12.4173112213612,5.95600232481956,5.92288468667836,9.17582519340805,1.30496192723513,3.43296199845413,6.64603319744799
"65","Constellation Brands Q4 Adj. EPS $1.84 vs $1.72 Estimate, Sales $1.797B vs $1.73B Est.","positive",0.75,0.85,17621,"CONSTELLATION BRANDS INC",4,NA,146,28,2,"2019-04-04",69796,6.54460117220879,0.966312922537327,-0.146251641715378,3.83912578502661,1.68637633323669,1.18250246220464,2.48673963136987
"66","Constellation Brands Raises FY20 Adj. EPS Guidance From $8.65-$8.95 To $9-$9.20, Operating Cash Flow To ~$2.2B","positive",0.8,0.9,10178,"CONSTELLATION BRANDS INC",4,NA,151,28,2,"2019-10-03",69796,-6.05928674340248,-0.267676846124232,-0.797893480397471,1.55976462277914,-1.25113902613521,-0.236397844485325,0.383491908282774
"67","Constellation Brands Reports Deal Whereby Heaven Hill Brands Will Divest Black Velvet Canadian Whisky For Cash Proceeds $266M","positive",0.7,0.85,15293,"CONSTELLATION BRANDS INC",4,NA,139,28,2,"2019-08-12",69796,-0.180268276017159,1.80263947695494,4.53250435001009,4.864024317633,0.460519222542643,3.18345573805281,3.71814283134604
"68","Constellation Brands Reports Purchase Of Majority Stake In Nelson's Green Brier Distillery, No Terms Disclosed","positive",0.7,0.8,20349,"CONSTELLATION BRANDS INC",4,NA,135,28,2,"2019-05-02",69796,-1.40034947544336,1.090282574296,-3.09869732385605,-0.742039086349633,0.198421208187938,-0.21172342415533,-0.0329974147509015
"69","Constellation Brands Says Equity Losses From Canopy Growth of $75.7M Will be Recognized in the Quarter Ending August 31","negative",0.9,0.8,40869,"CONSTELLATION BRANDS INC",4,NA,142,28,0,"2019-08-26",69796,1.97975318878889,-2.09938753396273,2.91938500750755,2.83540283815324,-1.56203964725137,-2.139517653053,-1.96068816490795
"70","Constellation Brands Sees FY19 EPS $9.20-$9.30 vs $9.43 Est.","negative",0.65,0.8,9321,"CONSTELLATION BRANDS INC",4,NA,136,28,0,"2019-01-09",69796,-12.4173112213612,5.95600232481956,5.92288468667836,9.17582519340805,1.30496192723513,3.43296199845413,6.64603319744799
"71","Constellation Brands Sees FY20 Comparable EPS $8.50-$8.80","positive",0.7,0.8,17605,"CONSTELLATION BRANDS INC",4,NA,131,28,2,"2019-04-04",69796,6.54460117220879,0.966312922537327,-0.146251641715378,3.83912578502661,1.68637633323669,1.18250246220464,2.48673963136987
"72","Constellation Brands Sells Black Velvet Whisky Brand","positive",0.6,0.8,13917,"CONSTELLATION BRANDS INC",4,NA,124,28,2,"2019-08-13",69796,1.80263947695494,-1.6129843890667,3.02752604600969,0.844656475470607,-0.180268276017159,0.27942077646228,2.99744870125889
"73","Constellation Brands To Reposition Its Wine, Spirits Business: Signs Deal With E. & J. Gallo Winery To Divest ~30 Brands From Wine, Spirits Portfolio","positive",0.6,0.8,39029,"CONSTELLATION BRANDS INC",4,NA,149,28,2,"2019-04-03",69796,1.68637633323669,6.54460117220879,5.79331238868943,6.61695072503925,-0.495517579838633,0.787089998674273,2.4405836267243
"74","Constellation Brands Trades Higher On Q1 Earnings","positive",0.75,0.85,8265,"CONSTELLATION BRANDS INC",4,NA,124,28,2,"2019-06-28",69796,4.6384334564209,-0.431606639176607,1.60455143133489,0.837815489865479,1.72413922846317,2.34367209072543,3.83427806355232
"75","Constellation Brands Trades Lower On Q2 Earnings, Expects Wine And Spirit Losses In 2020","negative",0.9,0.8,10146,"CONSTELLATION BRANDS INC",4,NA,136,28,0,"2019-10-03",69796,-6.05928674340248,-0.267676846124232,-0.797893480397471,1.55976462277914,-1.25113902613521,-0.236397844485325,0.383491908282774
"76","Constellation Brands shares are trading higher after Guggenheim and Goldman Sachs upgraded the company's stock.","positive",0.8,0.9,25561,"CONSTELLATION BRANDS INC",4,NA,133,28,2,"2019-01-10",69796,5.95600232481956,-0.45018820092082,0.268872629577288,4.2956360461017,-12.4173112213612,-11.2743904779511,-9.41063079836614
"77","Constellation Brands shares are trading higher after the company reported better-than-expected Q4 EPS and sales; the company also provided FY20 EPS guidance of $8.50-$8.80.","positive",0.8,0.9,17589,"CONSTELLATION BRANDS INC",4,NA,152,28,2,"2019-04-04",69796,6.54460117220879,0.966312922537327,-0.146251641715378,3.83912578502661,1.68637633323669,1.18250246220464,2.48673963136987
"78","Constellation Brands shares are trading lower after Morgan Stanley downgraded the stock from Overweight to Equal-Weight and lowered the price target from $230 to $220.","negative",0.7,0.8,44189,"CONSTELLATION BRANDS INC",4,NA,146,28,0,"2019-05-24",69796,-3.65162380039692,-2.2347429767251,-10.7962541157775,-3.38231652996571,0.604969263076782,0.590247183115467,1.5562687502807
"79","Constellation Brands shares are trading lower after the company reported Q2 sales in-line with analyst estimates. Investors could have expected better earnings results.","negative",0.6,0.8,10162,"CONSTELLATION BRANDS INC",4,NA,141,28,0,"2019-10-03",69796,-6.05928674340248,-0.267676846124232,-0.797893480397471,1.55976462277914,-1.25113902613521,-0.236397844485325,0.383491908282774
"80","Constellation Brands shares are trading lower after the company reported worse than expected 2019 EPS earnings expectations.","negative",0.85,0.85,9353,"CONSTELLATION BRANDS INC",4,NA,134,28,0,"2019-01-09",69796,-12.4173112213612,5.95600232481956,5.92288468667836,9.17582519340805,1.30496192723513,3.43296199845413,6.64603319744799
"81","Constellation Brands shares trading higher after the company reported better-than-expected Q1 EPS and sales results and issued FY20 EPS guidance above analyst estimates.","positive",0.8,0.9,8249,"CONSTELLATION BRANDS INC",4,NA,143,28,2,"2019-06-28",69796,4.6384334564209,-0.431606639176607,1.60455143133489,0.837815489865479,1.72413922846317,2.34367209072543,3.83427806355232
"82","Costellation Brands Q3 Press Release Out, PR Itself Does Not Contain Q3 Earnings Figures; PR Refers To Website, Though Website Does Not Appear Updated Yet","neutral",0.2,0.7,9401,"CONSTELLATION BRANDS INC",4,NA,150,28,1,"2019-01-09",69796,-12.4173112213612,5.95600232481956,5.92288468667836,9.17582519340805,1.30496192723513,3.43296199845413,6.64603319744799
"83","Cramer On Cannabis: Innovative Industrial Won't 'Let You Sleep Soundly,' Constellation A Safer Bet","positive",0.6,0.8,12153,"CONSTELLATION BRANDS INC",4,NA,136,28,2,"2019-06-24",69796,-1.34436469525099,1.45647106692195,8.18161891757836,9.25741999836454,-1.08216311782598,-0.320101807901718,0.96718928477868
"84","Credit Suisse Initiates Coverage On Molson Coors Brewing with Underperform Rating, Announces $50 Price Target","negative",0.8,0.8,26937,"MOLSON COORS BEVERAGE CO",4,NA,141,28,0,"2019-06-10",59248,-3.91433984041214,-0.200951052829623,-1.97296632350312,1.31530405054399,-1.28226978704333,-0.783693783576844,-1.74197711921997
"85","Credit Suisse Maintains Neutral on McCormick & Co, Raises Price Target to $160","positive",0.6,0.8,25242,"MCCORMICK & CO INC",4,NA,132,28,2,"2019-10-02",52090,-1.3237445615232,1.58431492745876,1.34839861843221,-2.28771965104355,6.81381523609161,6.47320997111138,3.9539167387822
"86","Credit Suisse Maintains Outperform on Constellation Brands, Lowers Price Target to $228","neutral",0.2,0.6,4330,"CONSTELLATION BRANDS INC",4,NA,133,28,1,"2019-10-04",69796,-0.267676846124232,-2.58077830076218,-0.340664632423415,1.69298987283157,-6.05928674340248,-7.23461566838555,-6.28136056463522
"87","Credit Suisse Maintains Outperform on Heico, Raises Price Target to $163","positive",0.8,0.9,16221,"HEICO CORP NEW",4,NA,129,28,2,"2019-08-29",32678,1.52337402105331,-0.877011846750975,-2.1171610326653,-13.9157230834665,-0.92350896447897,-0.36041323233228,1.33934443814161
"88","DA Davidson On Greif Also Notes 'Our stance is that cyclicals should be bought when they are out of favor, and the Caraustar deal actually de-risks Greif by lowering the emphasis on RIPS (which is highly international) and increasing exposure to NA Paper'","positive",0.65,0.8,39301,"GREIF INC",4,NA,163,28,2,"2019-08-30",83233,-3.90497073531151,-4.85933274030685,4.12049109248169,12.6456443052764,13.234381377697,15.7761621077359,13.9390161837226
