headline type,magnitude,confidence,custom_id,company_name,headline,prompt_type,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,sum_exret_1,sum_exret_5,sum_exret_10
decrease,0.5,0.7,1899,INTERCEPT PHARMACEUTICALS INC,'$ICPT — Anyone else disappointed w/ this morning's NASH study update? Not much new to chew over. The per protocol efficacy results seem like marketing material. Safety data essentially same as previously disclosed. Am I missing something?' -STAT's Adam F,1,,166,12,0.0,2019-04-11,13643.0,-9.107399731874466,-16.582341820626567,-14.377086267897942,1.9342858344316485,0.4160426639326253,3.1188598588786753,-13.2002,-13.2102,1.9969,0.0,-0.31,0.41,0.01,-23.6256,-31.8024,-31.592399999999998
decrease,0.6,0.8,2195,JACK IN THE BOX INC,'$JACK Trades Lower on Cautious Chatter: SI The fall appears tied to a rumor the company's auction is struggling' -Walter Bloomberg Tweets,1,,136,12,0.0,2019-02-14,77453.0,0.8290366269648075,2.034923688131851,-0.0376841798356952,0.9852212853729724,-0.9311565812258228,1.3383176779470096,-5.2826,-5.2289,0.3092,-0.21,0.52,-0.58,0.01,-4.7592,-3.7291999999999996,-5.941999999999999
decrease,0.7,0.8,2258,GRAND CANYON EDUCATION INC,'$LOPE.  DEAD or fraud' -Tweet From Citron,1,,124,12,0.0,2019-09-09,92852.0,-4.2369164526462555,-4.577616564809661,-1.6860314861865566,-4.022098705172539,-4.712939223040246,-9.51257406120918,2.9407,2.8921,0.5658,0.07,0.75,3.06,0.009,-1.4500000000000002,-2.3213,0.8959999999999999
decrease,0.7,0.8,2365,MCKESSON H B O C INC,'$MCK as a public nuisance.  The whole story has changed.  Citron is proud to present to changing status of the opioid lawsuit and why $MCK will trade down to $80...' -Tweet From Citron,1,,160,12,0.0,2019-09-27,81061.0,0.8337673731148243,-3.5785479894893446,-0.5828917626232943,-2.1995818242430687,-0.8124862617693185,-2.6306547597868546,-2.6155,-2.1629,0.7496,-0.62,-0.34,0.88,0.009,-1.713,-5.538500000000001,-3.040800000000001
decrease,0.6,0.7,2631,NETFLIX INC,'$NFLX investors at this level as blind as Bird Box.  Market cap up $45 bill in 12 days or 12 $DWA / 12 $LGF / 10 $ROKU / 5 Hulu.  $NFLX to trade back to $300' -Tweet From Citron Research,1,,168,12,0.0,2019-01-11,89393.0,-1.3774086721241474,0.4472907900574974,-0.5716973851510598,1.4689374715089798,1.3707230786224267,2.9555424199924074,3.9826,3.9912,1.8557,-0.01,0.12,0.22,0.01,3.7172,-0.5137,0.5271999999999999
decrease,0.6,0.8,3290,QUALCOMM INC,"'$QCOM down again; yesterday, hedge fund says it will lose FTC case; counter point: I spoke to a former FTC chair who said the agency had set an ambitious goal here...' -CNBC's Josh Lipton Tweets (1/2)",1,,152,12,0.0,2019-01-24,77178.0,0.9643728844821452,-2.53887208547926,-0.5117145186536387,-4.641739651560783,-6.332549374115071,-5.477451201475992,-1.8544,-2.109,1.0625,0.23,0.44,-0.01,0.01,-2.1109,-7.152299999999999,-5.277899999999999
increase,0.7,0.8,3380,R H,'$RH by far the most compelling story in retail.  Citron explains why we believe $RH days as a standalone public company is limited as suitors will line up to buy this rare trophy asset with 0 competition...' -Tweet From Citron,1,,150,11,2.0,2019-01-24,13687.0,4.160581156611443,4.4912684605104225,3.4453553375916046,0.3534046001732349,-3.4732572896156833,0.7637048491628606,-0.4517,-0.7,1.035,0.23,0.44,-0.01,0.01,2.5191,1.313,0.3239999999999996
decrease,0.6,0.8,1073,AMDOCS LTD,"'$T AT&T revenues disappoint, company says ""priority is to pay down debt"" - which generally translates into cut costs and squeeze suppliers. $DOX 30% of sales tied to AT&T' -Tweet From Spruce Point Capital",1,,152,12,0.0,2019-01-30,86144.0,0.9393071755766867,-0.3432124963716254,1.4270248023809715,0.3432056168094277,0.1984138126602141,0.4702447542233479,-0.342,-1.2699,0.6028,1.51,-0.15,-0.94,0.01,-0.8952,-2.8413000000000004,-1.6431000000000004
uncertain,0.3,0.6,3811,UNITEDHEALTH GROUP INC,"'$TWLO chart bad, fundies good... Where does it end? Watch $UNH for a tell..  I know, different group, but it's a real warning' -Jim Cramer Tweets",1,,147,12,1.0,2019-09-26,92655.0,-0.1020982163026928,-0.0556873649584455,3.828661567906577,-1.257778611034155,-2.884996230712178,-4.6030320208768405,-3.0112,-2.6816,0.8293,-0.41,-0.96,0.11,0.009,-2.2785,-0.8105000000000004,2.288099999999999
uncertain,0.2,0.7,3857,VIA RENEWABLES INC,"'$VIAB's Bakish downplaying speculation Viacom-$CBS plans to immediate snap up @Lionsgate  @Discovery, which has depressed shares following CBS merge' -FBN's Charlie Gasparino",1,,152,12,1.0,2019-09-04,14830.0,0.1035220455378294,3.519670435856259,4.9689494606915074,1.3742083683609962,0.7352908439171024,0.956431422871451,0.7299,0.2134,0.4701,1.08,-0.22,0.43,0.009,-0.3597,2.8621999999999996,4.250499999999999
decrease,0.7,0.85,3028,VANDA PHARMACEUTICALS INC,"'$VNDA amended Qui Tam complaint now unsealed.  Three new whistleblowers allege illegal activity at the company including a former sales manager, sales rep, and unidentified current employee.  Documents now live:...' -Tweets Aurelius Value",1,,163,12,0.0,2019-06-10,91186.0,-1.9794754683971405,9.237530836165252,1.3196432498053134,1.5907466411590576,-5.003379500244609,-7.929227266744332,-2.9181,-3.7162,1.4811,0.53,-0.04,0.08,0.009,-5.5269,5.4392999999999985,-4.588
decrease,0.7,0.8,4205,X P O INC,"'$XPO - stock promo or a company dedicated to superior client service?  ""The Better Business Bureau has received hundreds of complaints of missing packages, missed deliveries and poor customer service""' -Spruce Point Capital Tweets",1,,147,12,0.0,2019-01-29,90175.0,2.2251563146710396,-0.4944770591292502,-3.3789339554255116,-0.9013380855321884,1.1333749180632235,0.7197753058646228,-1.4618,-1.2138,1.3622,-0.19,-0.01,0.17,0.01,-1.0556,-6.7695,-10.3135
decrease,0.6,0.8,4357,WELLS FARGO & CO NEW,''Are all of your online systems down?' Wells Fargo customers fume over website problems' -The Charlotte Observer,1,,134,12,0.0,2019-02-01,38703.0,0.3066888777539134,-2.576156869064705,0.6338200538409389,-1.4573773369193077,-0.982946129663642,-0.923323674804688,0.0,-0.1286,0.8475,0.14,-0.14,0.43,0.01,-0.4421,-2.9012,-1.7638999999999998
uncertain,0.2,0.5,1010,ISHARES TRUST,"''Let's do this deal,' Trump tells May' -BBC",1,,116,12,1.0,2019-06-04,14907.0,-0.0933787494432181,2.6143795026084327,2.0235753279970625,0.2208888996392488,-0.532414885574628,-0.1885589626806183,1.165,-0.2861,0.6165,2.33,0.42,-0.03,0.009,-0.8200000000000001,0.5965999999999998,-0.7781
decrease,0.6,0.8,2377,TESLA INC,"''There's absolutely no reason to own' Tesla in the near term, says wealth manager' -CNBC",1,,123,12,0.0,2019-10-04,93436.0,2.717888168990612,7.112304790362001,11.027101009811592,-4.154158756136894,-4.765214678322815,-3.2548664911234537,-0.6866,-2.483,1.2778,1.39,-0.47,-0.07,0.007,0.7517999999999998,3.5923999999999996,6.605099999999999
uncertain,0.3,0.5,3472,STARBUCKS CORP,"'... Besides, America already has that! I only hope that Starbucks is still paying me their rent in Trump Tower!' -Trump Tweets (2/2)",1,,139,12,1.0,2019-01-28,77702.0,0.2092666458338499,1.0164427923917252,5.1658550577963425,3.6299020051956177,0.9935210095924684,2.599781226908582,-0.2832,0.2559,0.686,-0.8,-0.16,0.63,0.01,0.5855,-0.9518999999999999,3.4242000000000004
uncertain,0.4,0.6,690,CHURCH & DWIGHT INC,'...$CHD thinks its stock is cheap in the $70s though early this yr paid $66.04 average. What's going on here?' -Spruce Point Capital,1,,146,12,1.0,2019-09-12,23393.0,-0.9222273714840412,0.1651687509676813,2.7391573518536383,0.4051423631608486,-2.4035804493587887,-5.309616114252624,1.0853,0.9931,0.3781,0.22,-0.3,-0.13,0.009,0.06569999999999998,1.1847000000000003,4.1632
uncertain,0.2,0.5,1013,ISHARES TRUST,"'....Fake News will be working hard to find them. Great love all around. Also, big Trade Deal is possible once U.K. gets rid of the shackles. Already starting to talk!' -Trump Tweets",1,,147,12,1.0,2019-06-03,14907.0,1.1649900116026402,3.2745560366608917,1.9849643421609775,-0.7516434881836176,-0.4085454308132119,-1.2157146473774638,0.2209,0.4597,0.6189,-0.4,0.35,1.66,0.009,0.17359999999999998,0.4728999999999999,-0.8698000000000001
decrease,0.7,0.8,2816,SABRE CORP,"'...Airline and airport sources are telling ABC News that Sabre, a company that airlines use for reservations, printing bag tags, and in some cases check-in, is having computer issues affecting the check-in process at multiple airports...' -Jeffrey Cook",1,,155,12,0.0,2019-03-26,14608.0,-1.5529408119618893,1.8352912547706437,1.5058809374343118,-0.6181695964187384,-3.3749402888660796,-1.1820331814999196,1.6746,0.8984,1.0154,0.76,0.17,0.46,0.009,-0.15590000000000004,0.9769,0.19440000000000002
uncertain,0.3,0.5,1336,ISHARES INC,'...It is Billions of Dollars a year better than the very bad NAFTA deal which it replaces. The difference pays for Wall many times over! (2/2' -Tweet From Pres Trump,1,,145,12,1.0,2019-01-11,83223.0,0.4744756035506725,1.8300980612636184,0.7907869911226051,0.2254843013361096,1.3451895359029242,3.0127442406443494,-0.4275,-0.4308,0.6629,-0.01,0.12,0.22,0.01,0.43139999999999995,-0.4925000000000001,-0.8634000000000002
decrease,0.7,0.8,2041,ALPHABET INC,"'...Thiel believes Google should be investigated for treason. He accuses Google of working with the Chinese Government."" @foxandfriends  A great and brilliant guy who knows this subject better than anyone! The Trump Administration will take a look!'",1,,154,12,0.0,2019-07-16,14542.0,-0.6267428863793612,-0.638880228687988,6.203302587089565,0.4751455504447222,0.5357412737883482,0.8645470077487616,0.2817,0.6763,1.2602,-0.32,0.35,0.1,0.009,0.8471,-0.05630000000000002,6.643899999999999
decrease,0.6,0.8,2150,IROBOT CORP,"'...Wouldn't a d/g to ""Sell"" make sense given the current price premium?' -Spruce Point Capital Tweets (2/2)",1,,135,12,0.0,2019-02-07,90971.0,6.252547353506088,17.584657410169946,22.909016280827732,0.359146692790091,-1.3677535607067637,0.4606180943111715,9.6399,11.5166,1.9769,-0.93,-0.14,0.4,0.01,17.581200000000003,25.327900000000003,26.788200000000003
decrease,0.7,0.8,2172,LIGAND PHARMACEUTICALS INC,'...on @CitronResearch $LGND report. What I found most disappointing (and fundamentally dishonest) about Andrew's work is the accusation that $LGND is lying to investors about its royalty-based business model (1/4)' -Tweet From STAT's Adam Feuerstein,1,,172,12,0.0,2019-01-16,78081.0,0.6088125053793192,2.7260335161495286,7.314852500021596,2.648601122200489,-2.1679398390028415,-3.088914404587862,-16.4833,-16.857,1.2815,0.28,0.04,0.92,0.01,-17.2193,-15.027700000000001,-13.721100000000002
increase,0.5,0.7,3289,QUALCOMM INC,'...that antitrust law is generally sympathetic to dominant companies setting prices for the products they create' -CNBC's Josh Lipton Tweets (2/2),1,,134,11,2.0,2019-01-24,77178.0,0.9643728844821452,-2.53887208547926,-0.5117145186536387,-4.641739651560783,-6.332549374115071,-5.477451201475992,-1.8544,-2.109,1.0625,0.23,0.44,-0.01,0.01,-2.1109,-7.152299999999999,-5.277899999999999
decrease,0.7,0.8,334,ACTIVISION BLIZZARD INC,"'..they brace for today's layoffs, Blizzard employees are crying and hugging in the parking lot, according to a person there. Still no official word from the company, but people in publishing and esports are expecting big cuts.' -Jason Schreier Tweets 1/2",1,,161,12,0.0,2019-02-12,79678.0,6.959447264671326,2.6637887086623513,0.2879837705741739,-7.601933181285858,-8.757958356762675,-6.720928640424628,3.8893,2.1557,1.2767,1.36,0.02,-0.16,0.01,8.7477,3.0626999999999995,0.25179999999999936
uncertain,0.5,0.7,2619,RED ROBIN GOURMET BURGERS INC,'.@redrobinburgers has installed a poison pill and hired a top #activist defense adviser who has had some success in the past defending companies against Vintage Capital's Brian Kahn. Sources tell @rorol Vintage is likely pushing for some M&A...',1,,169,12,1.0,2019-06-12,89453.0,31.500396132469177,22.113124063684552,19.5601012326704,0.7987792603671551,1.2223058646341878,1.4936781455711312,-3.9245,-3.7439,0.9511,-0.2,0.41,-0.99,0.009,27.2529,18.6359,17.324199999999998
uncertain,0.2,0.5,1448,ISHARES INC,'10:00AM THE PRESIDENT delivers remarks on the national security and humanitarian crisis on our southern border' -Bloomberg's Jennifer Epstein,1,,131,12,1.0,2019-02-15,83223.0,0.3882122924551368,2.2379527981350344,-1.667046124987959,1.7124079167842865,-1.4097293460760607,-1.2975181415276205,0.9917,0.3096,0.5926,1.13,0.25,0.47,0.01,0.5751999999999999,2.0055,-1.8152999999999997
increase,0.5,0.7,4652,TESLA INC,'2020 Tesla Model S And Model X Standard Range Show Up On EPA Site' -InsideEVs,1,,123,11,2.0,2019-11-20,93436.0,0.7410099729895592,-5.942306690638832,-6.2035108944663016,2.7229346334934235,2.0870531575541085,2.9111156329376886,-2.0305,-1.6006,1.3408,-0.33,0.0,-0.45,0.006,-0.6779000000000001,-9.7328,-8.3986
decrease,0.7,0.8,4365,22ND CENTURY GROUP INC,"'22nd Century - Key Patents Behind MRTP And PMTA Applications Have Expired!' -Seeking Alpha Blog Post From 'Fuzzy Panda,' A Contributor With 754 Followers",1,,146,12,0.0,2019-04-17,14523.0,-1.0582000948488712,2.1164000510332626,18.518520309947274,1.5873000025749209,-4.61965798947972e-08,-2.538074784301436,-1.5625,-1.1285,1.388,-0.32,-0.7,0.83,0.01,-2.3494,-0.08440000000000003,15.675200000000002
