BillID,Year,Major,MajorText,Party,PassH,PassS,Description,Description_CBP,DW1,DW1_NA,Chamber,BillNum,BillType,Cong,Minor,MultNo,PLaw,ReportH,ReportS,Veto,ComC,CumHServ,MRef,NameFull,Postal,State
105-HR-3663,1998,5,Labor and Employment,Republican,0,0,To amend the Internal Revenue Code of 1986 to provide equitable treatment for contributions by employees to defined contribution pension plans.,To amend the Internal Revenue Code of 1986 to provide equitable treatment for contributions by employees to defined contribution pension plans.,0.181,0.181,House,3663,HR,105,503.0,1.0,0,0,0,0,1.0,8019.0,0,James Leach,IA,31
113-S-307,2013,1,Macroeconomics,Democrat,0,0,"A bill to reduce the Federal budget deficit by closing big oil tax loopholes, and for other purposes.","A bill to reduce the Federal budget deficit by closing big oil tax loopholes, and for other purposes.",-0.44,-0.44,Senate,307,S,113,105.0,1.0,0,0,0,0,1.0,4759.0,1,Robert Menendez,NJ,12
87-S-2938,1962,20,Public Lands and Water Management,Democrat,0,0,"A bill to provide a standard procedure for the leasing of noncompetent allotted farming and grazing lands on the Crow Indian Reservation, Mont.","A bill to provide a standard procedure for the leasing of noncompetent allotted farming and grazing lands on the Crow Indian Reservation, Mont.",-0.428,-0.428,Senate,2938,S,87,2102.0,1.0,0,0,0,0,0.0,8000.0,1,"Metcalf, Lee",MT,64
83-HR-5066,1953,8,Energy,Democrat,0,0,"To preserve the scenic beauty of Niagara Falls and River and to authorize the construction of certain public works on that river for power and other purposes, to promote the national defense, and for other purposes","To preserve the scenic beauty of Niagara Falls and River and to authorize the construction of certain public works on that river for power and other purposes, to promote the national defense, and for other purposes",-0.658,-0.658,House,5066,HR,83,802.0,1.0,0,0,0,0,0.0,3.667,1,"Roosevelt, Franklin D.Jr.",NY,13
95-HR-13758,1978,17,Foreign Trade,Democrat,1,0,"A bill to amend the Internal Revenue Code of 1954 to provide the same treatment, with respect to determination of sources of income, for interest paid by foreign branches of domestic banks and interest paid by foreign branches of domestic savings and loan institutions.","A bill to amend the Internal Revenue Code of 1954 to provide the same treatment, with respect to determination of sources of income, for interest paid by foreign branches of domestic banks and interest paid by foreign branches of domestic savings and loan institutions.",-0.374,-0.374,House,13758,HR,95,1804.0,1.0,0,1,0,0,0.0,649.0,1,Raymond Lederer,PA,14
83-HR-2138,1953,1,Macroeconomics,Republican,0,0,To restore the right of American citizens to freely own gold and gold coins to return control over the public purse to the people to restrain further deterioration of our currency to enable holders of paper money to redeem it in gold coin on demand to est,To restore the right of American citizens to freely own gold and gold coins to return control over the public purse to the people to restrain further deterioration of our currency to enable holders of paper money to redeem it in gold coin on demand to est,0.685,0.685,House,2138,HR,83,104.0,1.0,0,0,0,0,1.0,33.833,1,"Reed, Daniel A.",NY,13
108-HR-4799,2004,3,Health,Democrat,0,0,"To amend the Public Health Service Act to support the planning, implementation, and evaluation of organized activities involving statewide youth suicide early intervention and prevention strategies, to provide funds for campus mental and behavioral health service centers, and for other purposes.","To amend the Public Health Service Act to support the planning, implementation, and evaluation of organized activities involving statewide youth suicide early intervention and prevention strategies, to provide funds for campus mental and behavioral health service centers, and for other purposes.",-0.177,-0.177,House,4799,HR,108,331.0,1.0,0,0,0,0,0.0,7280.0,1,Barton Gordon,TN,54
100-HR-627,1987,6,Education,Democrat,0,0,"A bill to provide Federal financial assistance to facilitate the establishment of alliances between local education agencies and the private sector to increase the use of resources of the private and nonprofit sectors in the provision of elementary and secondary education, and for other purposes.","A bill to provide Federal financial assistance to facilitate the establishment of alliances between local education agencies and the private sector to increase the use of resources of the private and nonprofit sectors in the provision of elementary and secondary education, and for other purposes.",-0.334,-0.334,House,627,HR,100,602.0,1.0,0,0,0,0,0.0,5771.0,1,Mario Biaggi,NY,13
107-HR-4989,2002,3,Health,Republican,0,0,To amend the Public Health Service Act to provide for grants to health care providers to implement electronic prescription drug programs.,To amend the Public Health Service Act to provide for grants to health care providers to implement electronic prescription drug programs.,0.47,0.47,House,4989,HR,107,321.0,1.0,0,1,0,0,1.0,8712.0,1,William Tauzin,LA,45
89-HR-9161,1965,20,Public Lands and Water Management,Republican,0,0,"To, authorize the acquisition of certain lands ,within the boundaries of the Unita National Forest in the State of Utah by the Secretary of Agriculture","To, authorize the acquisition of certain lands ,within the boundaries of the Unita National Forest in the State of Utah by the Secretary of Agriculture",0.22,0.22,House,9161,HR,89,2103.0,1.0,0,0,0,0,0.0,2.0,1,"Burton, Laurence J.",UT,67
88-HR-12315,1964,19,Government Operations,Republican,0,0,"To amend the act of August 25, 1958, title 39, United States Code, and the act of March 7, 1964, to provide office staff, and necessary services, to wind up the affairs of a President who dies in office or of a former President after his death","To amend the act of August 25, 1958, title 39, United States Code, and the act of March 7, 1964, to provide office staff, and necessary services, to wind up the affairs of a President who dies in office or of a former President after his death",0.02,0.02,House,12315,HR,88,2002.0,1.0,0,0,0,0,0.0,20.0,1,"Corbett, Robert J.",PA,14
97-HR-7277,1982,19,Government Operations,Democrat,0,0,"A bill to amend the Federal Election Campaign Act of 1971 to limit contributions by nonparty multicandidate political committees in election campaigns for the House of Representatives, to provide for financing of general election campaigns for the House of Representatives, and for other purposes.","A bill to amend the Federal Election Campaign Act of 1971 to limit contributions by nonparty multicandidate political committees in election campaigns for the House of Representatives, to provide for financing of general election campaigns for the House of Representatives, and for other purposes.",-0.452,-0.452,House,7277,HR,97,2012.0,1.0,0,0,0,0,0.0,3641.0,0,David Obey,WI,25
102-HR-4209,1992,20,Public Lands and Water Management,Democrat,1,0,"To amend the Act entitled An Act conferring jurisdiction on certain courts of the United States to hear and render judgement in connection with certain claims of the Cherokee Nation of Oklahoma, approved December 23, 1982.","To amend the Act entitled """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""An Act conferring jurisdiction on certain courts of the United States to hear and render judgement in connection with certain claims of the Cherokee Nation of Oklahoma"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", approved December 23, 1982.",-0.381,-0.381,House,4209,HR,102,2102.0,3.0,0,1,0,0,0.0,5016.0,1,Michael Synar,OK,53
106-S-2079,2000,2,"Civil Rights, Minority Issues, and Civil Liberties",Republican,0,0,"A bill to facilitate the timely resolution of back-logged civil rights discrimination cases of the department of Agriculture, and for other purposes.","A bill to facilitate the timely resolution of back-logged civil rights discrimination cases of the department of Agriculture, and for other purposes.",0.387,0.387,Senate,2079,S,106,200.0,1.0,0,0,0,0,0.0,0.0,0,Conrad Burns,MT,64
111-S-2324,2009,17,Foreign Trade,Democrat,0,0,A bill to suspend temporarily the duty on 120 volt/60Hz electrical transformers.,A bill to suspend temporarily the duty on 120 volt/60Hz electrical transformers.,-0.416,-0.416,Senate,2324,S,111,1807.0,1.0,0,0,0,0,1.0,0.0,1,John Kerry,MA,3
84-HR-10416,1956,5,Labor and Employment,Democrat,0,0,To provide for certain adjustments with respect to wages paid to Mexican agricultural workers for work performed during the cotton harvest of 195.5.,To provide for certain adjustments with respect to wages paid to Mexican agricultural workers for work performed during the cotton harvest of 195.5.,0.16,0.16,House,10416,HR,84,529.0,1.0,0,0,0,0,0.0,8.0,1,"Burleson, Omar T.",TX,49
92-HR-1458,1971,1,Macroeconomics,Republican,0,0,To provide that the fiscal year of the United States shall coincide with the calendar year.,To provide that the fiscal year of the United States shall coincide with the calendar year.,0.37,0.37,House,1458,HR,92,105.0,1.0,0,0,0,0,0.0,14.0,1,"Michel, Robert H.",IL,21
89-HR-5984,1965,20,Public Lands and Water Management,Democrat,1,1,"To amend sections 2276 and 2276 of, the Revised Statutes, as amended, with respect to certain lauds granted to the States","To amend sections 2276 and 2276 of, the Revised Statutes, as amended, with respect to certain lauds granted to the States",-0.2,-0.2,House,5984,HR,89,2103.0,1.0,1,1,0,0,0.0,16.0,1,"Aspinall, Wayne N.",CO,62
98-HR-1084,1983,1,Macroeconomics,Republican,0,0,A bill to delay the effective date of the provisions which require withholding of tax from interest and dividends.,A bill to delay the effective date of the provisions which require withholding of tax from interest and dividends.,0.365,0.365,House,1084,HR,98,107.0,1.0,0,0,0,0,0.0,2838.0,0,Marvin Edwards,OK,53
84-S-2469,1955,19,Government Operations,Republican,0,0,A bill extending the authority of the General Services Administration with respect to warehouses and other storage facilities operated by civilian agencies of the Government,A bill extending the authority of the General Services Administration with respect to warehouses and other storage facilities operated by civilian agencies of the Government,0.373,0.373,Senate,2469,S,84,2008.0,1.0,0,0,0,0,0.0,0.0,1,"McCarthy, Jose",WI,25
107-HR-2630,2001,3,Health,Democrat,0,0,"To amend titles XIX and XXI of the Social Security Act to provide for FamilyCare coverage for parents of enrolled children, and for other purposes.","To amend titles XIX and XXI of the Social Security Act to provide for FamilyCare coverage for parents of enrolled children, and for other purposes.",-0.419,-0.419,House,2630,HR,107,302.0,1.0,0,0,0,0,0.0,10915.0,1,John Dingell,MI,23
92-HR-8163,1971,11,"Law, Crime, and Family Issues",Republican,0,0,To establish a Legal Services Corporation and for other purposes,To establish a Legal Services Corporation and for other purposes,0.15,0.15,House,8163,HR,92,1204.0,1.0,0,0,0,0,0.0,12.91,1,"Quie, Albert H.",MN,33
101-S-2479,1990,15,Defense,Democrat,0,0,A bill to reduce funding for the MX Rail-Garrison Missile System.,A bill to reduce funding for the MX Rail-Garrison Missile System.,-0.432,-0.432,Senate,2479,S,101,1610.0,1.0,0,0,0,0,0.0,0.0,1,Carl Levin,MI,23
96-S-2229,1980,20,Public Lands and Water Management,Republican,0,0,A bill to amend Section 206 of the Reclamation Project Authorization Act of 1972.,A bill to amend Section 206 of the Reclamation Project Authorization Act of 1972.,0.212,0.212,Senate,2229,S,96,2104.0,1.0,0,0,0,0,0.0,0.0,1,Pete Domenici,NM,66
81-HR-6405,1949,20,Public Lands and Water Management,Republican,0,0,"To provide for the rehabilitation of the Sioux Tribes of Indians of North and South Dakota, and for other purposes","To provide for the rehabilitation of the Sioux Tribes of Indians of North and South Dakota, and for other purposes",0.376,0.376,House,6405,HR,81,2102.0,1.0,0,0,0,0,0.0,12.0,1,"Case, Francis H.",SD,37
85-HR-11230,1958,14,"Banking, Finance, and Domestic Commerce",Republican,0,0,"To amend the Internal Revenue Code to assist small and independent business, and for other purposes","To amend the Internal Revenue Code to assist small and independent business, and for other purposes",0.271,0.271,House,11230,HR,85,1521.0,1.0,0,0,0,0,0.0,14.0,1,"Taylor, Dean P.",NY,13
91-HR-8169,1969,15,Defense,Republican,0,0,"To amend title 10 of the United States Code to prohibit the assignment of a member of an armed force to combat area duty if any of certain relatives of such member dies, Is captured, Is-missing in action, or is totally disabled as a result of service In the armed forces in Vietnam","To amend title 10 of the United States Code to prohibit the assignment of a member of an armed force to combat area duty if any of certain relatives of such member dies, Is captured, Is-missing in action, or is totally disabled as a result of service In the armed forces in Vietnam",-0.06,-0.06,House,8169,HR,91,1608.0,1.0,0,0,0,0,0.0,1.08,1,"McCloskey, Paul N. Jr.",CA,71
90-HR-3595,1967,12,Social Welfare,Democrat,0,0,To prevent reduction of certain widows benefits under title II of the Social Security Act,To prevent reduction of certain widows benefits under title II of the Social Security Act,-0.559,-0.559,House,3595,HR,90,1303.0,1.0,0,0,0,0,0.0,2.0,1,"Mink, Patsy T.",HI,82
111-S-2994,2010,14,"Banking, Finance, and Domestic Commerce",Democrat,0,0,"A bill to amend the Internal Revenue Code of 1986 to impose an excise tax on excessive 2009 bonuses received from certain major recipients of Federal emergency economic assistance, to limit the deduction allowable for such bonuses, and for other purposes.","A bill to amend the Internal Revenue Code of 1986 to impose an excise tax on excessive 2009 bonuses received from certain major recipients of Federal emergency economic assistance, to limit the deduction allowable for such bonuses, and for other purposes.",-0.488,-0.488,Senate,2994,S,111,1523.0,1.0,0,0,0,0,1.0,3567.0,0,Barbara Boxer,CA,71
87-HR-9554,1962,5,Labor and Employment,Republican,0,0,"To amend the antitrust laws to prohibit certain activities of labor organizations in restraint of trade, and for other purposes","To amend the antitrust laws to prohibit certain activities of labor organizations in restraint of trade, and for other purposes",0.457,0.457,House,9554,HR,87,504.0,1.0,0,0,0,0,0.0,2.0,1,"Short, Don L.",ND,36
110-HR-199,2007,20,Public Lands and Water Management,Republican,0,0,"To designate segments of Fossil Creek, a tributary to the Verde River in the State of Arizona, as wild and scenic rivers.","To designate segments of Fossil Creek, a tributary to the Verde River in the State of Arizona, as wild and scenic rivers.",0.411,0.411,House,199,HR,110,2101.0,1.0,0,0,0,0,0.0,2188.0,1,Rick Renzi,AZ,61
95-HR-13482,1978,20,Public Lands and Water Management,Democrat,0,0,"A bill to change the name of the Gainsville Public Use Area being constructed near Warsaw in Sumter County, Alabama to the S. W. Taylor Memorial Park.","A bill to change the name of the Gainsville Public Use Area being constructed near Warsaw in Sumter County, Alabama to the """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""S. W. Taylor Memorial Park"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""".",-0.165,-0.165,House,13482,HR,95,2101.0,1.0,0,0,0,0,0.0,2111.0,0,Walter Flowers,AL,41
101-HR-5110,1990,3,Health,Democrat,0,0,To provide for the certification of embryo laboratories.,To provide for the certification of embryo laboratories.,-0.313,-0.313,House,5110,HR,101,321.0,1.0,0,0,0,0,0.0,3583.0,1,Ron Wyden,OR,72
81-HR-4947,1949,19,Government Operations,Republican,0,0,"To authorize the Commissioners of the District of Columbia to enter into agreements with certain organizations to carry out the functions of the pound master of the District of Columbia, and for other purposes","To authorize the Commissioners of the District of Columbia to enter into agreements with certain organizations to carry out the functions of the pound master of the District of Columbia, and for other purposes",0.287,0.287,House,4947,HR,81,2014.0,1.0,0,0,0,0,0.0,2.0,1,"Allen, John J. Jr.",CA,71
113-S-2712,2014,6,Education,Democrat,0,0,A bill to amend section 455(m) of the Higher Education Act of 1965 in order to allow adjunct faculty members to qualify for public service loan forgiveness.,A bill to amend section 455(m) of the Higher Education Act of 1965 in order to allow adjunct faculty members to qualify for public service loan forgiveness.,-0.522,-0.522,Senate,2712,S,113,601.0,1.0,0,0,0,0,0.0,5023.0,0,Richard Durbin,IL,21
89-HR-7474,1965,16,"Space, Science, Technology, and Communications",Republican,0,0,"To promote, economic growth by supporting State and regional centers to place the findings of science usefully. in the hands of American enterprise","To promote, economic growth by supporting State and regional centers to place the findings of science usefully. in the hands of American enterprise",-0.08,-0.08,House,7474,HR,89,1798.0,1.0,0,0,0,0,0.0,4.0,1,"Mathias, Charles McC. Jr.",MD,52
82-S-1928,1951,4,Agriculture,Republican,0,0,A bill to provide for equitable allocation of livestock available for slaughter,A bill to provide for equitable allocation of livestock available for slaughter,0.476,0.476,Senate,1928,S,82,402.0,1.0,0,0,0,0,0.0,0.0,1,"Capehart, Home",IN,22
93-HR-8348,1973,8,Energy,Democrat,0,0,A bill to authorize the National Science Foundation to designate certain institutions of higher education as national energy research centers.,A bill to authorize the National Science Foundation to designate certain institutions of higher education as national energy research centers.,-0.175,-0.175,House,8348,HR,93,899.0,1.0,0,0,0,0,0.0,716.0,0,James Pickle,TX,49
81-HR-2991,1949,19,Government Operations,Democrat,0,0,"To provide for the acquisition of site and preparation of plans and specifications for a new Federal building and post office in West Hartford, Conn","To provide for the acquisition of site and preparation of plans and specifications for a new Federal building and post office in West Hartford, Conn",-0.207,-0.207,House,2991,HR,81,2008.0,1.0,0,0,0,0,0.0,0.0,1,"Ribicoff, Abraham A.",CT,1
110-HR-3210,2007,3,Health,Democrat,0,0,To provide medical care and other benefits for members and former members of the Armed Forces with severe injuries or illnesses.,To provide medical care and other benefits for members and former members of the Armed Forces with severe injuries or illnesses.,-0.108,-0.108,House,3210,HR,110,302.0,2.0,0,0,0,0,0.0,730.0,1,Joe Donnelly,IN,22
104-S-1901,1996,3,Health,Democrat,0,0,A bill to amend title XIX of the Social Security Act to repeal the requirement for annual resident review for nursing facilities under the Medicaid program and to require resident reviews for mentally ill or mentally retarded residents when there is a significant change in physical or mental condition.,A bill to amend title XIX of the Social Security Act to repeal the requirement for annual resident review for nursing facilities under the Medicaid program and to require resident reviews for mentally ill or mentally retarded residents when there is a significant change in physical or mental condition.,-0.387,-0.387,Senate,1901,S,104,322.0,1.0,0,0,0,0,0.0,4295.0,0,Byron Dorgan,ND,36
84-HR-7493,1955,4,Agriculture,Democrat,0,0,"To amend the Agricultural Adjustment Act of 1938 to exempt certain wheat producers from liability under the act where all the wheat crop is used for food on the farm, and for other purposes","To amend the Agricultural Adjustment Act of 1938 to exempt certain wheat producers from liability under the act where all the wheat crop is used for food on the farm, and for other purposes",-0.534,-0.534,House,7493,HR,84,402.0,1.0,0,0,0,0,0.0,2.0,1,"Anfuso, Victor L.",NY,13
111-HR-3287,2009,11,"Law, Crime, and Family Issues",Democrat,0,0,"To require a criminal background check for a child care staff member of any child care provider in a State that receives funds from the Child Care and Development Block Grant Program, and for other purposes.","To require a criminal background check for a child care staff member of any child care provider in a State that receives funds from the Child Care and Development Block Grant Program, and for other purposes.",-0.538,-0.538,House,3287,HR,111,1208.0,1.0,0,0,0,0,0.0,2178.0,0,Gwen Moore,WI,25
107-HR-3785,2002,6,Education,Republican,0,0,"To establish expanded teacher loan forgiveness programs under the guaranteed and direct student loan programs for teachers of mathematics and science, and for other purposes.","To establish expanded teacher loan forgiveness programs under the guaranteed and direct student loan programs for teachers of mathematics and science, and for other purposes.",0.518,0.518,House,3785,HR,107,607.0,1.0,0,0,0,0,0.0,5799.0,0,Richard Baker,LA,45
95-HR-9499,1977,7,Environment,Republican,0,0,"A bill to provide for the timely and safe disposal of radioactive ores, minerals, and mill tailings as well as physical facilities and material wastes of all types which are produced as a result of the use of nuclear energy.","A bill to provide for the timely and safe disposal of radioactive ores, minerals, and mill tailings as well as physical facilities and material wastes of all types which are produced as a result of the use of nuclear energy.",0.213939,0.213939,House,9499,HR,95,704.0,4.0,0,0,0,0,0.0,1370.0,0,James Jeffords,VT,6
94-HR-7055,1975,13,Community Development and Housing Issues,Democrat,0,0,A bill to provide Federal assistance to cities with high concentrations of foreign-born persons.,A bill to provide Federal assistance to cities with high concentrations of foreign-born persons.,-0.298123,-0.298123,House,7055,HR,94,1400.0,1.0,0,0,0,0,0.0,1367.0,0,Antonio Won Pat,GU,0
87-S-573,1961,15,Defense,Democrat,0,0,"A bill to provide that persons discharged from the Armed Forces who are proffered discharges other than honorable may reject such discharges and receive a court-martial, or if not court-martialed, shall be given honorable discharges.","A bill to provide that persons discharged from the Armed Forces who are proffered discharges other than honorable may reject such discharges and receive a court-martial, or if not court-martialed, shall be given honorable discharges.",-0.325,-0.325,Senate,573,S,87,1608.0,1.0,0,0,0,0,0.0,8000.0,0,"Magnuson, Warr",WA,73
94-HR-14728,1976,20,Public Lands and Water Management,Democrat,0,0,"A bill to direct the Secretary of the Interior to convey certain real property of the United States to the city of Niceville, Florida, for use as a cemetery.","A bill to direct the Secretary of the Interior to convey certain real property of the United States to the city of Niceville, Florida, for use as a cemetery.",-0.06,-0.06,House,14728,HR,94,2100.0,1.0,0,0,0,0,0.0,1367.0,0,Robert Sikes,FL,43
100-S-1029,1987,17,Foreign Trade,Democrat,0,0,A bill to suspend for 3 years the duty on 2-(4-aminophenyl)-6-methylbenzothiazole-7-sulfonic acid.,A bill to suspend for 3 years the duty on 2-(4-aminophenyl)-6-methylbenzothiazole-7-sulfonic acid.,-0.19,-0.19,Senate,1029,S,100,1807.0,1.0,0,0,0,0,1.0,0.0,0,John Johnston,LA,45
81-S-407,1949,15,Defense,Republican,0,0,"A bill to provide for the incorporation of the National Womans Relief Corps, Auxiliary to the Grand Army of the Republic, organized 1883, 66 years old","A bill to provide for the incorporation of the National Womans Relief Corps, Auxiliary to the Grand Army of the Republic, organized 1883, 66 years old",0.504,0.504,Senate,407,S,81,1608.0,1.0,0,0,0,0,0.0,0.0,0,"Capehart, Home",IN,22
103-S-1843,1994,19,Government Operations,Republican,0,0,A bill to downsize and improve the performance and accountability of the Federal Government.,A bill to downsize and improve the performance and accountability of the Federal Government.,0.332,0.332,Senate,1843,S,103,2002.0,1.0,0,0,0,0,0.0,0.0,0,Robert Dole,KS,32
110-S-3687,2008,15,Defense,Republican,0,0,"A bill to prohibit the admission of an alien who was detained as an enemy combatant at Guantanamo Bay, Cuba unless the President determines that such admission is consistent with the national security of the United States, and for other purposes.","A bill to prohibit the admission of an alien who was detained as an enemy combatant at Guantanamo Bay, Cuba unless the President determines that such admission is consistent with the national security of the United States, and for other purposes.",0.623,0.623,Senate,3687,S,110,1619.0,1.0,0,0,0,0,0.0,2011.0,0,David Vitter,LA,45
97-HR-10,1981,19,Government Operations,Democrat,0,0,"A bill to amend title 39 of the United States Code to require that at least 10 percent of expenditures by the Postal Service under certain contracts entered into by the Postal Service are expended for minority business enterprises, and for other purposes.","A bill to amend title 39 of the United States Code to require that at least 10 percent of expenditures by the Postal Service under certain contracts entered into by the Postal Service are expended for minority business enterprises, and for other purposes.",-0.545,-0.545,House,10,HR,97,2003.0,1.0,0,0,0,0,0.0,3641.0,1,William Clay,MO,34
93-HR-880,1973,2,"Civil Rights, Minority Issues, and Civil Liberties",Democrat,0,0,"A bill to amend the National Labor Relations Act to secure to physically handicapped workers, employed in sheltered workshops the right to organize and bargain collectively, and for other purposes.","A bill to amend the National Labor Relations Act to secure to physically handicapped workers, employed in sheltered workshops the right to organize and bargain collectively, and for other purposes.",-0.412,-0.412,House,880,HR,93,205.0,1.0,0,0,0,0,0.0,716.0,1,James O'Hara,MI,23
111-HR-5166,2010,9,Immigration,Republican,0,0,To amend the Immigration and Nationality Act to provide for the loss of United States citizenship by individuals who are unprivileged enemy belligerents.,To amend the Immigration and Nationality Act to provide for the loss of United States citizenship by individuals who are unprivileged enemy belligerents.,0.448,0.448,House,5166,HR,111,900.0,1.0,0,0,0,0,0.0,2178.0,0,Charles Dent,PA,14
