BillID,Year,Major,MajorText,Party,PassH,PassS,Description,Description_CBP,DW1,DW1_impute,Chamber,BillNum,BillType,Cong,Minor,MultNo,PLaw,ReportH,ReportS,Veto,ComC,CumHServ,MRef,NameFull,Postal,State
85-HR-5834,1957,1,Macroeconomics,100.0,0,0,"To amend section 1402 of the Internal Revenue Code of 1954, and for other purposes.","To amend section 1402 of the Internal Revenue Code of 1954, and for other purposes.",-0.141,-0.141,0,5834,HR,85,107.0,1.0,0,0,0,0,0.0,8.0,1,"Marshall, Fred",MN,33.0
92-S-4072,1972,20,Public Lands and Water Management,100.0,0,0,"A bill designating the part established pursuant to the act of April 35, 1947 (61 Stat. 52), as the Theodore Roosevelt National Park","A bill designating the part established pursuant to the act of April 35, 1947 (61 Stat. 52), as the Theodore Roosevelt National Park",-0.351,-0.351,1,4072,S,92,2101.0,1.0,0,0,0,0,0.0,1583.0,1,"BURDICK, QUENTIN NORTHROP",ND,36.0
101-S-2365,1990,11,"Law, Crime, and Family Issues",100.0,0,0,A bill to amend the Controlled Substances Act to prohibit advertisements intended to promote or facilitate the distribution or transfer of a Schedule I controlled substance.,A bill to amend the Controlled Substances Act to prohibit advertisements intended to promote or facilitate the distribution or transfer of a Schedule I controlled substance.,-0.213,-0.213,1,2365,S,101,1203.0,1.0,0,0,0,0,0.0,0.0,1,Dennis DeConcini,AZ,61.0
89-HR-12336,1966,14,"Banking, Finance, and Domestic Commerce",100.0,0,0,To authorize establishment of Federal mutual savings .banks,To authorize establishment of Federal mutual savings .banks,-0.39,-0.39,0,12336,HR,89,1501.0,1.0,0,0,0,0,0.0,4.0,1,"St Germain, Fernand J.",RI,5.0
111-HR-2809,2009,20,Public Lands and Water Management,200.0,0,0,"To amend the Wilderness Act to allow recreation organizations consisting of hikers or horseback riders to cross wilderness areas on established trails, and for other purposes.","To amend the Wilderness Act to allow recreation organizations consisting of hikers or horseback riders to cross wilderness areas on established trails, and for other purposes.",0.842,0.842,0,2809,HR,111,2103.0,1.0,0,0,0,0,0.0,1448.0,1,Doug Lamborn,CO,62.0
90-HR-14611,1968,19,Government Operations,200.0,0,0,To provide incentives for the establishment of new or expanded job-producing industrial and commercial establishment in rural areas,To provide incentives for the establishment of new or expanded job-producing industrial and commercial establishment in rural areas,0.105,0.105,0,14611,HR,90,2004.0,1.0,0,0,0,0,0.0,10.0,1,"Schwengel, Frederick D.",IA,31.0
106-HR-5430,2000,2,"Civil Rights, Minority Issues, and Civil Liberties",100.0,0,0,"To require the Federal Trade Commission to prescribe regulations to protect the privacy of personal information collected from and about individuals on the Internet, to provide greater individual control over the collection and use of that information, and for other purposes.","To require the Federal Trade Commission to prescribe regulations to protect the privacy of personal information collected from and about individuals on the Internet, to provide greater individual control over the collection and use of that information, and for other purposes.",-0.321,-0.321,0,5430,HR,106,208.0,1.0,0,0,0,0,0.0,2901.0,1,Gene Green,TX,49.0
90-HR-9170,1967,2,"Civil Rights, Minority Issues, and Civil Liberties",100.0,0,0,"To assure nondiscrimination in Federal and State jury selection and service, to provide relief against discriminatory employment and housing practices, to provide penalties for certain acts of violence or intimidation, to extend the life of the U.S. Commission on Civil Rights, and for other purposes","To assure nondiscrimination in Federal and State jury selection and service, to provide relief against discriminatory employment and housing practices, to provide penalties for certain acts of violence or intimidation, to extend the life of the U.S. Commission on Civil Rights, and for other purposes",-0.582,-0.582,0,9170,HR,90,200.0,1.0,0,0,0,0,0.0,8.0,1,"Cohelan, Jeffrey",CA,71.0
86-HR-865,1959,15,Defense,100.0,0,0,To provide that the next cruiser commissioned in the U.S. Navy shall be named the Brooklyn,To provide that the next cruiser commissioned in the U.S. Navy shall be named the Brooklyn,-0.579,-0.579,0,865,HR,86,1699.0,1.0,0,0,0,0,0.0,11.167,1,"Multer, Abraham J.",NY,13.0
98-S-2603,1984,12,Social Welfare,200.0,1,1,"A bill to extend the authorization of appropriations for, and to revise the Older Americans Act of 1965.","A bill to extend the authorization of appropriations for, and to revise the Older Americans Act of 1965.",0.24,0.24,1,2603,S,98,1303.0,1.0,1,0,1,0,0.0,2163.0,1,Charles Grassley,IA,31.0
97-HR-2792,1981,4,Agriculture,200.0,0,0,"A bill to amend title II, title IV establishing a Fishermen's Contingency Fund, and title V of the Outer Continental Shelf Lands Act Amendments of 1978.","A bill to amend title II, title IV establishing a Fishermen's Contingency Fund, and title V of the Outer Continental Shelf Lands Act Amendments of 1978.",0.313,0.313,0,2792,HR,97,408.0,1.0,0,1,0,0,0.0,3641.0,1,Edwin Forsythe,NJ,12.0
95-HR-7413,1977,11,"Law, Crime, and Family Issues",100.0,0,0,A bill to add Muncie to the places where U.S. District Court shall be held for the Indianapolis Division of the Southern District of Indiana.,A bill to add Muncie to the places where U.S. District Court shall be held for the Indianapolis Division of the Southern District of Indiana.,-0.144,-0.144,0,7413,HR,95,1204.0,1.0,0,0,0,0,0.0,1370.0,0,Philip Sharp,IN,22.0
100-HR-3524,1987,7,Environment,100.0,0,0,"A bill to provide grants and loans to enable rural areas near the international border separating the United States from Mexico to develop plans for the construction and improvement of, and to construct and improve, water and waste disposal facilities.","A bill to provide grants and loans to enable rural areas near the international border separating the United States from Mexico to develop plans for the construction and improvement of, and to construct and improve, water and waste disposal facilities.",-0.262,-0.262,0,3524,HR,100,700.0,2.0,0,0,0,0,0.0,2119.0,0,Solomon Ortiz,TX,49.0
85-HR-4946,1957,19,Government Operations,200.0,0,0,"To include certain service performed for Members of Congress as annuitable service Under the Civil Service Retirement Act of May 29, 1930, as amended.","To include certain service performed for Members of Congress as annuitable service Under the Civil Service Retirement Act of May 29, 1930, as amended.",-0.025,-0.025,0,4946,HR,85,2004.0,1.0,0,0,0,0,0.0,31.583,1,"Rogers, Edith Nourse",MA,3.0
113-HR-2,2014,8,Energy,200.0,1,0,"To remove Federal Government obstacles to the production of more domestic energy; to ensure transport of that energy reliably to businesses, consumers, and other end users; to lower the cost of energy to consumers; to enable manufacturers and other businesses to access domestically produced energy affordably and reliably in order to create and sustain more secure and well-paying American jobs; and for other purposes.","To remove Federal Government obstacles to the production of more domestic energy; to ensure transport of that energy reliably to businesses, consumers, and other end users; to lower the cost of energy to consumers; to enable manufacturers and other businesses to access domestically produced energy affordably and reliably in order to create and sustain more secure and well-paying American jobs; and for other purposes.",0.67,0.67,0,2,HR,113,800.0,6.0,0,0,0,0,0.0,5841.0,1,Lee Terry,NE,35.0
113-S-1863,2013,3,Health,100.0,0,0,"A bill to establish in the Department of Veterans Affairs a continuing medical education program for licensed medical professionals to increase knowledge and recognition of medical conditions common to veterans and family members of veterans, and for other purposes.","A bill to establish in the Department of Veterans Affairs a continuing medical education program for licensed medical professionals to increase knowledge and recognition of medical conditions common to veterans and family members of veterans, and for other purposes.",-0.501,-0.501,1,1863,S,113,325.0,1.0,0,0,0,0,0.0,5086.0,1,Sherrod Brown,OH,24.0
84-S-2976,1956,5,Labor and Employment,200.0,0,0,A bill to encourage the establishment of voluntary pension plans by individuals,A bill to encourage the establishment of voluntary pension plans by individuals,-0.023,-0.023,1,2976,S,84,503.0,1.0,0,0,0,0,0.0,0.0,0,"Langer, Willia",ND,36.0
92-HR-16814,1972,5,Labor and Employment,100.0,0,0,"To amend the Service Contract Act of 1965 to revise the method of computing wage rates under such act, and for other purposes","To amend the Service Contract Act of 1965 to revise the method of computing wage rates under such act, and for other purposes",-0.56,-0.56,0,16814,HR,92,505.0,1.0,0,0,0,0,0.0,0.0,1,"Begich, Nicholas J.",AK,81.0
94-HR-8312,1975,19,Government Operations,100.0,0,0,"A bill to amend chapter 83 of title 5, United States Code, to provide an annuity to individuals over age 18 who are disabled children of Federal employees entitled to receive a retirement annuity under such chapter.","A bill to amend chapter 83 of title 5, United States Code, to provide an annuity to individuals over age 18 who are disabled children of Federal employees entitled to receive a retirement annuity under such chapter.",-0.332,-0.332,0,8312,HR,94,2004.0,1.0,0,0,0,0,0.0,1367.0,0,Thomas Ashley,OH,24.0
89-HR-6132,1965,15,Defense,200.0,0,0,"To amend chapter 3, subchapter I, Veterans Administration, section 210(b), to require the Veterans Administration to sumbit to Congress 6 months before the closing of certain installations the reasons for such closings","To amend chapter 3, subchapter I, Veterans Administration, section 210(b), to require the Veterans Administration to sumbit to Congress 6 months before the closing of certain installations the reasons for such closings",0.07,0.07,0,6132,HR,89,1608.0,1.0,0,0,0,0,0.0,12.0,1,"Fino, Paul A.",NY,13.0
93-HR-14983,1974,20,Public Lands and Water Management,100.0,0,0,"A bill to provide for the modification of the project for Tuttle Creek Lake, Big Blue River, Kan.","A bill to provide for the modification of the project for Tuttle Creek Lake, Big Blue River, Kan.",-0.211,-0.211,0,14983,HR,93,2104.0,1.0,0,0,0,0,0.0,716.0,0,William Roy,KS,32.0
103-HR-4819,1994,10,Transportation,100.0,0,0,To authorize the Secretary of Transportation to issue a certificate of documentation with appropriate endorsement for employment in the coastwise trade and fisheries for the vessel JOAN MARIE.,To authorize the Secretary of Transportation to issue a certificate of documentation with appropriate endorsement for employment in the coastwise trade and fisheries for the vessel JOAN MARIE.,-0.143,-0.143,0,4819,HR,103,1007.0,1.0,0,0,0,0,0.0,2886.0,1,H. Lancaster,NC,47.0
97-HR-2876,1981,8,Energy,100.0,0,0,"A bill to amend the Federal Power Act and the Public Utility Regulatory Policies Act of 1978 to place electric utilities, including members of registered holding company systems, on the same basis as non-utilities with respect to encouraging their investment in cogeneration and small power production facilities, and for other purposes.","A bill to amend the Federal Power Act and the Public Utility Regulatory Policies Act of 1978 to place electric utilities, including members of registered holding company systems, on the same basis as non-utilities with respect to encouraging their investment in cogeneration and small power production facilities, and for other purposes.",-0.377,-0.377,0,2876,HR,97,802.0,1.0,0,0,0,0,0.0,3641.0,0,William Alexander,AR,42.0
110-HR-3841,2007,4,Agriculture,200.0,0,0,To prohibit the commercial harvesting of Atlantic menhaden for reduction purposes in the coastal waters and the exclusive economic zone.,To prohibit the commercial harvesting of Atlantic menhaden for reduction purposes in the coastal waters and the exclusive economic zone.,0.406,0.406,0,3841,HR,110,408.0,1.0,0,0,0,0,0.0,6575.0,1,Wayne Gilchrest,MD,52.0
91-S-4105,1970,7,Environment,100.0,0,0,"A bill to amend the Federal Water Pollution Control Act in order to authorize the Secretary of the Interior to incur obligations for construction grants under section 8 of such act, and for other purposes","A bill to amend the Federal Water Pollution Control Act in order to authorize the Secretary of the Interior to incur obligations for construction grants under section 8 of such act, and for other purposes",-0.321,-0.321,1,4105,S,91,701.0,1.0,0,0,0,0,0.0,8000.0,0,"Magnuson, Warr",WA,73.0
85-HR-10583,1958,12,Social Welfare,100.0,0,0,"To amend title II of the Social Security Act to provide that certain determinations of permanent and total disability made by other Federal or State agencies shall be accepted by the Secretary of Health, Education, and Welfare as proof of disability for p","To amend title II of the Social Security Act to provide that certain determinations of permanent and total disability made by other Federal or State agencies shall be accepted by the Secretary of Health, Education, and Welfare as proof of disability for p",0.048,0.048,0,10583,HR,85,1303.0,1.0,0,0,0,0,1.0,16.0,1,"Hebert, F. Edward",LA,45.0
83-HR-6231,1953,15,Defense,200.0,0,0,To provide for the payment of compensation to disabled veterans who are 65 years of age or older and who are suffering from non-service-connected disabilities,To provide for the payment of compensation to disabled veterans who are 65 years of age or older and who are suffering from non-service-connected disabilities,0.204,0.204,0,6231,HR,83,1608.0,1.0,0,0,0,0,0.0,0.0,1,"Wampler, William C.",VA,40.0
85-HR-5467,1957,20,Public Lands and Water Management,100.0,0,0,"Adopting and authorizing a project for the improvement of the Tombigbee River and tributaries, Alabama and Mississippi, for flood control.","Adopting and authorizing a project for the improvement of the Tombigbee River and tributaries, Alabama and Mississippi, for flood control.",-0.274,-0.274,0,5467,HR,85,2104.0,1.0,0,0,0,0,0.0,8.0,1,"Elliott, Carl A.",AL,41.0
111-S-1470,2009,20,Public Lands and Water Management,100.0,0,0,"A bill to sustain the economic development and recreational use of National Forest System land and other public land in the State of Montana, to add certain land to the National Wilderness Preservation System, to release certain wilderness study areas, to designate new areas for recreation, and for other purposes.","A bill to sustain the economic development and recreational use of National Forest System land and other public land in the State of Montana, to add certain land to the National Wilderness Preservation System, to release certain wilderness study areas, to designate new areas for recreation, and for other purposes.",-0.276,-0.276,1,1470,S,111,2103.0,1.0,0,0,0,0,0.0,0.0,1,Jon Tester,MT,64.0
90-HR-6156,1967,14,"Banking, Finance, and Domestic Commerce",100.0,0,0,To amend the Federal Credit Union Act to permit Federal credit unions to make long-term loans secured by real estate,To amend the Federal Credit Union Act to permit Federal credit unions to make long-term loans secured by real estate,-0.283,-0.283,0,6156,HR,90,1501.0,1.0,0,0,0,0,0.0,37.833,1,"Patman, J.W. Wright",TX,49.0
104-HR-1432,1995,19,Government Operations,200.0,0,0,"To amend the Federal Election Campaign Act of 1971 to eliminate multicandidate political committees, and for other purposes.","To amend the Federal Election Campaign Act of 1971 to eliminate multicandidate political committees, and for other purposes.",0.233,0.233,0,1432,HR,104,2012.0,1.0,0,0,0,0,0.0,1368.0,0,James Greenwood,PA,14.0
81-S-1771,1949,10,Transportation,200.0,0,0,A bill to authorize the Maritime Commission to convert certain vessels to types suitable for use on the Great Lakes,A bill to authorize the Maritime Commission to convert certain vessels to types suitable for use on the Great Lakes,0.197,0.197,1,1771,S,81,1007.0,1.0,0,0,0,0,0.0,0.0,0,"Thye, Edward J",MN,33.0
92-HR-12224,1971,15,Defense,100.0,0,0,To provide that compensation received by an individual from the Veterans' Administration for service-connected disability shall not betaken into account as income so as to prevent his occupancy of Government-sponsored housing (or so as to increase the rent which he would atiierwise be required to pay),To provide that compensation received by an individual from the Veterans Administration for service-connected disability shall not betaken into account as income so as to prevent his occupancy of Government-sponsored housing (or so as to increase the rent which he would atiierwise be required to pay),-0.39,-0.39,0,12224,HR,92,1608.0,1.0,0,0,0,0,0.0,8.0,1,"Pepper, Claude D.",FL,43.0
113-S-2357,2014,15,Defense,200.0,0,0,"A bill to provide for improvements in the consistency of data collection, reporting, and assessment in connection with the suicide prevention efforts of the Department of Defense.","A bill to provide for improvements in the consistency of data collection, reporting, and assessment in connection with the suicide prevention efforts of the Department of Defense.",0.187,0.187,1,2357,S,113,1608.0,1.0,0,0,0,0,0.0,0.0,0,Lisa Murkowski,AK,81.0
102-HR-4043,1991,5,Labor and Employment,100.0,0,0,To amend the Emergency Unemployment Compensation Act of 1991 to increase the number of weeks of eligibility for emergency unemployment compensation.,To amend the Emergency Unemployment Compensation Act of 1991 to increase the number of weeks of eligibility for emergency unemployment compensation.,-0.639,-0.639,0,4043,HR,102,503.0,1.0,0,0,0,0,0.0,7219.0,1,Fortney Stark,CA,71.0
86-HR-13265,1960,16,"Space, Science, Technology, and Communications",100.0,0,0,To provide for the establishment of a U.S. Academy of Advanced Sciences and Research Coordination,To provide for the establishment of a U.S. Academy of Advanced Sciences and Research Coordination,-0.293,-0.293,0,13265,HR,86,1799.0,1.0,0,0,0,0,0.0,0.0,1,"Pucinski, Roman C.",IL,21.0
98-HR-1967,1983,17,Foreign Trade,200.0,0,0,A bill to provide for an extension of the duty reduction on certain unwrought lead for a period of five years.,A bill to provide for an extension of the duty reduction on certain unwrought lead for a period of five years.,0.312,0.312,0,1967,HR,98,1807.0,1.0,0,1,0,0,0.0,4300.0,1,William Frenzel,MN,33.0
87-S-3349,1962,15,Defense,200.0,0,0,"A bill to authorize the burial of the remains of Matthew A. Henson in the Arlington National Cemetery, Vu.","A bill to authorize the burial of the remains of Matthew A. Henson in the Arlington National Cemetery, Vu.",0.097,0.097,1,3349,S,87,1608.0,1.0,0,0,0,0,0.0,10000.0,0,"Beall, J. Glen",MD,52.0
84-S-4045,1956,10,Transportation,200.0,0,0,"A bill creating the city of Saint Francisville Bridge Commission, defining the authority, power, and duties of said commission; and authorizing the commission and its successors and assigns to construct, maintain, and operate a bridge across the Wabash Ri","A bill creating the city of Saint Francisville Bridge Commission, defining the authority, power, and duties of said commission; and authorizing the commission and its successors and assigns to construct, maintain, and operate a bridge across the Wabash Ri",0.467,0.467,1,4045,S,84,1002.0,1.0,0,0,0,0,0.0,15833.0,0,"Dirksen, Evere",IL,21.0
104-S-323,1995,6,Education,200.0,0,0,"A bill to amend the Goals 2000: Educate America Act to eliminate the National Education Standards and Improvement Council, and for other purposes.","A bill to amend the Goals 2000: Educate America Act to eliminate the National Education Standards and Improvement Council, and for other purposes.",0.158,0.158,1,323,S,104,607.0,1.0,0,0,0,0,1.0,0.0,1,Nancy Kassebaum,KS,32.0
113-HR-3304,2013,15,Defense,100.0,1,1,An act to authorize the President to award the Medal of Honor to Bennie G. Adkins and Donald P. Sloat of the United States Army for acts of valor during the Vietnam Conflict and to authorize the award of the Medal of Honor to certain other veterans who were previously recommended for award of the Medal of Honor.,An act to authorize the President to award the Medal of Honor to Bennie G. Adkins and Donald P. Sloat of the United States Army for acts of valor during the Vietnam Conflict and to authorize the award of the Medal of Honor to certain other veterans who were previously recommended for award of the Medal of Honor.,-0.405,-0.405,0,3304,HR,113,1699.0,2.0,1,0,0,0,0.0,1724.0,0,Theodore Deutch,FL,43.0
92-S-544,1971,14,"Banking, Finance, and Domestic Commerce",200.0,0,0,"A bill to amend the Internal Revenue Code of 1954 to ease the tax burdens of small businesses, and for other purposes","A bill to amend the Internal Revenue Code of 1954 to ease the tax burdens of small businesses, and for other purposes",0.466,0.466,1,544,S,92,1521.0,1.0,0,0,0,0,0.0,0.0,1,"BENNETT, WALLACE FOSTER",UT,67.0
110-HR-4261,2007,14,"Banking, Finance, and Domestic Commerce",200.0,0,0,To provide the Consumer Product Safety Commission with greater flexibility in addressing consumer concerns.,To provide the Consumer Product Safety Commission with greater flexibility in addressing consumer concerns.,0.581,0.581,0,4261,HR,110,1525.0,1.0,0,0,0,0,0.0,2922.0,0,Sam Graves,MO,34.0
83-S-1160,1953,20,Public Lands and Water Management,200.0,1,1,"A bill to authorize the Secretary of the Interior to convey certain land to the city of Tucson, Ariz., and to accept other_ land in, exchange therefor","A bill to authorize the Secretary of the Interior to convey certain land to the city of Tucson, Ariz., and to accept other_ land in, exchange therefor",0.653,0.653,1,1160,S,83,2103.0,1.0,1,1,1,0,0.0,0.0,0,"Goldwater, Bar",AZ,61.0
106-HR-2518,1999,17,Foreign Trade,200.0,0,0,To suspend temporarily the duty on capacitance tester and reeler.,To suspend temporarily the duty on capacitance tester and reeler.,0.295,0.295,0,2518,HR,106,1807.0,1.0,0,0,0,0,0.0,5092.0,0,W. Weldon,PA,14.0
100-HR-1314,1987,20,Public Lands and Water Management,100.0,0,0,"A bill to provide for the settlement of certain Tohono O'odham Indian water rights claims in Arizona, and for other purposes.","A bill to provide for the settlement of certain Tohono O'odham Indian water rights claims in Arizona, and for other purposes.",-0.39,-0.39,0,1314,HR,100,2102.0,1.0,0,0,0,0,1.0,5771.0,1,Morris Udall,AZ,61.0
85-HR-10072,1958,19,Government Operations,100.0,0,0,To authorize the appointment of certain persons to permanent positions in hospital management and administration in the competitive civil service,To authorize the appointment of certain persons to permanent positions in hospital management and administration in the competitive civil service,0.068,0.068,0,10072,HR,85,2004.0,1.0,0,0,0,0,0.0,10.167,1,"Teague, Olin E.",TX,49.0
94-HR-8279,1975,17,Foreign Trade,200.0,0,0,A bill to amend the Tariff Act of 1930 in regard to iron pipe fittings.,A bill to amend the Tariff Act of 1930 in regard to iron pipe fittings.,0.574,0.574,0,8279,HR,94,1807.0,1.0,0,0,0,0,0.0,1367.0,0,John Ashbrook,OH,24.0
103-S-865,1993,5,Labor and Employment,100.0,0,0,"A bill to establish a Mobility for Work Demonstration Program, and for other purposes.","A bill to establish a Mobility for Work Demonstration Program, and for other purposes.",-0.387,-0.387,1,865,S,103,502.0,1.0,0,0,0,0,0.0,0.0,0,William Bradley,NJ,12.0
111-HR-6363,2010,11,"Law, Crime, and Family Issues",100.0,0,0,To require the Attorney General to establish a competitive grant program for State and local law enforcement agencies to carry out training programs based on lessons from the Holocaust.,To require the Attorney General to establish a competitive grant program for State and local law enforcement agencies to carry out training programs based on lessons from the Holocaust.,-0.28,-0.28,0,6363,HR,111,1201.0,1.0,0,0,0,0,0.0,5097.0,0,Carolyn McCarthy,NY,13.0
94-HR-2618,1975,19,Government Operations,200.0,0,0,"A bill to amend the Postal Revenue and Federal salary Act of 1967 to abolish the Commission of Executive, Legislative, and Judicial Salaries.","A bill to amend the Postal Revenue and Federal salary Act of 1967 to abolish the Commission of Executive, Legislative, and Judicial Salaries.",0.143,0.143,0,2618,HR,94,2004.0,1.0,0,0,0,0,0.0,1367.0,0,Garner Shriver,KS,32.0
86-S-912,1959,4,Agriculture,200.0,0,0,A bill to amend title II of the Agricultural Act of 1956 so as to provide for the utilization of surplus agricultural products through the use in motor fuels of alcohol manufactured from agricultural products grown on farms -in the United States.,A bill to amend title II of the Agricultural Act of 1956 so as to provide for the utilization of surplus agricultural products through the use in motor fuels of alcohol manufactured from agricultural products grown on farms -in the United States.,0.367,0.367,1,912,S,86,402.0,1.0,0,0,0,0,0.0,10000.0,1,"Mundt, Karl E.",SD,37.0
83-S-902,1953,20,Public Lands and Water Management,100.0,0,0,"A bill to authorize the purchase of land and improvements in Gunnison County, Colo., to facilitate research into range improvement and rangeland management in the Rocky Mountain :area, and fm. other purposes","A bill to authorize the purchase of land and improvements in Gunnison County, Colo., to facilitate research into range improvement and rangeland management in the Rocky Mountain :area, and fm. other purposes",0.133,0.133,1,902,S,83,2103.0,1.0,0,0,0,0,0.0,0.0,0,"Johnson, Edwin",CO,62.0
101-S-1258,1989,6,Education,100.0,0,0,"A bill to amend the Higher Education Act of 1965, and for other purposes.","A bill to amend the Higher Education Act of 1965, and for other purposes.",-0.487,-0.487,1,1258,S,101,601.0,1.0,0,0,0,0,1.0,0.0,1,Edward Kennedy,MA,3.0
84-HR-2016,1955,7,Environment,200.0,0,0,To provide for income Tax purposes a deduction with respect to the amortization of devices for the collection of atmospheric pollutants and contaminants,To provide for income Tax purposes a deduction with respect to the amortization of devices for the collection of atmospheric pollutants and contaminants,0.397,0.397,0,2016,HR,84,705.0,1.0,0,0,0,0,0.0,1.167,1,"Lipscomb, Glenard P.",CA,71.0
107-S-2041,2002,17,Foreign Trade,100.0,0,0,A bill to amend the Harmonized Tariff Schedule of the United States relating to certain footwear.,A bill to amend the Harmonized Tariff Schedule of the United States relating to certain footwear.,-0.223,-0.223,1,2041,S,107,1807.0,1.0,0,0,0,0,1.0,1370.0,1,Max Baucus,MT,64.0
106-S-1621,1999,7,Environment,100.0,0,0,"A bill to amend the Federal Water Pollution Control Act to authorize funding to carry out certain water quality restoration projects for Lake Ponchartrain Basin, Louisiana, and for other purposes.","A bill to amend the Federal Water Pollution Control Act to authorize funding to carry out certain water quality restoration projects for Lake Ponchartrain Basin, Louisiana, and for other purposes.",-0.242,-0.242,1,1621,S,106,701.0,1.0,0,0,0,0,0.0,0.0,0,Mary Landrieu,LA,45.0
101-S-2866,1990,12,Social Welfare,200.0,0,0,"A bill to amend part F of title IV of the Social Security Act to allow States to assign participants in work supplementation programs, to existing unfilled jobs, and to amend such part and the Food Stamp Act of 1977 to allow States to use the sums that would otherwise be expended on food stamp benefits to subsidize jobs for participants in work supplementation programs, and to provide for States and localities to use such programs.","A bill to amend part F of title IV of the Social Security Act to allow States to assign participants in work supplementation programs, to existing unfilled jobs, and to amend such part and the Food Stamp Act of 1977 to allow States to use the sums that would otherwise be expended on food stamp benefits to subsidize jobs for participants in work supplementation programs, and to provide for States and localities to use such programs.",0.574,0.574,1,2866,S,101,1300.0,1.0,0,0,0,0,0.0,2111.0,1,William Armstrong,CO,62.0
