headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60
Kirby Corporation Sees Q4 EPS $0.55-$0.75 vs $0.73 Est.,2018-10-25,KEX,2018-10-25 21:31:00+00:00,KIRBY CORP,59045.0,49726610,0.02575044147670269,0.051499124616384506,-0.021661195585434334,0.0394491496666427,0.05307710224449114,0.10256780616734962,0.022091533476399583,-0.03313725022553393,-0.05728946253657341,-0.0938666781233164,-0.09939040595823434,-0.1492238180298865,-0.1350388265245288,-0.11163399671586416,-0.18562011177209936
Provident Financial Hldgs Q3 EPS $0.150 Misses $0.280 Estimate,2020-04-28,PROV,2020-04-28 10:11:00+00:00,PROVIDENT FINANCIAL HOLDINGS INC,83683.0,74386810,0.01549185253679752,0.055682722479104996,-0.004576619377520408,-0.0007627221834067832,-0.01601831089179051,-0.05797096333590124,0.1052814549418335,-0.05900673399508294,0.010963146574795246,0.032799986885483357,0.04112905149313928,-0.014503859046715029,-0.010727997460415195,-0.11816943319469009,-0.4155776417488569
"Cerus Says Platelet Additive Solution Shortage Is Expected To Impact Some U.S. Blood Centers Producing INTERCEPT Platelets, Company Is Lowering FY17 Product Revenue From $43-$48M To $38-$46M",2017-05-23,CERS,2017-05-23 12:32:00+00:00,CERUS CORP,84413.0,15708510,-0.25,0.004444440361112356,-0.10222223295825605,0.04444440162236307,0.01777776023857669,0.16444439747802608,-0.017777753234432647,0.12000000364822716,0.0,-0.032258033752441406,-0.02120719526524084,-0.05660379387059289,-0.03536974521133074,-0.30232562248593553,-0.29742389305296546
UPDATE: Goldman Sachs Upgrades Automatic Data Processing to Buy on Cyclical Positioning  ,2012-10-05,ADP,2012-10-05 11:16:00+00:00,AUTOMATIC DATA PROCESSING INC,44644.0,05301510,0.0106960479170084,-0.005207417532801628,-0.017638153091966813,-0.022341643653285614,-0.020320808797608114,-0.018646071530278308,-0.07508814768239414,0.0009368288266875524,0.0005096414824947715,0.006923713271615339,0.0066655823387860025,0.008043834052400056,0.004433869678695634,0.021098358190643207,0.06952919096645305
"Ashland Announces Price Increase for Epoxy Vinyl Ester Resins, Unsaturated Polyester Resins, Gelcoats in North America ",2014-02-11,ASH,2014-02-11 10:39:00+00:00,ASHLAND INC 2022,24272.0,04418610,0.008729902096092701,0.014775699935853481,0.016999914300832586,0.01869459998037981,0.004290094978203207,0.006196576168784107,0.03331090118734181,0.10183819728674037,-0.0061369361355900764,0.006105395232722133,0.04193010381951967,0.05432713371428033,-0.014272226881574479,-0.027438408363966715,0.05364865844602007
Rite Aid Reports 1.7 Percent Same Store Sales Decrease ,2010-10-28,RAD,2010-10-28 12:32:00+00:00,RITE AID CORP,46922.0,76775487,-0.01233640965074301,-0.006516826339066029,-0.0026067567520620116,0.02096229274588368,0.04138156110217661,0.042684875603170136,-0.010426895051531049,0.1512978474145783,0.014694715850055218,-0.03006967879476885,-0.025608876340002862,0.024395589839225185,0.04741576299261174,-0.08607840573504999,-0.03598758822362669
"Wunderlich Upgrades Arctic Cat To Hold, Expects To Benefit From Competitor Shipment Delays",2016-09-14,PII,2016-09-14 12:32:00+00:00,POLARIS INC,75182.0,73106810,-0.01923840865492821,-0.022067874670028687,-0.03964042370311993,-0.019343491887743536,0.007219706860814856,0.021931518901683766,0.043454492416749035,0.2027887064552869,-0.02526373788714409,-0.07409695942963046,-0.095905332201353,-0.103807454540772,-0.16448600280408732,-0.20446569525992553,-0.09283022589365997
Chicago Rivet & Machine Declares $0.30/Share Extra Dividend,2012-11-19,CVR,2012-11-19 16:32:00+00:00,CHICAGO RIVET & MACH CO,30509.0,16808810,0.01145243272185326,-0.006340682506561279,0.003859951451093302,0.02882138308956983,0.029336062788700046,0.04325547953269493,0.010094525514442676,0.11334625694445766,-0.008516176603734382,-0.002077969964300208,-0.002077969964300208,0.004796430202164137,0.027272636486075363,0.029364397590243785,0.04666766976488068
"UPDATE: Caterpillar Production Of Track Drills To Be Discontinued, No New Orders Taken",2016-08-18,CAT,2016-08-18 21:16:00+00:00,CATERPILLAR INC,18542.0,14912310,-0.01220242120325565,0.00551689974963665,0.0025185786342010186,0.007555827724728514,-0.006476384357370857,-0.02314704191537209,0.06464379352633198,0.12541032360618543,0.0014236889546737075,0.0030897459833951757,0.01698799538305984,0.0212946408778234,0.029013834480834166,0.13890525178844904,0.21057216189048988
Chemed Sees FY16 Adj. EPS $7.15-$7.30 vs $7.18 Est.,2016-07-25,CHE,2016-07-25 20:16:00+00:00,CHEMED CORP NEW,64194.0,16359R10,0.003360138041898608,0.046605683863162994,0.03941947905101362,0.03167510896904058,0.026093668815852844,0.0038373202850015,-0.03903956192791225,-0.011849166489454777,0.010469060391187668,0.0030192949912950517,0.01061195618674593,0.016870803609312812,0.03906030418219286,0.06708008747885685,0.029337645531966494
Matador Resources Reports Formation of JV for Delaware Basin Midstream Assets,2017-02-17,MTDR,2017-02-17 14:14:00+00:00,MATADOR RESOURCES CO,13244.0,57648520,-0.00223385589197278,-0.002238786080852151,-0.04626864784649454,-0.05597014897826036,-0.08358208242262388,-0.10373130008565201,-0.11641787235186629,-0.11902980552196096,-0.014673500321805477,-0.0040785577796804695,-0.0007439935492374872,-0.0033395238037589037,0.020516754392004177,-0.004447700432585022,0.09587924739820197
"O'Reilly Automotive Q1 EPS $3.61 Beats $3.58 Est., Sales $2.28B, Inline, Comps Up 3.4%",2018-04-25,ORLY,2018-04-25 20:30:00+00:00,O REILLY AUTOMOTIVE INC NEW,79103.0,67103H10,0.01353333611041307,0.130583718419075,0.1564545601286107,0.12474198778117374,0.13980762039296413,0.1657662603672696,0.24197307435328508,0.3059691068612871,0.009210185147821903,0.014222544767151568,0.007535357412195021,0.002767780796796515,-0.050952710848993,-0.09830600013398527,-0.18455728804189708
ValueVision Secures $40M Credit Facility; Sees Q4 Sales of $148M vs $169.56M ,2012-02-10,PNC,2012-02-10 11:40:00+00:00,P N C FINANCIAL SERVICES GRP INC,60442.0,69347510,-0.01192252431064844,0.007038746494799852,-0.0018434188257614448,-0.0026814119935532066,0.024635515794562357,-0.004189710923477641,0.0723982495181188,0.11144783955803805,-0.0006619380437768996,-0.005107106700223518,-0.011134768754011093,0.00969734175147785,0.02529707732137365,0.040438883420530924,0.12735135479237325
Fergus Kee puts Fitbug Holdings though its paces,2011-05-05,ACN,2011-05-05 15:05:00+00:00,ACCENTURE PLC IRELAND,89071.0,G1151C10,-0.01752816140651703,0.0040051196701824665,0.014746065524994467,0.03695610439811747,0.030402297433376635,0.03659199594018325,-0.017840879895609563,0.07336608047903148,-0.0007149403681978583,-0.03703068498061057,-0.0213548278086495,-0.016880591250603483,0.00920574303604016,0.11926332592243227,0.06996219271341908
"UPDATE: Josh Brown Sees Positives Related to Obama's Push for More Security, But Hints That TASER Shares Have Seen A Lot of Upside Recently",2014-12-02,DGLY,2014-12-02 18:02:00+00:00,DIGITAL ALLY INC NEW,92521.0,25382T20,0.4522145092487335,-0.041198525577783474,0.12359547783853486,0.06099515288164681,-0.04708405849846842,-0.23060461335072868,-0.2915998176630754,-0.27822368938756126,-0.03667663037776947,-0.08202571645678824,-0.05018452610082813,0.02795522089173752,0.11913041817684578,0.0295999914405638,-0.4907004498808528
"UPDATE: Napodano Still Sees a 'Big Market Opportunity' for bluebird bio, 'and with the stock down 60% off the highs, I think priced in.'",2015-11-05,BLUE,2015-11-05 14:15:00+00:00,BLUEBIRD BIO INC,13947.0,09609G10,-0.2195230275392532,0.046617377549409866,0.08143825340073585,0.06921549894076029,0.027430359461050546,0.1331722902571839,-0.126634431701248,-0.35616829073737644,-0.03727037459611893,0.068381185020578,0.16880597223079796,0.05167988796316347,0.11599409420359219,-0.2048160906076687,-0.336595754063
"Apollo Global Management, LLC Reports Q3 EPS of $1.13 vs $0.94 Est; Revenue of $1.13B vs $688.79M Est",2013-11-07,APO,2013-11-07 12:13:00+00:00,APOLLO GLOBAL MANAGEMENT INC NEW,12591.0,03769M10,-0.04534607380628586,-0.014999985694885254,-0.05906248210659859,-0.08281248849193112,-0.058125019408442835,-0.049650068784753976,0.006005401818774958,0.022831489764506774,-0.018160484731197468,0.007817261831756905,0.019464700481639508,0.04488773436604965,-0.01382763436294343,0.20662345590075515,0.20710924195738323
UPDATE: Macquarie's DeGasperi on Echostar: 'Now is a good opportunity to own an underfollowed and underappreciated satellite asset.',2015-12-04,SATS,2015-12-04 16:07:00+00:00,ECHOSTAR CORP,92469.0,27876810,0.006282666698098183,-0.02168791872658371,-0.023135872974164973,-0.013483028162381228,-0.008174046663593115,0.016923275655291725,-0.028927503302856206,-0.050887636585068785,0.0016259434871068734,0.003612754452914757,-0.00428775652423008,-0.03629275670694854,-0.08900058632190222,-0.0957170301604402,0.17696147046920174
"Stifel Nicolaus Upgrades Omega Healthcare to Buy, Raises Price Target to $39",2018-11-29,OHI,2018-11-29 11:04:00+00:00,OMEGA HEALTHCARE INVESTORS INC,77857.0,68193610,0.008108087815344334,0.017158161848783493,0.024396780042053923,0.0144772369887336,7.849791927583283e-10,-0.016085749992261866,0.0034852793701731777,-0.021516612806146473,0.012588918209075928,0.025783208353486575,0.018442007745795852,0.014254398812730606,0.07652025580280819,0.13720474031826657,0.15178435840660875
"SFL to Acquire Three 9,000 TEU Containerships",2015-06-15,SFL,2015-06-15 10:34:00+00:00,S F L CORP LTD,90219.0,G7738W10,0.007233208511024714,0.014961102046072483,0.013165842902307157,0.017354933175671272,0.016158017251898693,-0.020346993397924562,-0.0035906315475258133,-0.019150193048842024,-0.007775069680064917,-0.02090577123226478,-0.01864724762842096,-0.0192128817270959,0.04077409665166232,0.07973709571948873,0.16712324614617535
Canadian Solar Completed Sale of 80.6 MWp Solar Energy Project in Brazil to Global Power Generation,2018-04-16,CSIQ,2018-04-16 11:01:00+00:00,CANADIAN SOLAR INC,91607.0,13663510,-0.009259353391826153,0.08922626460159666,0.13316050983277194,0.1759535777675929,0.21018794637366467,0.24042842208481097,0.18736500270394152,0.2974858535888969,0.10249876617722564,0.111884372932612,0.12723846516703086,0.09205144872115034,0.09571613423817271,0.0404356679501503,-0.19805963293644657
"UPDATE: Gevo Says Terms Contemplate Lufthansa Buying Up to 8M Gallons/Year of ATJ from Co., or Up to 40M Gallons Over Five-Year Life of Deal",2016-09-07,GEVO,2016-09-07 13:03:00+00:00,GEVO INC,12579.0,37439640,0.1904761642217636,-0.28857141733169556,-0.29685714442600963,-0.32999996832919054,-0.3214285653554577,-0.29442855434005044,-0.3714285605206704,-0.5514285443626872,0.037037089467048645,0.04033975685500879,-0.0033897838845731165,0.0017035584308802143,0.11511473672285844,0.0710382081253409,0.35172414954746367
"Hearing Wolfe Research Upgraded Target, Anadaro; Downgraded Gulfport Energy",2018-05-16,TGT,2018-05-16 13:34:00+00:00,TARGET CORP,49154.0,87612E10,0.02941983379423618,0.007975521497428417,0.009437712131501241,0.021799804942014944,-0.0539678997687163,-0.03110466532885503,0.004918184734171938,0.09942835879128142,0.01097394060343504,0.049110346743769684,0.04925973946957862,0.06165375721943778,0.03700579975760454,0.05997415709862808,-0.01813536740187338
"Jefferies Says Kroger Shares Could Peak This Quarter, Sees 'Subpar' 2015 Growth",2015-02-25,KR,2015-02-25 15:18:00+00:00,KROGER CO,16678.0,50104410,-0.007816781289875507,-0.003593671601265669,-0.01658599778760783,-0.019488542160337685,-0.03731854828513981,0.03261922301446707,0.061644773215935755,0.026155202362174945,-0.0030079467687755823,0.0017859218647442443,0.006626114341327538,-0.004505144462390698,0.03187186130136466,0.11039070241370874,0.24291261682561704
"Raymond James On First Solar: Focus Is On Guidance, Not So Much Earnings",2015-02-24,FSLR,2015-02-24 16:50:00+00:00,FIRST SOLAR INC,91611.0,33643310,0.1019339561462402,-0.12330387582822544,-0.13299195329470603,-0.12749722383664053,-0.1263404707024497,-0.10436160737987676,-0.31908923515650256,-0.2988455269949639,-0.10936929633092962,-0.1732128389329185,-0.17615346509365615,-0.19395148665892914,-0.22018282861085348,-0.10028862250797765,-0.1528015136792611
Weyco Group Reports Q1 EPS of $0.30 vs. $0.34 Last Year (WEYS),2011-04-29,WEYS,2011-04-29 20:13:00+00:00,WEYCO GROUP INC,38033.0,96214910,-0.00939540658146143,-0.015257766470313072,-0.03628862559136459,-0.05195877353283651,-0.04742266586366206,-0.05237115392367864,-0.07241772821434467,0.006057200849114208,0.017879430204629898,0.019999979993373884,0.03030300058523161,0.020850708449942967,0.04436855683360563,0.06899563006024256,0.040504747174572975
Bank of America Upgrades Kirby Corporation Common Stock to Buy,2019-05-03,KEX,2019-05-03 12:16:00+00:00,KIRBY CORP,59045.0,49726610,0.0373900942504406,0.0030624514911323786,-0.04310958169859469,-0.019316835150853473,-0.02120144843022398,-0.007302740274074515,-0.06690224064158956,-0.07455832777496685,0.0470828115940094,0.001468367708326257,0.00367911838561108,0.01689851906109796,0.03477051547161447,0.07684205817504153,0.08858733843843969
"Ceragon Networks Q2 EPS $0.07 vs $0.06 Est., Sales $93.3M vs $87.8M Est.",2017-08-07,CRNT,2017-08-07 11:27:00+00:00,CERAGON NETWORKS LTD,88526.0,M2201310,0.02242150343954563,-0.0570174902677536,-0.07017547703834603,-0.048245568192086474,-0.03508768673865892,-0.1271929678307614,-0.0964912402839827,-0.05701749016880886,-0.008888880722224712,0.009049764386110715,-0.05508469592176857,-0.08606558917228735,-0.13565888309143959,-0.12204722410886892,-0.36827194876774016
"Wedbush Previews Tesla's Cybertruck Event Thurs.: Sees Base Version Of Pickup Costing ~$50K, Sees Possibility For Different Versions Offering More Or Less Seats, Interior Design, Towing Capacity, Longer Battery Range",2019-11-20,TSLA,2019-11-20 13:16:00+00:00,TESLA INC,93436.0,88160R10,-0.02030481770634651,0.007410099729895592,-0.05445458163328332,-0.045085472135717564,-0.05942306690638821,-0.06203510894466313,0.28198287241882003,1.6046788337720428,0.027229346334934235,0.020870531575541085,0.029111156329376886,0.02740547005559657,0.1333459047841583,0.4976879124669664,0.6721859880081342
Dougherty & Company Downgrades Stratasys to Neutral,2015-04-29,SSYS,2015-04-29 10:58:00+00:00,STRATASYS LTD,81010.0,M8554810,-0.2216374129056931,-0.06210867688059818,-0.0806411504892589,-0.05559732334696055,-0.0911595112614001,-0.12171301205606955,-0.09291257627038685,-0.13673927243399808,0.04204752668738365,0.00048752302109056345,-0.05992304355356459,-0.039865265014038864,-0.11643131128214956,-0.11475412615705882,-0.35463579549818336
"Barclays Maintains Equal-Weight on Roper Technologies, Raises Price Target to $290.00",2018-04-23,ROP,2018-04-23 16:33:00+00:00,ROPER TECHNOLOGIES INC,77338.0,77669610,-0.01789897866547108,-0.0405644029378891,-0.03345479521035166,-0.03926523889197131,-0.04655524902668606,-0.02334981763952859,0.018080806139388228,0.025745692666690134,0.007714849431067705,0.008867950063902397,0.019476114552752666,0.03306370974444617,0.05339015326348462,0.010313331483958299,0.02193239858369811
"UPDATE: Guindos Says Won't Increase Tax Before 2013, IMF and EU Support More Tax on Consumption, Less on Work",2012-04-27,EWP,2012-04-27 13:23:00+00:00,ISHARES INC,83220.0,46428676,0.01147670857608318,-0.015128578059375286,-0.010590040440560444,-0.04765507657187962,-0.05068079237562151,-0.05786689420589841,-0.1338880784066575,-0.22289310934504925,-0.004569719545543083,0.017516498528421742,0.036478988463651385,0.036890135630203824,-0.037555245749374855,-0.13615336801893452,-0.1551390195217348
The Inverse Trade Works Again,2012-02-07,COP,2012-02-07 20:59:00+00:00,CONOCOPHILLIPS,13928.0,20825C10,0.008412766270339489,-0.013890175904468949,-0.02133194215573908,-0.027420772638141022,-0.023226216495822127,-0.05302317108087329,-0.09508387659547035,-0.019600528510734905,-0.02663740245145385,-0.020968349115704,-0.018308960004535413,-0.017241257017233114,-0.05278586163548682,-0.05452045118324511,0.03369322733788005
"JavaScript and PHP Use Growing in Open Source, Says Black Duck Software",2009-08-12,MA,2009-08-12 13:59:00+00:00,MASTERCARD INC,91233.0,57636Q10,0.008041861467063427,-0.0017130289925263442,-0.008369257418976983,-0.041014117482828905,-0.034357889147941245,0.011599429144749873,0.05197726359569521,0.12771022534343546,0.001729791983962059,-0.00807474741277614,0.0060055925709250335,-0.0020187279006713688,0.08425162870151692,0.20653704336263035,0.1718315179934995
"Globus Medical Shares Spike Sharply Higher, Up 9% For Session; Not Seeing News To Justify Price Action",2020-05-21,GMED,2020-05-21 17:06:00+00:00,GLOBUS MEDICAL INC,13543.0,37957720,0.08658435940742493,0.009525562636554241,0.00036637561093444404,0.015936965058963137,0.0010991274443274968,0.018684750927658644,-0.16468220730166827,-0.008976034141439326,0.020515989512205124,0.00903797463523004,0.09646446831084199,0.11644447919095202,0.09646446998642677,0.17878936997958417,-0.016444799009228794
"MKS Instruments Q4 EPS $1.2 Beats $1.07 Estimate, Sales $500M Beat $474.18M Estimate",2020-01-28,MKSI,2020-01-28 21:31:00+00:00,M K S INSTRUMENTS INC,86778.0,55306N10,0.04418671876192093,-0.028387563303113095,-0.03720357340842717,-0.07590585089856694,0.0029974091015780857,0.02618355798558003,-0.20788020536055207,-0.19383775898360656,-0.037906352430582047,-0.07002825485149777,-0.07635407952476536,-0.053580776635758665,0.009009785713141039,-0.0023877528565448003,-0.02663393827469296
Citi Maintains Buy on Steel Dynamics,2011-06-17,STLD,2011-06-17 13:20:00+00:00,STEEL DYNAMICS INC,84262.0,85811910,-0.01824108697474003,0.011944280937314034,0.04379561178245295,0.04844064504157353,0.039150642243760636,0.09576263232955395,0.043011110505269956,-0.229427127216689,-0.0376175194978714,-0.04835702522725349,-0.026632850586319146,-0.05654579265792903,-0.07973620503288614,-0.1157834192814563,-0.14797589772389064
"Tyler Tech Reports Q4 Adj. EPS $0.54, Inline, Sales $127.4M vs $127.2M Est.; Sees Fy15 EPS $1.91-$1.99 vs $2.47 Est., Sales $567M-$575M vs $566M Est.",2015-02-04,TYL,2015-02-04 21:14:00+00:00,TYLER TECHNOLOGIES INC,76185.0,90225210,0.001000733347609639,0.03635372221469879,0.044260681631611565,0.03871673361467631,0.0234481683577219,0.05816596983881661,0.12214852752549366,0.11596839379593815,0.013461175374686718,0.036199060465031074,-0.005248885586566776,-0.0016348799815232296,0.012714182147823161,-0.01725525645174586,0.00992284220112638
J.P. Morgan Upgrades Agilent Tech To OW; PT Goes From $40 To $46,2010-12-15,A,2010-12-15 15:27:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,-0.01079696603119373,0.03274433687329292,0.0535343374342081,0.05587321864309658,0.0670478626386366,0.08082121964989142,0.06496881147404365,0.1652806741077728,0.005167978350073099,0.009340960189435421,0.0223390883739929,0.03512505720264136,0.11079386150017978,0.11942450552328898,0.2536255468325699
Capital One Financial Q4 Earnings Preview,2019-01-22,COF,2019-01-22 13:27:00+00:00,CAPITAL ONE FINANCIAL CORP,81055.0,14040H10,-0.01847710646688938,-0.06235017254948616,-0.038609126035197394,-0.045323724871898285,-0.046043211598070344,-0.030455644616265043,-0.0055868915812685715,0.0596145488189026,0.01578003168106079,0.01614444403451465,0.04232096144643105,0.04978995205824255,0.06826754229051324,0.0009424164845754923,-0.0360958863197699
"BMO Maintains Outperform On Johnson & Johnson, Maintains $157 Target As Firm Notes 'We remind investors that litigation is long, lengthy, and difficult to read, and while the amount is less than it could have been, we would expect an extended resolution'",2019-08-27,JNJ,2019-08-27 17:15:00+00:00,JOHNSON & JOHNSON,22111.0,47816010,0.01439746748656034,-0.007405173499137052,-0.010799088816846991,-0.009873486245997376,-0.0060166518464641605,0.011801903757979515,-0.0032397263183709946,0.04859613446293709,0.007985591888427734,-0.01919708435190781,-0.021135831114502013,-0.026465005954169896,-0.024103614141889662,-0.04424321332601178,-0.018299589127704685
"Weatherford Int'l Shares Soar 14% After-Hours as Co Announced Hallibuton CFO to be Joining WFT as President, CEO & Director",2017-03-06,HAL,2017-03-06 23:12:00+00:00,HALLIBURTON CO,23819.0,40621610,-0.001299418858252466,-0.01542747300118208,-0.046654245240298375,-0.05408921787921206,-0.05427506029219886,-0.0587360593165136,-0.09795540106102096,-0.1600371900916887,0.0,-0.015173708088696003,0.007669283080561584,0.02236177373195458,-0.004745635995893727,-0.02326949928136013,0.002824946607939083
"B. Riley FBR Maintains Buy on Silicon Motion Technology, Raises Price Target to $65",2020-01-07,SIMO,2020-01-07 18:25:00+00:00,SILICON MOTION TECHNOLOGY CORP,90744.0,82706C10,0.0219693798571825,-0.0213051214814185,-0.02034544323262244,-0.011516285727401598,-0.0038387128674459703,-0.03915541653649157,-0.08576657097631157,-0.26230948470667503,0.013518893159925938,0.006118045864378585,0.00532440272105994,0.008705948101538352,0.06053671496858093,0.17709531000166323,0.3653529961119244
RBC Capital Downgrades Southwestern Energy To Sector Perform,2014-09-18,SWN,2014-09-18 11:36:00+00:00,SOUTHWESTERN ENERGY CO,63765.0,84546710,-0.0079978471621871,-0.018005862832069397,-0.01881216743854497,-0.026336993745414428,-0.054017692818706387,-0.06476753324377182,-0.15399084762024218,-0.2284332157163187,-0.007934489287436008,-0.004511729806702669,0.0005333861448575394,-0.035236695015605335,-0.07336959507058716,-0.06528788037556765,-0.19816162265426773
LO/MO Downgraded To Hold,2010-09-23,MO,2010-09-23 14:52:00+00:00,ALTRIA GROUP INC,13901.0,02209S10,-0.01131128799170256,0.016949135810136795,0.01737287430524126,0.025423744707584017,0.017796613141103146,0.04110166555486239,0.1080508135518834,0.05889827803487613,0.0004191210609860718,0.006748281808182988,0.01574471671401101,0.008023670745128886,0.0343913187333178,0.07187265067273962,0.1925504894944592
Digital Realty CEO Bill Stein 'Talks SMACC' At Citi Conference,2015-03-05,DLR,2015-03-05 20:48:00+00:00,DIGITAL REALTY TRUST INC,90373.0,25386810,0.004115918651223183,-1.9038507363511314e-05,0.021804278183734205,-0.008843239458854124,-0.007325061792333054,-0.03313348169503405,-0.034177209030052724,-0.07570955687449843,-0.00871797142472952,0.02615079799536213,-0.0014402107098447914,-0.011151502409855296,-0.04661857557303806,0.03252889675925896,0.200140383539543
Zumiez September Sales Expected Today After Market Close,2017-10-04,ZUMZ,2017-10-04 13:11:00+00:00,ZUMIEZ INC,90715.0,98981710,-0.01562505960464478,-0.005291025619953871,-0.029100488668078905,-0.05026449052494941,-0.03439151631865467,-0.07936507965857276,-0.05291005073149546,0.10185191253471104,0.035040516406297684,0.06077350167776818,0.09090911144315328,0.14970059418556625,0.14626870485303467,0.676855989037197,0.573770571091675
