"headline","headline.type","magnitude","confidence","custom_id","company_name","prompt_type","explanation","input_tokens","output_tokens","headline.type.num","date","permno","ret","ret_fd1","ret_fd5","ret_fd10","ret_ld1","ret_ld2","ret_ld3"
"Anticipation Of Powell Speech, G20 Summit Has Market In Wait-And-See Mode","uncertain",0.25,0.7,10561,"LENNAR CORP",4,NA,136,34,1,"2019-06-25",52708,-6.20501600205898,-1.38946902006865,0.684359297048687,0.497712551156626,0.116847862955183,-2.50331824871464,-1.30543352404402
"Argus Research Maintains Buy on Lennar, Raises Price Target to $65","increase",0.7,0.85,9683,"LENNAR CORP",4,NA,134,33,2,"2019-12-23",52708,-1.76553670316935,2.06686109304428,0.269592909486294,3.50467420193419,2.53439117223024,0.711233405390566,-0.996328874897112
"Atlantic Equities Initiates Coverage On Constellation Brands with Overweight Rating","increase",0.65,0.825,38369,"CONSTELLATION BRANDS INC",4,NA,135,29,2,"2019-01-22",69796,0.353336497209966,0.522066792473197,2.07612346252382,6.06447263801466,2.36342810094357,2.67074613934002,2.2550272342847
"BMO Capital Downgrades Molson Coors Brewing to Market Perform, Lowers Price Target to $55","decrease",0.7,0.85,40449,"MOLSON COORS BEVERAGE CO",4,NA,146,30,0,"2019-11-26",59248,-2.59442366659641,-0.646302057430148,1.26780104178423,1.3470189993859,0.267787673510611,-0.247385465571037,0.0572605260392267
"BMO Capital Maintains Outperform on Constellation Brands, Raises Price Target to $230","increase",0.7,0.85,29333,"CONSTELLATION BRANDS INC",4,NA,139,33,2,"2019-09-17",69796,0.937011186033487,0.767923146486282,-0.3450821940019,1.7788596357039,-0.112711801193654,-0.0637372548498937,-1.41703719542385
"BMO Capital Maintains Underperform on Greif, Raises Price Target to $36","decrease",0.6,0.75,22227,"GREIF INC",4,NA,131,30,0,"2019-12-12",83233,1.89274474978447,-3.09597849845886,0.518223747775193,-0.821718060899712,0.77202576212585,-0.314464025274774,-0.671439649752248
"BTIG Maintains Buy on Lennar, Raises Price Target to $75","increase",0.7,0.85,9450,"LENNAR CORP",4,NA,133,29,2,"2019-10-03",52708,1.19335632771254,1.67493317276239,0.581097550531995,4.40950444615211,3.76884154975414,3.52730771742491,5.66520190115534
"Baird Maintains Neutral on Greif, Raises Price Target to $45","uncertain",0.3,0.6,16515,"GREIF INC",4,NA,129,30,1,"2019-12-06",83233,3.59378419816494,-0.358101725578308,-1.9247999237207,1.19063235312564,-0.0926502281799912,0.442483571567642,0.0463940054534983
"Baird Maintains Neutral on Watsco, Raises Price Target to $175","increase",0.35,0.65,5218,"WATSCO INC",4,NA,132,30,1,"2019-10-18",66376,-0.875135138630867,0.709749385714531,1.50028322344016,3.16214404559014,5.63108436763287,4.8518628877968,3.5906840433491
"Baird Maintains Outperform on Heico, Raises Price Target to $170","increase",0.7,0.85,13341,"HEICO CORP NEW",4,NA,134,29,2,"2019-08-13",32678,0.538049219176173,-2.41531785577536,1.62665515736133,2.17591151947489,-0.821512565016747,-1.09929090129793,1.26900226854012
"Baird Upgrades Heico Corporation Common Stock to Outperform","increase",0.7,0.85,39613,"HEICO CORP NEW",4,NA,130,29,2,"2019-05-23",32678,-0.0867675349581986,0.453494023531675,17.3195652925713,23.456192533227,-0.0963098078500479,1.00292739799641,0.572041866142903
"Bank Of America Initiates Coverage On Cannabis Stocks, Names Surprising Top Pick","increase",0.6,0.75,35261,"CONSTELLATION BRANDS INC",4,NA,135,33,2,"2019-04-17",69796,0.826276186853647,3.7686612457037,10.7422497817196,9.15544090516027,-0.476641347631812,-0.272925143973524,-0.606791688666886
"Bank Of America Taps Out Of Molson Coors, Downgrades Stock","decrease",0.6,0.8,11787,"MOLSON COORS BEVERAGE CO",4,NA,140,30,0,"2019-07-15",59248,-1.25046027824283,1.47113762795925,0.986962326859353,5.23276989580559,-0.712067540735006,-2.66690152186302,-2.0885844573721
"Bank of America Downgrades Molson Coors Brewing to Underperform","decrease",0.7,0.85,11851,"MOLSON COORS BEVERAGE CO",4,NA,138,34,0,"2019-07-15",59248,-1.25046027824283,1.47113762795925,0.986962326859353,5.23276989580559,-0.712067540735006,-2.66690152186302,-2.0885844573721
"Bank of America Maintains Buy on Lennar, Lowers Price Target to $55","uncertain",0.3,0.7,9233,"LENNAR CORP",4,NA,135,30,1,"2019-06-26",52708,-1.38946902006865,1.8506858497858,3.51209680537723,0.272041706273307,-6.20501600205898,-6.09541856769823,-8.55300295285841
"Bank of America Reiterates Buy on Lennar, Lowers Price Target to $58","uncertain",0.3,0.7,25065,"LENNAR CORP",4,NA,136,30,1,"2019-01-10",52708,-2.41953488439321,2.74518877267838,-0.86340348774987,-1.26250412583265,7.9272598028183,9.22604980223098,12.327110169559
"Barclays Downgrades Molson Coors Brewing to Equal-Weight, Lowers Price Target to $54","decrease",0.65,0.825,6937,"MOLSON COORS BEVERAGE CO",4,NA,147,30,0,"2019-11-25",59248,0.267787673510611,-2.59442366659641,-3.34660557560466,-1.20518190105797,-0.513797253370285,-0.209964887384262,-0.24804629196219
"Barclays Maintains Overweight on Bio-Rad Laboratories, Inc. Class A Common Stock, Raises Price Target to $350","increase",0.7,0.85,12573,"BIO RAD LABORATORIES INC",4,NA,148,33,2,"2019-05-09",61516,4.30676490068436,0.588465901091695,-3.23977896676865,-4.95344241543361,-0.396383041515946,-3.1962057728983,-3.84290309152185
"Barclays Maintains Overweight on Bio-Rad Laboratories, Raises Price Target to $340","increase",0.7,0.85,7494,"BIO RAD LABORATORIES INC",4,NA,141,33,2,"2019-03-01",61516,17.1687006950378,-1.45552912726998,-4.26893221522118,-2.23055874229512,-1.12777706235647,-0.72195596038086,-1.56965600344678
"Beverage Experts Share Insights On Emerging Cannabis-Infused Market: Canada A 'Laboratory Of Sorts'","increase",0.6,0.75,21418,"CONSTELLATION BRANDS INC",4,NA,142,33,2,"2019-10-21",69796,-1.23845413327217,1.14605594426394,-0.853121431005588,-0.339193988378783,-0.136848818510771,-0.735586190486426,0.13214568668134
"Biglari Holdings Q3 Net Loss $17K vs Loss Of $13.7M In Same Qtr. Last Year","increase",0.55,0.725,35401,"BIGLARI HOLDINGS INC",4,NA,145,33,2,"2019-11-01",26607,3.82126830518246,7.30356723070145,23.5721705926476,25.57978327538,-1.18371210992336,0.469379038491868,-0.843329477066301
"Bio-Rad Labs Reports FDA Clearance For BioPlex 2200 Lyme Total Assay","increase",0.65,0.8,17949,"BIO RAD LABORATORIES INC",4,NA,140,33,2,"2019-04-02",61516,0.566044496372342,-1.05454148724675,-1.04159960960287,-2.49078478046517,0.562680326402187,1.2016440728176,1.64670995496929
"Bio-Rad Labs Reports Received Expected NYSE Notice Regarding Late Form 10-K Filing","decrease",0.6,0.75,29270,"BIO RAD LABORATORIES INC",4,NA,139,34,0,"2019-03-25",61516,0.52357935346663,0.162765709683299,0.0683588642807819,0.862656360344105,-3.16253453493118,-1.65100549267747,-2.71552223150003
"Bio-Rad Releases First FDA-Cleared Digital PCR System and Test for Monitoring Chronic Myeloid Leukemia Treatment Response","increase",0.7,0.85,29857,"BIO RAD LABORATORIES INC",4,NA,146,29,2,"2019-02-15",61516,3.41212712228298,-0.10357282590121,1.80513611070301,15.7024533167766,-0.141332787461579,1.28632594476739,3.35666817019402
"Bio-Rad Reports Received FDA Clearance For IH-500","increase",0.7,0.85,28149,"BIO RAD LABORATORIES INC",4,NA,133,29,2,"2019-04-08",61516,0.398564850911498,-1.26516362652183,-1.00051839129418,-4.74437843795315,0.918900500983,0.892500485388936,-0.171452789750115
"Biome Sees Revenue Quadruple, Gross Profits Triple In Q2","increase",0.7,0.85,15701,"BIO RAD LABORATORIES INC",4,NA,137,33,2,"2019-08-29",61516,0.656504509970546,0.118583464063704,-0.509917133835769,-0.836028278260825,0.122489733621478,-0.0417642448104049,0.733451126741258
"Bruce Linton Tells CNBC He Was 'Terminated' From Canopy Growth","uncertain",0.3,0.6,46787,"CONSTELLATION BRANDS INC",4,NA,136,34,1,"2019-07-03",69796,0.624177092686296,-1.20559707283974,-1.11555564620098,1.35068142697767,1.31062641739845,0.873363027589558,5.55230684687817
"Bryan Garnier Downgrades Molson Coors Brewing to Sell, Announces $51 Price Target","decrease",0.7,0.85,9285,"MOLSON COORS BEVERAGE CO",4,NA,144,34,0,"2019-08-01",59248,-2.77829226106405,-0.47628115862608,0.438178006530476,-3.10535508903392,-5.14756962656975,-4.45938197896651,-4.59444867901875
"Buckingham Initiates Coverage On Lennar with Buy Rating","increase",0.7,0.85,23769,"LENNAR CORP",4,NA,129,29,2,"2019-01-11",52708,2.74518877267837,-2.6071947067976,-4.97737853298293,-3.98688081880945,-2.41953488439322,5.31592210211942,6.58328742442129
"Buckingham Maintains Buy on Lennar, Raises Price Target to $67","increase",0.7,0.85,9466,"LENNAR CORP",4,NA,133,33,2,"2019-10-03",52708,1.19335632771254,1.67493317276239,0.581097550531995,4.40950444615211,3.76884154975414,3.52730771742491,5.66520190115534
"Buckingham Maintains Neutral on Watsco, Lowers Price Target to $164","decrease",0.6,0.75,5234,"WATSCO INC",4,NA,133,34,0,"2019-10-18",66376,-0.875135138630867,0.709749385714531,1.50028322344016,3.16214404559014,5.63108436763287,4.8518628877968,3.5906840433491
"Buckingham Maintains Neutral on Watsco, Raises Price Target to $165","uncertain",0.3,0.65,14978,"WATSCO INC",4,NA,132,30,1,"2019-10-08",66376,0.310045899823308,0.436364393681288,2.00896276913234,8.27363083057262,0.255987164564431,2.62665749472919,1.84509380099158
"CORRECTION: Lennar Gave Q4 Deliveries Guidance On Call Of 15.8-16K Homes; Initial headline included incorrect deliveries figures from the source","uncertain",0.3,0.6,25034,"LENNAR CORP",4,NA,152,34,1,"2019-10-02",52708,3.76884154975414,1.19335632771254,2.07540778289121,5.79384045711191,-0.232761423103511,1.82748532515122,0.269932578089738
"CORRECTION: Seaport Global Initiates Coverage On Lennar with Buy Rating' A Prior Headline Indicated Stephens Initiated Coverage, This Was Incorrect","increase",0.6,0.75,41661,"LENNAR CORP",4,NA,149,33,2,"2019-08-23",52708,-1.51923252269626,-0.33196285367012,-0.410074338434185,2.40187373037444,0.853371992707253,2.06084237140489,3.93763992401857
"Canaccord Genuity Earlier Maintained Buy on Heico, Lowered Price Target to $150","decrease",0.5,0.7,13227,"HEICO CORP NEW",4,NA,138,34,0,"2019-12-18",32678,-3.82861942052841,-0.370530202053487,-0.560104733939137,3.81732024340515,-5.02911955118179,-4.36677914081367,-2.23608681934372
"Canaccord Genuity Maintains Buy on Heico, Raises Price Target to $130 Price Target","increase",0.7,0.85,25357,"HEICO CORP NEW",4,NA,138,29,2,"2019-05-30",32678,2.16834638267756,1.59591920673847,5.76537553205387,6.50066732627259,11.7108516395092,12.5156075529274,13.0258591087203
"Canaccord Genuity Maintains Buy on Heico, Raises Price Target to $160","increase",0.7,0.85,16205,"HEICO CORP NEW",4,NA,136,29,2,"2019-08-29",32678,1.52337402105331,-0.877011846750975,-2.1171610326653,-13.9157230834665,-0.92350896447897,-0.36041323233228,1.33934443814161
"Cannabiniers Rolls Out Cannabis-Infused Craft Beer Line In California","increase",0.6,0.75,35193,"CONSTELLATION BRANDS INC",4,NA,135,33,2,"2019-02-05",69796,1.10526224598288,-1.39080127701163,-1.16961647121013,-4.02060749451381,-0.541008589789271,-0.489465664933109,1.28948892208693
"Cannabis Investment Company SOL Global Takes 8% Stake In Jones Soda","uncertain",0.3,0.6,4718,"CONSTELLATION BRANDS INC",4,NA,134,34,1,"2019-03-26",69796,2.18401197344065,-0.925986561924219,2.91188621960983,11.1699909471931,-0.878903735429049,-0.796980996809604,2.08990713585948
"Cannabis Stocks Show Signs Of Life As Aurora, Canopy, Others Move Higher","increase",0.6,0.75,20293,"CONSTELLATION BRANDS INC",4,NA,136,33,2,"2019-09-06",69796,-0.0878312974236905,0.976801011711359,-0.332108684419852,0.170943236770071,-2.49785911291838,-1.64147514799297,0.283820040827054
"Cannabis Stocks Up In Smoke After Hexo Withdraws 2020 Guidance","decrease",0.6,0.75,27570,"CONSTELLATION BRANDS INC",4,NA,135,34,0,"2019-10-10",69796,0.652877846732736,0.191995804198086,2.37662100724718,2.06527711479716,1.02363992482424,1.44113657354352,-1.17683426719302
"Canopy Growth Analyst Says Constellation Brands Likely To Bid On Cannabis Company's Equity","increase",0.6,0.75,7195,"CONSTELLATION BRANDS INC",4,NA,137,33,2,"2019-12-09",69796,-1.29593778401613,-0.187571905553341,0.893691835234467,3.73475424771765,0.652190670371056,-0.347278429495001,-0.455315505430531
"Canopy Growth Appoints Constellation CFO As The Cannabis Company's New CEO","uncertain",0.3,0.65,7211,"CONSTELLATION BRANDS INC",4,NA,135,34,1,"2019-12-09",69796,-1.29593778401613,-0.187571905553341,0.893691835234467,3.73475424771765,0.652190670371056,-0.347278429495001,-0.455315505430531
"Canopy Growth Appoints Mike Lee Acting CFO","uncertain",0.3,0.6,24117,"CONSTELLATION BRANDS INC",4,NA,129,34,1,"2019-05-21",69796,0.96035310998559,-0.0146335514727979,-7.85366127652755,-8.78048769210135,-0.849646143615246,-1.8133462578147,-0.946388858243818
"Canopy Growth CEO Looks To The 'Pharmaceutical World' After String Of M&A Deals","uncertain",0.3,0.6,11153,"CONSTELLATION BRANDS INC",4,NA,138,34,1,"2019-06-25",69796,1.45647106692195,0.609032297506928,8.02610680356535,9.18433938087036,-1.34436469525099,-2.41197959417589,-1.66016316745842
"Canopy Growth CEO Talks Leadership Concerns, Vaping, Beverages, Acreage Deal","uncertain",0.3,0.6,26093,"CONSTELLATION BRANDS INC",4,NA,138,34,1,"2019-09-24",69796,-0.354770361445844,-0.507214851677418,2.13129655461717,-7.56924959069396,0.326669006608427,-0.757206537081201,-0.752422459696955
"Canopy Growth Investors Pull Back As Losses Widen In Q1; CBD Products Coming To US Market","decrease",0.6,0.75,6117,"CONSTELLATION BRANDS INC",4,NA,141,34,0,"2019-08-14",69796,-1.6129843890667,0.537853362038732,4.90794655057634,4.38043068222311,1.80263947695494,1.61912161382987,2.08709720264053
"Canopy Growth Obtains Health Canada License For Beverage Facility, Now Has All 'Cannabis 2.0' Licenses","increase",0.6,0.75,6921,"CONSTELLATION BRANDS INC",4,NA,145,33,2,"2019-11-25",69796,1.29676973447204,0.266922824084759,0.501170259631034,-1.43815137432455,-2.89878565818071,-2.49650250541212,0.143674941966787
"Canopy Growth Soars On Unexpected Guidance Update, European Acquisition","increase",0.6,0.75,33469,"CONSTELLATION BRANDS INC",4,NA,132,33,2,"2019-04-16",69796,-0.476641347631812,0.826276186853647,10.5941823559212,11.6204426024861,0.204691849648952,-0.130773662381789,0.431347732254483
"Canopy Growth To Expand Investment In US Hemp Industry","increase",0.6,0.75,37753,"CONSTELLATION BRANDS INC",4,NA,130,33,2,"2019-02-07",69796,1.02153914049268,0.67221955396235,0.376386387035921,-2.45096023864809,-1.39080127701163,-0.300911032460205,-0.840291667716242
"Canopy Growth's Bruce Linton Out As Co-CEO: 'My Turn Is Over'","decrease",0.6,0.725,46803,"CONSTELLATION BRANDS INC",4,NA,138,34,0,"2019-07-03",69796,0.624177092686296,-1.20559707283974,-1.11555564620098,1.35068142697767,1.31062641739845,0.873363027589558,5.55230684687817
"Canopy Growth's Bruce Linton Talks Martha Stewart, Constellation Brands: 'Good Science Leads To Great Products'","increase",0.6,0.75,16766,"CONSTELLATION BRANDS INC",4,NA,143,33,2,"2019-03-07",69796,0.951464474201202,-0.864946842193604,1.77165429612753,1.0439036604138,-0.841944012790918,-2.67831403211711,-3.41980043845447
"Canopy Growth's Q3 Revenue Jumps 283% Year-Over-Year","increase",0.6,0.75,30961,"CONSTELLATION BRANDS INC",4,NA,136,33,2,"2019-02-15",69796,0.546100782230496,-0.108628685120493,-4.43657299302953,-2.44697217874267,-0.463464856147766,1.17483082939627,0.688778294227688
"Chubb, Lennar And More: 'Fast Money' Picks For May 20","uncertain",0.3,0.6,34853,"LENNAR CORP",4,NA,135,34,1,"2019-05-20",52708,-2.48447135090828,0.926461163908243,-0.965064489839196,-0.791352565375647,-0.987698044627905,0.396830908496448,0.720381198918041
"Citigroup Maintains Neutral on McCormick & Co, Raises Price Target to $166","increase",0.6,0.75,7921,"MCCORMICK & CO INC",4,NA,138,29,2,"2019-06-28",52090,-0.551742222160101,0.445134146139026,3.38936785809063,3.50590449040364,3.47871594130993,1.81592429663,1.11579692191619
"Compass Point Upgrades Federal Agricultural to Buy, Raises Price Target to $86","increase",0.7,0.85,13553,"FEDERAL AGRICULTURAL MORT CORP",4,NA,143,33,2,"2019-02-22",80169,13.0246877670288,0.0246719835558906,1.36952560787296,-5.61382235971105,-2.08902079612017,-2.27582207342022,-1.06236787107856
"Constellation Brads Sees High Single Digit Sales Growth For A Long Time To Come In Beer Business","increase",0.7,0.825,9145,"CONSTELLATION BRANDS INC",4,NA,140,33,2,"2019-02-20",69796,-4.42994832992554,-0.79650366678834,1.35944690599934,-0.55096316537615,-0.108628685120493,0.436878875010827,-0.0286107611865538
"Constellation Brands 8-K Shows Co. Gallo Each Received Request For Added Info, Documentary Material From FTC Related To Deal","uncertain",0.4,0.6,35317,"CONSTELLATION BRANDS INC",4,NA,145,34,1,"2019-05-20",69796,-0.849646143615246,0.96035310998559,-4.33883132322886,-9.16523027813855,-0.971958320587874,-0.0975717290618072,-0.262995488300943
"Constellation Brands Announces Garth Hankinson EVP and CFO","uncertain",0.3,0.6,7227,"CONSTELLATION BRANDS INC",4,NA,131,34,1,"2019-12-09",69796,-1.29593778401613,-0.187571905553341,0.893691835234467,3.73475424771765,0.652190670371056,-0.347278429495001,-0.455315505430531
"Constellation Brands Beats Q3 Earnings Estimates, But Stock Sinks On Canopy Growth-Related Guidance Cut","decrease",0.6,0.8,9305,"CONSTELLATION BRANDS INC",4,NA,141,34,0,"2019-01-09",69796,-12.4173112213612,5.95600232481956,5.92288468667836,9.17582519340805,1.30496192723513,3.43296199845413,6.64603319744799
"Constellation Brands CEO Defends Stock, Tells Cramer Sell-Off Was 'Total Overreaction'","increase",0.6,0.75,25545,"CONSTELLATION BRANDS INC",4,NA,139,33,2,"2019-01-10",69796,5.95600232481956,-0.45018820092082,0.268872629577288,4.2956360461017,-12.4173112213612,-11.2743904779511,-9.41063079836614
"Constellation Brands CEO Says Working Closely With Canopy Growth On A Focused Long-Term Strategy","increase",0.6,0.75,17573,"CONSTELLATION BRANDS INC",4,NA,139,33,2,"2019-04-04",69796,6.54460117220879,0.966312922537327,-0.146251641715378,3.83912578502661,1.68637633323669,1.18250246220464,2.48673963136987
"Constellation Brands Executive At CAGNY Says Estimates Cannabis Market To Be Worth Over $200B Over Next Decade","increase",0.7,0.8,9129,"CONSTELLATION BRANDS INC",4,NA,143,33,2,"2019-02-20",69796,-4.42994832992554,-0.79650366678834,1.35944690599934,-0.55096316537615,-0.108628685120493,0.436878875010827,-0.0286107611865538
"Constellation Brands Expands Partnership With MicroStar: MicroStar To Be Co.'s New Keg Solutions Provider","increase",0.6,0.75,30945,"CONSTELLATION BRANDS INC",4,NA,142,33,2,"2019-02-15",69796,0.546100782230496,-0.108628685120493,-4.43657299302953,-2.44697217874267,-0.463464856147766,1.17483082939627,0.688778294227688
"Constellation Brands Expects Canopy Q3 Results To Have $0.10 Cost On EPS In The Fourth Quarter","decrease",0.6,0.75,9081,"CONSTELLATION BRANDS INC",4,NA,143,34,0,"2019-02-20",69796,-4.42994832992554,-0.79650366678834,1.35944690599934,-0.55096316537615,-0.108628685120493,0.436878875010827,-0.0286107611865538
"Constellation Brands Inc Exec Says New Hard Seltzer To Be Introduced In Four Flavors & Will Contain 90 Calories, 0 Carbs And 0 Sugars","increase",0.6,0.75,10130,"CONSTELLATION BRANDS INC",4,NA,156,33,2,"2019-10-03",69796,-6.05928674340248,-0.267676846124232,-0.797893480397471,1.55976462277914,-1.25113902613521,-0.236397844485325,0.383491908282774
"Constellation Brands Made The Right Move With Early Cannabis Investment, Wells Fargo Says","increase",0.7,0.8,23625,"CONSTELLATION BRANDS INC",4,NA,135,33,2,"2019-02-13",69796,1.64592396467924,-0.463464856147766,-5.21829282453794,-3.20993341245731,-0.480408547446132,-1.45163437853887,-0.789172994721099
"Constellation Brands Option Alert: Fri $185 Calls Sweep (34) near the Ask: 523 @ $1.45 vs 591 OI; Earnings 6/28 Before Open Ref=$183.86","increase",0.6,0.7,15289,"CONSTELLATION BRANDS INC",4,NA,163,33,2,"2019-06-04",69796,4.06816378235817,1.38798393309116,5.70375413449844,-1.33918943366189,0.442050909623504,-5.3713482109817,-6.17787115671545
"Constellation Brands Projects 10-Cent Hit To Earnings From Canopy Growth Investment","decrease",0.6,0.75,9065,"CONSTELLATION BRANDS INC",4,NA,136,34,0,"2019-02-20",69796,-4.42994832992554,-0.79650366678834,1.35944690599934,-0.55096316537615,-0.108628685120493,0.436878875010827,-0.0286107611865538
"Constellation Brands Q1 Adj. EPS $2.2 Beats $2.06 Estimate, Sales $2.097B Beat $2.06B Estimate","increase",0.7,0.85,8297,"CONSTELLATION BRANDS INC",4,NA,152,29,2,"2019-06-28",69796,4.6384334564209,-0.431606639176607,1.60455143133489,0.837815489865479,1.72413922846317,2.34367209072543,3.83427806355232
"Constellation Brands Q2 Adj. EPS Excluding Canopy $2.91 Beats $2.6 Estimate, Sales $2.34B Inline","increase",0.6,0.8,10194,"CONSTELLATION BRANDS INC",4,NA,150,33,2,"2019-10-03",69796,-6.05928674340248,-0.267676846124232,-0.797893480397471,1.55976462277914,-1.25113902613521,-0.236397844485325,0.383491908282774
"Constellation Brands Q3 Comparable EPS $2.37 May Not Compare To $2.06 Estimate; Sees FY19 Comparable EPS $9.20-$9.30 vs $9.43 Estimate","decrease",0.6,0.75,9385,"CONSTELLATION BRANDS INC",4,NA,161,30,0,"2019-01-09",69796,-12.4173112213612,5.95600232481956,5.92288468667836,9.17582519340805,1.30496192723513,3.43296199845413,6.64603319744799
"Constellation Brands Q3 EPS $2.37 Beats $2.06 Estimate, Sales $1.973B Beat $1.91B Estimate","increase",0.7,0.85,9337,"CONSTELLATION BRANDS INC",4,NA,150,29,2,"2019-01-09",69796,-12.4173112213612,5.95600232481956,5.92288468667836,9.17582519340805,1.30496192723513,3.43296199845413,6.64603319744799
"Constellation Brands Q3 Sales $1.97B vs $1.91B Estimate","increase",0.65,0.825,9369,"CONSTELLATION BRANDS INC",4,NA,138,29,2,"2019-01-09",69796,-12.4173112213612,5.95600232481956,5.92288468667836,9.17582519340805,1.30496192723513,3.43296199845413,6.64603319744799
"Constellation Brands Raises FY20 Adj. EPS Guidance From $8.65-$8.95 To $9-$9.20, Operating Cash Flow To ~$2.2B","increase",0.7,0.85,10178,"CONSTELLATION BRANDS INC",4,NA,156,29,2,"2019-10-03",69796,-6.05928674340248,-0.267676846124232,-0.797893480397471,1.55976462277914,-1.25113902613521,-0.236397844485325,0.383491908282774
"Constellation Brands Reports Deal Whereby Heaven Hill Brands Will Divest Black Velvet Canadian Whisky For Cash Proceeds $266M","increase",0.6,0.75,15293,"CONSTELLATION BRANDS INC",4,NA,144,33,2,"2019-08-12",69796,-0.180268276017159,1.80263947695494,4.53250435001009,4.864024317633,0.460519222542643,3.18345573805281,3.71814283134604
"Constellation Brands Reports Purchase Of Majority Stake In Nelson's Green Brier Distillery, No Terms Disclosed","increase",0.6,0.75,20349,"CONSTELLATION BRANDS INC",4,NA,141,33,2,"2019-05-02",69796,-1.40034947544336,1.090282574296,-3.09869732385605,-0.742039086349633,0.198421208187938,-0.21172342415533,-0.0329974147509015
"Constellation Brands Says Equity Losses From Canopy Growth of $75.7M Will be Recognized in the Quarter Ending August 31","decrease",0.6,0.75,40869,"CONSTELLATION BRANDS INC",4,NA,148,34,0,"2019-08-26",69796,1.97975318878889,-2.09938753396273,2.91938500750755,2.83540283815324,-1.56203964725137,-2.139517653053,-1.96068816490795
"Constellation Brands Sees FY20 Comparable EPS $8.50-$8.80","increase",0.6,0.775,17605,"CONSTELLATION BRANDS INC",4,NA,137,29,2,"2019-04-04",69796,6.54460117220879,0.966312922537327,-0.146251641715378,3.83912578502661,1.68637633323669,1.18250246220464,2.48673963136987
"Constellation Brands Sells Black Velvet Whisky Brand","decrease",0.6,0.7,13917,"CONSTELLATION BRANDS INC",4,NA,129,34,0,"2019-08-13",69796,1.80263947695494,-1.6129843890667,3.02752604600969,0.844656475470607,-0.180268276017159,0.27942077646228,2.99744870125889
