"headline","magnitude","confidence","custom_id","company_name","prompt_type","explanation","input_tokens","output_tokens","headline.type.num","date","permno","ret","ret_fd1","ret_fd5","ret_fd10","ret_ld1","ret_ld2","ret_ld3","headline.type"
"Barclays Upgrades Arch Capital Group to Overweight, Raises Price Target to $32",0.7,0.85,4454,"ARCH CAPITAL GROUP LTD NEW",3,NA,135,35,2,"2019-01-09",82276,1.28641752526164,1.30743505433202,4.10907878636153,7.58311082482301,0.379796349443495,0.151576038041967,2.52133287234879,"increase"
"Deutsche Bank Initiates Coverage On Acadia Healthcare Co with Hold Rating, Announces $27 Price Target",0.4,0.6,4462,"ACADIA HEALTHCARE CO INC",3,NA,141,35,1,"2019-01-03",13105,-1.77881270647049,2.91338488459587,12.8740176414455,14.9606345758279,0.583436526358128,1.17371343114918,0.232563460068169,"uncertain"
"ACI Worldwide, T-Systems Hungary and Takarékinfo Partner to Ready Hungarian Banks for Real-Time Payments",0.7,0.8,4470,"A C I WORLDWIDE INC",3,NA,142,35,2,"2019-01-28",81282,-1.40266800299287,-0.763356406241655,3.74739734828768,4.99653191372358,2.16707065701485,2.81392620667356,3.54233086143703,"increase"
"ACI Worldwide Powers Successful Launch of DuitNow Real-Time Payments in Malaysia",0.7,0.85,4478,"A C I WORLDWIDE INC",3,NA,134,35,2,"2019-01-14",81282,-1.24377571046352,0.539761129766703,1.5832983851032,2.91471547550357,0.142345228232443,1.44195971883754,2.73822570189766,"increase"
"Stephens & Co. Downgrades ACI Worldwide to Equal-Weight, Lowers Price Target to $30",0.7,0.85,4486,"A C I WORLDWIDE INC",3,NA,144,25,0,"2019-01-03",81282,-7.2955034673214,4.01430949568748,11.6852170160421,13.7519914867595,-1.91543437540531,-0.403672013553002,-1.23726405435881,"decrease"
"Axcelis Reports $35M Buyback",0.7,0.85,4502,"AXCELIS TECHNOLOGIES INC",3,NA,130,35,2,"2019-01-14",88417,2.26394161581993,0,-0.26998467162811,10.2051795450795,0.16593299806118,0.221366436874226,1.85601751172431,"increase"
"Jacobs, AECOM Awarded Contract by Transport Scotland to  Lead its Second Strategic Transport Projects Review",0.7,0.85,4510,"A E C O M",3,NA,138,35,2,"2019-01-29",91975,-0.264900410547853,0.697208102792501,0.166000088819729,-0.79681826937561,-1.14565789699554,0.633123969504368,2.13054126076797,"increase"
"Citigroup Upgrades Accenture to Buy, Raises Price Target to $169",0.8,0.9,4518,"ACCENTURE PLC IRELAND",3,NA,136,35,2,"2019-01-16",89071,0.673977471888065,0.838511064648628,1.53502088407622,3.83418848504977,1.35238170623779,0.451346272553099,-0.0884266799340616,"increase"
"Accenture To Acquire Business and Technology Consultancy, Orbium; Terms Not Disclosed",0.6,0.8,4526,"ACCENTURE PLC IRELAND",3,NA,137,35,2,"2019-01-09",89071,0.502959731966257,0.788379553705454,1.37794603392576,2.93411867739404,2.52896435558796,2.8850867557866,6.88563702020777,"increase"
"Accenture shares are trading higher after Bank of America upgraded the company's stock from Neutral to Buy.",0.7,0.85,4534,"ACCENTURE PLC IRELAND",3,NA,139,35,2,"2019-01-08",89071,2.52896435558796,0.502959731966257,1.2057324426481,2.25988620185675,0.34733833745122,4.24921161742173,0.68995031192145,"increase"
"Bank of America Upgrades Accenture to Buy",0.7,0.85,4542,"ACCENTURE PLC IRELAND",3,NA,130,35,2,"2019-01-08",89071,2.52896435558796,0.502959731966257,1.2057324426481,2.25988620185675,0.34733833745122,4.24921161742173,0.68995031192145,"increase"
"Acorda Therapeutics Amended 13D Filing From Scopia Capital Shows Cut Stake From ~7.1M Shares To ~4.8M Shares, Or 10.1% Stake",0.6,0.8,4550,"ACORDA THERAPEUTICS INC",3,NA,165,35,0,"2019-01-23",91086,0.502196606248617,-2.81074196100235,2.87319870342762,-0.687074191890136,-2.02951971441507,-5.68383121726822,-5.17856513516972,"decrease"
"Raymond James Upgrades Ares Commercial Real to Strong Buy",0.75,0.85,4558,"ARES COMMERCIAL REAL ESTATE CORP",3,NA,137,24,2,"2019-01-11",13332,2.94118225574493,-0.836242735385895,-2.99651768561003,-1.32404544815741,-0.782922469079494,-0.143269742863916,0.143674604246335,"increase"
"AcelRx Pharma Reports DSUVIA Will Be Highlighted During Presentation At Boswick Burn, Wound Symposium",0.6,0.8,4566,"ACELRX PHARMACEUTICALS INC",3,NA,149,35,2,"2019-01-31",12573,0,0.813007354736328,-1.62601466026407,6.91057198293001,2.07468681037426,1.65289098182022,-1.99203009646243,"increase"
"Acasti Pharma Awarded Broad Composition-of-Matter And Method Of Use Patents By European Patent Office",0.7,0.85,4574,"ACASTI PHARMA INC",3,NA,142,35,2,"2019-01-09",13750,14.1304269433021,4.76191192865372,3.80953203680583,-1.90475977476446,0,2.22222674638033,5.39580784296481,"increase"
"BZ NOTE: Adobe Has Not Paid Cash Dividend Since 2005",0.5,0.7,4582,"ADOBE INC",3,NA,128,35,0,"2019-01-25",75510,0.98532298579812,-1.26556064933538,0.992042675941462,4.9193727290219,-1.05246054008603,-0.529017205340154,-1.99991794053519,"decrease"
"Adobe Says Does Not Anticipate Paying Any Cash Dividends In The Foreseeable Future",0.6,0.8,4590,"ADOBE INC",3,NA,134,35,0,"2019-01-25",75510,0.98532298579812,-1.26556064933538,0.992042675941462,4.9193727290219,-1.05246054008603,-0.529017205340154,-1.99991794053519,"decrease"
"Adobe Filing Shows Registration For Mixed Securities Offering",0.4,0.6,4598,"ADOBE INC",3,NA,123,35,1,"2019-01-25",75510,0.98532298579812,-1.26556064933538,0.992042675941462,4.9193727290219,-1.05246054008603,-0.529017205340154,-1.99991794053519,"uncertain"
"Adobe Acquires Allegorithmic; Terms Not Disclosed",0.7,0.8,4606,"ADOBE INC",3,NA,126,35,2,"2019-01-23",75510,0.529010966420174,-1.05246054008603,-1.00758782654086,3.75703974702477,-1.47872343659401,-0.225035853263211,0.785290106784409,"increase"
"Hearing M Science Initiated Positive Coverage On Adobe, Citing Revenue Strength; Unconfirmed",0.7,0.8,4614,"ADOBE INC",3,NA,133,35,2,"2019-01-17",75510,1.01260468363762,1.2725044041872,0.225042277522292,1.21931746889568,-0.169171346351504,3.15057972881387,1.85223916920387,"increase"
"Stephens & Co. Initiates Coverage On Adobe with Equal-Weight Rating, Announces $278 Price Target",0.3,0.6,4622,"ADOBE INC",3,NA,136,35,1,"2019-01-17",75510,1.01260468363762,1.2725044041872,0.225042277522292,1.21931746889568,-0.169171346351504,3.15057972881387,1.85223916920387,"uncertain"
"Adobe shares are trading higher after Atlantic Equities initiated coverage on the stock with a Neutral rating and a price target of $250.",0.4,0.7,4630,"ADOBE INC",3,NA,140,35,2,"2019-01-09",75510,1.18188075721264,0.993930920958519,2.76940265714809,3.02850341751546,1.49175534024835,2.86926486435564,7.87204277103541,"increase"
"Atlantic Equities Initiates Coverage On Adobe with Neutral Rating, Announces $250 Price Target",0.3,0.6,4638,"ADOBE INC",3,NA,132,35,1,"2019-01-09",75510,1.18188075721264,0.993930920958519,2.76940265714809,3.02850341751546,1.49175534024835,2.86926486435564,7.87204277103541,"uncertain"
"Pivotal Research Upgrades Adobe to Buy, Raises Price Target to $262",0.7,0.85,4646,"ADOBE INC",3,NA,131,24,2,"2019-01-07",75510,1.35726248845458,1.49175534024835,2.31178711500688,6.36395903690838,4.86323870718479,0.721376537803264,-0.0221016543690222,"increase"
"Raymond James Upgrades Agree Realty to Strong Buy",0.7,0.85,4654,"AGREE REALTY CORP",3,NA,129,35,2,"2019-01-08",80412,2.33937483280897,-1.0601282119751,1.54050071002259,1.52393893800948,0.494039012119174,0.152801592475238,2.39541930865816,"increase"
"RBC Capital Downgrades Analog Devices to Sector Perform",0.7,0.8,4662,"ANALOG DEVICES INC",3,NA,128,35,0,"2019-01-04",60871,2.42784470319748,0.62885070219636,8.91280067954014,10.4849410831498,-6.04049675166607,-5.94197629024217,-5.53474802315252,"decrease"
"UPDATE: Archer-Daniels-Midland CEO Says Pursuing Growth Through Smaller Acquisitions, Joint Ventures",0.6,0.8,4670,"ARCHER DANIELS MIDLAND CO",3,NA,145,35,2,"2019-01-16",10516,-0.413984153419733,0.254042982123792,0.854500964106197,3.69515539147167,1.47024756297469,0.741426514683519,0.253632907048562,"increase"
"Archer-Daniels-Midland Says Its The Wrong Time For 'Monster' Acquistions",0.4,0.6,4678,"ARCHER DANIELS MIDLAND CO",3,NA,143,35,1,"2019-01-16",10516,-0.413984153419733,0.254042982123792,0.854500964106197,3.69515539147167,1.47024756297469,0.741426514683519,0.253632907048562,"uncertain"
"ADMA Biologics Submits Response and Provides Supplemental Information to FDA for BIVIGAM CRL",0.4,0.6,4686,"ADMA BIOLOGICS INC",3,NA,140,35,1,"2019-01-07",15056,6.44067972898483,8.59872549772263,5.41400765860145,8.28025440085072,4.98221032321453,12.595426640283,23.4309593930063,"uncertain"
"ADP shares are trading higher after the company announced better than expected Q4 EPS and revenue results. The company expects 2019 EPS to increase 18% to 20%.",0.8,0.9,4694,"AUTOMATIC DATA PROCESSING INC",3,NA,154,35,2,"2019-01-30",44644,4.03731614351273,0.308437459170818,4.3970944356853,7.92626261048874,-1.1070110835135,-1.76673531145319,-0.556586323661867,"increase"
"Automatic Data Sees FY19 EPS Up 18%-20%",0.8,0.9,4702,"AUTOMATIC DATA PROCESSING INC",3,NA,131,35,2,"2019-01-30",44644,4.03731614351273,0.308437459170818,4.3970944356853,7.92626261048874,-1.1070110835135,-1.76673531145319,-0.556586323661867,"increase"
"Morgan Stanley Downgrades Autodesk to Equal-Weight, Lowers Price Target to $150",0.7,0.85,4718,"AUTODESK INC",3,NA,133,25,0,"2019-01-15",85631,0.838593579828739,-0.426848558709025,1.18486937632223,7.44774411596616,-1.45532060414553,-1.43369658345899,-1.47693513874257,"decrease"
"Atlantic Equities Initiates Coverage On Autodesk with Overweight Rating, Announces $180 Price Target",0.7,0.85,4726,"AUTODESK INC",3,NA,133,35,2,"2019-01-09",85631,2.16628760099411,-0.0438674818724393,-1.07479798187398,-0.526432173512015,0.866481196135283,4.35765230278156,9.86458500528364,"increase"
"Needham Downgrades Adtran to Hold",0.6,0.8,4734,"ADTRAN HOLDINGS INC",3,NA,126,35,0,"2019-01-29",80791,-0.953025184571743,0.962195079773664,-1.71821303304258,0.836411282495431,4.62962687015534,8.33332695439957,19.7228933037925,"decrease"
"ADTRAN Shares Spike Higher As Exec On Call Issues Correction Moving Q1 Sales Guidance Sharply Higher; Originally Said Q1 Sales Guidance For $100-$142M, But Was Supposed To Be $140M-$142M",0.75,0.85,4742,"ADTRAN HOLDINGS INC",3,NA,162,35,2,"2019-01-24",80791,10.5134464800358,3.53981964290142,7.52211999737367,5.3783742593605,4.15959879755974,3.19596389115187,3.36984481602258,"increase"
"Adtran Late Wednesday Reported Q4 EPS $(0.12) Misses $(0.03) Estimate, Sales $140.088M Beat $134.78M Estimate",0.4,0.6,4750,"ADTRAN HOLDINGS INC",3,NA,153,35,1,"2019-01-24",80791,10.5134464800358,3.53981964290142,7.52211999737367,5.3783742593605,4.15959879755974,3.19596389115187,3.36984481602258,"uncertain"
"Citigroup Downgrades Aegon to Sell",0.7,0.85,4758,"AEGON N V",3,NA,127,25,0,"2019-01-17",85172,-0.982321985065937,2.97619234770536,2.97619231781243,2.57936731583117,2.41449438035488,1.59680482202496,3.03643914939258,"decrease"
"Aehr Receives Order From a New Customer for FOX-NP System  for Production Test and Burn-in of Silicon Photonics Devices",0.7,0.85,4766,"AEHR TEST SYSTEMS",3,NA,143,35,2,"2019-01-23",85272,-2.67856884747744,-1.83486063033342,11.9266049138919,28.4403607721854,-0.884954910725355,5.66038352233298,-1.75438422502052,"increase"
"Aehr Test Systems shares are trading lower after the company cut FY19 sales guidance and missed the Q2 sales estimate.",0.8,0.9,4774,"AEHR TEST SYSTEMS",3,NA,140,35,0,"2019-01-11",85272,-24.0641742944717,-9.85915437340736,-20.4225330885923,-16.9014095420871,25.5033552646637,37.4999988028479,37.4999988028479,"decrease"
"Aehr Test Systems Cuts FY19 Sales Guidance From $30M-$35M To $20M-$25M vs $30.16M Est.",0.8,0.9,4782,"AEHR TEST SYSTEMS",3,NA,147,35,0,"2019-01-10",85272,25.5033552646637,-24.0641742944717,-43.315511702326,-41.17647001429,9.55882295966148,9.55882295966148,3.47221878180708,"decrease"
"Aehr Test Systems Cuts Guidance",0.7,0.85,4790,"AEHR TEST SYSTEMS",3,NA,123,35,0,"2019-01-10",85272,25.5033552646637,-24.0641742944717,-43.315511702326,-41.17647001429,9.55882295966148,9.55882295966148,3.47221878180708,"decrease"
"Aehr Test Systems Q2 EPS $(0.02), Inline, Sales $5.9M Miss $6.07M Estimate",0.6,0.8,4798,"AEHR TEST SYSTEMS",3,NA,144,35,0,"2019-01-10",85272,25.5033552646637,-24.0641742944717,-43.315511702326,-41.17647001429,9.55882295966148,9.55882295966148,3.47221878180708,"decrease"
"American Eagle Outfitters shares are trading higher after the company reaffirmed Q4 EPS guidance.",0.6,0.8,4806,"AMERICAN EAGLE OUTFITTERS INC NE",3,NA,146,35,2,"2019-01-14",80432,0.659894198179245,-0.45385854318738,2.52143199683452,5.84972150316454,2.76474021375179,-0.404448397134438,-0.253160547191378,"increase"
"American Eagle Outfitters Reaffirms Q4 EPS Guidance Of $0.40-$0.42 vs $0.42 Est.",0.5,0.7,4814,"AMERICAN EAGLE OUTFITTERS INC NE",3,NA,155,35,0,"2019-01-14",80432,0.659894198179245,-0.45385854318738,2.52143199683452,5.84972150316454,2.76474021375179,-0.404448397134438,-0.253160547191378,"decrease"
"American Eagle Outfitters Reports Q4 Comps Up 6%",0.7,0.85,4822,"AMERICAN EAGLE OUTFITTERS INC NE",3,NA,141,35,2,"2019-01-14",80432,0.659894198179245,-0.45385854318738,2.52143199683452,5.84972150316454,2.76474021375179,-0.404448397134438,-0.253160547191378,"increase"
"Webush Adds American Eagle To Best Ideas List As Firm Views 'American Eagle as an attractive story backed by solid fundamentals and led by a best-in-class management team'",0.7,0.85,4830,"AMERICAN EAGLE OUTFITTERS INC NE",3,NA,161,35,2,"2019-01-07",80432,3.33854667842388,-0.302874646149576,0.100961579767977,2.62493925417928,0.366490543819964,-1.4395921035177,-0.827728058035027,"increase"
"AerCap Highlights 145 Transactions In Q4'18; Reports Leased, Purchased, Sold 436 Aircraft In 2018",0.7,0.85,4838,"AERCAP HOLDINGS N V",3,NA,147,35,2,"2019-01-02",91602,2.95455064624548,-5.05273826420307,8.1922989088675,11.3563922326344,0.354788126423955,2.21991926760767,1.95674121691582,"increase"
"Aeterna Zentaris Reports Received European Marketing Clearance For Macimorelin",0.75,0.85,4846,"AETERNA ZENTARIS INC",3,NA,137,35,2,"2019-01-16",88240,-10.0000023841858,5.55555708706379,-1.66666511012782,6.38888937091042,2.56409998983145,8.4010822188644,15.2737738645012,"increase"
"'$AEZS Aeterna Zentaris receives European Commission Approval for Macimorelin for diagnosis of adult growth hormone deficiency.' -Tweet From TradeHawk",0.75,0.85,4854,"AETERNA ZENTARIS INC",3,NA,153,35,2,"2019-01-11",88240,6.34005814790726,5.6910578161478,-4.06504320810757,4.33603892951842,2.35987976193428,3.58209339227933,-0.573065503690395,"increase"
"Keefe Bruyette & Woods Initiates Coverage On American Financial Group with Market Perform Rating, Announces $107 Price Target",0.4,0.6,4870,"AMERICAN FINANCIAL GROUP INC NEW",3,NA,147,35,1,"2019-01-11",60687,-0.106950243934989,-0.203430373221636,3.1836976512138,1.68906160021345,1.48703223094344,4.06232779199618,4.18988428213591,"uncertain"
"Aflac Q4 EPS $1.02 Beats $0.94 Estimate, Sales $5.126B Miss $5.36B Estimate",0.4,0.6,4878,"AFLAC INC",3,NA,143,35,1,"2019-01-31",57904,0.67538982257247,0.503140175715089,1.57232703063896,1.88678757907936,0.57312767021358,0.0633634467541499,-0.399408507328836,"uncertain"
"Raymond James: Aflac Will Benefit From Yen Exchange Rate This Year",0.7,0.8,4894,"AFLAC INC",3,NA,128,35,2,"2019-01-16",57904,0.883620325475931,1.08950715512037,1.11087470337454,1.90130181830361,1.02329896762967,1.55395692296596,1.37644976471392,"increase"
"JP Morgan Downgrades Aflac to Neutral, Announces $51 Price Target",0.7,0.85,4902,"AFLAC INC",3,NA,129,35,0,"2019-01-02",57904,-0.0877983169630169,-2.52636540681124,-0.702987064456639,2.83392107015841,1.35706476867199,1.28946609470457,3.21704133851057,"decrease"
"First Majestic Silver Corp. Reports Produced 22.2M Silver Equivalent Oz. In 2018; Announces Higher 2019 Production Guidance",0.7,0.85,4910,"FIRST MAJESTIC SILVER CORP",3,NA,154,35,2,"2019-01-14",12447,0,-10.033442825079,-13.7123770230668,-2.84281020363887,-1.32013075053692,-3.70370404764909,-2.44698364775566,"increase"
"Barclays Downgrades AGCO to Underweight, Lowers Price Target to $63",0.8,0.9,4918,"A G C O CORP",3,NA,138,35,0,"2019-01-23",77520,-2.22752224653959,0.390557944774628,3.74287918267222,4.54027184787671,-2.87436358630657,0.0796166199559023,1.06126360083505,"decrease"
"RBC Capital Upgrades AGCO to Outperform",0.7,0.85,4926,"A G C O CORP",3,NA,129,24,2,"2019-01-07",77520,3.35360616445541,1.17686744779348,3.91728625182721,5.66576821881641,5.88776618242264,3.61901039953536,3.37704547781466,"increase"
"Agenus To Launch First Asset-Backed Digital Security Offering",0.7,0.8,4934,"AGENUS INC",3,NA,128,35,2,"2019-01-29",87583,-0.589976971969008,3.2640989869833,1.1869495558116,5.93471960416814,-3.14285419881344,-2.86532682088551,-4.23728421767093,"increase"
"Gilead Sciences Reports 9.3% Passive Stake In Agenus Inc As Of Jan 23, 2019",0.7,0.8,4942,"AGENUS INC",3,NA,140,35,2,"2019-01-29",87583,-0.589976971969008,3.2640989869833,1.1869495558116,5.93471960416814,-3.14285419881344,-2.86532682088551,-4.23728421767093,"increase"
"Agenus Reports Expansion Of Strategic Immuno-Oncology Alliance With Selexis",0.7,0.8,4950,"AGENUS INC",3,NA,131,35,2,"2019-01-09",87583,-3.29340994358063,2.78637502342463,-1.23838913296008,8.0495346900824,2.76922807097435,12.4579086029462,19.285713560173,"increase"
"Agenus Reports Was Granted ~$1M From Bill & Melinda Gates Foundation To Develop Alternative, Plant Cell Culture-Based Manufacturing Process For QS-21 Stimulon",0.6,0.8,4958,"AGENUS INC",3,NA,148,35,2,"2019-01-03",87583,11.5537837147713,6.0714315623045,18.5714287126278,33.2142886472528,5.46217933297157,5.02091543758632,5.02091543758632,"increase"
"American Capital Agency Q4 EPS $0.53 Misses $0.59 Estimate, Sales $186M Miss $263.13M Estimate",0.7,0.85,4966,"A G N C INVESTMENT CORP",3,NA,152,35,0,"2019-01-30",92680,0.0552177254576236,-0.167227897327393,-0.501673102337241,-1.17057410565644,0.276861269958317,-0.0551889046650599,0.555249189779183,"decrease"
"Morgan Stanley Downgrades Adecoagro to Equal-Weight",0.7,0.8,4974,"ADECOAGRO S A",3,NA,132,35,0,"2019-01-16",12540,0.278163840994239,-0.138699426315725,0.69348403492373,5.68654457489763,0.700282817706466,0.278939778815923,1.98581361441428,"decrease"
"Agile Therapeutics Says Cash Enables Co. To Fund Operations Into Q2'19",0.6,0.7,4982,"AGILE THERAPEUTICS INC",3,NA,140,35,0,"2019-01-10",14645,-0.59321029111743,-0.93956021592021,-0.964957963260682,7.7958353437312,0.291134719736874,4.14037616858487,1.57692502030138,"decrease"
"Agile Therapeutics Says Discussions With FDA On Design Of Comparative Wear Study Of Twirla, Xulane Completed",0.6,0.8,4990,"AGILE THERAPEUTICS INC",3,NA,146,35,2,"2019-01-10",14645,-0.59321029111743,-0.93956021592021,-0.964957963260682,7.7958353437312,0.291134719736874,4.14037616858487,1.57692502030138,"increase"
