"headline","magnitude","confidence","custom_id","company_name","prompt_type","explanation","input_tokens","output_tokens","headline.type.num","date","permno","ret_fd1","ret_fd5","ret_fd10","ret_ld1","ret_ld2","ret_ld3","ret","exret","b_mkt","mkt.rf","smb","hml","rf","sum_exret_1","sum_exret_5","sum_exret_10","headline.type"
"AbbVie Announces Phase 3 Study of Ibrutinib In Metastatic Pancreatic Cancer Did Not Meet Primary Endpoint Of Improving Progression-Free Survival",0.7,0.9,4349,"ABBVIE INC",2,NA,141,25,0,"2019-01-18",13721,-0.938543397933245,-13.8100564901488,-12.2569845584529,1.92868951708078,1.98830057405626,2.87871019261898,2.6376,1.1141,1.1008,1.29,-0.36,0.12,0.01,1.7392,-12.3172,-13.5756,"decrease"
"AbbVie Exec Speaking At JP Morgan Healthcare Conference Says Sees Non-Humira Sales Growing To $35B+ In 2025, Sees Mavyret Remaining A Strong Source Of Cash Flow Over Long-Term",0.7,0.8,4357,"ABBVIE INC",2,NA,153,29,2,"2019-01-09",13721,0.44414009898901,-1.34383514179669,-0.963286126227669,0.46475394628942,1.93106679120063,5.21497272264133,-3.2823,-3.7647,1.0896,0.56,0.46,0.1,0.01,-3.7859,-6.5113,-7.2187,"increase"
"AbbVie Reports Strategic Collaboration With Tizona Therapeutics To Develop First-In-Class Immunotherapy For Cancer Targeting CD39",0.7,0.8,4365,"ABBVIE INC",2,NA,133,29,2,"2019-01-03",13721,3.22169288992882,2.21346175304458,2.33027974892017,-3.21075916290283,-2.07418701694897,-0.756312047709817,-3.2949,-0.4867,1.1059,-2.45,0.36,1.2,0.01,-1.0728,-4.6172,-6.2193,"increase"
"Bank of America Downgrades AbbVie to Neutral",0.6,0.8,4373,"ABBVIE INC",2,NA,120,34,0,"2019-01-03",13721,3.22169288992882,2.21346175304458,2.33027974892017,-3.21075916290283,-2.07418701694897,-0.756312047709817,-3.2949,-0.4867,1.1059,-2.45,0.36,1.2,0.01,-1.0728,-4.6172,-6.2193,"decrease"
"AmerisourceBergen shares are trading higher after the company beat Q1 EPS and sales estimates.",0.8,0.9,4381,"AMERISOURCEBERGEN CORP",2,NA,137,33,2,"2019-01-31",81540,0.467793410643935,2.91471775736043,3.69436739299374,-1.2698040343821,-1.98452810023854,-1.41853480587347,6.1633,5.8151,0.9361,0.92,0.12,-1.08,0.01,5.9824,8.5787,8.0812,"increase"
"AmerisourceBergen Narrows FY19 Adj. EPS Guidance From $6.65-$6.95 To $6.65-$6.85 vs $6.78 Estimate",0.4,0.7,4389,"AMERISOURCEBERGEN CORP",2,NA,155,25,0,"2019-01-31",81540,0.467793410643935,2.91471775736043,3.69436739299374,-1.2698040343821,-1.98452810023854,-1.41853480587347,6.1633,5.8151,0.9361,0.92,0.12,-1.08,0.01,5.9824,8.5787,8.0812,"decrease"
"AmerisourceBergen Q1 EPS $1.60 Beats $1.50 Estimate, Sales $45.4B Beat $43.82B Estimate",0.8,0.9,4397,"AMERISOURCEBERGEN CORP",2,NA,150,29,2,"2019-01-31",81540,0.467793410643935,2.91471775736043,3.69436739299374,-1.2698040343821,-1.98452810023854,-1.41853480587347,6.1633,5.8151,0.9361,0.92,0.12,-1.08,0.01,5.9824,8.5787,8.0812,"increase"
"UBS Initiates Coverage On AmerisourceBergen with Buy Rating, Announces $89 Price Target",0.7,0.85,4405,"AMERISOURCEBERGEN CORP",2,NA,138,29,2,"2019-01-17",81540,4.96845245361328,4.70557525416087,10.0946371358811,0.0517744163516908,0.572472601054996,0.966569362630509,-1.5783,-2.205,0.9335,0.75,0.11,-0.24,0.01,1.5637,1.5816,5.776,"increase"
"Ambev shares are trading higher after after Goldman Sachs published a positive report on the stock.",0.7,0.9,4413,"AMBEV SA",2,NA,127,33,2,"2019-01-28",85254,0.422832556068897,5.0739908654621,4.22832597287919,1.11607564613223,-0.220258876365986,-0.87527267893226,4.415,4.7267,0.683,-0.8,-0.16,0.63,0.01,5.2043,8.2849,8.2337,"increase"
"ABM Industries Wins a Contract to Install Water Meters for the Rainbow Municipal Water District in San Diego",0.6,0.8,4421,"A B M INDUSTRIES INC",2,NA,134,35,2,"2019-01-24",47730,0.14722979394719,0.677266155878264,2.12014506050175,-1.87340285629034,-3.9188433367386,-1.11555888035786,-1.7645,-2.2846,1.0594,0.23,0.44,-0.01,0.01,-3.1323,-3.2204,-1.9312,"increase"
"CL King Downgrades ABM Industries to Neutral",0.6,0.8,4429,"A B M INDUSTRIES INC",2,NA,124,30,0,"2019-01-11",47730,-0.49591064453125,4.95916227480702,-1.22519888252108,0.77319722622633,0.600340442556302,5.10752410309705,-2.586,-2.8101,1.0432,-0.01,0.12,0.22,0.01,-2.9621,-0.9654,-6.1937,"decrease"
"ACADIA Pharmaceuticals Option Alert: Mar 15 $23 Calls Sweep (9) near the Ask: 500 @ $1.6 vs 303 OI; Earnings 2/26 After Close [est] Ref=$20.53",0.6,0.7,4437,"ACADIA PHARMACEUTICALS",2,NA,169,35,2,"2019-01-10",90177,1.78658068180084,4.20087345444378,9.17431987110335,6.47248551249504,8.28305154492868,12.350598324215,4.9139,3.9755,1.9947,0.42,0.03,-0.46,0.01,5.4796,5.9602,9.3197,"increase"
"Arch Capital Group Sees Pre-Tax Catastrophe Losses Of $110M-$130M Due To Hurricane Michael And California Wildfires",0.7,0.85,4445,"ARCH CAPITAL GROUP LTD NEW",2,NA,140,30,0,"2019-01-10",82276,-1.62242073565722,4.12978957528862,6.30530629942263,1.28641752526164,1.67109964150469,1.4399434640211,1.3074,1.1872,0.7239,0.42,0.03,-0.46,0.01,-0.5451,3.8466,5.1759,"decrease"
"Barclays Upgrades Arch Capital Group to Overweight, Raises Price Target to $32",0.7,0.9,4453,"ARCH CAPITAL GROUP LTD NEW",2,NA,130,29,2,"2019-01-09",82276,1.30743505433202,4.10907878636153,7.58311082482301,0.379796349443495,0.151576038041967,2.52133287234879,1.2864,0.7744,0.723,0.56,0.46,0.1,0.01,1.9616,3.7573,6.3959,"increase"
"Deutsche Bank Initiates Coverage On Acadia Healthcare Co with Hold Rating, Announces $27 Price Target",0.3,0.6,4461,"ACADIA HEALTHCARE CO INC",2,NA,136,30,1,"2019-01-03",13105,2.91338488459587,12.8740176414455,14.9606345758279,0.583436526358128,1.17371343114918,0.232563460068169,-1.7788,-0.5018,0.8804,-2.45,0.36,1.2,0.01,-0.9115,4.2944,4.8908,"uncertain"
"ACI Worldwide, T-Systems Hungary and Takarékinfo Partner to Ready Hungarian Banks for Real-Time Payments",0.7,0.8,4469,"A C I WORLDWIDE INC",2,NA,137,29,2,"2019-01-28",81282,-0.763356406241655,3.74739734828768,4.99653191372358,2.16707065701485,2.81392620667356,3.54233086143703,-1.4027,-0.1658,1.1678,-0.8,-0.16,0.63,0.01,-0.6494,-0.964,0.264,"increase"
"ACI Worldwide Powers Successful Launch of DuitNow Real-Time Payments in Malaysia",0.7,0.8,4477,"A C I WORLDWIDE INC",2,NA,129,35,2,"2019-01-14",81282,0.539761129766703,1.5832983851032,2.91471547550357,0.142345228232443,1.44195971883754,2.73822570189766,-1.2438,0.1361,1.1675,-0.6,-0.59,0.94,0.01,-0.8995,-0.0760000000000001,0.8296,"increase"
"Stephens & Co. Downgrades ACI Worldwide to Equal-Weight, Lowers Price Target to $30",0.7,0.85,4485,"A C I WORLDWIDE INC",2,NA,139,30,0,"2019-01-03",81282,4.01430949568748,11.6852170160421,13.7519914867595,-1.91543437540531,-0.403672013553002,-1.23726405435881,-7.2955,-4.3602,1.1778,-2.45,0.36,1.2,0.01,-5.0236,-3.0743,-2.4596,"decrease"
"Axcelis Reports $35M Buyback",0.7,0.8,4501,"AXCELIS TECHNOLOGIES INC",2,NA,125,35,2,"2019-01-14",88417,0,-0.26998467162811,10.2051795450795,0.16593299806118,0.221366436874226,1.85601751172431,2.2639,3.8177,1.5899,-0.6,-0.59,0.94,0.01,2.0499,1.3199,10.8874,"increase"
"Jacobs, AECOM Awarded Contract by Transport Scotland to  Lead its Second Strategic Transport Projects Review",0.6,0.8,4509,"A E C O M",2,NA,133,29,2,"2019-01-29",91975,0.697208102792501,0.166000088819729,-0.79681826937561,-1.14565789699554,0.633123969504368,2.13054126076797,-0.2649,-0.1501,1.1856,-0.19,-0.01,0.17,0.01,-0.5627,-2.8682,-4.5705,"increase"
"Citigroup Upgrades Accenture to Buy, Raises Price Target to $169",0.8,0.9,4517,"ACCENTURE PLC IRELAND",2,NA,131,29,2,"2019-01-16",89071,0.838511064648628,1.53502088407622,3.83418848504977,1.35238170623779,0.451346272553099,-0.0884266799340616,0.674,0.5335,1.0671,0.28,0.04,0.92,0.01,0.5594,0.8815,0.4351,"increase"
"Accenture To Acquire Business and Technology Consultancy, Orbium; Terms Not Disclosed",0.7,0.8,4525,"ACCENTURE PLC IRELAND",2,NA,132,35,2,"2019-01-09",89071,0.788379553705454,1.37794603392576,2.93411867739404,2.52896435558796,2.8850867557866,6.88563702020777,0.503,0.0699,1.0657,0.56,0.46,0.1,0.01,0.3331,0.1668,0.5148,"increase"
"Accenture shares are trading higher after Bank of America upgraded the company's stock from Neutral to Buy.",0.7,0.9,4533,"ACCENTURE PLC IRELAND",2,NA,134,24,2,"2019-01-08",89071,0.502959731966257,1.2057324426481,2.25988620185675,0.34733833745122,4.24921161742173,0.68995031192145,2.529,1.5274,1.066,1.01,0.53,-0.63,0.01,1.5973,1.1607,0.9785,"increase"
"Bank of America Upgrades Accenture to Buy",0.7,0.9,4541,"ACCENTURE PLC IRELAND",2,NA,125,29,2,"2019-01-08",89071,0.502959731966257,1.2057324426481,2.25988620185675,0.34733833745122,4.24921161742173,0.68995031192145,2.529,1.5274,1.066,1.01,0.53,-0.63,0.01,1.5973,1.1607,0.9785,"increase"
"Acorda Therapeutics Amended 13D Filing From Scopia Capital Shows Cut Stake From ~7.1M Shares To ~4.8M Shares, Or 10.1% Stake",0.6,0.8,4549,"ACORDA THERAPEUTICS INC",2,NA,160,35,0,"2019-01-23",91086,-2.81074196100235,2.87319870342762,-0.687074191890136,-2.02951971441507,-5.68383121726822,-5.17856513516972,0.5022,0.9378,1.3339,0.15,-0.39,-0.13,0.01,-2.8957,0.953400000000001,-5.6937,"decrease"
"Raymond James Upgrades Ares Commercial Real to Strong Buy",0.7,0.85,4557,"ARES COMMERCIAL REAL ESTATE CORP",2,NA,132,29,2,"2019-01-11",13332,-0.836242735385895,-2.99651768561003,-1.32404544815741,-0.782922469079494,-0.143269742863916,0.143674604246335,2.9412,2.8359,0.4488,-0.01,0.12,0.22,0.01,2.414,-1.2028,0.8967,"increase"
"AcelRx Pharma Reports DSUVIA Will Be Highlighted During Presentation At Boswick Burn, Wound Symposium",0.6,0.8,4565,"ACELRX PHARMACEUTICALS INC",2,NA,144,29,2,"2019-01-31",12573,0.813007354736328,-1.62601466026407,6.91057198293001,2.07468681037426,1.65289098182022,-1.99203009646243,0,0.4033,-0.1685,0.92,0.12,-1.08,0.01,1.3021,-1.1166,5.4098,"increase"
"Acasti Pharma Awarded Broad Composition-of-Matter And Method Of Use Patents By European Patent Office",0.7,0.8,4573,"ACASTI PHARMA INC",2,NA,137,29,2,"2019-01-09",13750,4.76191192865372,3.80953203680583,-1.90475977476446,0,2.22222674638033,5.39580784296481,14.1304,14.0229,0.8513,0.56,0.46,0.1,0.01,17.7623,18.01,11.4888,"increase"
"BZ NOTE: Adobe Has Not Paid Cash Dividend Since 2005",0.5,0.7,4581,"ADOBE INC",2,NA,123,35,0,"2019-01-25",75510,-1.26556064933538,0.992042675941462,4.9193727290219,-1.05246054008603,-0.529017205340154,-1.99991794053519,0.9853,-0.6116,1.2736,0.9,0.46,-0.35,0.01,0.0655,-2.9237,-1.0864,"decrease"
"Adobe Says Does Not Anticipate Paying Any Cash Dividends In The Foreseeable Future",0.6,0.8,4589,"ADOBE INC",2,NA,129,35,0,"2019-01-25",75510,-1.26556064933538,0.992042675941462,4.9193727290219,-1.05246054008603,-0.529017205340154,-1.99991794053519,0.9853,-0.6116,1.2736,0.9,0.46,-0.35,0.01,0.0655,-2.9237,-1.0864,"decrease"
"Adobe Filing Shows Registration For Mixed Securities Offering",0.3,0.6,4597,"ADOBE INC",2,NA,118,30,1,"2019-01-25",75510,-1.26556064933538,0.992042675941462,4.9193727290219,-1.05246054008603,-0.529017205340154,-1.99991794053519,0.9853,-0.6116,1.2736,0.9,0.46,-0.35,0.01,0.0655,-2.9237,-1.0864,"uncertain"
"Adobe Acquires Allegorithmic; Terms Not Disclosed",0.7,0.8,4605,"ADOBE INC",2,NA,121,29,2,"2019-01-23",75510,-1.05246054008603,-1.00758782654086,3.75703974702477,-1.47872343659401,-0.225035853263211,0.785290106784409,0.529,0.0313,1.2776,0.15,-0.39,-0.13,0.01,-1.2331,-3.7333,-3.9748,"increase"
"Hearing M Science Initiated Positive Coverage On Adobe, Citing Revenue Strength; Unconfirmed",0.7,0.8,4613,"ADOBE INC",2,NA,128,29,2,"2019-01-17",75510,1.2725044041872,0.225042277522292,1.21931746889568,-0.169171346351504,3.15057972881387,1.85223916920387,1.0126,-0.3057,1.2806,0.75,0.11,-0.24,0.01,-0.5874,-1.5583,-3.8704,"increase"
"Stephens & Co. Initiates Coverage On Adobe with Equal-Weight Rating, Announces $278 Price Target",0.3,0.6,4621,"ADOBE INC",2,NA,131,35,1,"2019-01-17",75510,1.2725044041872,0.225042277522292,1.21931746889568,-0.169171346351504,3.15057972881387,1.85223916920387,1.0126,-0.3057,1.2806,0.75,0.11,-0.24,0.01,-0.5874,-1.5583,-3.8704,"uncertain"
"Adobe shares are trading higher after Atlantic Equities initiated coverage on the stock with a Neutral rating and a price target of $250.",0.5,0.7,4629,"ADOBE INC",2,NA,135,29,2,"2019-01-09",75510,0.993930920958519,2.76940265714809,3.02850341751546,1.49175534024835,2.86926486435564,7.87204277103541,1.1819,0.708,1.2937,0.56,0.46,0.1,0.01,0.4529,3.0272,2.0805,"increase"
"Atlantic Equities Initiates Coverage On Adobe with Neutral Rating, Announces $250 Price Target",0.5,0.7,4637,"ADOBE INC",2,NA,127,35,0,"2019-01-09",75510,0.993930920958519,2.76940265714809,3.02850341751546,1.49175534024835,2.86926486435564,7.87204277103541,1.1819,0.708,1.2937,0.56,0.46,0.1,0.01,0.4529,3.0272,2.0805,"decrease"
"Pivotal Research Upgrades Adobe to Buy, Raises Price Target to $262",0.7,0.9,4645,"ADOBE INC",2,NA,126,24,2,"2019-01-07",75510,1.49175534024835,2.31178711500688,6.36395903690838,4.86323870718479,0.721376537803264,-0.0221016543690222,1.3573,-0.8371,1.2931,0.94,1,-0.75,0.01,-1.5239,0.0290000000000002,1.7897,"increase"
"Raymond James Upgrades Agree Realty to Strong Buy",0.7,0.85,4653,"AGREE REALTY CORP",2,NA,124,29,2,"2019-01-08",80412,-1.0601282119751,1.54050071002259,1.52393893800948,0.494039012119174,0.152801592475238,2.39541930865816,2.3394,1.8985,0.3075,1.01,0.53,-0.63,0.01,0.6205,2.9523,2.8248,"increase"
"RBC Capital Downgrades Analog Devices to Sector Perform",0.6,0.8,4661,"ANALOG DEVICES INC",2,NA,123,30,0,"2019-01-04",60871,0.62885070219636,8.91280067954014,10.4849410831498,-6.04049675166607,-5.94197629024217,-5.53474802315252,2.4278,-1.7221,1.0703,3.55,0.41,-0.7,0.01,-2.4826,2.9613,1.8111,"decrease"
"UPDATE: Archer-Daniels-Midland CEO Says Pursuing Growth Through Smaller Acquisitions, Joint Ventures",0.5,0.7,4669,"ARCHER DANIELS MIDLAND CO",2,NA,140,29,2,"2019-01-16",10516,0.254042982123792,0.854500964106197,3.69515539147167,1.47024756297469,0.741426514683519,0.253632907048562,-0.414,-0.9013,0.7431,0.28,0.04,0.92,0.01,-1.1596,-0.6864,0.7701,"increase"
"Archer-Daniels-Midland Says Its The Wrong Time For 'Monster' Acquistions",0.3,0.6,4677,"ARCHER DANIELS MIDLAND CO",2,NA,138,35,1,"2019-01-16",10516,0.254042982123792,0.854500964106197,3.69515539147167,1.47024756297469,0.741426514683519,0.253632907048562,-0.414,-0.9013,0.7431,0.28,0.04,0.92,0.01,-1.1596,-0.6864,0.7701,"uncertain"
"ADMA Biologics Submits Response and Provides Supplemental Information to FDA for BIVIGAM CRL",0.4,0.6,4685,"ADMA BIOLOGICS INC",2,NA,135,30,1,"2019-01-07",15056,8.59872549772263,5.41400765860145,8.28025440085072,4.98221032321453,12.595426640283,23.4309593930063,6.4407,4.7166,0.8566,0.94,1,-0.75,0.01,11.9891,8.3873,10.2601,"uncertain"
"ADP shares are trading higher after the company announced better than expected Q4 EPS and revenue results. The company expects 2019 EPS to increase 18% to 20%.",0.8,0.9,4693,"AUTOMATIC DATA PROCESSING INC",2,NA,149,29,2,"2019-01-30",44644,0.308437459170818,4.3970944356853,7.92626261048874,-1.1070110835135,-1.76673531145319,-0.556586323661867,4.0373,2.2657,0.9799,1.51,-0.15,-0.94,0.01,1.4074,4.2912,6.8293,"increase"
"Automatic Data Sees FY19 EPS Up 18%-20%",0.8,0.9,4701,"AUTOMATIC DATA PROCESSING INC",2,NA,126,35,2,"2019-01-30",44644,0.308437459170818,4.3970944356853,7.92626261048874,-1.1070110835135,-1.76673531145319,-0.556586323661867,4.0373,2.2657,0.9799,1.51,-0.15,-0.94,0.01,1.4074,4.2912,6.8293,"increase"
"Morgan Stanley Downgrades Autodesk to Equal-Weight, Lowers Price Target to $150",0.7,0.9,4717,"AUTODESK INC",2,NA,128,34,0,"2019-01-15",85631,-0.426848558709025,1.18486937632223,7.44774411596616,-1.45532060414553,-1.43369658345899,-1.47693513874257,0.8386,-1.6744,1.4321,1.06,0,-0.88,0.01,-1.5262,-0.2748,2.7187,"decrease"
"Atlantic Equities Initiates Coverage On Autodesk with Overweight Rating, Announces $180 Price Target",0.7,0.85,4725,"AUTODESK INC",2,NA,128,33,2,"2019-01-09",85631,-0.0438674818724393,-1.07479798187398,-0.526432173512015,0.866481196135283,4.35765230278156,9.86458500528364,2.1663,1.2614,1.4406,0.56,0.46,0.1,0.01,0.0754000000000001,-0.5156,-0.8386,"increase"
"Needham Downgrades Adtran to Hold",0.6,0.8,4733,"ADTRAN HOLDINGS INC",2,NA,121,25,0,"2019-01-29",80791,0.962195079773664,-1.71821303304258,0.836411282495431,4.62962687015534,8.33332695439957,19.7228933037925,-0.953,-0.7877,0.8233,-0.19,-0.01,0.17,0.01,-0.9566,-5.9716,-4.4068,"decrease"
"ADTRAN Shares Spike Higher As Exec On Call Issues Correction Moving Q1 Sales Guidance Sharply Higher; Originally Said Q1 Sales Guidance For $100-$142M, But Was Supposed To Be $140M-$142M",0.8,0.9,4741,"ADTRAN HOLDINGS INC",2,NA,157,35,2,"2019-01-24",80791,3.53981964290142,7.52211999737367,5.3783742593605,4.15959879755974,3.19596389115187,3.36984481602258,10.5134,9.8808,0.8267,0.23,0.44,-0.01,0.01,12.1495,15.0086,12.7079,"increase"
"Adtran Late Wednesday Reported Q4 EPS $(0.12) Misses $(0.03) Estimate, Sales $140.088M Beat $134.78M Estimate",0.4,0.6,4749,"ADTRAN HOLDINGS INC",2,NA,148,35,1,"2019-01-24",80791,3.53981964290142,7.52211999737367,5.3783742593605,4.15959879755974,3.19596389115187,3.36984481602258,10.5134,9.8808,0.8267,0.23,0.44,-0.01,0.01,12.1495,15.0086,12.7079,"uncertain"
"Citigroup Downgrades Aegon to Sell",0.7,0.9,4757,"AEGON N V",2,NA,122,34,0,"2019-01-17",85172,2.97619234770536,2.97619231781243,2.57936731583117,2.41449438035488,1.59680482202496,3.03643914939258,-0.9823,-1.4764,0.9529,0.75,0.11,-0.24,0.01,0.1694,0.5458,-0.5595,"decrease"
"Aehr Receives Order From a New Customer for FOX-NP System  for Production Test and Burn-in of Silicon Photonics Devices",0.7,0.8,4765,"AEHR TEST SYSTEMS",2,NA,138,35,2,"2019-01-23",85272,-1.83486063033342,11.9266049138919,28.4403607721854,-0.884954910725355,5.66038352233298,-1.75438422502052,-2.6786,-2.6877,0.8099,0.15,-0.39,-0.13,0.01,-4.9488,7.0832,18.787,"increase"
"Aehr Test Systems shares are trading lower after the company cut FY19 sales guidance and missed the Q2 sales estimate.",0.8,0.9,4773,"AEHR TEST SYSTEMS",2,NA,135,34,0,"2019-01-11",85272,-9.85915437340736,-20.4225330885923,-16.9014095420871,25.5033552646637,37.4999988028479,37.4999988028479,-24.0642,-24.0598,0.8422,-0.01,0.12,0.22,0.01,-32.6368,-47.0621,-41.297,"decrease"
"Aehr Test Systems Cuts FY19 Sales Guidance From $30M-$35M To $20M-$25M vs $30.16M Est.",0.8,0.9,4781,"AEHR TEST SYSTEMS",2,NA,142,30,0,"2019-01-10",85272,-24.0641742944717,-43.315511702326,-41.17647001429,9.55882295966148,9.55882295966148,3.47221878180708,25.5034,24.9902,0.8572,0.42,0.03,-0.46,0.01,0.930400000000002,-27.9277,-24.6482,"decrease"
"Aehr Test Systems Cuts Guidance",0.7,0.8,4789,"AEHR TEST SYSTEMS",2,NA,118,34,0,"2019-01-10",85272,-24.0641742944717,-43.315511702326,-41.17647001429,9.55882295966148,9.55882295966148,3.47221878180708,25.5034,24.9902,0.8572,0.42,0.03,-0.46,0.01,0.930400000000002,-27.9277,-24.6482,"decrease"
"Aehr Test Systems Q2 EPS $(0.02), Inline, Sales $5.9M Miss $6.07M Estimate",0.6,0.8,4797,"AEHR TEST SYSTEMS",2,NA,139,25,0,"2019-01-10",85272,-24.0641742944717,-43.315511702326,-41.17647001429,9.55882295966148,9.55882295966148,3.47221878180708,25.5034,24.9902,0.8572,0.42,0.03,-0.46,0.01,0.930400000000002,-27.9277,-24.6482,"decrease"
"American Eagle Outfitters shares are trading higher after the company reaffirmed Q4 EPS guidance.",0.6,0.8,4805,"AMERICAN EAGLE OUTFITTERS INC NE",2,NA,141,29,2,"2019-01-14",80432,-0.45385854318738,2.52143199683452,5.84972150316454,2.76474021375179,-0.404448397134438,-0.253160547191378,0.6599,1.8046,0.9698,-0.6,-0.59,0.94,0.01,0.519,3.2315,5.7067,"increase"
"American Eagle Outfitters Reaffirms Q4 EPS Guidance Of $0.40-$0.42 vs $0.42 Est.",0.5,0.7,4813,"AMERICAN EAGLE OUTFITTERS INC NE",2,NA,150,35,0,"2019-01-14",80432,-0.45385854318738,2.52143199683452,5.84972150316454,2.76474021375179,-0.404448397134438,-0.253160547191378,0.6599,1.8046,0.9698,-0.6,-0.59,0.94,0.01,0.519,3.2315,5.7067,"decrease"
"American Eagle Outfitters Reports Q4 Comps Up 6%",0.6,0.8,4821,"AMERICAN EAGLE OUTFITTERS INC NE",2,NA,136,33,2,"2019-01-14",80432,-0.45385854318738,2.52143199683452,5.84972150316454,2.76474021375179,-0.404448397134438,-0.253160547191378,0.6599,1.8046,0.9698,-0.6,-0.59,0.94,0.01,0.519,3.2315,5.7067,"increase"
