"combination_id","train_proportion","prompt","model","variable","major_topic"
97,0.05,1,"gpt-3.5","Democrat",3
98,0.1,1,"gpt-3.5","Democrat",3
99,0.25,1,"gpt-3.5","Democrat",3
100,0.5,1,"gpt-3.5","Democrat",3
101,0.05,2,"gpt-3.5","Democrat",3
102,0.1,2,"gpt-3.5","Democrat",3
103,0.25,2,"gpt-3.5","Democrat",3
104,0.5,2,"gpt-3.5","Democrat",3
105,0.05,3,"gpt-3.5","Democrat",3
106,0.1,3,"gpt-3.5","Democrat",3
107,0.25,3,"gpt-3.5","Democrat",3
108,0.5,3,"gpt-3.5","Democrat",3
109,0.05,4,"gpt-3.5","Democrat",3
110,0.1,4,"gpt-3.5","Democrat",3
111,0.25,4,"gpt-3.5","Democrat",3
112,0.5,4,"gpt-3.5","Democrat",3
113,0.05,5,"gpt-3.5","Democrat",3
114,0.1,5,"gpt-3.5","Democrat",3
115,0.25,5,"gpt-3.5","Democrat",3
116,0.5,5,"gpt-3.5","Democrat",3
117,0.05,6,"gpt-3.5","Democrat",3
118,0.1,6,"gpt-3.5","Democrat",3
119,0.25,6,"gpt-3.5","Democrat",3
120,0.5,6,"gpt-3.5","Democrat",3
121,0.05,7,"gpt-3.5","Democrat",3
122,0.1,7,"gpt-3.5","Democrat",3
123,0.25,7,"gpt-3.5","Democrat",3
124,0.5,7,"gpt-3.5","Democrat",3
125,0.05,8,"gpt-3.5","Democrat",3
126,0.1,8,"gpt-3.5","Democrat",3
127,0.25,8,"gpt-3.5","Democrat",3
128,0.5,8,"gpt-3.5","Democrat",3
129,0.05,9,"gpt-3.5","Democrat",3
130,0.1,9,"gpt-3.5","Democrat",3
131,0.25,9,"gpt-3.5","Democrat",3
132,0.5,9,"gpt-3.5","Democrat",3
133,0.05,10,"gpt-3.5","Democrat",3
134,0.1,10,"gpt-3.5","Democrat",3
135,0.25,10,"gpt-3.5","Democrat",3
136,0.5,10,"gpt-3.5","Democrat",3
137,0.05,11,"gpt-3.5","Democrat",3
138,0.1,11,"gpt-3.5","Democrat",3
139,0.25,11,"gpt-3.5","Democrat",3
140,0.5,11,"gpt-3.5","Democrat",3
141,0.05,12,"gpt-3.5","Democrat",3
142,0.1,12,"gpt-3.5","Democrat",3
143,0.25,12,"gpt-3.5","Democrat",3
144,0.5,12,"gpt-3.5","Democrat",3
145,0.05,1,"gpt-4o","Democrat",3
146,0.1,1,"gpt-4o","Democrat",3
147,0.25,1,"gpt-4o","Democrat",3
148,0.5,1,"gpt-4o","Democrat",3
149,0.05,2,"gpt-4o","Democrat",3
150,0.1,2,"gpt-4o","Democrat",3
151,0.25,2,"gpt-4o","Democrat",3
152,0.5,2,"gpt-4o","Democrat",3
153,0.05,3,"gpt-4o","Democrat",3
154,0.1,3,"gpt-4o","Democrat",3
155,0.25,3,"gpt-4o","Democrat",3
156,0.5,3,"gpt-4o","Democrat",3
157,0.05,4,"gpt-4o","Democrat",3
158,0.1,4,"gpt-4o","Democrat",3
159,0.25,4,"gpt-4o","Democrat",3
160,0.5,4,"gpt-4o","Democrat",3
161,0.05,5,"gpt-4o","Democrat",3
162,0.1,5,"gpt-4o","Democrat",3
163,0.25,5,"gpt-4o","Democrat",3
164,0.5,5,"gpt-4o","Democrat",3
165,0.05,6,"gpt-4o","Democrat",3
166,0.1,6,"gpt-4o","Democrat",3
167,0.25,6,"gpt-4o","Democrat",3
168,0.5,6,"gpt-4o","Democrat",3
169,0.05,7,"gpt-4o","Democrat",3
170,0.1,7,"gpt-4o","Democrat",3
171,0.25,7,"gpt-4o","Democrat",3
172,0.5,7,"gpt-4o","Democrat",3
173,0.05,8,"gpt-4o","Democrat",3
174,0.1,8,"gpt-4o","Democrat",3
175,0.25,8,"gpt-4o","Democrat",3
176,0.5,8,"gpt-4o","Democrat",3
177,0.05,9,"gpt-4o","Democrat",3
178,0.1,9,"gpt-4o","Democrat",3
179,0.25,9,"gpt-4o","Democrat",3
180,0.5,9,"gpt-4o","Democrat",3
181,0.05,10,"gpt-4o","Democrat",3
182,0.1,10,"gpt-4o","Democrat",3
183,0.25,10,"gpt-4o","Democrat",3
184,0.5,10,"gpt-4o","Democrat",3
185,0.05,11,"gpt-4o","Democrat",3
186,0.1,11,"gpt-4o","Democrat",3
187,0.25,11,"gpt-4o","Democrat",3
188,0.5,11,"gpt-4o","Democrat",3
189,0.05,12,"gpt-4o","Democrat",3
190,0.1,12,"gpt-4o","Democrat",3
191,0.25,12,"gpt-4o","Democrat",3
192,0.5,12,"gpt-4o","Democrat",3
193,0.05,1,"gpt-3.5","DW1",3
194,0.1,1,"gpt-3.5","DW1",3
195,0.25,1,"gpt-3.5","DW1",3
196,0.5,1,"gpt-3.5","DW1",3
197,0.05,2,"gpt-3.5","DW1",3
198,0.1,2,"gpt-3.5","DW1",3
199,0.25,2,"gpt-3.5","DW1",3
200,0.5,2,"gpt-3.5","DW1",3
201,0.05,3,"gpt-3.5","DW1",3
202,0.1,3,"gpt-3.5","DW1",3
203,0.25,3,"gpt-3.5","DW1",3
204,0.5,3,"gpt-3.5","DW1",3
205,0.05,4,"gpt-3.5","DW1",3
206,0.1,4,"gpt-3.5","DW1",3
207,0.25,4,"gpt-3.5","DW1",3
208,0.5,4,"gpt-3.5","DW1",3
209,0.05,5,"gpt-3.5","DW1",3
210,0.1,5,"gpt-3.5","DW1",3
211,0.25,5,"gpt-3.5","DW1",3
212,0.5,5,"gpt-3.5","DW1",3
213,0.05,6,"gpt-3.5","DW1",3
214,0.1,6,"gpt-3.5","DW1",3
215,0.25,6,"gpt-3.5","DW1",3
216,0.5,6,"gpt-3.5","DW1",3
217,0.05,7,"gpt-3.5","DW1",3
218,0.1,7,"gpt-3.5","DW1",3
219,0.25,7,"gpt-3.5","DW1",3
220,0.5,7,"gpt-3.5","DW1",3
221,0.05,8,"gpt-3.5","DW1",3
222,0.1,8,"gpt-3.5","DW1",3
223,0.25,8,"gpt-3.5","DW1",3
224,0.5,8,"gpt-3.5","DW1",3
225,0.05,9,"gpt-3.5","DW1",3
226,0.1,9,"gpt-3.5","DW1",3
227,0.25,9,"gpt-3.5","DW1",3
228,0.5,9,"gpt-3.5","DW1",3
229,0.05,10,"gpt-3.5","DW1",3
230,0.1,10,"gpt-3.5","DW1",3
231,0.25,10,"gpt-3.5","DW1",3
232,0.5,10,"gpt-3.5","DW1",3
233,0.05,11,"gpt-3.5","DW1",3
234,0.1,11,"gpt-3.5","DW1",3
235,0.25,11,"gpt-3.5","DW1",3
236,0.5,11,"gpt-3.5","DW1",3
237,0.05,12,"gpt-3.5","DW1",3
238,0.1,12,"gpt-3.5","DW1",3
239,0.25,12,"gpt-3.5","DW1",3
240,0.5,12,"gpt-3.5","DW1",3
241,0.05,1,"gpt-4o","DW1",3
242,0.1,1,"gpt-4o","DW1",3
243,0.25,1,"gpt-4o","DW1",3
244,0.5,1,"gpt-4o","DW1",3
245,0.05,2,"gpt-4o","DW1",3
246,0.1,2,"gpt-4o","DW1",3
247,0.25,2,"gpt-4o","DW1",3
248,0.5,2,"gpt-4o","DW1",3
249,0.05,3,"gpt-4o","DW1",3
250,0.1,3,"gpt-4o","DW1",3
251,0.25,3,"gpt-4o","DW1",3
252,0.5,3,"gpt-4o","DW1",3
253,0.05,4,"gpt-4o","DW1",3
254,0.1,4,"gpt-4o","DW1",3
255,0.25,4,"gpt-4o","DW1",3
256,0.5,4,"gpt-4o","DW1",3
257,0.05,5,"gpt-4o","DW1",3
258,0.1,5,"gpt-4o","DW1",3
259,0.25,5,"gpt-4o","DW1",3
260,0.5,5,"gpt-4o","DW1",3
261,0.05,6,"gpt-4o","DW1",3
262,0.1,6,"gpt-4o","DW1",3
263,0.25,6,"gpt-4o","DW1",3
264,0.5,6,"gpt-4o","DW1",3
265,0.05,7,"gpt-4o","DW1",3
266,0.1,7,"gpt-4o","DW1",3
267,0.25,7,"gpt-4o","DW1",3
268,0.5,7,"gpt-4o","DW1",3
269,0.05,8,"gpt-4o","DW1",3
270,0.1,8,"gpt-4o","DW1",3
271,0.25,8,"gpt-4o","DW1",3
272,0.5,8,"gpt-4o","DW1",3
273,0.05,9,"gpt-4o","DW1",3
274,0.1,9,"gpt-4o","DW1",3
275,0.25,9,"gpt-4o","DW1",3
276,0.5,9,"gpt-4o","DW1",3
277,0.05,10,"gpt-4o","DW1",3
278,0.1,10,"gpt-4o","DW1",3
279,0.25,10,"gpt-4o","DW1",3
280,0.5,10,"gpt-4o","DW1",3
281,0.05,11,"gpt-4o","DW1",3
282,0.1,11,"gpt-4o","DW1",3
283,0.25,11,"gpt-4o","DW1",3
284,0.5,11,"gpt-4o","DW1",3
285,0.05,12,"gpt-4o","DW1",3
286,0.1,12,"gpt-4o","DW1",3
287,0.25,12,"gpt-4o","DW1",3
288,0.5,12,"gpt-4o","DW1",3
289,0.05,1,"gpt-3.5","Senate",14
290,0.1,1,"gpt-3.5","Senate",14
291,0.25,1,"gpt-3.5","Senate",14
292,0.5,1,"gpt-3.5","Senate",14
293,0.05,2,"gpt-3.5","Senate",14
294,0.1,2,"gpt-3.5","Senate",14
295,0.25,2,"gpt-3.5","Senate",14
296,0.5,2,"gpt-3.5","Senate",14
297,0.05,3,"gpt-3.5","Senate",14
298,0.1,3,"gpt-3.5","Senate",14
299,0.25,3,"gpt-3.5","Senate",14
300,0.5,3,"gpt-3.5","Senate",14
301,0.05,4,"gpt-3.5","Senate",14
302,0.1,4,"gpt-3.5","Senate",14
303,0.25,4,"gpt-3.5","Senate",14
304,0.5,4,"gpt-3.5","Senate",14
305,0.05,5,"gpt-3.5","Senate",14
306,0.1,5,"gpt-3.5","Senate",14
307,0.25,5,"gpt-3.5","Senate",14
308,0.5,5,"gpt-3.5","Senate",14
309,0.05,6,"gpt-3.5","Senate",14
310,0.1,6,"gpt-3.5","Senate",14
311,0.25,6,"gpt-3.5","Senate",14
312,0.5,6,"gpt-3.5","Senate",14
313,0.05,7,"gpt-3.5","Senate",14
314,0.1,7,"gpt-3.5","Senate",14
315,0.25,7,"gpt-3.5","Senate",14
316,0.5,7,"gpt-3.5","Senate",14
317,0.05,8,"gpt-3.5","Senate",14
318,0.1,8,"gpt-3.5","Senate",14
319,0.25,8,"gpt-3.5","Senate",14
320,0.5,8,"gpt-3.5","Senate",14
321,0.05,9,"gpt-3.5","Senate",14
322,0.1,9,"gpt-3.5","Senate",14
323,0.25,9,"gpt-3.5","Senate",14
324,0.5,9,"gpt-3.5","Senate",14
325,0.05,10,"gpt-3.5","Senate",14
326,0.1,10,"gpt-3.5","Senate",14
327,0.25,10,"gpt-3.5","Senate",14
328,0.5,10,"gpt-3.5","Senate",14
329,0.05,11,"gpt-3.5","Senate",14
330,0.1,11,"gpt-3.5","Senate",14
331,0.25,11,"gpt-3.5","Senate",14
332,0.5,11,"gpt-3.5","Senate",14
333,0.05,12,"gpt-3.5","Senate",14
334,0.1,12,"gpt-3.5","Senate",14
335,0.25,12,"gpt-3.5","Senate",14
336,0.5,12,"gpt-3.5","Senate",14
337,0.05,1,"gpt-4o","Senate",14
338,0.1,1,"gpt-4o","Senate",14
339,0.25,1,"gpt-4o","Senate",14
340,0.5,1,"gpt-4o","Senate",14
341,0.05,2,"gpt-4o","Senate",14
342,0.1,2,"gpt-4o","Senate",14
343,0.25,2,"gpt-4o","Senate",14
344,0.5,2,"gpt-4o","Senate",14
345,0.05,3,"gpt-4o","Senate",14
346,0.1,3,"gpt-4o","Senate",14
347,0.25,3,"gpt-4o","Senate",14
348,0.5,3,"gpt-4o","Senate",14
349,0.05,4,"gpt-4o","Senate",14
350,0.1,4,"gpt-4o","Senate",14
351,0.25,4,"gpt-4o","Senate",14
352,0.5,4,"gpt-4o","Senate",14
353,0.05,5,"gpt-4o","Senate",14
354,0.1,5,"gpt-4o","Senate",14
355,0.25,5,"gpt-4o","Senate",14
356,0.5,5,"gpt-4o","Senate",14
357,0.05,6,"gpt-4o","Senate",14
358,0.1,6,"gpt-4o","Senate",14
359,0.25,6,"gpt-4o","Senate",14
360,0.5,6,"gpt-4o","Senate",14
361,0.05,7,"gpt-4o","Senate",14
362,0.1,7,"gpt-4o","Senate",14
363,0.25,7,"gpt-4o","Senate",14
364,0.5,7,"gpt-4o","Senate",14
365,0.05,8,"gpt-4o","Senate",14
366,0.1,8,"gpt-4o","Senate",14
367,0.25,8,"gpt-4o","Senate",14
368,0.5,8,"gpt-4o","Senate",14
369,0.05,9,"gpt-4o","Senate",14
370,0.1,9,"gpt-4o","Senate",14
371,0.25,9,"gpt-4o","Senate",14
372,0.5,9,"gpt-4o","Senate",14
373,0.05,10,"gpt-4o","Senate",14
374,0.1,10,"gpt-4o","Senate",14
375,0.25,10,"gpt-4o","Senate",14
376,0.5,10,"gpt-4o","Senate",14
377,0.05,11,"gpt-4o","Senate",14
378,0.1,11,"gpt-4o","Senate",14
379,0.25,11,"gpt-4o","Senate",14
380,0.5,11,"gpt-4o","Senate",14
381,0.05,12,"gpt-4o","Senate",14
382,0.1,12,"gpt-4o","Senate",14
383,0.25,12,"gpt-4o","Senate",14
384,0.5,12,"gpt-4o","Senate",14
385,0.05,1,"gpt-3.5","Democrat",14
386,0.1,1,"gpt-3.5","Democrat",14
387,0.25,1,"gpt-3.5","Democrat",14
388,0.5,1,"gpt-3.5","Democrat",14
389,0.05,2,"gpt-3.5","Democrat",14
390,0.1,2,"gpt-3.5","Democrat",14
391,0.25,2,"gpt-3.5","Democrat",14
392,0.5,2,"gpt-3.5","Democrat",14
393,0.05,3,"gpt-3.5","Democrat",14
394,0.1,3,"gpt-3.5","Democrat",14
395,0.25,3,"gpt-3.5","Democrat",14
396,0.5,3,"gpt-3.5","Democrat",14
397,0.05,4,"gpt-3.5","Democrat",14
398,0.1,4,"gpt-3.5","Democrat",14
399,0.25,4,"gpt-3.5","Democrat",14
400,0.5,4,"gpt-3.5","Democrat",14
401,0.05,5,"gpt-3.5","Democrat",14
402,0.1,5,"gpt-3.5","Democrat",14
403,0.25,5,"gpt-3.5","Democrat",14
404,0.5,5,"gpt-3.5","Democrat",14
405,0.05,6,"gpt-3.5","Democrat",14
406,0.1,6,"gpt-3.5","Democrat",14
407,0.25,6,"gpt-3.5","Democrat",14
408,0.5,6,"gpt-3.5","Democrat",14
409,0.05,7,"gpt-3.5","Democrat",14
410,0.1,7,"gpt-3.5","Democrat",14
411,0.25,7,"gpt-3.5","Democrat",14
412,0.5,7,"gpt-3.5","Democrat",14
413,0.05,8,"gpt-3.5","Democrat",14
414,0.1,8,"gpt-3.5","Democrat",14
415,0.25,8,"gpt-3.5","Democrat",14
416,0.5,8,"gpt-3.5","Democrat",14
417,0.05,9,"gpt-3.5","Democrat",14
418,0.1,9,"gpt-3.5","Democrat",14
419,0.25,9,"gpt-3.5","Democrat",14
420,0.5,9,"gpt-3.5","Democrat",14
421,0.05,10,"gpt-3.5","Democrat",14
422,0.1,10,"gpt-3.5","Democrat",14
423,0.25,10,"gpt-3.5","Democrat",14
424,0.5,10,"gpt-3.5","Democrat",14
425,0.05,11,"gpt-3.5","Democrat",14
426,0.1,11,"gpt-3.5","Democrat",14
427,0.25,11,"gpt-3.5","Democrat",14
428,0.5,11,"gpt-3.5","Democrat",14
429,0.05,12,"gpt-3.5","Democrat",14
430,0.1,12,"gpt-3.5","Democrat",14
431,0.25,12,"gpt-3.5","Democrat",14
432,0.5,12,"gpt-3.5","Democrat",14
433,0.05,1,"gpt-4o","Democrat",14
434,0.1,1,"gpt-4o","Democrat",14
435,0.25,1,"gpt-4o","Democrat",14
436,0.5,1,"gpt-4o","Democrat",14
437,0.05,2,"gpt-4o","Democrat",14
438,0.1,2,"gpt-4o","Democrat",14
439,0.25,2,"gpt-4o","Democrat",14
440,0.5,2,"gpt-4o","Democrat",14
441,0.05,3,"gpt-4o","Democrat",14
442,0.1,3,"gpt-4o","Democrat",14
443,0.25,3,"gpt-4o","Democrat",14
444,0.5,3,"gpt-4o","Democrat",14
445,0.05,4,"gpt-4o","Democrat",14
446,0.1,4,"gpt-4o","Democrat",14
447,0.25,4,"gpt-4o","Democrat",14
448,0.5,4,"gpt-4o","Democrat",14
449,0.05,5,"gpt-4o","Democrat",14
450,0.1,5,"gpt-4o","Democrat",14
451,0.25,5,"gpt-4o","Democrat",14
452,0.5,5,"gpt-4o","Democrat",14
453,0.05,6,"gpt-4o","Democrat",14
454,0.1,6,"gpt-4o","Democrat",14
455,0.25,6,"gpt-4o","Democrat",14
456,0.5,6,"gpt-4o","Democrat",14
457,0.05,7,"gpt-4o","Democrat",14
458,0.1,7,"gpt-4o","Democrat",14
459,0.25,7,"gpt-4o","Democrat",14
460,0.5,7,"gpt-4o","Democrat",14
461,0.05,8,"gpt-4o","Democrat",14
462,0.1,8,"gpt-4o","Democrat",14
463,0.25,8,"gpt-4o","Democrat",14
464,0.5,8,"gpt-4o","Democrat",14
465,0.05,9,"gpt-4o","Democrat",14
466,0.1,9,"gpt-4o","Democrat",14
467,0.25,9,"gpt-4o","Democrat",14
468,0.5,9,"gpt-4o","Democrat",14
469,0.05,10,"gpt-4o","Democrat",14
470,0.1,10,"gpt-4o","Democrat",14
471,0.25,10,"gpt-4o","Democrat",14
472,0.5,10,"gpt-4o","Democrat",14
473,0.05,11,"gpt-4o","Democrat",14
474,0.1,11,"gpt-4o","Democrat",14
475,0.25,11,"gpt-4o","Democrat",14
476,0.5,11,"gpt-4o","Democrat",14
477,0.05,12,"gpt-4o","Democrat",14
478,0.1,12,"gpt-4o","Democrat",14
479,0.25,12,"gpt-4o","Democrat",14
480,0.5,12,"gpt-4o","Democrat",14
481,0.05,1,"gpt-3.5","DW1",14
482,0.1,1,"gpt-3.5","DW1",14
483,0.25,1,"gpt-3.5","DW1",14
484,0.5,1,"gpt-3.5","DW1",14
485,0.05,2,"gpt-3.5","DW1",14
486,0.1,2,"gpt-3.5","DW1",14
487,0.25,2,"gpt-3.5","DW1",14
488,0.5,2,"gpt-3.5","DW1",14
489,0.05,3,"gpt-3.5","DW1",14
490,0.1,3,"gpt-3.5","DW1",14
491,0.25,3,"gpt-3.5","DW1",14
492,0.5,3,"gpt-3.5","DW1",14
493,0.05,4,"gpt-3.5","DW1",14
494,0.1,4,"gpt-3.5","DW1",14
495,0.25,4,"gpt-3.5","DW1",14
496,0.5,4,"gpt-3.5","DW1",14
497,0.05,5,"gpt-3.5","DW1",14
498,0.1,5,"gpt-3.5","DW1",14
499,0.25,5,"gpt-3.5","DW1",14
500,0.5,5,"gpt-3.5","DW1",14
501,0.05,6,"gpt-3.5","DW1",14
502,0.1,6,"gpt-3.5","DW1",14
503,0.25,6,"gpt-3.5","DW1",14
504,0.5,6,"gpt-3.5","DW1",14
505,0.05,7,"gpt-3.5","DW1",14
506,0.1,7,"gpt-3.5","DW1",14
507,0.25,7,"gpt-3.5","DW1",14
508,0.5,7,"gpt-3.5","DW1",14
509,0.05,8,"gpt-3.5","DW1",14
510,0.1,8,"gpt-3.5","DW1",14
511,0.25,8,"gpt-3.5","DW1",14
512,0.5,8,"gpt-3.5","DW1",14
513,0.05,9,"gpt-3.5","DW1",14
514,0.1,9,"gpt-3.5","DW1",14
515,0.25,9,"gpt-3.5","DW1",14
516,0.5,9,"gpt-3.5","DW1",14
517,0.05,10,"gpt-3.5","DW1",14
518,0.1,10,"gpt-3.5","DW1",14
519,0.25,10,"gpt-3.5","DW1",14
520,0.5,10,"gpt-3.5","DW1",14
521,0.05,11,"gpt-3.5","DW1",14
522,0.1,11,"gpt-3.5","DW1",14
523,0.25,11,"gpt-3.5","DW1",14
524,0.5,11,"gpt-3.5","DW1",14
525,0.05,12,"gpt-3.5","DW1",14
526,0.1,12,"gpt-3.5","DW1",14
527,0.25,12,"gpt-3.5","DW1",14
528,0.5,12,"gpt-3.5","DW1",14
529,0.05,1,"gpt-4o","DW1",14
530,0.1,1,"gpt-4o","DW1",14
531,0.25,1,"gpt-4o","DW1",14
532,0.5,1,"gpt-4o","DW1",14
533,0.05,2,"gpt-4o","DW1",14
534,0.1,2,"gpt-4o","DW1",14
535,0.25,2,"gpt-4o","DW1",14
536,0.5,2,"gpt-4o","DW1",14
537,0.05,3,"gpt-4o","DW1",14
538,0.1,3,"gpt-4o","DW1",14
539,0.25,3,"gpt-4o","DW1",14
540,0.5,3,"gpt-4o","DW1",14
541,0.05,4,"gpt-4o","DW1",14
542,0.1,4,"gpt-4o","DW1",14
543,0.25,4,"gpt-4o","DW1",14
544,0.5,4,"gpt-4o","DW1",14
545,0.05,5,"gpt-4o","DW1",14
546,0.1,5,"gpt-4o","DW1",14
547,0.25,5,"gpt-4o","DW1",14
548,0.5,5,"gpt-4o","DW1",14
549,0.05,6,"gpt-4o","DW1",14
550,0.1,6,"gpt-4o","DW1",14
551,0.25,6,"gpt-4o","DW1",14
552,0.5,6,"gpt-4o","DW1",14
553,0.05,7,"gpt-4o","DW1",14
554,0.1,7,"gpt-4o","DW1",14
555,0.25,7,"gpt-4o","DW1",14
556,0.5,7,"gpt-4o","DW1",14
557,0.05,8,"gpt-4o","DW1",14
558,0.1,8,"gpt-4o","DW1",14
559,0.25,8,"gpt-4o","DW1",14
560,0.5,8,"gpt-4o","DW1",14
561,0.05,9,"gpt-4o","DW1",14
562,0.1,9,"gpt-4o","DW1",14
563,0.25,9,"gpt-4o","DW1",14
564,0.5,9,"gpt-4o","DW1",14
565,0.05,10,"gpt-4o","DW1",14
566,0.1,10,"gpt-4o","DW1",14
567,0.25,10,"gpt-4o","DW1",14
568,0.5,10,"gpt-4o","DW1",14
569,0.05,11,"gpt-4o","DW1",14
570,0.1,11,"gpt-4o","DW1",14
571,0.25,11,"gpt-4o","DW1",14
572,0.5,11,"gpt-4o","DW1",14
573,0.05,12,"gpt-4o","DW1",14
574,0.1,12,"gpt-4o","DW1",14
575,0.25,12,"gpt-4o","DW1",14
576,0.5,12,"gpt-4o","DW1",14
577,0.05,1,"gpt-3.5","Senate",15
578,0.1,1,"gpt-3.5","Senate",15
579,0.25,1,"gpt-3.5","Senate",15
580,0.5,1,"gpt-3.5","Senate",15
581,0.05,2,"gpt-3.5","Senate",15
582,0.1,2,"gpt-3.5","Senate",15
583,0.25,2,"gpt-3.5","Senate",15
584,0.5,2,"gpt-3.5","Senate",15
585,0.05,3,"gpt-3.5","Senate",15
586,0.1,3,"gpt-3.5","Senate",15
587,0.25,3,"gpt-3.5","Senate",15
588,0.5,3,"gpt-3.5","Senate",15
589,0.05,4,"gpt-3.5","Senate",15
590,0.1,4,"gpt-3.5","Senate",15
591,0.25,4,"gpt-3.5","Senate",15
592,0.5,4,"gpt-3.5","Senate",15
593,0.05,5,"gpt-3.5","Senate",15
594,0.1,5,"gpt-3.5","Senate",15
595,0.25,5,"gpt-3.5","Senate",15
596,0.5,5,"gpt-3.5","Senate",15
597,0.05,6,"gpt-3.5","Senate",15
598,0.1,6,"gpt-3.5","Senate",15
599,0.25,6,"gpt-3.5","Senate",15
600,0.5,6,"gpt-3.5","Senate",15
601,0.05,7,"gpt-3.5","Senate",15
602,0.1,7,"gpt-3.5","Senate",15
603,0.25,7,"gpt-3.5","Senate",15
604,0.5,7,"gpt-3.5","Senate",15
605,0.05,8,"gpt-3.5","Senate",15
606,0.1,8,"gpt-3.5","Senate",15
607,0.25,8,"gpt-3.5","Senate",15
608,0.5,8,"gpt-3.5","Senate",15
609,0.05,9,"gpt-3.5","Senate",15
610,0.1,9,"gpt-3.5","Senate",15
