headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,ret_f1,ret_f2,ret_f3,ret_f4,ret_f5,ret_f6,ret_f7,ret_f8,ret_f9,ret_f10,ret_f11,ret_f12,ret_f13,ret_f14,ret_f15,ret_f16,ret_f17,ret_f18,ret_f19,ret_f20,ret_f21,ret_f22,ret_f23,ret_f24,ret_f25,ret_f26,ret_f27,ret_f28,ret_f29,ret_f30,ret_f31,ret_f32,ret_f33,ret_f34,ret_f35,ret_f36,ret_f37,ret_f38,ret_f39,ret_f40,ret_f41,ret_f42,ret_f43,ret_f44,ret_f45,ret_f46,ret_f47,ret_f48,ret_f49,ret_f50,ret_f51,ret_f52,ret_f53,ret_f54,ret_f55,ret_f56,ret_f57,ret_f58,ret_f59,ret_f60,Mkt-RF,SMB,HML,RF,PERMNO,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,headline_word_count
CN Plans To Invest ~$345M In Co.'s Rail Network Across British Columbia,2019-03-20,CNI,2019-03-20 20:05:00+00:00,CANADIAN NATIONAL RAILWAY CO,84181.0,13637510,-0.00537697272375226,0.008626638911664486,-0.004715937513643298,-0.009431787814152326,0.01230733501015191,0.037267055633235735,0.06050143077640091,0.05617185711092065,-0.013542454689741135,-0.0019410615350780036,-0.0020549456254912446,-0.0019410614595372078,0.0159020552650464,0.05902771532322593,0.17477693617454282,-0.01404616329818964,0.007654701825231314,0.03840472176671028,0.02783992700278759,-0.009885329753160477,-0.009984024800360203,0.009681313298642635,-0.006791852414608002,0.04987931251525879,0.01436781603842974,0.00660998048260808,0.0155722675845027,0.004249021410942078,-0.01287712901830673,-0.0009317785734310746,-0.006155602168291807,0.005630687810480595,0.01773043908178806,-0.00495141139253974,0.0009215453756041825,-0.006628624629229307,-0.01223354693502188,-0.001501254038885236,-0.002631072886288166,-0.006595034617930651,-0.003414269769564271,-0.006471262779086828,-0.01398466248065233,0.003702955087646842,0.007767019793391228,0.002890129340812564,0.02363111637532711,0.02759011276066303,0.02027398347854614,0.0202291626483202,-0.000350946793332696,0.0247498657554388,0.03031861037015915,-0.008977571502327919,0.002684110775589943,-0.001338494708761573,-0.005863603204488754,-0.002359275240451097,-0.008277054876089096,-0.03440641239285469,-0.01217143516987562,0.01089286804199219,-0.005829391069710255,0.00799574889242649,0.002644130494445562,-0.00843881070613861,0.01542551256716251,-0.001222275081090629,-0.01241257134824991,-0.002301311120390892,-0.004435770213603973,0.01354479230940342,-0.008440294302999973,0.01702427864074707,0.01046211551874876,-0.39,0.02,-1.05,0.009,84181,252,-0.5377%,0.0008,0.8281,0.011,0.2672,1.0396%,1.3158%,37.5784%,0.0559%,12
Union Gaming Downgrades Century Casinos to Hold,2019-03-20,CNTY,2019-03-20 13:41:00+00:00,CENTURY CASINOS INC,79791.0,15649210,0.01027398928999901,0.006779600400477648,-0.016949217021348106,0.002259830350555214,-0.0033899084140623925,0.011299368231901141,0.03389821503980661,0.018079074028885644,-0.002277847845107317,-0.004545450154377129,-0.004545450154377129,0.019790462266516817,0.050359720824500354,0.1259640103377031,0.3374045803670296,-0.009385433979332447,0.03609290346503258,0.002177193062379956,-0.001520740799605846,0.009791139513254166,0.01357468403875828,-0.002763628028333187,0.01236414071172476,0.0366392470896244,0.02315660007297993,0.01608102768659592,-0.005275506991893053,-0.0337851345539093,-0.002032902557402849,-0.003055643290281296,0.01614223420619965,-0.003217370714992285,-0.05487192422151566,-0.0475987121462822,0.01636036671698093,0.0004410244291648269,0.01102049835026264,-0.01547850668430328,-0.03476527333259583,0.008258788846433163,0.004550642799586058,-0.01109856553375721,0.008932647295296192,0.008399521932005882,-0.04389907792210579,-0.01883689686655998,-0.02471799403429031,-0.002214570762589574,-0.03230573609471321,-0.01885834895074368,0.006493506487458944,0.01109678205102682,0.07503824681043625,-0.01448244601488113,-0.02216329053044319,0.007144639268517494,0.008806277066469193,0.03637245297431946,-0.01333653461188078,0.01588811911642551,-0.02684410661458969,0.02302717603743076,-0.01453699264675379,-0.03473707288503647,-0.001725405338220298,-0.02765429392457008,0.04570846259593964,-0.024040836840868,-0.01517782546579838,0.003537124488502741,-0.007552946917712688,0.01725013554096222,-0.2907730340957642,-0.006680749822407961,-0.03504423797130585,-0.39,0.02,-1.05,0.009,79791,252,1.0274%,0.0006,0.7493,0.8776,-0.0008,2.0059%,2.2139%,17.9077%,1.3171%,7
Capital One Financial Downgrades Callon Petroleum to Equal-Weight,2019-03-20,CPE,2019-03-20 13:43:00+00:00,CALLON PETROLEUM CO DEL,80926.0,13123X50,0.02800000458955765,0.02853434346616268,-0.032425421575946634,-0.04798960909082428,-0.007782093867084283,-0.07652401436665035,-0.08690014157877113,-0.22049284168478012,-0.01960785500705231,0.01902172123517687,0.012145770583692705,0.037344395681360165,-0.003984089394012735,-0.10820449572697799,0.1380879881306778,-0.02127661369740963,0.01003343518823385,0.08940396457910538,-0.03343461826443672,0.05345906689763069,-0.0268656462430954,0.03067481704056263,-0.00297618773765862,-0.02089550346136093,0.05487807095050812,-0.005780341103672981,0.03197671473026276,0.002816898748278618,-0.008426958695054054,-0.02832858450710773,-0.01166179589927197,0.01474924758076668,-0.02616283483803272,-0.09552237391471863,-0.02970294281840324,0.006802714429795742,0.02364862523972988,-0.01650163531303406,-0.0201342087239027,-0.006849308498203754,-0.02413798868656158,0.007067131344228983,0.0,-0.0175438430160284,-0.02142855152487755,0.03284668549895287,0.003533565672114491,-0.01760561764240265,-0.01075267791748047,-0.007246369961649179,-0.03649631515145302,-0.04166671633720398,-0.003952565602958202,0.02380950190126896,-0.03100772388279438,-0.05600004270672798,0.00847466941922903,0.004201676230877638,0.1213388890028,-0.04477616399526596,0.007812492549419403,-0.01550386194139719,-0.007874008268117905,0.01190475095063448,-0.04705877974629402,0.05349788814783096,-0.02734372392296791,-0.06224898248910904,0.01927198097109795,-0.05042021721601486,0.0176990982145071,-0.002173859160393476,0.03703705221414566,-0.01260512974113226,0.0,-0.39,0.02,-1.05,0.009,80926,252,2.8000%,-0.0009,1.7204,1.3026,0.9853,2.6291%,3.1616%,30.8513%,4.5524%,8
"Catalyst Pharmaceuticals shares are trading higher after Oppenheimer raised its price target on the company's stock from $9 to $10 per share, citing positive early launch metrics for the company's Firdapse drug.",2019-03-20,CPRX,2019-03-20 14:46:00+00:00,CATALYST PHARMACEUTICALS INC,91606.0,14888U10,0.1551724076271057,-0.0941494507413303,-0.1142389029555112,-0.13615462162717584,-0.11241255034463637,-0.16902820058278611,-0.1982492436704043,-0.14711248509925468,-0.17212275653554632,-0.1889837840604327,-0.18732868997352603,-0.1823224653407105,-0.09703182963825452,0.4533173314643275,-0.0630377422785473,-0.02296858467161655,-0.03200314193964005,-0.004489820916205645,0.01004513539373875,-0.01339557208120823,-0.002468605758622289,0.00701175769791007,0.003481428604573011,-0.006122433580458164,0.001437365426681936,-0.00410089734941721,-0.03253032639622688,-0.002553793136030436,-0.02858971990644932,0.03931475803256035,-0.0006339555839076638,0.01078448537737131,0.006694554351270199,0.006234398111701012,-0.007434878498315811,-0.007074492983520031,0.00356240919791162,0.0158697459846735,0.01932165585458279,-0.001613265369087458,-0.0006059135776013136,-0.002425200771540403,-0.01033229567110538,-0.001842377823777497,0.007588243577629328,0.01078768074512482,-0.001208243542350829,0.008871017023921013,-0.004796196706593037,0.004819310735911131,0.0299760177731514,-0.01552191004157066,0.005124129354953766,-0.00803921278566122,0.01719705387949944,0.02603964507579803,0.002462141448631883,-0.006990344263613224,-0.02454339526593685,-0.02165010012686253,-0.004585317801684141,0.02743839286267757,0.04658868163824081,-0.009126427583396435,-0.002631567418575287,-0.0275160726159811,-0.0313953272998333,-0.02480988204479218,0.0153877716511488,-0.01313399709761143,-0.001842755009420216,-0.02133335173130035,-0.03416468948125839,-0.0108506940305233,-0.003729749470949173,-0.39,0.02,-1.05,0.009,91606,252,15.5172%,0.0019,0.9939,1.6273,-0.304,3.7273%,4.0153%,13.8336%,15.8261%,32
Oppenheimer Earlier Reiterated Outperform Rating On Catalyst Pharmaceuticals And Raised Price Target From $9 To $10,2019-03-20,CPRX,2019-03-20 14:39:00+00:00,CATALYST PHARMACEUTICALS INC,91606.0,14888U10,0.1551724076271057,-0.0941494507413303,-0.1142389029555112,-0.13615462162717584,-0.11241255034463637,-0.16902820058278611,-0.1982492436704043,-0.14711248509925468,-0.17212275653554632,-0.1889837840604327,-0.18732868997352603,-0.1823224653407105,-0.09703182963825452,0.4533173314643275,-0.0630377422785473,-0.02296858467161655,-0.03200314193964005,-0.004489820916205645,0.01004513539373875,-0.01339557208120823,-0.002468605758622289,0.00701175769791007,0.003481428604573011,-0.006122433580458164,0.001437365426681936,-0.00410089734941721,-0.03253032639622688,-0.002553793136030436,-0.02858971990644932,0.03931475803256035,-0.0006339555839076638,0.01078448537737131,0.006694554351270199,0.006234398111701012,-0.007434878498315811,-0.007074492983520031,0.00356240919791162,0.0158697459846735,0.01932165585458279,-0.001613265369087458,-0.0006059135776013136,-0.002425200771540403,-0.01033229567110538,-0.001842377823777497,0.007588243577629328,0.01078768074512482,-0.001208243542350829,0.008871017023921013,-0.004796196706593037,0.004819310735911131,0.0299760177731514,-0.01552191004157066,0.005124129354953766,-0.00803921278566122,0.01719705387949944,0.02603964507579803,0.002462141448631883,-0.006990344263613224,-0.02454339526593685,-0.02165010012686253,-0.004585317801684141,0.02743839286267757,0.04658868163824081,-0.009126427583396435,-0.002631567418575287,-0.0275160726159811,-0.0313953272998333,-0.02480988204479218,0.0153877716511488,-0.01313399709761143,-0.001842755009420216,-0.02133335173130035,-0.03416468948125839,-0.0108506940305233,-0.003729749470949173,-0.39,0.02,-1.05,0.009,91606,252,15.5172%,0.0019,0.9939,1.6273,-0.304,3.7273%,4.0153%,13.8336%,15.8261%,16
Capital One Financial Downgrades Comstock Resources to Underweight,2019-03-20,CRK,2019-03-20 13:57:00+00:00,COMSTOCK RESOURCES INC,11644.0,20576830,0.03198887407779694,-0.009433985687792301,-0.06199461292456865,-0.07008085836903177,-0.056603781837983536,-0.06199461260482253,-0.17924526809283348,-0.32614556367928116,-0.013717408291995636,0.02130683113634535,0.027142864401908273,0.03453240974966598,-0.019099573641329748,0.11128288717197532,0.5495690214819524,-0.01272263377904892,-0.009020640514791012,-0.02860861644148827,0.00133871880825609,0.004197888076305389,0.04241548851132393,0.04725413769483566,0.01951217651367188,0.006112528033554554,0.01649005711078644,-0.006994333118200302,0.001177883241325617,0.009411755949258804,0.05011658743023872,-0.03274140506982803,0.0005737366154789925,-0.003440445521846414,0.01726128719747066,-0.01018101256340742,-0.003428540891036391,0.00688067264854908,0.001138978288508952,0.006825986318290234,0.03163838759064674,-0.01095294393599033,-0.009966794401407242,0.02572712674736977,-0.01417667511850595,-0.0243363119661808,0.01133791171014309,0.01457400340586901,-0.02320442348718643,-0.01583714224398136,-0.01609188504517078,-0.009345896542072296,-0.004716977011412382,0.04502371326088905,-0.03061218932271004,-0.001169617404229939,-0.02693203091621399,0.00974721647799015,-0.0287212710827589,0.01349700801074505,0.04467305913567543,-0.0311739556491375,0.01674645394086838,-0.009411755949258804,0.001187675632536411,0.008422312326729298,0.003528964938595891,-0.00023442211386282,-0.004572694189846516,0.02002356573939323,-0.01039262767881155,-0.006884482689201832,-0.001292407512664795,-0.00705887284129858,0.0,0.00829391647130251,-0.0329025462269783,-0.39,0.02,-1.05,0.009,11644,252,3.1989%,0.0013,2.0657,1.2885,0.3652,4.8725%,5.3490%,17.0247%,4.4235%,8
"CorMedix Director Dillione .Buys 42,000 @ Avg Price: $1.67",2019-03-20,CRMD,2019-03-20 20:25:00+00:00,CORMEDIX INC,93371.0,21900C30,-0.03164561465382576,0.09150326251983643,0.07843137887185092,0.0849673203894239,0.2117647145141457,0.35947701828242895,0.035294081738049154,-0.06535951326983191,-0.05952375382184982,-0.13186813219563287,-0.12222217380914402,-0.15508019165052067,-0.030674814541220674,-0.20202018877423444,0.19696966626272272,-0.03529978543519974,0.007017512805759907,0.009457468055188656,-0.001972431549802423,0.03260868787765503,-0.004306227434426546,-0.00144155602902174,0.01347443554550409,-0.0004748446808662266,0.002375351265072823,0.01611369661986828,-0.003350871149450541,-0.009606093168258667,-0.005334655754268169,-0.007313487119972706,0.02455795556306839,-0.00958776380866766,0.003872213186696172,0.01205400191247463,0.01333971880376339,-0.006582101341336966,-0.0004731813387479633,0.01609840057790279,-0.01164958067238331,-0.01084392052143812,0.01334607694298029,-0.00423330906778574,-0.002361796796321869,-0.01041672378778458,0.01100476272404194,0.01798395998775959,0.01162250060588121,-0.01470586843788624,-0.02192169800400734,-0.001430556993000209,-0.009073568508028984,-0.00481929536908865,-0.01404353603720665,0.02799605578184128,0.007644522003829479,0.003793263342231512,0.008030234836041927,0.002342981984838843,-0.000934948620852083,0.006551211234182119,-0.01487678755074739,-0.02784332819283009,0.0174756646156311,0.01431303191930056,-0.001411132980138063,-0.003297206712886691,-0.002362912986427546,0.007105618715286255,0.01034803874790668,0.006983222439885139,-0.02450294978916645,0.0,0.01611375063657761,0.0111940186470747,-0.002306325826793909,-0.39,0.02,-1.05,0.009,93371,252,-3.1646%,0.0104,1.0897,-0.0308,0.5043,8.8566%,8.9178%,1.3675%,-2.2868%,9
"Chicago Rivet & Machine FY18 EPS $2.07 vs $2.15 In FY17, Sales $37.174M vs $35.765M In FY17",2019-03-20,CVR,2019-03-20 21:03:00+00:00,CHICAGO RIVET & MACH CO,30509.0,16808810,0.01691628433763981,-0.020421870052814484,-0.0326607663296975,-0.046614459269033626,-0.036359296732521806,-0.016672330643949018,-0.0383531542518295,0.00322367220747366,0.001729566021822393,0.014073689614627849,0.01549898398951366,0.003862476806826498,-0.032006239730177244,0.04163267786401015,-0.07039681934261499,-0.002048309659585357,-0.004105105996131897,0.005976935382932425,0.00839991495013237,0.0004063481756020337,0.006092592142522335,0.0147355580702424,-0.0019893036223948,-0.003587731625884771,0.004800917115062475,-0.01791753433644772,0.01297383662313223,-0.004202579613775015,0.006229931488633156,-0.007589396089315414,0.01408735755831003,0.00218298495747149,0.003366300370544195,-0.006907410454005003,0.001391090918332338,-0.01131176203489304,-0.02308312989771366,0.003287521423771977,0.02273186109960079,0.01702047139406204,-0.00767866475507617,-0.0049603171646595,0.01734793372452259,-0.008036061190068722,0.01699270121753216,0.02622884139418602,0.002082556020468473,-0.006234684027731419,0.007224354892969131,0.001698757172562182,-0.01526288595050573,0.02985077351331711,-0.001300626085139811,-0.0018604367505759,0.009133230894804,-0.0086812200024724,-0.01266995538026094,0.01962628960609436,-0.02258000150322914,-0.0007574495975859463,-0.02709873579442501,0.02064669504761696,0.01870228163897991,0.02566502243280411,0.01899545080959797,0.02025447599589825,-0.005621920339763165,-0.001590108731761575,0.0003539277822710574,0.008314191363751888,0.000526294345036149,0.0007014013244770467,0.01086383312940598,-0.01490720734000206,-0.0005279358010739088,-0.39,0.02,-1.05,0.009,30509,252,1.6916%,-0.0002,0.0787,0.0666,0.0541,1.4416%,1.4438%,0.3127%,1.8008%,17
Hawaii Water Service To Acquire Kalaeloa Water Company; Terms Not Disclosed,2019-03-20,CWT,2019-03-20 20:19:00+00:00,CALIFORNIA WATER SERVICE GROUP,20750.0,13078810,0.01414827443659306,0.015253041870892048,-0.0005580133886122773,0.003906303869748218,0.006510459071879415,-0.030877974075234516,-0.07514875711451896,-0.04817903286834335,-0.0185150895267725,-0.016329579297278185,-0.012665305790187209,-0.016876851556927197,0.0034070891306301476,0.08182317357649271,0.13199068976118,0.005538498051464558,-0.00796692818403244,0.004461599513888359,-0.02082717046141624,0.01048390846699476,-0.007930940017104149,-0.001619065296836197,0.00881811324506998,-0.003215108066797256,-0.002519907196983695,-0.01293450687080622,0.006654397118836641,-0.005186638329178095,0.001226771040819585,0.001939910231158137,0.005910545587539673,-0.004761434625834227,0.002951963804662228,0.01136712450534105,0.004816816188395023,0.003595332382246852,-0.005572669673711061,0.0106074009090662,0.007129430770874023,0.001376456464640796,-0.01011289935559034,-0.01021621469408274,-0.004810134880244732,-0.000201355796889402,0.008057160302996635,0.009391572326421738,-0.0002969294146168977,0.01871286518871784,-0.01282923202961683,0.0128974849358201,0.00447121961042285,0.02177278883755207,0.002083542291074991,0.01710618287324905,0.01272992976009846,-0.01816676557064056,0.004205185920000076,-0.01163223572075367,-0.006119965575635433,0.007862844504415989,-0.00385370827279985,-0.00811474397778511,0.005422371439635754,-0.005203926935791969,-0.01531292218714952,-0.02018734999001026,0.001971578691154718,-0.008756388910114765,-0.000496308202855289,-0.02313797734677792,-0.005692845210433006,0.005111951846629381,0.005085952579975128,0.03137340396642685,-0.01000887248665094,-0.39,0.02,-1.05,0.009,20750,252,1.4148%,0.0014,0.5617,0.3657,-0.0013,1.3185%,1.4614%,18.6064%,1.6442%,11
CEMEX Reaches Binding Agreement To Divest White Cement Business For Approximately $180M,2019-03-20,CX,2019-03-20 15:30:00+00:00,CEMEX S A B DE C V,87204.0,15129088,0.01635990291833878,-0.012072423473000526,-0.08651908322510582,-0.03420515262544599,-0.04627767165679064,-0.03420515147366743,-0.08048282153820607,-0.16096574041847966,0.012422348372638226,0.02515720892568063,0.04935622838818299,0.03382660536449422,0.027310847221769574,-0.08768661455376758,0.012422354026047966,0.003197049256414175,-0.03616461902856827,0.007475622463971376,0.01369861699640751,0.0142173720523715,0.003053345950320363,-0.002628958318382502,0.03412873297929764,-0.0004024521040264517,0.01664203219115734,0.005016465205699205,0.004203332588076591,-0.007586582563817501,0.02069328725337982,0.01936983317136765,-0.0006334310746751726,-0.01242230646312237,0.008856305852532387,-0.0002544102317187935,-0.007381035946309566,-0.0007691994542255998,0.0005132270161993802,0.005385972559452057,0.001020431518554688,-0.001146839465945959,0.002806496107950807,-0.001526558306068182,-0.00815389771014452,0.00295444275252521,-0.000128101120935753,-0.009862900711596012,0.01060801651328802,0.001408097916282713,0.004090498201549053,0.01973259449005127,-0.01136074960231781,0.006440137512981892,-0.02383932285010815,0.02493566460907459,-0.01605215482413769,0.003823643317446113,0.00876072607934475,0.01875400356948376,0.006918674800544977,-0.002085867105051875,0.01327925454825163,0.05788128077983856,-0.001835325267165899,-0.005975599400699139,0.003468243405222893,0.007258032448589802,-0.002173195127397776,0.004470419604331255,-0.005363387055695057,-0.01525933854281902,-0.007969998754560947,0.01122397184371948,-0.008178490214049816,-0.007185777183622122,-0.008661553263664246,-0.39,0.02,-1.05,0.009,87204,252,1.6360%,-0.0011,0.8527,0.5962,0.1099,2.0300%,2.2346%,17.4673%,2.0990%,12
Cytokinetics shares are trading higher after the Data Monitoring Committee for the company's GALACTIC-HF recommended Cytokinetics' phase 3 trial continue without changes.,2019-03-20,CYTK,2019-03-20 13:06:00+00:00,CYTOKINETICS INC,90126.0,23282W60,0.1904204487800598,-0.06847122353528001,-0.03208334253226064,-0.039360978275156056,-0.022726551181580956,-0.014409338678951777,0.11866628405400848,0.20599712781445811,-0.10501464963798979,-0.14378664211083603,-0.16193950984672822,-0.16782067736057193,-0.1519507648244346,0.1838823616444325,0.06037752787270412,0.00124329817481339,0.002731916261836886,0.004705848172307014,-0.002095379866659641,0.01062253769487143,0.001955556916072965,0.0008538630208931863,-0.007678304333239794,-0.008106067776679993,-0.0003714559134095907,-0.01647469028830528,0.002644824795424938,-0.001884204568341374,0.005033998750150204,-0.002504344331100583,-0.001380876288749278,0.006662460975348949,-0.004620413761585951,0.01041276939213276,0.005959718488156796,0.002221677452325821,-0.002093573566526175,0.0004936556215398014,-0.001110106590203941,0.009631992317736149,-0.01113018114119768,-0.01360542327165604,0.003510956419631839,0.0,0.006122677586972713,-0.0006209069397300482,0.02435689233243465,0.00545914052054286,0.000482636532979086,0.002412018598988652,0.00890276487916708,-0.002027166308835149,-0.001194958807900548,0.05550912022590637,0.02856167405843735,0.004407730419188738,-0.001316541340202093,0.001867496059276164,0.004714915994554758,0.002619289560243487,0.00696635851636529,0.01070152223110199,-0.02010693587362766,-0.02358750998973846,0.01044944208115339,0.01868120022118092,-0.008623522706329823,-0.02081038802862167,0.003598332405090332,-0.0003361207782290876,-0.004259189590811729,0.006078353617340326,0.009957478381693363,0.01052403450012207,0.009537328034639359,-0.39,0.02,-1.05,0.009,90126,252,19.0420%,0.0006,1.2909,1.5109,-1.2565,3.5596%,4.1386%,26.0214%,18.5120%,22
"Amgen, Cytokinetics, Servier Report Continuation Of GALACTIC-HF Following Planned Interim Analysis",2019-03-20,CYTK,2019-03-20 12:31:00+00:00,CYTOKINETICS INC,90126.0,23282W60,0.1904204487800598,-0.06847122353528001,-0.03208334253226064,-0.039360978275156056,-0.022726551181580956,-0.014409338678951777,0.11866628405400848,0.20599712781445811,-0.10501464963798979,-0.14378664211083603,-0.16193950984672822,-0.16782067736057193,-0.1519507648244346,0.1838823616444325,0.06037752787270412,0.00124329817481339,0.002731916261836886,0.004705848172307014,-0.002095379866659641,0.01062253769487143,0.001955556916072965,0.0008538630208931863,-0.007678304333239794,-0.008106067776679993,-0.0003714559134095907,-0.01647469028830528,0.002644824795424938,-0.001884204568341374,0.005033998750150204,-0.002504344331100583,-0.001380876288749278,0.006662460975348949,-0.004620413761585951,0.01041276939213276,0.005959718488156796,0.002221677452325821,-0.002093573566526175,0.0004936556215398014,-0.001110106590203941,0.009631992317736149,-0.01113018114119768,-0.01360542327165604,0.003510956419631839,0.0,0.006122677586972713,-0.0006209069397300482,0.02435689233243465,0.00545914052054286,0.000482636532979086,0.002412018598988652,0.00890276487916708,-0.002027166308835149,-0.001194958807900548,0.05550912022590637,0.02856167405843735,0.004407730419188738,-0.001316541340202093,0.001867496059276164,0.004714915994554758,0.002619289560243487,0.00696635851636529,0.01070152223110199,-0.02010693587362766,-0.02358750998973846,0.01044944208115339,0.01868120022118092,-0.008623522706329823,-0.02081038802862167,0.003598332405090332,-0.0003361207782290876,-0.004259189590811729,0.006078353617340326,0.009957478381693363,0.01052403450012207,0.009537328034639359,-0.39,0.02,-1.05,0.009,90126,252,19.0420%,0.0006,1.2909,1.5109,-1.2565,3.5596%,4.1386%,26.0214%,18.5120%,11
Hearing Deutsche Bank-Commerzbank Merger To Get 'Rigorous' ECB Review,2019-03-20,DB,2019-03-20 11:53:00+00:00,DEUTSCHE BANK A G,89199.0,D1819089,-0.02983430400490761,-0.039863262325525284,-0.06492024193621948,-0.06947604616718106,-0.036446436705226626,-0.021640048792654798,-0.06378126548295893,-0.21340329228182808,-0.022678188979625702,0.01914415225126964,0.0157127209143324,0.02144475578755456,-0.012008695529996394,0.028409091296734745,0.0812425734836324,0.006944437511265278,-0.006896544713526964,-0.006944520398974419,-0.02447550185024738,-0.06810037791728973,-0.007692300714552402,-0.03875965252518654,-0.03225803375244141,0.0458332896232605,0.007968120276927948,0.01581026241183281,0.01945523545145988,-0.03435111418366432,-0.007905131205916405,0.007968120276927948,0.02371539175510406,0.04247109591960907,-0.02222220040857792,-0.03787884116172791,-0.007874008268117905,-0.02777775190770626,-0.04897964000701904,0.004291841760277748,-0.1153846085071564,-0.0338163934648037,-0.0350000262260437,-0.01554402709007263,0.03157898038625717,0.0,0.00510203605517745,0.01522841211408377,0.009999990463256836,0.01485147140920162,0.009756088256835938,-0.009661827236413956,-0.02439022064208984,0.03999996185302734,0.01923075132071972,0.03301895037293434,0.1004566326737404,0.07053934782743454,-0.04651158675551414,0.02845525741577148,0.01976282708346844,-0.03100772388279438,-0.03199996799230576,0.008264455012977123,0.01229507010430098,-0.06477735936641693,0.0,-0.04761900380253792,0.01818180084228516,0.01785712502896786,0.03508768603205681,-0.01694913767278194,-0.06896544992923737,-0.04166673496365547,-0.04347822070121765,-0.02020200155675411,-0.01030932925641537,-0.39,0.02,-1.05,0.009,89199,252,-2.9834%,-0.0015,1.4315,0.5399,1.4346,1.8981%,2.3477%,34.6338%,-0.9535%,9
Evercore ISI Group Initiates Coverage On Dollar General with Underperform Rating,2019-03-20,DG,2019-03-20 12:58:00+00:00,DOLLAR GENERAL CORP NEW,93096.0,25667710,-0.0009382515563629568,0.005890911445021629,0.0029027914926411658,0.01383080987763341,0.01348930117770708,0.008879031222531752,0.06681547708880031,0.16148758993210488,0.0060928440652787685,0.02941433341482247,0.05016121822693975,-0.019814423215654964,-0.019814423485540633,0.00514401585915536,0.14095362265376798,-0.03812314569950104,-0.02743901312351227,-0.006269556470215321,-0.00315458606928587,0.006329077761620283,-0.00628927256911993,0.0,0.003164568915963173,-0.015772869810462,0.01282049994915724,0.003164568915963173,0.006309112068265676,0.0,-0.02194353751838207,-0.01602564007043839,-0.0130293658003211,0.0429043285548687,-0.01265821605920792,0.0,0.03525635972619057,0.01547987665981054,0.02439022064208984,0.0,-0.02083324268460274,-0.003039583098143339,-0.02439022064208984,0.00937497615814209,-0.01238388940691948,-0.02194353751838207,-0.01602564007043839,-0.01628664508461952,0.0,0.01324502006173134,-0.01633986830711365,0.003322271862998605,0.003311207750812173,0.01650165021419525,0.016233766451478,0.03514384478330612,0.003086372511461377,0.006153869442641735,0.003058057278394699,0.01524390280246735,0.0,0.0,0.0150150153785944,0.008875717408955097,0.005865125451236963,0.002915518591180444,0.008720907382667065,-0.01729113236069679,0.0,-0.005865013226866722,0.0,-0.005899727344512939,-0.008902054280042648,0.01197597850114107,0.01775154657661915,0.0,-0.002907043090090156,-0.39,0.02,-1.05,0.009,93096,252,-0.0938%,0.0009,0.7834,0.2524,0.0895,1.3357%,1.5636%,27.0282%,0.2942%,11
Fed Says No Rate Hikes In 2019; Trump Warns China Tariffs Could Stand For A 'Substantial Period Of Time',2019-03-20,DIA,2019-03-20 18:42:00+00:00,SPDR DOW JONES IND AVG ETF TRUST,85765.0,78467X10,-0.006141827441751957,0.008900376968085766,-0.009055935176642271,-0.008628399688730637,-0.004586353655871789,0.018306158559833863,0.022332683818269805,0.019547639343471923,-0.00042467028833925724,0.002090301802467387,0.007322259539577658,0.013936460170383747,0.004786324019054433,0.030936307242068306,0.11826065703192357,0.003412399906665087,0.003400730201974511,-0.005931172519922256,-0.02488917671144009,-0.006293716840445995,-0.02480647154152393,0.00775753753259778,-0.01933408156037331,-0.01113546267151833,-0.02399851009249687,0.002458881586790085,0.000754734268411994,0.003016588278114796,-0.00620304187759757,-0.00813316274434328,-0.006864927709102631,-0.007680520415306091,-0.001354483305476606,0.01123809348791838,0.003257367061451077,0.01317797228693962,0.007917096838355064,-0.01122128777205944,0.008511457592248917,-0.003188262693583965,-0.01298217196017504,0.01258101128041744,-0.001317765330895782,0.004901077132672071,-0.008816380053758621,-0.002838787389919162,0.006832427810877562,-0.0001884697703644633,-0.01885369420051575,-0.000384328537620604,0.01403305493295193,0.018578190356493,-0.02419503591954708,-0.007629248779267073,0.009994243271648884,0.006660367362201214,0.01323245652019978,-0.01212682295590639,0.003965988289564848,-0.01956359855830669,-0.009976984933018684,0.01346901617944241,-0.01582400128245354,0.01196079608052969,0.006975403986871243,0.0005772326258011162,0.007115364074707031,-0.01355736330151558,-0.008710816502571106,0.01210706401616335,0.01331272628158331,-0.006092911120504141,0.004597660154104233,-0.01353926584124565,-0.01140537671744823,-0.39,0.02,-1.05,0.009,85765,252,-0.6142%,0.0001,1.0061,-0.2423,0.1164,0.2391%,1.0444%,94.7572%,-0.1055%,19
