,original_index,context,labels,prompts,gold,q_chatgpt,LLM_correct
13,1843,"Media outlets reports that the World Health Organization has stated that wearing a mask while playing sports ""decreases the availability of oxygen"" or ""increases the levels of carbon dioxide we absorb.""",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
14,131,Sudden reversal of Australia's climate change policy ,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
15,1957,Quarantine measures are a manifestation of Marxism and fascism in the modern world.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
16,1171,CoronaVac vaccine killed a volunteer from clinical tests,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
17,2112,Doctors prove why the pandemic is fascism and the extermination of humanity.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
18,1871,Sars cov 2 mutations make the vaccine useless,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
19,380,Congress' Christmas Tree COVID Bill Loaded with Climate Ornaments,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
20,420,Trump Screwed The US On Climate Change. Can Biden Save It?,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
21,167,Trump Urged to Send the Paris Climate Treaty to the Senate,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
22,241,U.N. Chief orders world leaders: Declare a climate emergency or face 'catastrophic' results,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
23,1142,HOSPITALS ON LOCKDOWN AS FIRST COVID VACCINE PATIENTS START EATING OTHER PATIENTS,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
24,1688,Areas Of Lucknow Sealed To Check Outbreak Of New Covid Strain,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
25,483,Biden must be our 'climate president'. He can start by ending pipeline projects | Faith Spotted Eagle and Kendall Mackey,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
26,1507,Wearing face masks to help stop the spread of Covid-19 will cause children physical and psychological problems.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
27,1881,So Paulo's governor Joo Doria wears mask with China's flag,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
28,1984,A man and 50 women have tested positive for COVID-19 after having sex,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
29,1894,CoronaVac vaccine caused neurological inflammation in volunteer from clinical tests that died,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
30,1462,"Home Ministry Orders To Close Schools, Colleges due to Covid",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
31,1145,In Spain there is more probability of falling ill from the vaccine than from the COVID-19,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
32,1727,Rapidly developed pharmaceuticals such as the Covid-19 vaccines comparied to a sedative from the 1950s that caused serious birth defects.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
33,1709,Cure for coronavirus can never be found: WHO,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
34,186,New Footage Reveals Netflix Faked Walrus Climate Deaths,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
35,469,How climate change is threatening Greenland,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
36,1966,Pictures show that people can lift fake dead bodies of Covid victims with one hand,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
37,259,Joe Biden's Climate Cabinet Emerging,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
38,1648,Bill Gates says vaccines are poison,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
39,368,"Ted Cruz has a plan to keep Biden from rejoining disastrous Iran deal and Paris climate accord, but he needs Trump's help",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
40,1683,Some celebrities got the vaccination before their turn,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
41,1637,"The Covid pandemic is a plan to depopulate all of humanity on the planet, through a fictional virus, deadly, through bribed media, through bribed governments, with one basic goal  to achieve the goal of World War III, and that is the absolute control of every human being on the planet.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
42,1493,"Lula's son, Fabio Lula da Silva, and Joo Doria, governor of So Paulo, conspired to buy stocks from Sinovac. Nowadays, Lula's son owns 20% of the company",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
43,441,Tories slammed for lack of progress on environment promises made nine years ago,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
44,466,John Stossel  The Climate Hustle,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
45,1132,"The spread of the COVID-infection through vaccines is proved by cases of people in a nursing home in Germany as well as in Israel, who got infected after the vaccination.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
46,33,Bastardi: Fauci's climate pandemic comments more predictable than weather,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
47,223,"UK Climate Assembly's 'recommendation' is that meat & dairy consumption be reduced by 20-40%  In fact, just ten people made that recommendation",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
48,1678,Covid vaccines can cause infertility and harm the embryo; pregnant women were not included in the test trials with intention to hide the harm,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
49,51,"JunkScience.com's Steve Milloy testifies at PA Dept of Env. Protection climate hearing: 'RGGI will accomplish nothing for the environment, climate or public health. Instead, energy prices will increase, making Pennsylvania & Pennsylvanians poorer'",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
50,1650,"CDC COVID-19 survival rates are 99.997% for people ages 0 to 19, 99.98% for people ages 20 to 49, 99.5% for people ages 50 to 69, and 94.6% for people over 70.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
51,384,"Just 4bn of new money for Boris Johnson's climate emergency plan, Cabinet minister admits",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
52,1745,Coronavirus vaccine contains pig fat,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
53,143,Harvard School of Public Health links Climate & COVID: 'The root causes of climate change also increase the risk of pandemics'  'We also need to take climate action to prevent the next pandemic',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
54,244,Trump Rushes to Weaken Environmental and Worker Protections Before January 20,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
55,1175,A natural treatment for coronavirus,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
56,1985,The Lancet denied the existance of the covid pandemic,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
57,490,Aussie Scientist Dr. Jennifer Marohasy on climate change: 'Better a question that cannot be answered than an answer that cannot be questioned',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
58,87,"Wait, what?! Prince Charles now says world is 'literally at the last hour' in fight against climate change  But he previously issued 10 year, 18 month, 100 month & 35 year tipping points",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
59,7,New Jersey environmental commissioner retiring in January,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
60,38,"Senior Biden adviser set for key role has ties to oil and gas, climate activists warn",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
61,495,"Fmr. Obama advisor Lawrence H. Summers on COVID lockdown's impact: '$200,000 per family or 90% of a year's GDP'  '4x output loss of Great Recession, 2x cost of all wars since 9/11, & roughly cost of climate change in next 50 years'",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
62,1574,"An Assemblies of God pastor named Venceslau died after taking a COVID-19 vaccine, in Araguana, Tocantins state",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
63,1615,"Ignoring vaccination groups priorities, Brazilian soccer player Neymar cuts in vaccine line",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
64,398,Environmental disasters across globe in November 2020,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
65,1156,"Alleged head of El Mundo who says that Araceli, the first person vaccinated in Spain, has died 24 hours after administering the vaccine",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
66,1614,The ARNm vaccine changes DNA.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
67,207,"Vulnerable to climate change so the rich can play golf': An untouched island, a billionaire 'environmentalist' and a legal fight over a luxury resort",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
68,98,Climate Activists Put Aside Their Differences With Biden To Help Get Him Elected. Now They Want Results.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
69,1163,"A ""virus removal card"" that can prevent infection from Covid-19 when worn around the neck.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
70,1652,We do not need a vaccine. We need a body that can resist this and any other virus,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
71,1900,Rubbing butter in the nose helps restore the loss of smell caused by Covid-19,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
72,1560,"The Venezuelan government lied when it claimed to have donated oxygen to Manaus. Actually, the oxygen that went from Venezuela to Manaus was imported by White Martins",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
73,341,"Joe Bundrant says environmental legislation threatens fishing in Akutan, Alaska",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
74,1820,"In Poland, there will be a mandatory vaccination against coronavirus.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
75,1907,"Immunologist Tasuku Honjo stated that the coronavirus is a man-made virus, intentionally manufactured in a lab",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
76,218,The MADNESS HAS STARTED! Biden Picks JOHN KERRY to Lead Climate Agenda.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
77,363,Trump: Climate Pact Biden Wants to Rejoin Could 'Kill the American Economy',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
78,1759,Australian vaccine for COVID-19 gave volunteers HIV,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
79,453,Border wall has inflicted 'incalculable' damage on surrounding land: environmental activist,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
80,1835,Over-the-counter products such as vitamins and tonic water are the key to tackling the pandemic.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
81,1620,"Metro Manila will be placed on lockdown or modified enhanced community quarantine (MECQ) on Saturday, December 19.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
82,1887,The Club of Rome is working to reduce the world's population to one billion.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
83,365,"The US's ""Best"" University Fuels the Climate Crisis. Princeton Must Divest.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
84,331,"Workers' rights and environmental protections 'easily eroded' by Brexit trade deal, think-tank warns",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
85,1726,A doctor died in Miami after being vaccineted,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
86,1821,"The DNA and RNA-based vaccines, including the coronavirus vaccine, cause changes in human genetics.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
87,1982,"According to Norwegian and British scientists, SARS-CoV-2 is artificially generated",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
88,192,EU leaders pull all-nighter discussing climate change as Brexit forgotten,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
89,2018,"A Japanese Nobel laureate professor Tasuku Honjo, who has worked with researchers from Wuhan University for 4 years, stated that the coronavirus didn't evolve naturally. If the coronavirus was natural, it'd only impact countries in the same climate zone as China  It would spread only in cold places, and die in hot places.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
90,1513,The creator of the PCR tests said that they do not detect the new coronavirus,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
91,1589,"Carlos Bolsonaro, son of President Jair Bolsonaro, skipped the line and received a dose of the Covid-19 vaccine",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
92,1836,People will be killed for violating quarantine restrictions. It has already happened in Albania.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
93,127,Boris Johnson will have to raise his game to ensure climate targets are met,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
94,1475,Bee venom protects from COVID-19,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
95,1425,US rapper Pitbull claims Covid-19 pandemic was planned,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
96,1517,Colombia is the last country of southamerica to start of vaccination,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
97,2122,Luciferase enzyme in vaccines will change our genes,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
98,1627,COVID-19 Vaccine destroys the immune system,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
99,444,"Donald Trump's Press Conference Echoed Father's 'Fake Work Environment' Amid Dementia Struggle, Pundit Says",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
100,232,Public Distrust in Science Made COVID Worse. It Will Also Harm Climate Policy.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
101,86,White House plans to put 'denier' in charge of climate program,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
102,1724,"A rise in tiny particle air pollutants, known as PM 2.5, will significantly increase the mortality rate of Covid-19 in Thailand.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
103,59,You were warned: COVID lockdowns morph to Climate Lockdowns?! Biden urged to invoke 'a climate emergency'  'Could give Biden the authority to circumvent Congress',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
104,2039,"The pandemic was planned intentionally. The documentary called Plandemic has exposed a COVID-19 ""criminal operation.""",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
105,258,New Study Effectively Eliminates Confidence In Human Attribution For Modern 'Global Warming'  'Uncertainty about 80 times greater than anthropogenic signal detection',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
106,3,Obama criticizes Americans for liking 'cheap gas and big cars' more than 'the environment'  Only way to prevent oil spills 'was to stop drilling entirely',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
107,2023,"Persimmon kills coronavirus, according to the study by Japanese scientists.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
108,224,General Motors abandons Trump in lawsuit fighting California on its own climate rules and vows to work on crisis with Biden,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
109,103,Biden-linked team rolls out climate plan  Seeks to 'create a new National Climate Council',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
110,136,Chemical injected in town's drinking water called 'an environmental injustice',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
111,1952,"WHO has taken a U-turn and now says that Coronavirus-infected patients neither need to be isolated, nor quarantined, nor needs social distancing. It further claims that the infected people cannot even transmit virus from one patient to another",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
112,256,Trump Officially Leaves Paris Agreement After Years of Environmental Wreckage,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
113,1933,"WHO and ICMR have issued a warning. It claims that WHO and ICMR warn that India is all set to enter the third stage transmission of the coronavirus and if left unchecked, the total death count by the coronavirus outbreak in India could reach the number of 50,000 by March.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
114,401,New Zealand's Jacinda Arden declares 'climate emergency' after conquering COVID-19,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
115,1780,The laboratory in Wuhan is owned by Glaxo,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
116,1401,Event 201 shows that the pandemic was planned,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
117,1655,Kamala Harris vaccination against COVID-19 was staged,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
118,1537,Italy has opened 'concentration camps' to 'confine children plagued by the virus',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
119,128,White House is a 'toxic' environment now as Trump staffers plot their exits,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
120,1165,"Politician Markus Sder faked his vaccination, there was a cap on the needle",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
121,2078,Vaccine volunteers are not being told they are part of a clinical trial,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
