custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,headline type num
10008,ACTINIUM PHARMACEUTICALS INC,Actinium Highlights Presentation Of New Data Demonstrating Effective Lymphodepletion With Lutetium-177 For CAR-T At The 2019 Society Of Nuclear Medicine And Molecular Imaging Annual Meeting,3,increase,0.8,0.6,,2.0
10009,ACTINIUM PHARMACEUTICALS INC,Actinium Highlights Presentation Of New Data Demonstrating Effective Lymphodepletion With Lutetium-177 For CAR-T At The 2019 Society Of Nuclear Medicine And Molecular Imaging Annual Meeting,4,increase,0.8,0.7,,2.0
1001,USANA HEALTH SCIENCES INC,Usana Health Sciences shares are trading higher after it was announced the company will replace Fidelity Southern Corp in the S&P SmallCap 600.,1,increase,0.8,0.5,,2.0
10010,ACTINIUM PHARMACEUTICALS INC,Actinium Highlights Presentation Of New Data Demonstrating Effective Lymphodepletion With Lutetium-177 For CAR-T At The 2019 Society Of Nuclear Medicine And Molecular Imaging Annual Meeting,5,increase,0.75,0.6,,2.0
10011,ACTINIUM PHARMACEUTICALS INC,Actinium Highlights Presentation Of New Data Demonstrating Effective Lymphodepletion With Lutetium-177 For CAR-T At The 2019 Society Of Nuclear Medicine And Molecular Imaging Annual Meeting,6,increase,0.8,0.7,"the presentation of new data demonstrating effective lymphodepletion with lutetium-177 for car-t suggests potential advancements in treatment efficacy, which is likely to positively influence investor sentiment.",2.0
10012,ACTINIUM PHARMACEUTICALS INC,Actinium Highlights Presentation Of New Data Demonstrating Effective Lymphodepletion With Lutetium-177 For CAR-T At The 2019 Society Of Nuclear Medicine And Molecular Imaging Annual Meeting,7,increase,0.8,0.7,"the presentation of new data demonstrating effective lymphodepletion with lutetium-177 for car-t suggests potential advancements in treatment efficacy, which is likely to positively influence investor sentiment.",2.0
10013,ACTINIUM PHARMACEUTICALS INC,Actinium Highlights Presentation Of New Data Demonstrating Effective Lymphodepletion With Lutetium-177 For CAR-T At The 2019 Society Of Nuclear Medicine And Molecular Imaging Annual Meeting,8,increase,0.8,0.7,"the presentation of new data demonstrating effective lymphodepletion with lutetium-177 for car-t suggests potential advancements in treatment efficacy, which is likely to positively influence investor sentiment.",2.0
10014,AEROVIRONMENT INC,AeroVironment shares are trading lower after the company reported fiscal Q4 revenue decreased 23% from last year and fiscal Q4 gross margin decreased 27% from last year.,0,decrease,0.85,0.7,,0.0
10015,AEROVIRONMENT INC,AeroVironment shares are trading lower after the company reported fiscal Q4 revenue decreased 23% from last year and fiscal Q4 gross margin decreased 27% from last year.,2,decrease,0.85,0.7,,0.0
10016,AEROVIRONMENT INC,AeroVironment shares are trading lower after the company reported fiscal Q4 revenue decreased 23% from last year and fiscal Q4 gross margin decreased 27% from last year.,3,decrease,0.85,0.7,,0.0
10017,AEROVIRONMENT INC,AeroVironment shares are trading lower after the company reported fiscal Q4 revenue decreased 23% from last year and fiscal Q4 gross margin decreased 27% from last year.,4,decrease,0.85,0.7,,0.0
10018,AEROVIRONMENT INC,AeroVironment shares are trading lower after the company reported fiscal Q4 revenue decreased 23% from last year and fiscal Q4 gross margin decreased 27% from last year.,5,decrease,0.85,0.7,,0.0
10019,AEROVIRONMENT INC,AeroVironment shares are trading lower after the company reported fiscal Q4 revenue decreased 23% from last year and fiscal Q4 gross margin decreased 27% from last year.,6,decrease,0.85,0.7,"the significant decrease in both revenue and gross margin is likely to negatively impact investor sentiment, indicating potential financial struggles for aerovironment inc.",0.0
1002,WENDYS CO,"UPDATE: Credit Suisse Initiates Wendy's With Neutral, $20 Target As Firm Notes Following Co's Transformation 'the story shifts to execution, and we are cautious on a meaningful acceleration in SSS and unit growth from recent levels'",1,decrease,0.7,0.5,,0.0
10020,AEROVIRONMENT INC,AeroVironment shares are trading lower after the company reported fiscal Q4 revenue decreased 23% from last year and fiscal Q4 gross margin decreased 27% from last year.,7,decrease,0.85,0.7,"the significant decrease in both revenue and gross margin indicates potential financial struggles, likely leading to negative investor sentiment.",0.0
10021,AEROVIRONMENT INC,AeroVironment shares are trading lower after the company reported fiscal Q4 revenue decreased 23% from last year and fiscal Q4 gross margin decreased 27% from last year.,8,decrease,0.85,0.7,"the significant decrease in both revenue and gross margin indicates potential financial struggles for aerovironment, likely leading to negative investor sentiment.",0.0
10022,AEROVIRONMENT INC,"Aerovironment Sees FY20 Sales $350M-$370M vs $351.2M Estimate, Adj. EPS $1.47-$1.67 vs $1.61 Est.",0,uncertain,0.7,0.3,,1.0
10023,AEROVIRONMENT INC,"Aerovironment Sees FY20 Sales $350M-$370M vs $351.2M Estimate, Adj. EPS $1.47-$1.67 vs $1.61 Est.",2,uncertain,0.7,0.3,,1.0
10024,AEROVIRONMENT INC,"Aerovironment Sees FY20 Sales $350M-$370M vs $351.2M Estimate, Adj. EPS $1.47-$1.67 vs $1.61 Est.",3,uncertain,0.7,0.3,,1.0
10025,AEROVIRONMENT INC,"Aerovironment Sees FY20 Sales $350M-$370M vs $351.2M Estimate, Adj. EPS $1.47-$1.67 vs $1.61 Est.",4,uncertain,0.6,0.3,,1.0
10026,AEROVIRONMENT INC,"Aerovironment Sees FY20 Sales $350M-$370M vs $351.2M Estimate, Adj. EPS $1.47-$1.67 vs $1.61 Est.",5,uncertain,0.6,0.3,,1.0
10027,AEROVIRONMENT INC,"Aerovironment Sees FY20 Sales $350M-$370M vs $351.2M Estimate, Adj. EPS $1.47-$1.67 vs $1.61 Est.",6,uncertain,0.6,0.2,"while the sales forecast is slightly below the estimate, the adjusted eps range is in line with expectations, leading to mixed signals for investor sentiment.",1.0
10028,AEROVIRONMENT INC,"Aerovironment Sees FY20 Sales $350M-$370M vs $351.2M Estimate, Adj. EPS $1.47-$1.67 vs $1.61 Est.",7,uncertain,0.6,0.2,"while aerovironment's sales guidance is in line with estimates, the range provided is slightly below the midpoint of expectations, which may lead to mixed investor sentiment.",1.0
10029,AEROVIRONMENT INC,"Aerovironment Sees FY20 Sales $350M-$370M vs $351.2M Estimate, Adj. EPS $1.47-$1.67 vs $1.61 Est.",8,uncertain,0.6,0.2,"while aerovironment's sales guidance is slightly below the estimate, the adjusted eps range is in line with expectations, leading to mixed signals for investor sentiment.",1.0
1003,WENDYS CO,"Credit Suisse Initiates Coverage On Wendy's with Neutral Rating, Announces $20 Price Target",1,decrease,0.7,0.3,,0.0
10030,AEROVIRONMENT INC,"AeroVironment Q4 Adj. EPS $0.26, Inline, Sales $87.93M Beat $82.44M Estimate",0,increase,0.7,0.6,,2.0
10031,AEROVIRONMENT INC,"AeroVironment Q4 Adj. EPS $0.26, Inline, Sales $87.93M Beat $82.44M Estimate",2,increase,0.7,0.6,,2.0
10032,AEROVIRONMENT INC,"AeroVironment Q4 Adj. EPS $0.26, Inline, Sales $87.93M Beat $82.44M Estimate",3,increase,0.75,0.6,,2.0
10033,AEROVIRONMENT INC,"AeroVironment Q4 Adj. EPS $0.26, Inline, Sales $87.93M Beat $82.44M Estimate",4,increase,0.75,0.6,,2.0
10034,AEROVIRONMENT INC,"AeroVironment Q4 Adj. EPS $0.26, Inline, Sales $87.93M Beat $82.44M Estimate",5,increase,0.75,0.6,,2.0
10035,AEROVIRONMENT INC,"AeroVironment Q4 Adj. EPS $0.26, Inline, Sales $87.93M Beat $82.44M Estimate",6,increase,0.8,0.6,"the company reported sales that exceeded estimates, which is likely to boost investor sentiment despite the adjusted eps being inline with expectations.",2.0
10036,AEROVIRONMENT INC,"AeroVironment Q4 Adj. EPS $0.26, Inline, Sales $87.93M Beat $82.44M Estimate",7,increase,0.8,0.6,"the company reported adjusted eps in line with expectations while significantly beating sales estimates, which is likely to boost investor confidence.",2.0
10037,AEROVIRONMENT INC,"AeroVironment Q4 Adj. EPS $0.26, Inline, Sales $87.93M Beat $82.44M Estimate",8,increase,0.8,0.6,"the company reported adjusted eps in line with expectations while significantly beating sales estimates, which is likely to boost investor confidence.",2.0
10038,AMERICAN EXPRESS CO,Fintech Focus Rewind: This CEO Wants To Make Business Expenses Easier,0,increase,0.7,0.6,,2.0
10039,AMERICAN EXPRESS CO,Fintech Focus Rewind: This CEO Wants To Make Business Expenses Easier,2,increase,0.7,0.6,,2.0
1004,XENCOR INC,Xencor shares are trading higher after it was announced the company would replace HFF Inc in the S&P SmallCap 600.,1,increase,0.8,0.5,,2.0
10040,AMERICAN EXPRESS CO,Fintech Focus Rewind: This CEO Wants To Make Business Expenses Easier,3,increase,0.75,0.6,,2.0
10041,AMERICAN EXPRESS CO,Fintech Focus Rewind: This CEO Wants To Make Business Expenses Easier,4,increase,0.75,0.6,,2.0
10042,AMERICAN EXPRESS CO,Fintech Focus Rewind: This CEO Wants To Make Business Expenses Easier,5,increase,0.75,0.6,,2.0
10043,AMERICAN EXPRESS CO,Fintech Focus Rewind: This CEO Wants To Make Business Expenses Easier,6,increase,0.7,0.6,"the focus on making business expenses easier aligns with american express's core offerings, potentially attracting more customers and enhancing investor sentiment.",2.0
10044,AMERICAN EXPRESS CO,Fintech Focus Rewind: This CEO Wants To Make Business Expenses Easier,7,increase,0.7,0.6,"the focus on making business expenses easier aligns with american express's core offerings, potentially enhancing its appeal to businesses and improving investor sentiment.",2.0
10045,AMERICAN EXPRESS CO,Fintech Focus Rewind: This CEO Wants To Make Business Expenses Easier,8,increase,0.7,0.6,"the focus on making business expenses easier aligns with american express's core offerings, potentially enhancing its appeal to businesses and improving investor sentiment.",2.0
10046,BIG LOTS INC,Big Lots Reports Tim Johnson To Step Down As CFO; Jonathan Ramsden Named Replacement,0,uncertain,0.6,0.3,,1.0
10047,BIG LOTS INC,Big Lots Reports Tim Johnson To Step Down As CFO; Jonathan Ramsden Named Replacement,2,uncertain,0.6,0.3,,1.0
10048,BIG LOTS INC,Big Lots Reports Tim Johnson To Step Down As CFO; Jonathan Ramsden Named Replacement,3,uncertain,0.6,0.3,,1.0
10049,BIG LOTS INC,Big Lots Reports Tim Johnson To Step Down As CFO; Jonathan Ramsden Named Replacement,4,uncertain,0.6,0.3,,1.0
1005,SPDR SERIES TRUST,Redbook Reports US Retail Sales For Week Ended June 2 Up 5% YoY,1,increase,0.7,0.5,,2.0
10050,BIG LOTS INC,Big Lots Reports Tim Johnson To Step Down As CFO; Jonathan Ramsden Named Replacement,5,uncertain,0.6,0.3,,1.0
10051,BIG LOTS INC,Big Lots Reports Tim Johnson To Step Down As CFO; Jonathan Ramsden Named Replacement,6,uncertain,0.6,0.3,"the departure of a cfo can create uncertainty about the company's financial direction, while the appointment of a new cfo may also bring potential for positive change, leading to mixed investor sentiment.",1.0
10052,BIG LOTS INC,Big Lots Reports Tim Johnson To Step Down As CFO; Jonathan Ramsden Named Replacement,7,uncertain,0.6,0.3,"the departure of a cfo can create uncertainty about the company's financial direction, but the appointment of a new cfo may also be seen as an opportunity for positive change.",1.0
10053,BIG LOTS INC,Big Lots Reports Tim Johnson To Step Down As CFO; Jonathan Ramsden Named Replacement,8,uncertain,0.6,0.3,"the departure of a cfo can create uncertainty about the company's financial direction, but the appointment of a new cfo may also be seen as a positive change depending on the new appointee's background and experience.",1.0
10054,CITIGROUP INC,How Shipping Banks' GHG Focus Impacts Fleets And Freight Rates,0,uncertain,0.6,0.3,,1.0
10055,CITIGROUP INC,How Shipping Banks' GHG Focus Impacts Fleets And Freight Rates,2,uncertain,0.6,0.3,,1.0
10056,CITIGROUP INC,How Shipping Banks' GHG Focus Impacts Fleets And Freight Rates,3,uncertain,0.6,0.3,,1.0
10057,CITIGROUP INC,How Shipping Banks' GHG Focus Impacts Fleets And Freight Rates,4,uncertain,0.6,0.3,,1.0
10058,CITIGROUP INC,How Shipping Banks' GHG Focus Impacts Fleets And Freight Rates,5,uncertain,0.6,0.3,,1.0
10059,CITIGROUP INC,How Shipping Banks' GHG Focus Impacts Fleets And Freight Rates,6,uncertain,0.6,0.2,"the focus on ghg emissions by shipping banks may have mixed implications for citigroup inc, as it could lead to increased regulatory pressures and costs for clients, but also potential opportunities in financing sustainable initiatives.",1.0
1006,SPDR SERIES TRUST,"Redbook Reports US Retail Sales During First 3 Weeks Of June Down 2.5% Month Over Month, Up 5.1% YoY",1,decrease,0.7,0.5,,0.0
10060,CITIGROUP INC,How Shipping Banks' GHG Focus Impacts Fleets And Freight Rates,7,uncertain,0.6,0.3,"the focus on ghg emissions by shipping banks may create both opportunities and challenges for citigroup inc, leading to mixed investor sentiment depending on how the company adapts to these changes.",1.0
10061,CITIGROUP INC,How Shipping Banks' GHG Focus Impacts Fleets And Freight Rates,8,uncertain,0.6,0.3,"the focus on ghg emissions by shipping banks may have mixed implications for citigroup inc, as it could lead to increased regulatory pressures and costs for clients, but also potential opportunities in financing green initiatives.",1.0
10062,CYMABAY THERAPEUTICS INC,"Stifel Nicolaus Initiates Coverage On CymaBay Therapeutics with Buy Rating, Announces $14 Price Target",0,increase,0.8,0.6,,2.0
10063,CYMABAY THERAPEUTICS INC,"Stifel Nicolaus Initiates Coverage On CymaBay Therapeutics with Buy Rating, Announces $14 Price Target",2,increase,0.8,0.6,,2.0
10064,CYMABAY THERAPEUTICS INC,"Stifel Nicolaus Initiates Coverage On CymaBay Therapeutics with Buy Rating, Announces $14 Price Target",3,increase,0.85,0.7,,2.0
10065,CYMABAY THERAPEUTICS INC,"Stifel Nicolaus Initiates Coverage On CymaBay Therapeutics with Buy Rating, Announces $14 Price Target",4,increase,0.85,0.7,,2.0
10066,CYMABAY THERAPEUTICS INC,"Stifel Nicolaus Initiates Coverage On CymaBay Therapeutics with Buy Rating, Announces $14 Price Target",5,increase,0.85,0.7,,2.0
10067,CYMABAY THERAPEUTICS INC,"Stifel Nicolaus Initiates Coverage On CymaBay Therapeutics with Buy Rating, Announces $14 Price Target",6,increase,0.8,0.6,the initiation of coverage with a 'buy' rating and a price target of $14 is likely to boost investor sentiment as it suggests positive expectations for the company's future performance.,2.0
10068,CYMABAY THERAPEUTICS INC,"Stifel Nicolaus Initiates Coverage On CymaBay Therapeutics with Buy Rating, Announces $14 Price Target",7,increase,0.8,0.6,the initiation of coverage with a 'buy' rating and a price target of $14 is likely to boost investor sentiment as it suggests positive expectations for the company's future performance.,2.0
10069,CYMABAY THERAPEUTICS INC,"Stifel Nicolaus Initiates Coverage On CymaBay Therapeutics with Buy Rating, Announces $14 Price Target",8,increase,0.8,0.6,the initiation of coverage with a 'buy' rating and a price target of $14 is likely to boost investor sentiment as it suggests positive expectations for the company's future performance.,2.0
1007,SPDR SERIES TRUST,"US Retail Economist/Goldman Chain Store Sales Up 2.7% During Week Ended Jun. 22, 2019, Up 2.8% Year Over Year",1,increase,0.7,0.5,,2.0
10070,CAMECO CORP,Cameco Option Alert: Jan 17 $15 Calls Sweep (35) near the Ask: 1000 @ $0.201 vs 10200 OI; Earnings 7/24 After Close [est] Ref=$10.49,0,increase,0.7,0.6,,2.0
10071,CAMECO CORP,Cameco Option Alert: Jan 17 $15 Calls Sweep (35) near the Ask: 1000 @ $0.201 vs 10200 OI; Earnings 7/24 After Close [est] Ref=$10.49,2,increase,0.7,0.6,,2.0
10072,CAMECO CORP,Cameco Option Alert: Jan 17 $15 Calls Sweep (35) near the Ask: 1000 @ $0.201 vs 10200 OI; Earnings 7/24 After Close [est] Ref=$10.49,3,increase,0.75,0.6,,2.0
10073,CAMECO CORP,Cameco Option Alert: Jan 17 $15 Calls Sweep (35) near the Ask: 1000 @ $0.201 vs 10200 OI; Earnings 7/24 After Close [est] Ref=$10.49,4,increase,0.75,0.6,,2.0
10074,CAMECO CORP,Cameco Option Alert: Jan 17 $15 Calls Sweep (35) near the Ask: 1000 @ $0.201 vs 10200 OI; Earnings 7/24 After Close [est] Ref=$10.49,5,increase,0.75,0.6,,2.0
10075,CAMECO CORP,Cameco Option Alert: Jan 17 $15 Calls Sweep (35) near the Ask: 1000 @ $0.201 vs 10200 OI; Earnings 7/24 After Close [est] Ref=$10.49,6,increase,0.7,0.6,"the significant call option activity suggests bullish sentiment among investors, anticipating a price increase ahead of the upcoming earnings report.",2.0
10076,CAMECO CORP,Cameco Option Alert: Jan 17 $15 Calls Sweep (35) near the Ask: 1000 @ $0.201 vs 10200 OI; Earnings 7/24 After Close [est] Ref=$10.49,7,increase,0.7,0.6,"the significant call option activity suggests bullish sentiment among investors, anticipating a price increase ahead of the upcoming earnings report.",2.0
10077,CAMECO CORP,Cameco Option Alert: Jan 17 $15 Calls Sweep (35) near the Ask: 1000 @ $0.201 vs 10200 OI; Earnings 7/24 After Close [est] Ref=$10.49,8,increase,0.7,0.6,"the significant call option activity suggests bullish sentiment among investors, indicating expectations of a price increase for cameco corp ahead of its earnings report.",2.0
10078,CIRCOR INTERNATIONAL INC,"Crane Co.Criticizes CIRCOR's Revised Business Plan, Says Its $45/Share All-Cash Offer Represents A Better Option For Shareholders",0,decrease,0.8,0.7,,0.0
10079,CIRCOR INTERNATIONAL INC,"Crane Co.Criticizes CIRCOR's Revised Business Plan, Says Its $45/Share All-Cash Offer Represents A Better Option For Shareholders",2,decrease,0.8,0.7,,0.0
1008,YUM BRANDS INC,Yum Brands Option Alert: Fri $111 Calls Sweep (15) near the Ask: 962 @ $0.61 vs 56 OI; Earnings 8/1 Before Open [est] Ref=$111.29,1,increase,0.7,0.5,,2.0
10080,CIRCOR INTERNATIONAL INC,"Crane Co.Criticizes CIRCOR's Revised Business Plan, Says Its $45/Share All-Cash Offer Represents A Better Option For Shareholders",3,decrease,0.8,0.6,,0.0
10081,CIRCOR INTERNATIONAL INC,"Crane Co.Criticizes CIRCOR's Revised Business Plan, Says Its $45/Share All-Cash Offer Represents A Better Option For Shareholders",4,decrease,0.8,0.7,,0.0
10082,CIRCOR INTERNATIONAL INC,"Crane Co.Criticizes CIRCOR's Revised Business Plan, Says Its $45/Share All-Cash Offer Represents A Better Option For Shareholders",5,decrease,0.85,0.7,,0.0
10083,CIRCOR INTERNATIONAL INC,"Crane Co.Criticizes CIRCOR's Revised Business Plan, Says Its $45/Share All-Cash Offer Represents A Better Option For Shareholders",6,decrease,0.8,0.7,"crane co.'s criticism of circor's revised business plan and promotion of a higher all-cash offer suggests a lack of confidence in circor's strategy, likely leading to negative sentiment among investors.",0.0
10084,CIRCOR INTERNATIONAL INC,"Crane Co.Criticizes CIRCOR's Revised Business Plan, Says Its $45/Share All-Cash Offer Represents A Better Option For Shareholders",7,decrease,0.8,0.7,"crane co.'s criticism of circor's revised business plan and promotion of its own all-cash offer suggests a lack of confidence in circor's strategy, likely leading to negative sentiment among investors.",0.0
10085,CIRCOR INTERNATIONAL INC,"Crane Co.Criticizes CIRCOR's Revised Business Plan, Says Its $45/Share All-Cash Offer Represents A Better Option For Shareholders",8,decrease,0.8,0.7,"crane co.'s criticism of circor's revised business plan and promotion of a higher all-cash offer suggests a lack of confidence in circor's strategy, likely leading to negative sentiment among investors.",0.0
10086,CHIPOTLE MEXICAN GRILL INC,"UPDATE: Credit Suisse Initiates Chipotle With Outperform, $870 Tgt As Firm Notes Co. 'has returned to a narrative of growth rather than recovery, with on-trend initiatives that well position the company to appeal to its target base and outperform peers'",0,increase,0.85,0.7,,2.0
10087,CHIPOTLE MEXICAN GRILL INC,"UPDATE: Credit Suisse Initiates Chipotle With Outperform, $870 Tgt As Firm Notes Co. 'has returned to a narrative of growth rather than recovery, with on-trend initiatives that well position the company to appeal to its target base and outperform peers'",2,increase,0.85,0.7,,2.0
10088,CHIPOTLE MEXICAN GRILL INC,"UPDATE: Credit Suisse Initiates Chipotle With Outperform, $870 Tgt As Firm Notes Co. 'has returned to a narrative of growth rather than recovery, with on-trend initiatives that well position the company to appeal to its target base and outperform peers'",3,increase,0.85,0.7,,2.0
10089,CHIPOTLE MEXICAN GRILL INC,"UPDATE: Credit Suisse Initiates Chipotle With Outperform, $870 Tgt As Firm Notes Co. 'has returned to a narrative of growth rather than recovery, with on-trend initiatives that well position the company to appeal to its target base and outperform peers'",4,increase,0.85,0.7,,2.0
1009,YUM BRANDS INC,"Credit Suisse Initiates Coverage On Yum Brands with Neutral Rating, Announces $106 Price Target",1,decrease,0.6,0.3,,0.0
10090,CHIPOTLE MEXICAN GRILL INC,"UPDATE: Credit Suisse Initiates Chipotle With Outperform, $870 Tgt As Firm Notes Co. 'has returned to a narrative of growth rather than recovery, with on-trend initiatives that well position the company to appeal to its target base and outperform peers'",5,increase,0.85,0.7,,2.0
10091,CHIPOTLE MEXICAN GRILL INC,"UPDATE: Credit Suisse Initiates Chipotle With Outperform, $870 Tgt As Firm Notes Co. 'has returned to a narrative of growth rather than recovery, with on-trend initiatives that well position the company to appeal to its target base and outperform peers'",6,increase,0.8,0.7,"the initiation of coverage by credit suisse with an 'outperform' rating and a positive target price suggests strong growth potential for chipotle, likely boosting investor sentiment.",2.0
10092,CHIPOTLE MEXICAN GRILL INC,"UPDATE: Credit Suisse Initiates Chipotle With Outperform, $870 Tgt As Firm Notes Co. 'has returned to a narrative of growth rather than recovery, with on-trend initiatives that well position the company to appeal to its target base and outperform peers'",7,increase,0.85,0.7,"the initiation of coverage by credit suisse with an 'outperform' rating and a positive target price suggests strong growth potential for chipotle, likely boosting investor sentiment.",2.0
10093,CHIPOTLE MEXICAN GRILL INC,"UPDATE: Credit Suisse Initiates Chipotle With Outperform, $870 Tgt As Firm Notes Co. 'has returned to a narrative of growth rather than recovery, with on-trend initiatives that well position the company to appeal to its target base and outperform peers'",8,increase,0.85,0.7,"the initiation of coverage by credit suisse with an 'outperform' rating and a target price of $870 suggests positive sentiment and confidence in chipotle's growth potential, likely boosting investor optimism.",2.0
10094,CHIPOTLE MEXICAN GRILL INC,"Credit Suisse Initiates Coverage On Chipotle Mexican Grill with Outperform Rating, Announces $870 Price Target",0,increase,0.8,0.6,,2.0
10095,CHIPOTLE MEXICAN GRILL INC,"Credit Suisse Initiates Coverage On Chipotle Mexican Grill with Outperform Rating, Announces $870 Price Target",2,increase,0.8,0.6,,2.0
10096,CHIPOTLE MEXICAN GRILL INC,"Credit Suisse Initiates Coverage On Chipotle Mexican Grill with Outperform Rating, Announces $870 Price Target",3,increase,0.85,0.7,,2.0
10097,CHIPOTLE MEXICAN GRILL INC,"Credit Suisse Initiates Coverage On Chipotle Mexican Grill with Outperform Rating, Announces $870 Price Target",4,increase,0.85,0.7,,2.0
10098,CHIPOTLE MEXICAN GRILL INC,"Credit Suisse Initiates Coverage On Chipotle Mexican Grill with Outperform Rating, Announces $870 Price Target",5,increase,0.85,0.7,,2.0
10099,CHIPOTLE MEXICAN GRILL INC,"Credit Suisse Initiates Coverage On Chipotle Mexican Grill with Outperform Rating, Announces $870 Price Target",6,increase,0.8,0.7,"the initiation of coverage with an 'outperform' rating and a high price target typically signals positive sentiment and potential for stock appreciation, likely boosting investor confidence.",2.0
101,MAGNACHIP SEMICONDUCTOR CORP,MagnaChip Raises Q2 Guidance,1,increase,0.8,0.5,,2.0
1010,ABBVIE INC,AbbVie Announces US FDA Lifts Partial Clinical Hold on Phase 3 Study of Venetoclax in Patients with Multiple Myeloma Positive for the t(11;14) Genetic Abnormality,1,increase,0.8,0.6,,2.0
10100,CHIPOTLE MEXICAN GRILL INC,"Credit Suisse Initiates Coverage On Chipotle Mexican Grill with Outperform Rating, Announces $870 Price Target",7,increase,0.85,0.7,the initiation of coverage with an 'outperform' rating and a price target of $870 is likely to boost investor sentiment as it suggests positive future performance for chipotle mexican grill inc.,2.0
10101,CHIPOTLE MEXICAN GRILL INC,"Credit Suisse Initiates Coverage On Chipotle Mexican Grill with Outperform Rating, Announces $870 Price Target",8,increase,0.8,0.7,the initiation of coverage with an 'outperform' rating and a price target of $870 is likely to boost investor sentiment as it suggests positive future performance for chipotle mexican grill inc.,2.0
10102,CRITEO S A,"Criteo Reports COO Mollie Spilman To Leave; CEO JB Rudelle To Directly Manage Sales, Operations Teams",0,decrease,0.7,0.6,,0.0
10103,CRITEO S A,"Criteo Reports COO Mollie Spilman To Leave; CEO JB Rudelle To Directly Manage Sales, Operations Teams",2,uncertain,0.6,0.3,,1.0
10104,CRITEO S A,"Criteo Reports COO Mollie Spilman To Leave; CEO JB Rudelle To Directly Manage Sales, Operations Teams",3,uncertain,0.6,0.3,,1.0
10105,CRITEO S A,"Criteo Reports COO Mollie Spilman To Leave; CEO JB Rudelle To Directly Manage Sales, Operations Teams",4,uncertain,0.6,0.3,,1.0
10106,CRITEO S A,"Criteo Reports COO Mollie Spilman To Leave; CEO JB Rudelle To Directly Manage Sales, Operations Teams",5,uncertain,0.6,0.3,,1.0
10107,CRITEO S A,"Criteo Reports COO Mollie Spilman To Leave; CEO JB Rudelle To Directly Manage Sales, Operations Teams",6,uncertain,0.6,0.3,"the departure of coo mollie spilman may raise concerns about leadership stability, but the direct management by ceo jb rudelle could also be seen as a positive move to streamline operations.",1.0
10108,CRITEO S A,"Criteo Reports COO Mollie Spilman To Leave; CEO JB Rudelle To Directly Manage Sales, Operations Teams",7,decrease,0.7,0.6,"the departure of a coo can create uncertainty about the company's leadership stability and operational direction, which may negatively impact investor sentiment.",0.0
