"headline","headline.type","magnitude","confidence","custom_id","company_name","prompt_type","explanation","input_tokens","output_tokens","headline.type.num","date","permno","ret_fd1","ret_fd5","ret_fd10","ret_ld1","ret_ld2","ret_ld3","ret","exret","b_mkt","mkt.rf","smb","hml","rf","sum_exret_1","sum_exret_5","sum_exret_10"
"Bank Of America Initiates Coverage On Cannabis Stocks, Names Surprising Top Pick","neutral",0.1,0.7,35258,"CONSTELLATION BRANDS INC",0,NA,117,29,1,"2019-04-17",69796,3.7686612457037,10.7422497817196,9.15544090516027,-0.476641347631812,-0.272925143973524,-0.606791688666886,0.8263,1.0498,0.7227,-0.32,-0.7,0.83,0.01,4.729,10.7518,9.5015
"Bank Of America Taps Out Of Molson Coors, Downgrades Stock","negative",0.7,0.9,11784,"MOLSON COORS BEVERAGE CO",0,NA,122,29,0,"2019-07-15",59248,1.47113762795925,0.986962326859353,5.23276989580559,-0.712067540735006,-2.66690152186302,-2.0885844573721,-1.2505,-1.239,0.5162,-0.04,-0.35,-1.07,0.009,0.3883,0.1854,3.7212
"Bank of America Downgrades Molson Coors Brewing to Underperform","negative",0.8,0.9,11848,"MOLSON COORS BEVERAGE CO",0,NA,120,29,0,"2019-07-15",59248,1.47113762795925,0.986962326859353,5.23276989580559,-0.712067540735006,-2.66690152186302,-2.0885844573721,-1.2505,-1.239,0.5162,-0.04,-0.35,-1.07,0.009,0.3883,0.1854,3.7212
"Bank of America Maintains Buy on Lennar, Lowers Price Target to $55","neutral",0.2,0.7,9230,"LENNAR CORP",0,NA,117,29,1,"2019-06-26",52708,1.8506858497858,3.51209680537723,0.272041706273307,-6.20501600205898,-6.09541856769823,-8.55300295285841,-1.3895,-1.3514,0.7687,-0.06,-0.05,0.25,0.009,0.0368000000000002,-0.1606,-3.3752
"Bank of America Reiterates Buy on Lennar, Lowers Price Target to $58","neutral",0.2,0.7,25062,"LENNAR CORP",0,NA,118,29,1,"2019-01-10",52708,2.74518877267838,-0.86340348774987,-1.26250412583265,7.9272598028183,9.22604980223098,12.327110169559,-2.4195,-2.8132,0.9101,0.42,0.03,-0.46,0.01,-0.0689000000000002,-4.984,-6.3152
"Barclays Downgrades Molson Coors Brewing to Equal-Weight, Lowers Price Target to $54","negative",0.7,0.9,6934,"MOLSON COORS BEVERAGE CO",0,NA,129,29,0,"2019-11-25",59248,-2.59442366659641,-3.34660557560466,-1.20518190105797,-0.513797253370285,-0.209964887384262,-0.24804629196219,0.2678,-0.3342,0.648,0.92,1.32,-0.38,0.006,-3.0577,-2.8803,-1.4594
"Barclays Maintains Overweight on Bio-Rad Laboratories, Inc. Class A Common Stock, Raises Price Target to $350","positive",0.8,0.9,12570,"BIO RAD LABORATORIES INC",0,NA,130,29,2,"2019-05-09",61516,0.588465901091695,-3.23977896676865,-4.95344241543361,-0.396383041515946,-3.1962057728983,-3.84290309152185,4.3068,4.6033,1.0854,-0.28,0.08,0.12,0.009,4.8029,1.26,1.8473
"Barclays Maintains Overweight on Bio-Rad Laboratories, Raises Price Target to $340","positive",0.8,0.9,7491,"BIO RAD LABORATORIES INC",0,NA,123,29,2,"2019-03-01",61516,-1.45552912726998,-4.26893221522118,-2.23055874229512,-1.12777706235647,-0.72195596038086,-1.56965600344678,17.1687,16.4616,1.0417,0.72,0.29,-0.4,0.009,15.5388,14.7845,13.914
"Barclays Upgrades Bio-Rad Laboratories to Overweight, Announces $315","positive",0.8,0.9,6798,"BIO RAD LABORATORIES INC",0,NA,120,29,2,"2019-01-03",61516,0.882744416594505,7.38742398711081,6.03655523903128,-1.78279187530279,-0.687974271143188,-0.783018493755072,-1.6573,0.7063,0.9623,-2.45,0.36,1.2,0.01,-1.8371,1.7059,-0.9788
"Beverage Experts Share Insights On Emerging Cannabis-Infused Market: Canada A 'Laboratory Of Sorts'","neutral",0.1,0.7,21415,"CONSTELLATION BRANDS INC",0,NA,124,29,1,"2019-10-21",69796,1.14605594426394,-0.853121431005588,-0.339193988378783,-0.136848818510771,-0.735586190486426,0.13214568668134,-1.2385,-1.7674,0.7325,0.71,0.16,0.35,0.007,-0.3793,-3.5813,-4.0161
"Biglari Holdings Q3 Net Loss $17K vs Loss Of $13.7M In Same Qtr. Last Year","positive",0.6,0.8,35398,"BIGLARI HOLDINGS INC",0,NA,127,29,2,"2019-11-01",26607,7.30356723070145,23.5721705926476,25.57978327538,-1.18371210992336,0.469379038491868,-0.843329477066301,3.8213,2.8705,0.9115,1.08,0.48,0.83,0.006,9.8035,23.6353,24.4931
"Bio-Rad Laboratories Q1 Adj. EPS $1.65 Beats $1.1 Estimate, Sales $553.979M Beat $549.56M Estimate","positive",0.8,0.9,8730,"BIO RAD LABORATORIES INC",0,NA,137,29,2,"2019-05-08",61516,4.30676490068436,-0.728475629335801,-0.391218825846984,-2.81096491962671,-3.46023583806445,-1.49239224295799,-0.3964,-0.1653,1.0913,-0.22,-0.15,-0.32,0.009,4.438,0.4079,0.698
"Bio-Rad Laboratories Q2 EPS $1.57 Beats $1.33 Estimate, Sales $572.6M Beat $566.19M Estimate","positive",0.8,0.9,6674,"BIO RAD LABORATORIES INC",0,NA,135,29,2,"2019-08-01",61516,8.25788751244545,6.8595575658319,2.82244103110127,-1.866689696908,-1.88197438482359,-2.92250169590914,-1.4386,-0.3798,1.0258,-1.04,-0.42,-1.9,0.007,8.7635,7.297,7.0793
"Bio-Rad Laboratories Q3 EPS $1.61 Beats $1.4 Estimate, Sales $560.6M Miss $565.03M Estimate","negative",0.6,0.8,10287,"BIO RAD LABORATORIES INC",0,NA,135,29,0,"2019-10-31",61516,6.24509714543819,4.17948723721606,6.7878927448435,1.94720234721899,0.878477248595755,-0.338477073677146,-3.7388,-3.354,1.0391,-0.38,-0.26,-0.44,0.007,1.7629,-0.9584,1.1338
"Bio-Rad Laboratories Q4 Adj. EPS $2.13 Beats $1.50 Estimate, Sales $617.5M Down From $620.433M YoY","positive",0.6,0.8,14830,"BIO RAD LABORATORIES INC",0,NA,139,29,2,"2019-02-28",61516,17.1687006950378,11.701739661378,15.1236625936031,0.41045006364584,-0.446919193238926,-0.0984538464251505,-1.1278,-0.8371,0.9696,-0.31,0.02,-0.24,0.01,15.6245,13.3075,14.0813
"Bio-Rad Laboratories shares are trading higher after the company beat Q4 EPS estimates; several banks also raised their price target on the company's stock.","positive",0.8,0.9,7459,"BIO RAD LABORATORIES INC",0,NA,132,29,2,"2019-03-01",61516,-1.45552912726998,-4.26893221522118,-2.23055874229512,-1.12777706235647,-0.72195596038086,-1.56965600344678,17.1687,16.4616,1.0417,0.72,0.29,-0.4,0.009,15.5388,14.7845,13.914
"Bio-Rad Labs Reports FDA Clearance For BioPlex 2200 Lyme Total Assay","positive",0.8,0.9,17946,"BIO RAD LABORATORIES INC",0,NA,122,29,2,"2019-04-02",61516,-1.05454148724675,-1.04159960960287,-2.49078478046517,0.562680326402187,1.2016440728176,1.64670995496929,0.566,0.609,1.0719,-0.05,-0.13,-0.44,0.01,-0.7449,-0.8995,-3.6802
"Bio-Rad Labs Reports Received Expected NYSE Notice Regarding Late Form 10-K Filing","negative",0.6,0.8,29267,"BIO RAD LABORATORIES INC",0,NA,121,29,0,"2019-03-25",61516,0.162765709683299,0.0683588642807819,0.862656360344105,-3.16253453493118,-1.65100549267747,-2.71552223150003,0.5236,0.5676,1.0562,-0.05,0.66,-0.25,0.009,-0.0813,-2.0526,-2.387
"Bio-Rad Labs shares are trading higher after the company reported better-than-expected Q1 EPS and sales results.","positive",0.8,0.9,12538,"BIO RAD LABORATORIES INC",0,NA,126,29,2,"2019-05-09",61516,0.588465901091695,-3.23977896676865,-4.95344241543361,-0.396383041515946,-3.1962057728983,-3.84290309152185,4.3068,4.6033,1.0854,-0.28,0.08,0.12,0.009,4.8029,1.26,1.8473
"Bio-Rad Releases First FDA-Cleared Digital PCR System and Test for Monitoring Chronic Myeloid Leukemia Treatment Response","positive",0.8,0.9,29854,"BIO RAD LABORATORIES INC",0,NA,128,29,2,"2019-02-15",61516,-0.10357282590121,1.80513611070301,15.7024533167766,-0.141332787461579,1.28632594476739,3.35666817019402,3.4121,2.2973,0.9711,1.13,0.25,0.47,0.01,1.9992,3.2518,17.5589
"Bio-Rad Reports Received FDA Clearance For IH-500","positive",0.8,0.9,28146,"BIO RAD LABORATORIES INC",0,NA,115,29,2,"2019-04-08",61516,-1.26516362652183,-1.00051839129418,-4.74437843795315,0.918900500983,0.892500485388936,-0.171452789750115,0.3986,0.3019,1.0924,0.08,-0.29,0.1,0.01,-0.2632,-1.1644,-6.0782
"Biome Sees Revenue Quadruple, Gross Profits Triple In Q2","positive",0.8,0.9,15698,"BIO RAD LABORATORIES INC",0,NA,119,29,2,"2019-08-29",61516,0.118583464063704,-0.509917133835769,-0.836028278260825,0.122489733621478,-0.0417642448104049,0.733451126741258,0.6565,-0.7537,1.0359,1.35,0.31,0.34,0.007,-0.6732,-2.9866,-4.6125
"Bruce Linton Tells CNBC He Was 'Terminated' From Canopy Growth","negative",0.6,0.8,46784,"CONSTELLATION BRANDS INC",0,NA,118,24,0,"2019-07-03",69796,-1.20559707283974,-1.11555564620098,1.35068142697767,1.31062641739845,0.873363027589558,5.55230684687817,0.6242,6e-04,0.7901,0.78,-0.04,-0.33,0.009,-1.135,-1.1932,1.3462
"Bryan Garnier Downgrades Molson Coors Brewing to Sell, Announces $51 Price Target","negative",0.8,0.9,9282,"MOLSON COORS BEVERAGE CO",0,NA,126,29,0,"2019-08-01",59248,-0.47628115862608,0.438178006530476,-3.10535508903392,-5.14756962656975,-4.45938197896651,-4.59444867901875,-2.7783,-2.2215,0.5507,-1.04,-0.42,-1.9,0.007,-2.2256,-1.4694,-3.112
"Buckingham Initiates Coverage On Lennar with Buy Rating","positive",0.8,0.9,23766,"LENNAR CORP",0,NA,111,29,2,"2019-01-11",52708,-2.6071947067976,-4.97737853298293,-3.98688081880945,-2.41953488439322,5.31592210211942,6.58328742442129,2.7452,2.7443,0.9106,-0.01,0.12,0.22,0.01,0.6735,-4.8638,-2.8899
"Buckingham Maintains Buy on Lennar, Raises Price Target to $67","positive",0.75,0.9,9463,"LENNAR CORP",0,NA,115,29,2,"2019-10-03",52708,1.67493317276239,0.581097550531995,4.40950444615211,3.76884154975414,3.52730771742491,5.66520190115534,1.1934,0.6348,0.6904,0.8,-0.22,-0.89,0.007,1.3431,0.5928,2.8317
"Buckingham Maintains Neutral on Watsco, Lowers Price Target to $164","neutral",0.2,0.8,5231,"WATSCO INC",0,NA,115,29,1,"2019-10-18",66376,0.709749385714531,1.50028322344016,3.16214404559014,5.63108436763287,4.8518628877968,3.5906840433491,-0.8751,-0.5053,0.7695,-0.49,-0.36,0.86,0.007,-0.3489,-0.0923999999999997,0.3791
"Buckingham Maintains Neutral on Watsco, Raises Price Target to $165","neutral",0.1,0.8,14975,"WATSCO INC",0,NA,114,29,1,"2019-10-08",66376,0.436364393681288,2.00896276913234,8.27363083057262,0.255987164564431,2.62665749472919,1.84509380099158,0.31,1.5514,0.7684,-1.61,-0.13,-0.12,0.007,1.2739,0.7842,6.8734
"CORRECTION: Lennar Gave Q4 Deliveries Guidance On Call Of 15.8-16K Homes; Initial headline included incorrect deliveries figures from the source","neutral",0.1,0.8,25031,"LENNAR CORP",0,NA,134,29,1,"2019-10-02",52708,1.19335632771254,2.07540778289121,5.79384045711191,-0.232761423103511,1.82748532515122,0.269932578089738,3.7688,5.0038,0.6895,-1.73,0.9,-0.36,0.007,5.6386,6.2935,8.2278
"CORRECTION: Seaport Global Initiates Coverage On Lennar with Buy Rating' A Prior Headline Indicated Stephens Initiated Coverage, This Was Incorrect","positive",0.6,0.8,41658,"LENNAR CORP",0,NA,131,29,2,"2019-08-23",52708,-0.33196285367012,-0.410074338434185,2.40187373037444,0.853371992707253,2.06084237140489,3.93763992401857,-1.5192,0.4439,0.7369,-2.66,-0.55,-0.18,0.007,-0.6909,-1.9486,-0.4132
"Canaccord Genuity Earlier Maintained Buy on Heico, Lowered Price Target to $150","neutral",0.2,0.7,13224,"HEICO CORP NEW",0,NA,120,29,1,"2019-12-18",32678,-0.370530202053487,-0.560104733939137,3.81732024340515,-5.02911955118179,-4.36677914081367,-2.23608681934372,-3.8286,-3.7947,0.8235,-0.05,0.2,0.09,0.007,-4.5263,-5.5831,-1.0241
"Canaccord Genuity Maintains Buy on Heico, Raises Price Target to $130 Price Target","positive",0.8,0.9,25354,"HEICO CORP NEW",0,NA,120,29,2,"2019-05-30",32678,1.59591920673847,5.76537553205387,6.50066732627259,11.7108516395092,12.5156075529274,13.0258591087203,2.1683,2.0162,1.038,0.14,-0.28,-0.76,0.009,5.0252,5.795,4.6468
"Canaccord Genuity Maintains Buy on Heico, Raises Price Target to $160","positive",0.8,0.9,16202,"HEICO CORP NEW",0,NA,118,29,2,"2019-08-29",32678,-0.877011846750975,-2.1171610326653,-13.9157230834665,-0.92350896447897,-0.36041323233228,1.33934443814161,1.5234,0.2281,0.9545,1.35,0.31,0.34,0.007,-0.6845,-3.4768,-17.237
"Cannabiniers Rolls Out Cannabis-Infused Craft Beer Line In California","neutral",0.45,0.75,35190,"CONSTELLATION BRANDS INC",0,NA,117,28,1,"2019-02-05",69796,-1.39080127701163,-1.16961647121013,-4.02060749451381,-0.541008589789271,-0.489465664933109,1.28948892208693,1.1053,0.8078,0.6651,0.43,-0.08,-0.6,0.01,-0.4467,-0.6738,-4.5682
"Cannabis Investment Company SOL Global Takes 8% Stake In Jones Soda","neutral",0.1,0.7,4715,"CONSTELLATION BRANDS INC",0,NA,116,24,1,"2019-03-26",69796,-0.925986561924219,2.91188621960983,11.1699909471931,-0.878903735429049,-0.796980996809604,2.08990713585948,2.184,1.6728,0.6658,0.76,0.17,0.46,0.009,1.0707,3.3391,10.948
"Cannabis Stocks Show Signs Of Life As Aurora, Canopy, Others Move Higher","neutral",0.35,0.7,20290,"CONSTELLATION BRANDS INC",0,NA,118,29,2,"2019-09-06",69796,0.976801011711359,-0.332108684419852,0.170943236770071,-2.49785911291838,-1.64147514799297,0.283820040827054,-0.0878,-0.0815,0.7684,-0.02,-0.39,0.04,0.009,0.8325,-1.4628,-0.5009
"Cannabis Stocks Up In Smoke After Hexo Withdraws 2020 Guidance","negative",0.7,0.8,27567,"CONSTELLATION BRANDS INC",0,NA,117,24,0,"2019-10-10",69796,0.191995804198086,2.37662100724718,2.06527711479716,1.02363992482424,1.44113657354352,-1.17683426719302,0.6529,0.2067,0.7444,0.59,-0.4,0.26,0.007,-0.5239,0.9014,0.3008
"Canopy Growth Analyst Says Constellation Brands Likely To Bid On Cannabis Company's Equity","positive",0.7,0.8,7192,"CONSTELLATION BRANDS INC",0,NA,119,29,2,"2019-12-09",69796,-0.187571905553341,0.893691835234467,3.73475424771765,0.652190670371056,-0.347278429495001,-0.455315505430531,-1.2959,-1.0667,0.7244,-0.33,0.37,0.11,0.007,-1.2033,-1.5058,0.5
"Canopy Growth Appoints Constellation CFO As The Cannabis Company's New CEO","neutral",0.15,0.7,7208,"CONSTELLATION BRANDS INC",0,NA,117,29,1,"2019-12-09",69796,-0.187571905553341,0.893691835234467,3.73475424771765,0.652190670371056,-0.347278429495001,-0.455315505430531,-1.2959,-1.0667,0.7244,-0.33,0.37,0.11,0.007,-1.2033,-1.5058,0.5
"Canopy Growth Appoints Mike Lee Acting CFO","neutral",0.1,0.75,24114,"CONSTELLATION BRANDS INC",0,NA,111,29,1,"2019-05-21",69796,-0.0146335514727979,-7.85366127652755,-8.78048769210135,-0.849646143615246,-1.8133462578147,-0.946388858243818,0.9604,0.2889,0.7366,0.9,0.43,-0.35,0.009,0.5599,-5.5792,-7.4687
"Canopy Growth CEO Looks To The 'Pharmaceutical World' After String Of M&A Deals","neutral",0.1,0.7,11150,"CONSTELLATION BRANDS INC",0,NA,120,24,1,"2019-06-25",69796,0.609032297506928,8.02610680356535,9.18433938087036,-1.34436469525099,-2.41197959417589,-1.66016316745842,1.4565,2.2175,0.7767,-0.98,0.34,0.71,0.009,2.8641,8.3806,8.9001
"Canopy Growth CEO Talks Leadership Concerns, Vaping, Beverages, Acreage Deal","neutral",0.1,0.7,26090,"CONSTELLATION BRANDS INC",0,NA,120,24,1,"2019-09-24",69796,-0.507214851677418,2.13129655461717,-7.56924959069396,0.326669006608427,-0.757206537081201,-0.752422459696955,-0.3548,0.4088,0.7632,-1.01,-0.73,0,0.009,-0.634,3.358,-5.2407
"Canopy Growth Investors Pull Back As Losses Widen In Q1; CBD Products Coming To US Market","negative",0.65,0.8,6114,"CONSTELLATION BRANDS INC",0,NA,123,29,0,"2019-08-14",69796,0.537853362038732,4.90794655057634,4.38043068222311,1.80263947695494,1.61912161382987,2.08709720264053,-1.613,0.7587,0.7992,-2.95,0.22,-0.51,0.007,1.1617,3.233,3.9257
"Canopy Growth Obtains Health Canada License For Beverage Facility, Now Has All 'Cannabis 2.0' Licenses","positive",0.7,0.8,6918,"CONSTELLATION BRANDS INC",0,NA,127,29,2,"2019-11-25",69796,0.266922824084759,0.501170259631034,-1.43815137432455,-2.89878565818071,-2.49650250541212,0.143674941966787,1.2968,0.6077,0.7442,0.92,1.32,-0.38,0.006,0.7272,2.0517,-0.809099999999999
"Canopy Growth Soars On Unexpected Guidance Update, European Acquisition","positive",0.7,0.8,33466,"CONSTELLATION BRANDS INC",0,NA,114,28,2,"2019-04-16",69796,0.826276186853647,10.5941823559212,11.6204426024861,0.204691849648952,-0.130773662381789,0.431347732254483,-0.4766,-0.5819,0.7297,0.13,0.12,0.7,0.01,0.4679,9.1175,10.214
"Canopy Growth To Expand Investment In US Hemp Industry","positive",0.7,0.8,37750,"CONSTELLATION BRANDS INC",0,NA,112,29,2,"2019-02-07",69796,0.67221955396235,0.376386387035921,-2.45096023864809,-1.39080127701163,-0.300911032460205,-0.840291667716242,1.0215,1.637,0.6591,-0.93,-0.14,0.4,0.01,2.2399,0.8893,-3.0617
"Canopy Growth's Bruce Linton Out As Co-CEO: 'My Turn Is Over'","negative",0.6,0.8,46800,"CONSTELLATION BRANDS INC",0,NA,120,24,0,"2019-07-03",69796,-1.20559707283974,-1.11555564620098,1.35068142697767,1.31062641739845,0.873363027589558,5.55230684687817,0.6242,6e-04,0.7901,0.78,-0.04,-0.33,0.009,-1.135,-1.1932,1.3462
