BillID,Major,MajorText,Description
81-HR-7134,4,Agriculture,To amend .the Agricultural Act of 1949 so as to authorize delivery of surplus potatoes and eggs to the States
97-HR-7346,4,Agriculture,A bill to provide that the Department of Agriculture shall be known as the Department of Agriculture and Rural Development.
99-S-2446,4,Agriculture,A bill to require the Secretaries of Agriculture and Health and Human Services to enforce certain food labeling requirements for packaged foods sold by certain restaurants.
93-HR-4968,4,Agriculture,A bill to protect producers' incomes when rebuilding reserve stocks of wheat or feed grains.
106-HR-4056,5,Labor and Employment,"To establish a system of registries of temporary agricultural workers to provide for a sufficient supply of such workers and to amend the Immigration and Nationality Act to streamline procedures for the admission and extension of stay of nonimmigrant agricultural workers, and for other purposes."
100-HR-2613,5,Labor and Employment,"A bill to amend the Internal Revenue Code of 1986 and title I of the Employee Retirement Income Security Act of 1974 with regard to pension integration, participation, and vesting requirements, and to provide for studies relating to cost-of-living adjustments and pension portability."
88-HR-1133,5,Labor and Employment,"To authorize the establishment of a Youth Conservation Corps to provide healthful outdoor employment for young men and to advance the conservation, development, and management of national resources to timber, soil, and range, and of recreational areas and"
107-HR-694,5,Labor and Employment,To amend the National Labor Relations Act to permit elections to decertify representation by a labor organization.
94-HR-11107,5,Labor and Employment,A bill to amend the Walsh-Healey Act to exempt transportation employees of private carriers of property by motor vehicle from the provisions of such act relating to maximum and overtime hours of labor.
84-S-4301,6,Education,"A bill to provide for the extension of vocational education to persons in areas where programs are not now fully developed or available and for the development of vocational and technical education, including training and retraining, made necessary by sci"
92-S-195,6,Education,"A bill to assist school districts to meet special problems incident to desegregation, and to the elimination, reduction, or prevention of minority group isolation, in elementary and secondary schools, and for other purposes"
108-S-1515,6,Education,"A bill to establish and strengthen postsecondary programs and courses in the subjects of traditional American history, free institutions, and Western civilization, available to students preparing to teach these subjects, and to other students."
91-S-3268,6,Education,A bill to amend title V of the Higher Education Act of 1965 in order to improve educational opportunities for Indians
101-HR-2762,6,Education,To amend the National Foundation on the Arts and the Humanities Act of 1965 to prohibit the use of certain grants for a project which desecrates or denigrates a religious or national symbol.
102-HR-2005,7,Environment,To grant the consent of Congress to an amendment to a compact ratified by the States of Louisiana and Texas and relating to the waters of the Sabine River.
89-HR-11990,7,Environment,To amend the Internal Revenue Code of 1954 to provide an additional first-year depreciation allowance(up to 100 percent of cost) for new waste treatment facilities
108-S-1164,7,Environment,"A bill to provide for the development and coordination of a comprehensive and integrated United States research program that assists the people of the United States and the world to understand, assess, and predict human-induced and natural processes of abrupt climate change."
111-S-1567,7,Environment,A bill to provide for the issuance of a Multinational Species Conservation Funds Semipostal Stamp.
87-HR-11845,7,Environment,To amend the Soil Conservation and Domestic Allotment Act to clarify the authorization of the Secretary of Agriculture to extend the benefits of such act to lands in urban areas
89-HR-7788,8,Energy,To amend section 202 of the Federal Power Act to encourage and facilitate the construction of extra-highvoltage electric transmission lines in the public interest
94-S-1523,8,Energy,A bill for the elimination of the foreign tax credit for taxes paid in connection with foriegn oil related income.
97-S-668,8,Energy,"A bill to provide for an expedited and coordinated process for decisions on proposed non-nuclear energy facilities, and for other purposes."
97-S-88,8,Energy,A bill to exempt newly discovered oil from the windfall profit tax.
101-HR-4675,8,Energy,To amend the Internal Revenue Code of 1986 to provide incentives for small investors in oil and natural gas exploration.
82-S-552,9,Immigration,A bill to amend Public Law 717 of the Eighty-first Congress to permit the admission of alien spouses and minor children of citizen members of the United States Armed Forces
101-S-358,9,Immigration,"A bill to amend the Immigration and Nationality Act to change the level, and preference system for admission, of immigrants to the United States, and to provide for administrative naturalization, and for other purposes."
83-HR-220,9,Immigration,"To repeal the Immigration and Nationality Act (Public Law 414, 82d Coil,-.), and for other purposes"
114-S-2365,9,Immigration,"A bill to amend the Immigration and Nationality Act to protect American jobs, and for other purposes."
91-HR-17909,9,Immigration,"To amend the Immigration and Nationality Act to allow the issuance of visas to brothers and sisters of citizens of the United States as immediate relatives, and for other purposes"
98-S-2025,10,Transportation,A bill to amend the Highway Improvement Act of 1982 to provide additional funds for the completion of certain priority primary projects.
113-HR-2800,10,Transportation,"To improve passenger vessel security and safety, and for other purposes."
83-HR-540,10,Transportation,"To amend part I of the Interstate Commerce Act to provide for filing of equipment trust agreements and other documents evidencing or relating to the lease, mortgage, conditional sale or bailment of railroad equipment"
95-S-23,10,Transportation,"A bill to provide for the normal flow of maritime interstate commerce between Hawaii, Guam, American Samoa, or the Trust Territory of the Pacific Islands and the west coast, and to prevent certain interruptions thereof."
88-S-1774,10,Transportation,"A bill to amend title V of the Merchant Marine Act, 1936, in order to authorize construction differential subsidy for certain qualified operators in the coastwise, intercoastal, and noncontiguous domestic commerce of the United States, and for other purpo"
96-S-443,11,"Law, Crime, and Family Issues","A bill to amend the Federal District Court Organization Act of 1978 with respect to certain administrative matters arising from the redrawing of the federal judicial districts in the state of Illinois, and for other purposes."
87-HR-9503,11,"Law, Crime, and Family Issues","To include certain officers and employees of the Department of Health, Education, and Welfare within the provisions of sections 111 and 1114 of title 18 of the United States Code relating to assaults and homicides"
96-HR-2543,11,"Law, Crime, and Family Issues","A bill to provide lump sum death benefits for certain Federal law officers and firefighters killed in the line of duty, and for other purposes."
106-S-254,11,"Law, Crime, and Family Issues","A bill to reduce violent juvenile crime, promote accountability by rehabilitation of juvenile criminals, punish and deter violent gang crime, and for other purposes."
114-HR-3926,11,"Law, Crime, and Family Issues","To amend the Public Health Service Act to provide for better understanding of the epidemic of gun violence, and for other purposes."
85-HR-8872,12,Social Welfare,"To in crease from $600 t o $700 the income tax exemptions allowed for a taxpayer, his spouse, and his dependents, and the additional exemptions allowed for old age and blindness."
82-HR-6407,12,Social Welfare,"To amend the Social Security Act to provide that the Federal payment for old-age assistance, aid to the blind, and aid to the permanently and totally disabled shall be 1830 per recipient per month"
96-S-1498,12,Social Welfare,A bill to amend title II of the Social Security Act to provide an alternative retirement test for certain individuals receiving self-employment income substantially attributable to their activities in a preceding taxable year.
96-S-1805,12,Social Welfare,A bill to amend the Economic Opportunity Act of 1964 to establish a Weatherization Program designed to enable low-income and near-poor individuals and families to participate in energy conservation programs.
94-HR-2656,12,Social Welfare,"A bill to amend the Food Stamp Act of 1964 to permit households to use food stamps to purchase seeds, plants, and fertilizer from retail stores engaged primarily in the sale of seed and feed."
90-HR-14339,13,Community Development and Housing Issues,"To amend the Consolidated Farmers House Administration Act of 1961, as amended, in order to provide additional loan assistance under such act to farmers who have suffered severe production losses as the result of a national disaster"
101-HR-812,13,Community Development and Housing Issues,"To authorize the insurance of certain mortgages for first-time homebuyers, and for other purposes."
111-HR-1989,13,Community Development and Housing Issues,To provide for subsidies for interest on loans for rural multifamily housing guaranteed by the Rural Housing Service of the Department of Agriculture.
84-S-2790,13,Community Development and Housing Issues,"A bill to amend the National Housing Act and the United States Housing Act of 1937, to authorize assistance in the provision of housing for elderly persons, andfor other purposes."
84-HR-4670,13,Community Development and Housing Issues,"To amend the Internal Revenue Code of 1954 to provide that a taxpayer may deduct amounts paid to acquire, improve, or repair a home, to the extent that such amounts do not exceed 5 percent of his adjusted gross income for the taxable year"
102-HR-5660,14,"Banking, Finance, and Domestic Commerce","To amend the Internal Revenue Code of 1986 to provide that the conducting of certain games of chance shall not be treated as an unrelated trade or business, and for other purposes."
105-HR-4831,14,"Banking, Finance, and Domestic Commerce",To temporarily reenact chapter 12 of title 11 of the United States Code.
110-S-3693,14,"Banking, Finance, and Domestic Commerce","A bill to limit the amount of compensation for employees and executives of financial institutions assisted under the Troubled Asset Relief Program, and for other purposes."
93-S-2538,14,"Banking, Finance, and Domestic Commerce","A bill to provide for the establishment of construction and safety standards for mobile homes, and for other purposes."
88-HR-5173,14,"Banking, Finance, and Domestic Commerce",To prohibit professional boxing
113-S-2075,15,Defense,A bill to prohibit a reduction in funding for the defense commissary system in fiscal year 2015 pending the report of the Military Compensation and Retirement Modernization Commission.
85-S-3181,15,Defense,A bill to extend the program of expanded milk in Veterans Administration facilities and in the Armed Forces for an additional 2-year period.
90-HR-6640,15,Defense,"To amend title 10 of the United States Code to provide that the Commander, Naval Facilities Engineering Command, Department of the Navy, shall have the rank of vice admiral"
90-HR-8044,15,Defense,"Authorizing the Secretary of the Army to establish a national cemetery at Camp Parks, Calif., for northern California"
108-HR-3782,15,Defense,"To amend the State Department Basic Authorities Act of 1956 to increase the maximum amount of an award available under the Department of State rewards program, to expand the eligibility criteria to receive an award, to authorize nonmonetary awards, to publicize the existence of the rewards program, and for other purposes."
97-S-796,16,"Space, Science, Technology, and Communications",A bill entitled the Rural Telephone Bank Amendment Act of 1981.
101-HR-5267,16,"Space, Science, Technology, and Communications","To amend the Communications Act of 1934 to provide increased consumer protection and to promote increased competition in the cable television and related markets, and for other purposes."
98-HR-3602,16,"Space, Science, Technology, and Communications",A bill to amend the Communications Act of 1934 to ensure the availability of basic telephone service at reasonable rates.
86-HR-4800,16,"Space, Science, Technology, and Communications","To amend the Communications Act of 1934, the Federal Aviation Act of 1958 (with respect to the Civil Aeronautics Board), the Federal Power Act, the Federal Trade Commission Act, the Interstate Commerce Act, and the Securities Exchange Act of 1934, to stre"
87-HR-10629,16,"Space, Science, Technology, and Communications","To establish a Communications Satellite Authority to provide for the development of a global communication system, and for other purposes"
101-HR-1972,17,Foreign Trade,"To suspend temporarily the duty on 2,5 dichloro-4-(3-methyl-5-oxo-2 pyrazolin-l-yl) benzene sulfonic acid."
107-S-2295,17,Foreign Trade,A bill to extend the temporary suspension of duty on Solvent Blue 124.
103-HR-939,17,Foreign Trade,To extend the suspension of duty on three-dimensional cameras.
103-HR-3175,17,Foreign Trade,"To extend retroactively until January 1, 1996, the prior suspension of duty on L-alanyl - L-proline, also known as Ala Pro."
91-HR-17482,17,Foreign Trade,"To provide for orderly trade in toys, dolls, playthings, and novelties"
88-S-1305,18,International Affairs and Foreign Aid,"A bill to authorize the appropriation of $1,500,000 as an ex gratia payment to the city of New York to assist in defraying the extraordinary and unprecedented expenses incurred during the Fifteenth General Assembly of the United Nations."
86-HR-1232,18,International Affairs and Foreign Aid,To create a U.S. Foreign Service Academy
106-S-1829,18,International Affairs and Foreign Aid,A bill to amend the Foreign Assistance Act of 1961 to prohibit the payment of debts incurred by the communist government of Cuba.
114-S-224,18,International Affairs and Foreign Aid,"A bill to ensure the United States promotes womens meaningful inclusion and participation in mediation and negotiation processes undertaken in order to prevent, mitigate, and resolve violent conflict and implements the United States National Action Plan on Women, Peace, and Security."
88-HR-7815,18,International Affairs and Foreign Aid,"To aid in the protection of the rights of vessels of the United States engaged in the fisheries and related activities in international waters, and for other purposes"
100-HR-3868,19,Government Operations,"A bill to provide increased opportunities for disadvantaged business concerns to participate in procurements made by the United States Postal Service, and for other purposes."
89-HR-16834,19,Government Operations,"To name the Veterans Administration-hospital located in Clarksburg, W. Va., the Louis A. Johnson Memorial Hospital."
113-HR-4838,19,Government Operations,"To redesignate the railroad station located at 2955 Market Street in Philadelphia, Pennsylvania, commonly known as 30th Street Station, as the William H. Gray III 30th Street Station."
80-HR-5607,19,Government Operations,"Making appropriations for the Departments of State, Justice, Commerce, and the Judiciary for the fiscal year ending June 30, 1949, and for other purposes"
82-HR-5235,19,Government Operations,"To authorize and direct the Commissioners of the District of Columbia to make such studies and investigations deemed necessary concerning the location and construction of a bridge over the Potomac River in the vicinity of Shepherds Landing, and for other "
94-HR-6873,20,Public Lands and Water Management,"A bill appropriating funds for the San Luis Rey River project, Calif."
107-HR-818,20,Public Lands and Water Management,"To amend title 36, United States Code, to grant a Federal charter to the Ukrainian American Veterans, Incorporated."
85-HR-11800,20,Public Lands and Water Management,"To authorize the Secretary of Agriculture to convey a certain parcel of land and buildings thereon to the city of Clifton, N. J"
102-HR-2577,20,Public Lands and Water Management,"To amend title V of Public Law 96-550, designating the Chaco Culture Archaeological Protection Sites, and for other purposes."
102-S-2192,20,Public Lands and Water Management,"A bill to authorize services for the prevention, intervention, treatment and aftercare of American Indian and Alaskan Native children and their families at risk for Fetal Alcohol Syndrome (FAS) and Fetal Alcohol Effect (FAE), and for other purposes."
