ID,MajorLLM,MajorTextLLM,ConfidenceLLM,ExplanationLLM,InputTokens,OutputTokens
41,16,"Space, Science, Technology, and Communications",0.95,,252,18
42,16,"Space, Science, Technology, and Communications",0.95,,254,18
43,16,"Space, Science, Technology, and Communications",0.95,"The bill pertains to amending the National Science Foundation Act to include a program related to earthquakes, which falls under the domain of science and technology.",256,52
44,16,"Space, Science, Technology, and Communications",0.95,"The bill aims to amend the National Science Foundation Act of 1950 to include a program related to earthquakes, which falls under the domain of science and technology.",264,55
45,16,"Space, Science, Technology, and Communications",0.95,"The bill pertains to amending the National Science Foundation Act to include a program related to earthquakes, which falls under the domain of science and technology.",261,52
46,16,"Space, Science, Technology, and Communications",0.89,,1620,18
47,16,"Space, Science, Technology, and Communications",0.95,,1532,18
48,16,"Space, Science, Technology, and Communications",0.94,,1651,18
49,2,"Civil Rights, Minority Issues, and Civil Liberties",1.00,,218,5
50,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,,221,19
51,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,,228,19
52,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,,240,19
53,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,,235,19
54,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,,237,19
55,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,"This bill focuses on protecting the right to political participation, which falls under Civil Rights, Minority Issues, and Civil Liberties.",239,48
56,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,"The bill aims to protect the right to political participation, which falls under Civil Rights, Minority Issues, and Civil Liberties.",248,48
57,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,"The bill focuses on protecting the right to political participation, which falls under Civil Rights, Minority Issues, and Civil Liberties.",244,48
58,2,"Civil Rights, Minority Issues, and Civil Liberties",0.98,,1600,15
59,2,"Civil Rights, Minority Issues, and Civil Liberties",0.98,,1512,15
60,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,,1631,15
61,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,,221,6
62,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,,223,18
63,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,,230,18
64,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,,242,18
65,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,,237,18
66,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,,239,18
67,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,"The bill aims to protect the right to political participation, which is a fundamental aspect of civil rights and civil liberties.",241,46
68,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,"The bill aims to protect the right to political participation, which is a fundamental aspect of civil rights and civil liberties.",249,46
69,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,"The bill aims to protect the right to political participation, which is a fundamental aspect of civil rights and civil liberties.",246,46
70,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,,1605,18
71,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,,1517,18
72,2,"Civil Rights, Minority Issues, and Civil Liberties",0.95,,1636,18
73,19,Government Operations,0.90,,243,6
74,19,Government Operations,0.85,,246,19
75,19,Government Operations,0.85,,253,19
76,19,Government Operations,0.85,,265,19
77,19,Government Operations,0.85,,260,19
78,19,Government Operations,0.85,,262,19
79,19,Government Operations,0.85,The bill pertains to government operations by abolishing a specific commission established by a previous act.,264,43
80,19,Government Operations,0.80,The bill pertains to government operations by abolishing a specific commission established by a federal act.,273,43
81,19,Government Operations,0.85,The bill pertains to government operations by abolishing a specific commission established by a previous act.,269,43
82,19,Government Operations,0.90,,1625,15
83,19,Government Operations,0.95,,1537,15
84,19,Government Operations,0.90,,1656,15
85,19,Government Operations,0.95,,247,6
86,19,Government Operations,0.95,,249,18
87,19,Government Operations,0.95,,256,18
88,19,Government Operations,0.95,,268,18
89,19,Government Operations,0.95,,263,18
90,19,Government Operations,0.95,,265,18
91,19,Government Operations,0.95,"The bill pertains to the abolition of a commission related to the salaries of government officials, which falls under the domain of government operations.",267,49
92,19,Government Operations,0.95,"The bill aims to abolish a commission related to the salaries of executive, legislative, and judicial branches, which falls under the category of government operations.",275,53
93,19,Government Operations,0.95,"The bill pertains to the abolition of a government commission, which falls under the category of Government Operations.",272,43
94,19,Government Operations,0.95,,1631,18
95,19,Government Operations,0.95,,1543,18
96,19,Government Operations,0.95,,1662,14
97,15,Defense,0.90,,238,6
98,15,Defense,0.85,,241,19
99,15,Defense,0.90,,248,19
100,15,Defense,0.85,,260,19
101,15,Defense,0.95,,255,19
102,15,Defense,0.85,,257,19
103,15,Defense,0.90,"The bill pertains to rules governing the use of the Armed Forces of the United States, which falls under the category of Defense.",259,50
104,15,Defense,0.90,"This bill pertains to rules governing the use of the Armed Forces of the United States, falling under the category of Defense.",268,49
105,15,Defense,0.85,"The bill pertains to rules governing the use of the Armed Forces of the United States, making it relevant to the Defense category.",264,50
106,15,Defense,0.98,,1620,15
107,15,Defense,0.98,,1532,15
108,15,Defense,0.95,,1651,15
109,15,Defense,0.95,,240,6
110,15,Defense,0.95,,242,18
111,15,Defense,0.95,,249,18
112,15,Defense,0.95,,261,18
113,15,Defense,0.95,,256,18
114,15,Defense,0.95,,258,18
115,15,Defense,0.95,"The bill pertains to the rules governing the use of the Armed Forces, which falls under the category of Defense.",260,45
116,15,Defense,0.95,"The bill pertains to the rules governing the use of the Armed Forces, which falls under the category of Defense.",268,45
117,15,Defense,0.95,"The bill pertains to the rules governing the use of the Armed Forces, which falls under the category of Defense.",265,45
118,15,Defense,0.98,,1624,18
119,15,Defense,0.98,,1536,18
120,15,Defense,0.98,,1655,18
121,15,Defense,0.95,,252,6
122,15,Defense,0.85,,255,19
123,15,Defense,0.85,,262,19
124,15,Defense,0.85,,274,19
125,15,Defense,0.85,,269,19
126,15,Defense,0.85,,271,19
127,15,Defense,0.85,The bill pertains to the Department of Defense and eligibility for benefits related to service in the Philippines during World War II.,273,48
128,15,Defense,0.90,The bill pertains to the Department of Defense and eligibility for certain benefits for individuals claiming service in the Philippines during World War II.,282,50
129,15,Defense,0.85,The bill pertains to the Department of Defense and eligibility for certain benefits for individuals claiming service in the Philippines during World War II.,278,50
130,15,Defense,0.98,,1634,15
131,15,Defense,0.98,,1546,15
132,15,Defense,0.92,,1665,15
133,15,Defense,0.85,,255,6
134,15,Defense,0.95,,257,18
135,15,Defense,0.95,,264,18
136,15,Defense,0.90,,276,18
137,15,Defense,0.90,,271,18
138,15,Defense,0.95,,273,18
139,15,Defense,0.90,"The bill pertains to the Secretary of Defense and involves determining eligibility for benefits related to military service, which falls under the category of Defense.",275,50
140,15,Defense,0.90,"The bill involves the Secretary of Defense and pertains to determining eligibility for benefits related to military service during World War II, which falls under the category of Defense.",283,54
141,15,Defense,0.95,"The bill involves the Secretary of Defense and pertains to determining eligibility for benefits related to military service during World War II, which falls under the category of Defense.",280,54
142,15,Defense,0.95,,1639,18
143,15,Defense,0.95,,1551,18
144,15,Defense,0.94,,1670,18
145,19,Government Operations,0.85,,252,6
146,19,Government Operations,0.85,,255,19
147,19,Government Operations,0.85,,262,19
148,14,"Banking, Finance, and Domestic Commerce",0.85,,274,19
149,19,Government Operations,0.85,,269,19
150,19,Government Operations,0.85,,271,19
151,19,Government Operations,0.85,The bill pertains to government operations by providing financial assistance to candidates for federal office and repealing a specific government fund.,273,48
152,14,"Banking, Finance, and Domestic Commerce",0.80,"The bill pertains to financial assistance for election campaigns, which falls under Banking, Finance, and Domestic Commerce.",282,46
153,19,Government Operations,0.85,The bill pertains to government operations by providing financial assistance to candidates for federal office and repealing a specific government fund.,278,48
154,14,"Banking, Finance, and Domestic Commerce",0.95,,1634,15
155,14,"Banking, Finance, and Domestic Commerce",0.95,,1546,15
156,14,"Banking, Finance, and Domestic Commerce",0.90,,1665,15
157,19,Government Operations,0.95,,254,6
158,19,Government Operations,0.95,,256,18
159,19,Government Operations,0.95,,263,18
160,19,Government Operations,0.95,,275,18
161,19,Government Operations,0.95,,270,18
162,19,Government Operations,0.95,,272,18
163,19,Government Operations,0.95,"The bill pertains to the financial assistance for election campaigns and the repeal of the Presidential Election Campaign Fund, which are aspects of government operations.",274,50
164,19,Government Operations,0.95,"The bill pertains to providing financial assistance for election campaign expenses and involves the repeal of the Presidential Election Campaign Fund, which falls under the domain of government operations.",282,54
165,19,Government Operations,0.95,"The bill pertains to the provision of financial assistance for election campaign expenses and the repeal of the Presidential Election Campaign Fund, which are matters related to the operations and processes of government.",279,58
166,19,Government Operations,0.95,,1638,18
167,19,Government Operations,0.95,,1550,18
168,19,Government Operations,0.95,,1669,18
169,20,Public Lands and Water Management,0.95,,235,6
170,20,Public Lands and Water Management,0.95,,238,19
171,20,Public Lands and Water Management,0.95,,245,19
172,20,Public Lands and Water Management,0.95,,257,19
173,20,Public Lands and Water Management,0.95,,252,19
174,20,Public Lands and Water Management,0.95,,254,19
175,20,Public Lands and Water Management,0.95,"The bill pertains to federally owned lands and trust for Native American tribes, falling under the category of Public Lands and Water Management.",256,50
176,20,Public Lands and Water Management,0.95,"The bill pertains to federally owned lands and their management for the benefit of a specific Native American tribe, falling under the category of Public Lands and Water Management.",265,56
177,20,Public Lands and Water Management,0.95,"The bill pertains to federally owned lands and trust for Native American tribes, falling under Public Lands and Water Management.",261,47
178,20,Public Lands and Water Management,0.98,,1617,15
179,20,Public Lands and Water Management,0.98,,1529,15
180,20,Public Lands and Water Management,0.95,,1648,15
181,20,Public Lands and Water Management,0.95,,237,6
182,20,Public Lands and Water Management,0.95,,239,18
183,20,Public Lands and Water Management,0.95,,246,18
184,20,Public Lands and Water Management,0.95,,258,18
185,20,Public Lands and Water Management,0.95,,253,18
186,20,Public Lands and Water Management,0.95,,255,18
187,20,Public Lands and Water Management,0.95,"The bill pertains to the management and trust status of federally owned lands, which falls under the category of Public Lands and Water Management.",257,49
188,20,Public Lands and Water Management,0.95,"The bill pertains to the management and trust status of federally owned lands, which falls under the category of Public Lands and Water Management.",265,49
189,20,Public Lands and Water Management,0.95,"The bill pertains to the management and trust status of federally owned lands, which falls under the category of Public Lands and Water Management.",262,49
190,20,Public Lands and Water Management,0.95,,1621,18
191,20,Public Lands and Water Management,0.95,,1533,14
192,20,Public Lands and Water Management,0.95,,1652,18
193,9,Immigration,0.90,,230,6
194,9,Immigration,0.85,,233,19
195,15,Defense,0.85,,240,19
196,9,Immigration,0.85,,252,19
197,9,Immigration,0.85,,247,19
198,19,Government Operations,0.85,,249,19
199,9,Immigration,0.85,"The bill pertains to claims related to property deposited by alien enemies, which falls under immigration issues.",251,44
200,9,Immigration,0.90,"The bill relates to the authorization of payment for claims involving property deposited by alien enemies, which falls under immigration issues.",260,47
201,9,Immigration,0.85,"The bill pertains to claims related to property deposited by alien enemies, which falls under immigration issues.",256,44
202,15,Defense,0.95,,1612,15
203,15,Defense,0.98,,1524,15
204,18,International Affairs and Foreign Aid,0.90,,1643,15
205,11,"Law, Crime, and Family Issues",0.85,,232,6
206,2,"Civil Rights, Minority Issues, and Civil Liberties",0.85,,234,18
207,2,"Civil Rights, Minority Issues, and Civil Liberties",0.85,,241,18
208,2,"Civil Rights, Minority Issues, and Civil Liberties",0.85,,253,18
209,9,Immigration,0.85,,248,18
210,2,"Civil Rights, Minority Issues, and Civil Liberties",0.85,,250,18
211,2,"Civil Rights, Minority Issues, and Civil Liberties",0.85,"The bill addresses the rights and compensation of individuals classified as 'alien enemies,' which pertains to civil liberties and minority issues.",252,47
212,2,"Civil Rights, Minority Issues, and Civil Liberties",0.85,"The bill addresses the payment of claims for property loss or damage specifically related to 'alien enemies,' which pertains to civil liberties and minority issues, particularly in the context of wartime or national security measures.",260,63
213,2,"Civil Rights, Minority Issues, and Civil Liberties",0.85,"The bill addresses compensation for property loss or damage specifically related to 'alien enemies,' which pertains to civil liberties and minority issues.",257,48
214,18,International Affairs and Foreign Aid,0.89,,1616,18
215,18,International Affairs and Foreign Aid,0.90,,1528,18
216,18,International Affairs and Foreign Aid,0.89,,1647,18
217,7,Environment,0.95,,242,6
218,8,Energy,0.85,,245,19
219,8,Energy,0.95,,252,19
220,8,Energy,0.95,,264,19
221,8,Energy,0.95,,259,19
222,8,Energy,0.95,,261,19
223,8,Energy,0.95,"The bill focuses on providing tax credits for the construction of residences with solar energy utilization characteristics, which falls under the Energy category.",263,49
224,8,Energy,0.90,"The bill focuses on providing tax credits for the construction of residences with solar energy utilization characteristics, which falls under the Energy category.",272,49
225,8,Energy,0.95,"The bill focuses on providing tax credits for the construction of residences with solar energy characteristics, which falls under the Energy category.",268,48
226,8,Energy,0.98,,1624,15
227,8,Energy,0.98,,1536,15
228,8,Energy,0.95,,1655,15
229,8,Energy,0.85,,244,6
230,13,Community Development and Housing Issues,0.85,,246,18
231,8,Energy,0.90,,253,18
232,8,Energy,0.95,,265,18
233,13,Community Development and Housing Issues,0.90,,260,18
234,8,Energy,0.95,,262,18
235,8,Energy,0.95,"The bill provides a tax credit for the construction of residences with solar energy utilization, which directly relates to energy policy.",264,46
236,13,Community Development and Housing Issues,0.85,"The bill focuses on providing a tax credit to home builders for constructing residences with solar energy features, which aligns with community development and housing issues.",272,51
237,8,Energy,0.95,"The bill focuses on providing a tax credit for the construction of residences with solar energy utilization, which directly relates to energy policy.",269,48
238,8,Energy,0.95,,1628,18
239,8,Energy,0.90,,1540,18
240,8,Energy,0.94,,1659,18
241,14,"Banking, Finance, and Domestic Commerce",0.80,,231,6
242,14,"Banking, Finance, and Domestic Commerce",0.75,,234,19
243,14,"Banking, Finance, and Domestic Commerce",0.80,,241,19
244,14,"Banking, Finance, and Domestic Commerce",0.75,,253,19
245,14,"Banking, Finance, and Domestic Commerce",0.75,,248,19
246,14,"Banking, Finance, and Domestic Commerce",0.75,,250,19
247,14,"Banking, Finance, and Domestic Commerce",0.80,"The bill likely pertains to banking, finance, and domestic commerce as it seeks to amend a section of the Internal Revenue Code.",252,50
248,19,Government Operations,0.80,The bill likely pertains to government operations as it seeks to amend a specific section of the Internal Revenue Code.,261,46
249,1,Macroeconomics,0.70,"The bill is related to amending the Internal Revenue Code, which falls under the category of Macroeconomics.",257,46
250,14,"Banking, Finance, and Domestic Commerce",0.85,,1613,15
251,14,"Banking, Finance, and Domestic Commerce",0.85,,1525,15
252,14,"Banking, Finance, and Domestic Commerce",0.85,,1644,15
253,14,"Banking, Finance, and Domestic Commerce",0.85,,234,6
254,14,"Banking, Finance, and Domestic Commerce",0.85,,236,18
255,14,"Banking, Finance, and Domestic Commerce",0.85,,243,18
256,14,"Banking, Finance, and Domestic Commerce",0.85,,255,18
257,14,"Banking, Finance, and Domestic Commerce",0.85,,250,18
258,14,"Banking, Finance, and Domestic Commerce",0.85,,252,18
259,14,"Banking, Finance, and Domestic Commerce",0.85,"The bill aims to amend a section of the Internal Revenue Code, which pertains to taxation and finance, thus falling under Banking, Finance, and Domestic Commerce.",254,54
260,14,"Banking, Finance, and Domestic Commerce",0.85,"The bill aims to amend a section of the Internal Revenue Code, which pertains to taxation and finance, thus falling under Banking, Finance, and Domestic Commerce.",262,54
261,14,"Banking, Finance, and Domestic Commerce",0.85,"The bill aims to amend a section of the Internal Revenue Code, which pertains to taxation and finance, thus falling under Banking, Finance, and Domestic Commerce.",259,54
262,14,"Banking, Finance, and Domestic Commerce",0.88,,1618,18
263,14,"Banking, Finance, and Domestic Commerce",0.90,,1530,18
264,1,Macroeconomics,0.95,,1649,18
265,20,Public Lands and Water Management,1.00,,243,6
266,20,Public Lands and Water Management,1.00,,246,19
267,20,Public Lands and Water Management,1.00,,253,19
268,20,Public Lands and Water Management,0.95,,265,19
269,20,Public Lands and Water Management,0.95,,260,19
270,20,Public Lands and Water Management,0.95,,262,19
271,20,Public Lands and Water Management,0.95,"The bill pertains to designating a national park, which falls under public lands and water management.",264,44
272,20,Public Lands and Water Management,0.95,"The bill pertains to designating a national park, which falls under public lands and water management.",273,44
273,20,Public Lands and Water Management,0.95,"The bill pertains to designating a national park, which falls under public lands and water management.",269,44
274,20,Public Lands and Water Management,0.98,,1625,15
275,20,Public Lands and Water Management,0.98,,1537,15
276,20,Public Lands and Water Management,0.95,,1656,15
277,20,Public Lands and Water Management,0.95,,245,6
278,20,Public Lands and Water Management,0.95,,247,18
279,20,Public Lands and Water Management,0.95,,254,18
280,20,Public Lands and Water Management,0.95,,266,18
281,20,Public Lands and Water Management,0.95,,261,18
282,20,Public Lands and Water Management,0.95,,263,18
283,20,Public Lands and Water Management,0.95,"The bill pertains to the designation of a national park, which falls under the management and conservation of public lands and water resources.",265,48
284,20,Public Lands and Water Management,0.95,"The bill is related to the designation of a national park, which falls under the management and conservation of public lands and water resources.",273,49
285,20,Public Lands and Water Management,0.95,"The bill pertains to the designation of a national park, which falls under the management and conservation of public lands and water resources.",270,48
286,20,Public Lands and Water Management,0.95,,1629,18
287,20,Public Lands and Water Management,0.95,,1541,18
288,20,Public Lands and Water Management,0.95,,1660,18
289,11,"Law, Crime, and Family Issues",0.90,,238,6
290,11,"Law, Crime, and Family Issues",0.85,,241,19
291,11,"Law, Crime, and Family Issues",0.85,,248,19
292,11,"Law, Crime, and Family Issues",0.85,,260,19
293,11,"Law, Crime, and Family Issues",0.85,,255,19
294,11,"Law, Crime, and Family Issues",0.85,,257,19
295,11,"Law, Crime, and Family Issues",0.85,"The bill addresses issues related to drug distribution and control, falling under the category of Law, Crime, and Family Issues.",259,48
296,11,"Law, Crime, and Family Issues",0.85,"The bill focuses on amending the Controlled Substances Act to address issues related to drug distribution and promotion, which falls under Law, Crime, and Family Issues.",268,56
297,11,"Law, Crime, and Family Issues",0.85,"The bill addresses issues related to drug distribution and control, falling under the category of Law, Crime, and Family Issues.",264,48
298,11,"Law, Crime, and Family Issues",0.98,,1620,15
299,11,"Law, Crime, and Family Issues",0.98,,1532,15
300,11,"Law, Crime, and Family Issues",0.92,,1651,15
301,11,"Law, Crime, and Family Issues",0.95,,240,6
302,11,"Law, Crime, and Family Issues",0.95,,242,18
303,11,"Law, Crime, and Family Issues",0.95,,249,18
304,11,"Law, Crime, and Family Issues",0.95,,261,18
305,11,"Law, Crime, and Family Issues",0.95,,256,18
306,11,"Law, Crime, and Family Issues",0.95,,258,18
307,11,"Law, Crime, and Family Issues",0.95,"The bill pertains to the regulation of controlled substances and their advertisement, which falls under law and crime issues.",260,44
308,11,"Law, Crime, and Family Issues",0.95,"The bill pertains to amending the Controlled Substances Act, which is related to law enforcement and regulation of controlled substances, fitting under Law, Crime, and Family Issues.",268,57
309,11,"Law, Crime, and Family Issues",0.95,"The bill pertains to the regulation of controlled substances and their advertisement, which falls under law and crime issues.",265,44
310,11,"Law, Crime, and Family Issues",0.95,,1624,18
311,11,"Law, Crime, and Family Issues",0.95,,1536,18
312,11,"Law, Crime, and Family Issues",0.95,,1655,18
313,14,"Banking, Finance, and Domestic Commerce",0.90,,220,6
314,14,"Banking, Finance, and Domestic Commerce",0.85,,223,19
315,14,"Banking, Finance, and Domestic Commerce",0.85,,230,19
316,14,"Banking, Finance, and Domestic Commerce",0.85,,242,19
317,14,"Banking, Finance, and Domestic Commerce",0.85,,237,19
318,14,"Banking, Finance, and Domestic Commerce",0.85,,239,19
319,14,"Banking, Finance, and Domestic Commerce",0.90,"The bill pertains to the establishment of Federal mutual savings banks, which falls under the category of Banking, Finance, and Domestic Commerce.",241,51
320,14,"Banking, Finance, and Domestic Commerce",0.90,"The bill pertains to the establishment of Federal mutual savings banks, which falls under the Banking, Finance, and Domestic Commerce category.",250,50
321,14,"Banking, Finance, and Domestic Commerce",0.90,"The bill pertains to the establishment of Federal mutual savings banks, which falls under the category of Banking, Finance, and Domestic Commerce.",246,51
322,14,"Banking, Finance, and Domestic Commerce",0.95,,1602,15
323,14,"Banking, Finance, and Domestic Commerce",0.95,,1514,15
324,14,"Banking, Finance, and Domestic Commerce",0.90,,1633,15
325,14,"Banking, Finance, and Domestic Commerce",0.95,,223,6
326,14,"Banking, Finance, and Domestic Commerce",0.95,,225,18
327,14,"Banking, Finance, and Domestic Commerce",0.95,,232,18
328,14,"Banking, Finance, and Domestic Commerce",0.95,,244,18
329,14,"Banking, Finance, and Domestic Commerce",0.95,,239,18
330,14,"Banking, Finance, and Domestic Commerce",0.95,,241,18
331,14,"Banking, Finance, and Domestic Commerce",0.95,"The bill pertains to the establishment of Federal mutual savings banks, which falls under the domain of banking and finance.",243,45
332,14,"Banking, Finance, and Domestic Commerce",0.95,"The bill pertains to the establishment of Federal mutual savings banks, which falls under the domain of banking and finance.",251,45
333,14,"Banking, Finance, and Domestic Commerce",0.95,"The bill pertains to the establishment of Federal mutual savings banks, which falls under the domain of banking and finance.",248,45
334,14,"Banking, Finance, and Domestic Commerce",0.95,,1607,18
335,14,"Banking, Finance, and Domestic Commerce",0.95,,1519,18
336,14,"Banking, Finance, and Domestic Commerce",0.95,,1638,18
337,20,Public Lands and Water Management,0.95,,240,6
338,20,Public Lands and Water Management,0.85,,243,19
339,20,Public Lands and Water Management,0.85,,250,19
340,7,Environment,0.85,,262,19
341,20,Public Lands and Water Management,0.95,,257,19
342,20,Public Lands and Water Management,0.85,,259,19
343,20,Public Lands and Water Management,0.95,"The bill pertains to amending the Wilderness Act and allowing recreation organizations to cross wilderness areas, which falls under Public Lands and Water Management.",261,52
344,20,Public Lands and Water Management,0.90,"The bill focuses on amending the Wilderness Act and allowing recreation organizations to cross wilderness areas, which falls under Public Lands and Water Management.",270,51
345,20,Public Lands and Water Management,0.90,"The bill focuses on amending the Wilderness Act to allow recreation organizations to cross wilderness areas, which falls under Public Lands and Water Management.",266,51
346,7,Environment,0.98,,1622,15
347,20,Public Lands and Water Management,0.98,,1534,15
348,20,Public Lands and Water Management,0.90,,1653,15
349,20,Public Lands and Water Management,0.95,,241,6
350,20,Public Lands and Water Management,0.95,,243,18
351,20,Public Lands and Water Management,0.95,,250,18
352,20,Public Lands and Water Management,0.95,,262,18
353,20,Public Lands and Water Management,0.95,,257,18
354,20,Public Lands and Water Management,0.95,,259,18
355,20,Public Lands and Water Management,0.95,"The bill pertains to the use and management of wilderness areas, which falls under public lands and water management.",261,44
356,20,Public Lands and Water Management,0.95,"The bill pertains to the use and management of wilderness areas, which falls under public lands and water management.",269,44
357,20,Public Lands and Water Management,0.95,"The bill pertains to the management and use of wilderness areas, which falls under the category of Public Lands and Water Management.",266,47
358,20,Public Lands and Water Management,0.95,,1625,18
359,20,Public Lands and Water Management,0.95,,1537,18
360,20,Public Lands and Water Management,0.94,,1656,18
361,4,Agriculture,0.90,,230,6
362,5,Labor and Employment,0.85,,233,19
363,5,Labor and Employment,0.85,,240,19
364,5,Labor and Employment,0.85,,252,19
365,5,Labor and Employment,0.85,,247,19
366,5,Labor and Employment,0.85,,249,19
367,13,Community Development and Housing Issues,0.85,"This bill focuses on providing incentives for rural development and job creation, which falls under the category of Community Development and Housing Issues.",251,49
368,5,Labor and Employment,0.85,"The bill focuses on creating incentives for job-producing establishments, which falls under the Labor and Employment category.",260,44
369,5,Labor and Employment,0.85,"The bill focuses on creating incentives for job-producing establishments, which falls under the Labor and Employment category.",256,44
370,13,Community Development and Housing Issues,0.95,,1612,15
371,13,Community Development and Housing Issues,0.95,,1524,15
372,4,Agriculture,0.90,,1643,15
373,5,Labor and Employment,0.85,,233,6
374,5,Labor and Employment,0.85,,235,18
375,5,Labor and Employment,0.85,,242,18
376,5,Labor and Employment,0.85,,254,18
377,5,Labor and Employment,0.85,,249,18
378,5,Labor and Employment,0.85,,251,18
379,5,Labor and Employment,0.85,"The bill focuses on providing incentives for job creation, which directly relates to labor and employment issues.",253,42
380,5,Labor and Employment,0.90,"The bill focuses on providing incentives for job creation in rural areas, which directly relates to labor and employment issues.",261,45
381,5,Labor and Employment,0.90,"The bill focuses on providing incentives for job creation in industrial and commercial establishments, which directly relates to labor and employment issues.",258,47
382,13,Community Development and Housing Issues,0.89,,1617,18
383,13,Community Development and Housing Issues,0.90,,1529,18
384,13,Community Development and Housing Issues,0.94,,1648,18
385,16,"Space, Science, Technology, and Communications",0.90,,254,6
386,2,"Civil Rights, Minority Issues, and Civil Liberties",0.85,,257,19
387,2,"Civil Rights, Minority Issues, and Civil Liberties",0.85,,264,19
388,2,"Civil Rights, Minority Issues, and Civil Liberties",0.85,,276,19
389,2,"Civil Rights, Minority Issues, and Civil Liberties",0.85,,271,19
390,2,"Civil Rights, Minority Issues, and Civil Liberties",0.85,,273,19
391,2,"Civil Rights, Minority Issues, and Civil Liberties",0.85,"This bill focuses on protecting the privacy rights of individuals on the Internet, falling under Civil Rights, Minority Issues, and Civil Liberties.",275,50
392,2,"Civil Rights, Minority Issues, and Civil Liberties",0.90,"This bill focuses on protecting the privacy rights of individuals on the Internet, falling under Civil Rights, Minority Issues, and Civil Liberties.",284,50
