"prompt","model","V","regression","coef_name","coef","se","t","lci","uci"
6,"gpt-3.5","Senate","10k_V_Yllm","Other",0.308629441624371,0.00601050142245533,51.3483684524766,0.296849075307332,0.320409807941411
7,"gpt-3.5","Senate","10k_V_Yllm","3",0.343347639484978,0.0179649712884179,19.1120616878657,0.308136942776383,0.378558336193574
7,"gpt-3.5","Senate","10k_V_Yllm","14",0.292740046838407,0.0155751412901927,18.7953381214422,0.262213330855507,0.323266762821308
7,"gpt-3.5","Senate","10k_V_Yllm","15",0.298350824587706,0.01772111489399,16.835894715004,0.263618077629589,0.333083571545823
7,"gpt-3.5","Senate","10k_V_Yllm","19",0.296678121420389,0.0154647544803057,19.1841468804569,0.266367759609236,0.326988483231543
7,"gpt-3.5","Senate","10k_V_Yllm","20",0.395203336809179,0.0157919593879762,25.0256049360209,0.364251665163427,0.426155008454932
7,"gpt-3.5","Senate","10k_V_Yllm","Other",0.309683927370544,0.0059969188650895,51.6405064562972,0.29793018237676,0.321437672364329
8,"gpt-3.5","Senate","10k_V_Yllm","3",0.338278931750742,0.0182295242842644,18.5566516424535,0.302549720698285,0.374008142803198
8,"gpt-3.5","Senate","10k_V_Yllm","14",0.2997542997543,0.0160629778732265,18.6611911016777,0.268271441638312,0.331237157870288
8,"gpt-3.5","Senate","10k_V_Yllm","15",0.302405498281787,0.0190443081993285,15.8790487486675,0.265079340100622,0.339731656462952
8,"gpt-3.5","Senate","10k_V_Yllm","19",0.292834890965732,0.0146686115166167,19.9633680825215,0.264084940689954,0.32158484124151
8,"gpt-3.5","Senate","10k_V_Yllm","20",0.395918367346939,0.0156267235818128,25.3359807175274,0.365290551930223,0.426546182763655
8,"gpt-3.5","Senate","10k_V_Yllm","Other",0.30916986804745,0.0059746148590944,51.7472465320237,0.297459838102127,0.320879897992772
9,"gpt-3.5","Senate","10k_V_Yllm","3",0.342688330871492,0.0182461534247404,18.7814013668675,0.306926527302609,0.378450134440375
9,"gpt-3.5","Senate","10k_V_Yllm","14",0.294258373205742,0.0157657440122077,18.6644139964401,0.263358082752336,0.325158663659147
9,"gpt-3.5","Senate","10k_V_Yllm","15",0.300925925925926,0.0180232964177514,16.6964976301194,0.265600914064443,0.336250937787408
9,"gpt-3.5","Senate","10k_V_Yllm","19",0.301446051167964,0.0153092973072604,19.6903910818301,0.271440379817118,0.331451722518811
9,"gpt-3.5","Senate","10k_V_Yllm","20",0.391513982642241,0.0151614203695062,25.8230411861467,0.361798144763537,0.421229820520945
9,"gpt-3.5","Senate","10k_V_Yllm","Other",0.308148399119099,0.00601146563611385,51.2601115554747,0.296366142978016,0.319930655260182
10,"gpt-3.5","Senate","10k_V_Yllm","3",0.335260115606936,0.0179512251514245,18.6761690513548,0.300076360831775,0.370443870382098
10,"gpt-3.5","Senate","10k_V_Yllm","14",0.30623020063358,0.0149825950885568,20.4390627140066,0.276864853865062,0.335595547402098
10,"gpt-3.5","Senate","10k_V_Yllm","15",0.286642599277978,0.0121542843654858,23.5836673438339,0.262820639663768,0.310464558892189
10,"gpt-3.5","Senate","10k_V_Yllm","19",0.290423861852433,0.0179918681813423,16.1419514041129,0.25516044820241,0.325687275502456
10,"gpt-3.5","Senate","10k_V_Yllm","20",0.405622489959843,0.017970585373196,22.5714678479449,0.370400789847277,0.44084419007241
10,"gpt-3.5","Senate","10k_V_Yllm","Other",0.315092989985693,0.00621415272032368,50.7057042475262,0.302913474459427,0.327272505511959
11,"gpt-3.5","Senate","10k_V_Yllm","3",0.339805825242719,0.0176446865984967,19.2582522418771,0.305222874991168,0.374388775494269
11,"gpt-3.5","Senate","10k_V_Yllm","14",0.296140939597316,0.0132276981955236,22.3879419699441,0.270215127535724,0.322066751658907
11,"gpt-3.5","Senate","10k_V_Yllm","15",0.288334556126192,0.0122735073215839,23.4924336272758,0.264278923811899,0.312390188440485
11,"gpt-3.5","Senate","10k_V_Yllm","19",0.279430789133247,0.0161441639646482,17.3084707108483,0.247788809202027,0.311072769064467
11,"gpt-3.5","Senate","10k_V_Yllm","20",0.404872389791178,0.0167240256415053,24.209027088931,0.372093901857304,0.437650877725053
11,"gpt-3.5","Senate","10k_V_Yllm","Other",0.316958145018672,0.00652437205235157,48.5806361861953,0.304170610774324,0.329745679263021
12,"gpt-3.5","Senate","10k_V_Yllm","3",0.337677725118483,0.0162833962525058,20.7375488431364,0.305762854917577,0.369592595319389
12,"gpt-3.5","Senate","10k_V_Yllm","14",0.296663660955816,0.0137207628658216,21.62151360365,0.269771459898391,0.323555862013241
12,"gpt-3.5","Senate","10k_V_Yllm","15",0.276483846731781,0.0122631007732,22.545998099927,0.252448610877523,0.300519082586038
12,"gpt-3.5","Senate","10k_V_Yllm","19",0.291793313069909,0.0144740287252573,20.1597854065832,0.263424738057206,0.320161888082611
12,"gpt-3.5","Senate","10k_V_Yllm","20",0.390539053905383,0.0161865227319077,24.1274213352527,0.358814052315905,0.422264055494861
12,"gpt-3.5","Senate","10k_V_Yllm","Other",0.320331950207469,0.00672288008119155,47.648023814028,0.307155347375952,0.333508553038986
1,"gpt-4o","Senate","10k_V_Yllm","3",0.323785803237858,0.0165174727238627,19.6026237579364,0.291412151583464,0.356159454892252
1,"gpt-4o","Senate","10k_V_Yllm","14",0.300578034682081,0.0155944667082096,19.2746594228736,0.270013441575881,0.331142627788281
1,"gpt-4o","Senate","10k_V_Yllm","15",0.301075268817204,0.0179842602498712,16.7410427025688,0.265826766438861,0.336323771195547
1,"gpt-4o","Senate","10k_V_Yllm","19",0.276755852842809,0.0129406356197925,21.3865733472563,0.25139267309096,0.302119032594659
1,"gpt-4o","Senate","10k_V_Yllm","20",0.39008894536213,0.0173923407431887,22.4287777661498,0.356000583898632,0.424177306825629
1,"gpt-4o","Senate","10k_V_Yllm","Other",0.318532818532819,0.00617402907075932,51.5923742635769,0.306431943914627,0.33063369315101
2,"gpt-4o","Senate","10k_V_Yllm","3",0.323415265200517,0.0168299154950636,19.2166897864328,0.29042923696734,0.356401293433695
2,"gpt-4o","Senate","10k_V_Yllm","14",0.311242603550296,0.01593252580638,19.5350446836033,0.280015426787036,0.342469780313556
2,"gpt-4o","Senate","10k_V_Yllm","15",0.289703315881326,0.0189561284603238,15.2828314329949,0.252549986812777,0.326856644949876
2,"gpt-4o","Senate","10k_V_Yllm","19",0.285502958579882,0.012287046605503,23.2360930780562,0.261420789756731,0.309585127403033
2,"gpt-4o","Senate","10k_V_Yllm","20",0.390656063618291,0.0153872095701533,25.3883630971043,0.36049768703822,0.420814440198362
2,"gpt-4o","Senate","10k_V_Yllm","Other",0.313887360117404,0.00628748352769104,49.9225737506899,0.301564118849741,0.326210601385067
3,"gpt-4o","Senate","10k_V_Yllm","3",0.320363164721141,0.0168098129347742,19.058104094568,0.287416536782128,0.353309792660154
3,"gpt-4o","Senate","10k_V_Yllm","14",0.308457711442786,0.0162933163762552,18.9315486374715,0.276523398156609,0.340392024728963
3,"gpt-4o","Senate","10k_V_Yllm","15",0.291882556131261,0.0188993889332599,15.4440208179214,0.254840434492256,0.328924677770265
3,"gpt-4o","Senate","10k_V_Yllm","19",0.283232628398791,0.0123864567303671,22.8663155706512,0.258955619311208,0.307509637486375
3,"gpt-4o","Senate","10k_V_Yllm","20",0.390147783251227,0.015315253212479,25.4744585569981,0.360130438540657,0.420165127961797
3,"gpt-4o","Senate","10k_V_Yllm","Other",0.314871981114942,0.00626073990476507,50.2930940918488,0.30260115638503,0.327142805844854
4,"gpt-4o","Senate","10k_V_Yllm","3",0.325192802056555,0.0167996736127861,19.357090474011,0.292266046823467,0.358119557289644
4,"gpt-4o","Senate","10k_V_Yllm","14",0.303550973654066,0.0155662387951328,19.5005985485062,0.273041706240856,0.334060241067277
4,"gpt-4o","Senate","10k_V_Yllm","15",0.295169946332737,0.0192975732735743,15.2957028403637,0.257347397727509,0.332992494937965
4,"gpt-4o","Senate","10k_V_Yllm","19",0.281199351701783,0.0128021860749473,21.964948021812,0.256107528071506,0.30629117533206
4,"gpt-4o","Senate","10k_V_Yllm","20",0.386538461538467,0.0151044071699641,25.5911044497741,0.356934367477509,0.416142555599425
4,"gpt-4o","Senate","10k_V_Yllm","Other",0.314902102973168,0.00625579194266705,50.3376879952492,0.302640976070764,0.327163229875571
5,"gpt-4o","Senate","10k_V_Yllm","3",0.324742268041237,0.0168152628115469,19.3123516224938,0.29178495854003,0.357699577542445
5,"gpt-4o","Senate","10k_V_Yllm","14",0.311893203883495,0.0161434963934209,19.3200528734657,0.280252532367838,0.343533875399152
5,"gpt-4o","Senate","10k_V_Yllm","15",0.289930555555556,0.0189110869692218,15.3312475389397,0.252865506187376,0.326995604923735
5,"gpt-4o","Senate","10k_V_Yllm","19",0.286507936507937,0.0127411302837982,22.4868540016629,0.26153578002936,0.311480092986514
5,"gpt-4o","Senate","10k_V_Yllm","20",0.38491295938105,0.0151362960391153,25.4297985706909,0.355246364285047,0.414579554477052
5,"gpt-4o","Senate","10k_V_Yllm","Other",0.313562386980102,0.00624065650373224,50.2450962959708,0.301330924992902,0.325793848967303
6,"gpt-4o","Senate","10k_V_Yllm","3",0.323797139141742,0.0168788231608753,19.1836324165239,0.290715253645006,0.356879024638479
6,"gpt-4o","Senate","10k_V_Yllm","14",0.30440097799511,0.0160937102733601,18.9142822148964,0.272857885481702,0.335944070508518
6,"gpt-4o","Senate","10k_V_Yllm","15",0.296551724137931,0.0189706688061458,15.6321175161657,0.259369896515248,0.333733551760614
6,"gpt-4o","Senate","10k_V_Yllm","19",0.2914653784219,0.0128986291067644,22.5966167419332,0.266184529922702,0.316746226921098
6,"gpt-4o","Senate","10k_V_Yllm","20",0.386756238003834,0.0150914754354678,25.6274636404924,0.357177489676747,0.416334986330922
6,"gpt-4o","Senate","10k_V_Yllm","Other",0.312488736709323,0.00622415010715554,50.2058484017076,0.300289626664927,0.324687846753719
7,"gpt-4o","Senate","10k_V_Yllm","3",0.32421875,0.0168955311693371,19.1896156889349,0.291104117408426,0.357333382591575
7,"gpt-4o","Senate","10k_V_Yllm","14",0.309133489461358,0.0158187255291568,19.542250030925,0.278129357142887,0.34013762177983
7,"gpt-4o","Senate","10k_V_Yllm","15",0.294017094017094,0.0188423808464763,15.6040309562089,0.257086706175013,0.330947481859175
7,"gpt-4o","Senate","10k_V_Yllm","19",0.291304347826087,0.0122347232991042,23.8096392296355,0.26732473079903,0.315283964853144
7,"gpt-4o","Senate","10k_V_Yllm","20",0.385614385614381,0.0153890007725166,25.0577923358776,0.35545249834219,0.415776272886573
7,"gpt-4o","Senate","10k_V_Yllm","Other",0.313377679231337,0.00630731356372672,49.6848105084815,0.301015571807232,0.325739786655443
8,"gpt-4o","Senate","10k_V_Yllm","3",0.320779220779221,0.0168264911238562,19.0639402129674,0.28779990419028,0.353758537368162
8,"gpt-4o","Senate","10k_V_Yllm","14",0.314039408866995,0.0162927341590257,19.2748132880464,0.282106236705619,0.345972581028371
8,"gpt-4o","Senate","10k_V_Yllm","15",0.290155440414508,0.018866356370423,15.3795165700033,0.253178061408981,0.327132819420035
8,"gpt-4o","Senate","10k_V_Yllm","19",0.285300506879073,0.0121547630466845,23.4723215733026,0.261477609066953,0.309123404691193
8,"gpt-4o","Senate","10k_V_Yllm","20",0.385786802030462,0.0155147744870076,24.865769228778,0.355378402807667,0.416195201253258
8,"gpt-4o","Senate","10k_V_Yllm","Other",0.315183628722821,0.00628183458202673,50.1738185886984,0.302871459185211,0.327495798260432
9,"gpt-4o","Senate","10k_V_Yllm","3",0.318652849740933,0.0167750878250425,18.9955994904083,0.285774281766353,0.351531417715512
9,"gpt-4o","Senate","10k_V_Yllm","14",0.309892729439809,0.0159703098431191,19.4043028897983,0.27859149732535,0.341193961554268
9,"gpt-4o","Senate","10k_V_Yllm","15",0.295138888888889,0.0190100859215917,15.5253842673941,0.257879805139557,0.33239797263822
9,"gpt-4o","Senate","10k_V_Yllm","19",0.293661971830986,0.0120897217322528,24.2902176191167,0.269966552652659,0.317357391009313
9,"gpt-4o","Senate","10k_V_Yllm","20",0.384158415841577,0.0153094405947131,25.0929100553967,0.354152463652483,0.41416436803067
9,"gpt-4o","Senate","10k_V_Yllm","Other",0.313579788222181,0.00632538843544085,49.5747876075417,0.301182254700491,0.325977321743871
10,"gpt-4o","Senate","10k_V_Yllm","3",0.326693227091633,0.0170965860449096,19.1086820628089,0.29318453418502,0.360201919998246
10,"gpt-4o","Senate","10k_V_Yllm","14",0.310387984981226,0.0163723793337709,18.9580255046374,0.278298711145808,0.342477258816645
10,"gpt-4o","Senate","10k_V_Yllm","15",0.295865633074935,0.0164109936989126,18.0285020214552,0.263700676474553,0.328030589675318
10,"gpt-4o","Senate","10k_V_Yllm","19",0.288201160541586,0.0140895317001735,20.4549850679592,0.260586185850211,0.315816135232961
10,"gpt-4o","Senate","10k_V_Yllm","20",0.383149448345032,0.0154012804533097,24.8777658134713,0.352963493340744,0.41333540334932
10,"gpt-4o","Senate","10k_V_Yllm","Other",0.312954102427788,0.00617459535913473,50.6841475797766,0.300852117904776,0.3250560869508
11,"gpt-4o","Senate","10k_V_Yllm","3",0.321644498186215,0.0162477905541781,19.7961991886647,0.289799413871676,0.353489582500754
11,"gpt-4o","Senate","10k_V_Yllm","14",0.304611650485437,0.0160381282354269,18.992967634002,0.273177496764565,0.336045804206309
11,"gpt-4o","Senate","10k_V_Yllm","15",0.301013024602026,0.0174549451824245,17.2451429354884,0.266801960692353,0.335224088511699
11,"gpt-4o","Senate","10k_V_Yllm","19",0.28952205882353,0.0137540946375175,21.0498812501836,0.26256452869404,0.316479588953019
11,"gpt-4o","Senate","10k_V_Yllm","20",0.378958120531149,0.0155094013305288,24.4340908107914,0.348560252501535,0.409355988560763
11,"gpt-4o","Senate","10k_V_Yllm","Other",0.314433911643702,0.00621119170990717,50.6237653463768,0.30226019959121,0.326607623696193
12,"gpt-4o","Senate","10k_V_Yllm","3",0.335113484646195,0.0172527819307185,19.4237361830632,0.301298653428863,0.368928315863526
12,"gpt-4o","Senate","10k_V_Yllm","14",0.325984251968504,0.018607018813495,17.5194239999413,0.289515165234395,0.362453338702613
12,"gpt-4o","Senate","10k_V_Yllm","15",0.278296988577362,0.0144461026352961,19.2645030707037,0.249983147695213,0.306610829459512
12,"gpt-4o","Senate","10k_V_Yllm","19",0.297703879651623,0.0128700737032791,23.1314821123186,0.27247899871482,0.322928760588426
12,"gpt-4o","Senate","10k_V_Yllm","20",0.385128693994284,0.0150292612942144,25.6252577192561,0.355671883143382,0.414585504845186
12,"gpt-4o","Senate","10k_V_Yllm","Other",0.311364912937648,0.00633794472919455,49.1271107971965,0.298942769532422,0.323787056342875
1,"gpt-3.5","Democrat","10k_V_Yllm","3",0.615740740740741,0.0234099005947562,26.3025781868833,0.569858178693356,0.661623302788126
1,"gpt-3.5","Democrat","10k_V_Yllm","14",0.59741935483871,0.0176216092275212,33.9026559450466,0.56288163540313,0.63195707427429
1,"gpt-3.5","Democrat","10k_V_Yllm","15",0.57672849915683,0.0202954273832648,28.4166718081724,0.536950192434783,0.616506805878877
1,"gpt-3.5","Democrat","10k_V_Yllm","19",0.595658073270014,0.0180829585921762,32.94029957729,0.56021612569542,0.631100020844608
1,"gpt-3.5","Democrat","10k_V_Yllm","20",0.582142857142859,0.0170223449147945,34.1987464157717,0.548779674177443,0.615506040108274
1,"gpt-3.5","Democrat","10k_V_Yllm","Other",0.610146459308452,0.00599474534412578,101.780213217286,0.598396974337477,0.621895944279428
2,"gpt-3.5","Democrat","10k_V_Yllm","3",0.608359133126935,0.0192104742404761,31.6680955145362,0.570707295489667,0.646010970764202
2,"gpt-3.5","Democrat","10k_V_Yllm","14",0.567769477054428,0.0161884127486095,35.0725846858085,0.536040771100285,0.599498183008572
2,"gpt-3.5","Democrat","10k_V_Yllm","15",0.576763485477178,0.0183802588056038,31.3795083941546,0.54073884019167,0.612788130762687
2,"gpt-3.5","Democrat","10k_V_Yllm","19",0.594117647058824,0.0168483422293746,35.2626768242514,0.561095503090044,0.627139791027603
2,"gpt-3.5","Democrat","10k_V_Yllm","20",0.592513368983965,0.0160742338178273,36.8610644649719,0.561008449621947,0.624018288345982
2,"gpt-3.5","Democrat","10k_V_Yllm","Other",0.615840243696047,0.00632941102018966,97.2981912110985,0.603434826053124,0.62824566133897
3,"gpt-3.5","Democrat","10k_V_Yllm","3",0.61371237458194,0.019916708795179,30.8139452603983,0.574676342652817,0.652748406511063
3,"gpt-3.5","Democrat","10k_V_Yllm","14",0.567021276595745,0.0161658802041542,35.0751873349918,0.535336733617214,0.598705819574276
3,"gpt-3.5","Democrat","10k_V_Yllm","15",0.576564580559254,0.0180354893396127,31.9683358572867,0.541215671010057,0.611913490108451
3,"gpt-3.5","Democrat","10k_V_Yllm","19",0.595190380761523,0.0155424121237539,38.2945952032683,0.564727812766087,0.625652948756959
3,"gpt-3.5","Democrat","10k_V_Yllm","20",0.587368421052628,0.0159773611668308,36.7625426326353,0.556053368597651,0.618683473507605
3,"gpt-3.5","Democrat","10k_V_Yllm","Other",0.616866215512776,0.00640584956001712,96.2973310149242,0.60431098108476,0.629421449940791
4,"gpt-3.5","Democrat","10k_V_Yllm","3",0.624373956594324,0.0197932520024355,31.5447889269281,0.585579895532625,0.663168017656023
4,"gpt-3.5","Democrat","10k_V_Yllm","14",0.572043010752688,0.0162294296161471,35.2472652633181,0.540233913215412,0.603852108289964
4,"gpt-3.5","Democrat","10k_V_Yllm","15",0.581267217630854,0.0183154845896495,31.7363821189499,0.545369527475743,0.617164907785966
4,"gpt-3.5","Democrat","10k_V_Yllm","19",0.586826347305389,0.0170454394295145,34.4271762386652,0.553417899922882,0.620234794687897
4,"gpt-3.5","Democrat","10k_V_Yllm","20",0.579081632653064,0.0176376666322069,32.8320998876146,0.544512441282615,0.613650824023514
4,"gpt-3.5","Democrat","10k_V_Yllm","Other",0.615083251714006,0.00621859375214468,98.9103447225307,0.602895031925316,0.627271471502695
5,"gpt-3.5","Democrat","10k_V_Yllm","3",0.62781954887218,0.0209637372368034,29.9478829456991,0.586731378906684,0.668907718837676
5,"gpt-3.5","Democrat","10k_V_Yllm","14",0.582677165354331,0.0165435809433842,35.2207401377236,0.550252342529975,0.615101988178687
5,"gpt-3.5","Democrat","10k_V_Yllm","15",0.581724581724582,0.017701484826208,32.8630387470834,0.547030308992332,0.616418854456832
5,"gpt-3.5","Democrat","10k_V_Yllm","19",0.594232749742533,0.0157629500761325,37.6980671049827,0.56333793530321,0.625127564181856
5,"gpt-3.5","Democrat","10k_V_Yllm","20",0.588978185993119,0.0166764379092816,35.3179851235084,0.556292968300508,0.621663403685729
5,"gpt-3.5","Democrat","10k_V_Yllm","Other",0.611744966442941,0.00631467418359777,96.8767269152122,0.599368432468985,0.624121500416898
6,"gpt-3.5","Democrat","10k_V_Yllm","3",0.623778501628665,0.0195561404503716,31.8968102735635,0.58544917066933,0.662107832588
6,"gpt-3.5","Democrat","10k_V_Yllm","14",0.57516339869281,0.0163198277427613,35.2432273035434,0.543177124083101,0.60714967330252
6,"gpt-3.5","Democrat","10k_V_Yllm","15",0.576056338028169,0.0185518705892633,31.0511188214925,0.539695339827365,0.612417336228973
6,"gpt-3.5","Democrat","10k_V_Yllm","19",0.586776859504133,0.0158314777539587,37.063934815397,0.555747733284327,0.617805985723939
6,"gpt-3.5","Democrat","10k_V_Yllm","20",0.588636363636364,0.0165930218226592,35.4749345795791,0.556114638469264,0.621158088803463
6,"gpt-3.5","Democrat","10k_V_Yllm","Other",0.614890016920482,0.00633180740565331,97.1112950105656,0.602479902448358,0.627300131392607
7,"gpt-3.5","Democrat","10k_V_Yllm","3",0.625178826895565,0.0183149580379106,34.134876290816,0.589282168762898,0.661075485028232
7,"gpt-3.5","Democrat","10k_V_Yllm","14",0.57728337236534,0.0169091034828351,34.1403891076398,0.544142138528122,0.610424606202557
7,"gpt-3.5","Democrat","10k_V_Yllm","15",0.583208395802099,0.0190958403535764,30.541122307449,0.545781236454562,0.620635555149635
7,"gpt-3.5","Democrat","10k_V_Yllm","19",0.597938144329897,0.0165996056811538,36.0212257938609,0.565403515037269,0.630472773622525
7,"gpt-3.5","Democrat","10k_V_Yllm","20",0.586027111574561,0.0159098405767717,36.8342541678362,0.554844397044315,0.617209826104808
7,"gpt-3.5","Democrat","10k_V_Yllm","Other",0.611466039004706,0.00632186927178195,96.7223478875183,0.599075402917043,0.623856675092369
8,"gpt-3.5","Democrat","10k_V_Yllm","3",0.623145400593472,0.0186716193985638,33.3739343809356,0.586549699039247,0.659741102147696
8,"gpt-3.5","Democrat","10k_V_Yllm","14",0.588452088452088,0.0172537650707549,34.105720463849,0.554635330315694,0.622268846588483
8,"gpt-3.5","Democrat","10k_V_Yllm","15",0.587628865979382,0.0204110113569159,28.7897966300565,0.547624018831789,0.627633713126975
8,"gpt-3.5","Democrat","10k_V_Yllm","19",0.592938733125649,0.0158362366992988,37.4418963535639,0.561900279544372,0.623977186706926
8,"gpt-3.5","Democrat","10k_V_Yllm","20",0.578571428571428,0.0157782113507663,36.6690124570634,0.547646702583465,0.609496154559391
8,"gpt-3.5","Democrat","10k_V_Yllm","Other",0.611491565057651,0.00630116946622261,97.0441389230284,0.599141499843372,0.623841630271931
9,"gpt-3.5","Democrat","10k_V_Yllm","3",0.61890694239291,0.0186708542563937,33.148292729079,0.582312740489782,0.655501144296038
9,"gpt-3.5","Democrat","10k_V_Yllm","14",0.589712918660287,0.0170173303985767,34.6536680459356,0.556359563966058,0.623066273354516
9,"gpt-3.5","Democrat","10k_V_Yllm","15",0.580246913580247,0.0193930533913021,29.9203483779656,0.542237227383033,0.618256599777462
9,"gpt-3.5","Democrat","10k_V_Yllm","19",0.597330367074527,0.0163618428827929,36.5075237156028,0.56526174430355,0.629398989845504
9,"gpt-3.5","Democrat","10k_V_Yllm","20",0.581485053037614,0.0153237731336791,37.94659761437,0.551451009588341,0.611519096486888
9,"gpt-3.5","Democrat","10k_V_Yllm","Other",0.611892258173822,0.00634464851885404,96.4422625391297,0.599456975582303,0.624327540765341
10,"gpt-3.5","Democrat","10k_V_Yllm","3",0.638728323699422,0.0182663731287291,34.9674409472584,0.602926890238943,0.674529757159901
10,"gpt-3.5","Democrat","10k_V_Yllm","14",0.569165786694826,0.0160964395552202,35.359731867551,0.537617344887268,0.600714228502383
10,"gpt-3.5","Democrat","10k_V_Yllm","15",0.579783393501805,0.0132670673035332,43.7009461275139,0.553780419406411,0.605786367597199
10,"gpt-3.5","Democrat","10k_V_Yllm","19",0.616954474097331,0.0192669232470242,32.0214320775177,0.579191998440266,0.654716949754396
10,"gpt-3.5","Democrat","10k_V_Yllm","20",0.601070950468547,0.0179217628931633,33.5386063330768,0.56594494065848,0.636196960278613
10,"gpt-3.5","Democrat","10k_V_Yllm","Other",0.610515021459227,0.00652289337433078,93.595738336266,0.597730385370544,0.62329965754791
11,"gpt-3.5","Democrat","10k_V_Yllm","3",0.642163661581138,0.0178577927680348,35.9598562892163,0.60716303091241,0.677164292249866
