"prompt","model","V","Y","regression","coef_name","coef","se","t","lci","uci"
6,"gpt-4o","Senate",3,"10k_Yllm_V","V",0.00245012816527647,0.00575746801815272,0.425556539359221,-0.00883430179244406,0.013734558122997
7,"gpt-4o","Senate",3,"10k_Yllm_V","(Intercept)",0.0759771629336847,0.00320615253082283,23.6973014238302,0.06969321944433,0.0822611064230394
7,"gpt-4o","Senate",3,"10k_Yllm_V","V",0.00259651961601546,0.0057558894600366,0.4511065811884,-0.00868481642464997,0.0138778556566809
8,"gpt-4o","Senate",3,"10k_Yllm_V","(Intercept)",0.0765627287366418,0.00321746397215369,23.7959863418121,0.0702566152296654,0.0828688422436182
8,"gpt-4o","Senate",3,"10k_Yllm_V","V",0.00137983989699663,0.00574760023243358,0.240072350406387,-0.00988524955610724,0.0126449293501005
9,"gpt-4o","Senate",3,"10k_Yllm_V","(Intercept)",0.0770019030888597,0.00322591131122401,23.8698140339273,0.0706792331015403,0.0833245730761792
9,"gpt-4o","Senate",3,"10k_Yllm_V","V",0.00062510858674762,0.0057450183481134,0.108808805972378,-0.0106349204660764,0.0118851376395717
10,"gpt-4o","Senate",3,"10k_Yllm_V","(Intercept)",0.0742204655248134,0.00317188122374458,23.3995097197215,0.0680036925630352,0.0804372384865916
10,"gpt-4o","Senate",3,"10k_Yllm_V","V",0.00340654615079414,0.00571485455018936,0.596086238219529,-0.00779436294446186,0.0146074552460501
11,"gpt-4o","Senate",3,"10k_Yllm_V","(Intercept)",0.0821256038647343,0.00332224921007219,24.71988062056,0.0756141150653262,0.0886370926641425
11,"gpt-4o","Senate",3,"10k_Yllm_V","V",0.00181254697149179,0.00594189943218423,0.305045043622608,-0.00983336191534829,0.0134584558583319
12,"gpt-4o","Senate",3,"10k_Yllm_V","(Intercept)",0.0729029424681599,0.00314583848542359,23.1744073339937,0.0667372123355497,0.0790686726007702
12,"gpt-4o","Senate",3,"10k_Yllm_V","V",0.0063018539976021,0.00573715200959104,1.09842897435296,-0.00494275731502793,0.0175464653102321
1,"gpt-3.5","Democrat",3,"10k_Yllm_V","(Intercept)",0.0419191919191919,0.00318495545175571,13.1616258230814,0.0356767939413862,0.0481615898969976
1,"gpt-3.5","Democrat",3,"10k_Yllm_V","V",0.00212054318014588,0.00413709722416058,0.512567886430597,-0.00598801837974949,0.0102291047400413
2,"gpt-3.5","Democrat",3,"10k_Yllm_V","(Intercept)",0.063888888888889,0.00388662113966872,16.4381571017582,0.0562712514335862,0.0715065263441917
2,"gpt-3.5","Democrat",3,"10k_Yllm_V","V",0.00117733627667397,0.00501791421140783,0.234626625141855,-0.00865759485519708,0.011012267408545
3,"gpt-3.5","Democrat",3,"10k_Yllm_V","(Intercept)",0.0583333333333334,0.0037247989527579,15.6608005084791,0.0510328615362754,0.0656338051303914
3,"gpt-3.5","Democrat",3,"10k_Yllm_V","V",0.00242825607064015,0.00482955791966532,0.502790547505934,-0.00703750351315407,0.0118940156544344
4,"gpt-3.5","Democrat",3,"10k_Yllm_V","(Intercept)",0.0568181818181819,0.00367906293488714,15.4436558503517,0.0496073509689468,0.0640290126674169
4,"gpt-3.5","Democrat",3,"10k_Yllm_V","V",0.0051023479831427,0.00481189960607187,1.06036043991947,-0.00432880194198064,0.014533497908266
5,"gpt-3.5","Democrat",3,"10k_Yllm_V","(Intercept)",0.0500000000000001,0.00346371895002209,14.4353513438731,0.043211235605388,0.0567887643946123
5,"gpt-3.5","Democrat",3,"10k_Yllm_V","V",0.00529801324503299,0.00454401908126518,1.16593111742785,-0.00360810049930956,0.0142041269893755
6,"gpt-3.5","Democrat",3,"10k_Yllm_V","(Intercept)",0.0583333333333334,0.00372479895275792,15.660800508479,0.0510328615362753,0.0656338051303914
6,"gpt-3.5","Democrat",3,"10k_Yllm_V","V",0.00507726269315676,0.00486917084291609,1.04273660895333,-0.00446613679353132,0.0146206621798448
7,"gpt-3.5","Democrat",3,"10k_Yllm_V","(Intercept)",0.0661616161616162,0.00395034252547955,16.7483239073261,0.0584190870850793,0.0739041452381531
7,"gpt-3.5","Democrat",3,"10k_Yllm_V","V",0.00618937721586732,0.00516908150441706,1.19738433425327,-0.00394183636594224,0.0163205907976769
8,"gpt-3.5","Democrat",3,"10k_Yllm_V","(Intercept)",0.0641414141414141,0.00389376933636755,16.4728335452071,0.0565097664780273,0.071773061804801
8,"gpt-3.5","Democrat",3,"10k_Yllm_V","V",0.00539500969964557,0.0050868149890418,1.06058697068159,-0.00457496447489487,0.015364983874186
9,"gpt-3.5","Democrat",3,"10k_Yllm_V","(Intercept)",0.0651515151515151,0.00392219078587503,16.6110010217109,0.0574641624707052,0.072838867832325
9,"gpt-3.5","Democrat",3,"10k_Yllm_V","V",0.00421934577563735,0.0051062921427477,0.826303246599384,-0.005788802918688,0.0142274944699627
10,"gpt-3.5","Democrat",3,"10k_Yllm_V","(Intercept)",0.0631313131313132,0.00386507222710153,16.3337990655498,0.0555559107685482,0.0707067154940782
10,"gpt-3.5","Democrat",3,"10k_Yllm_V","V",0.0100474948157067,0.00511567336978578,1.96406105109238,2.09592542559697e-05,0.0200740303771575
11,"gpt-3.5","Democrat",3,"10k_Yllm_V","(Intercept)",0.0651515151515153,0.00392219078587504,16.6110010217109,0.0574641624707053,0.0728388678323252
11,"gpt-3.5","Democrat",3,"10k_Yllm_V","V",0.0115041139875577,0.00520618787757152,2.20970012187188,0.00130017325076848,0.0217080547243469
12,"gpt-3.5","Democrat",3,"10k_Yllm_V","(Intercept)",0.0770202020202022,0.00423734929302519,18.1765053324681,0.0687151500159565,0.0853252540244478
12,"gpt-3.5","Democrat",3,"10k_Yllm_V","V",0.0122182085758244,0.00560481336204607,2.17994923052426,0.00123297624614528,0.0232034409055036
1,"gpt-4o","Democrat",3,"10k_Yllm_V","(Intercept)",0.0707070707070708,0.0040738363587412,17.3563846165188,0.0627224981650283,0.0786916432491133
1,"gpt-4o","Democrat",3,"10k_Yllm_V","V",0.0158823332664393,0.00544916608188123,2.91463556584353,0.00520216400017484,0.0265625025327037
2,"gpt-4o","Democrat",3,"10k_Yllm_V","(Intercept)",0.069949494949495,0.00405360473763686,17.2561212739932,0.0620045756561658,0.0778944142428241
2,"gpt-4o","Democrat",3,"10k_Yllm_V","V",0.0121697103485184,0.00537713851239061,2.26323170222891,0.00163071252434957,0.0227087081726873
3,"gpt-4o","Democrat",3,"10k_Yllm_V","(Intercept)",0.0686868686868688,0.00401957894902503,17.0880755317741,0.0608086387137644,0.0765650986599732
3,"gpt-4o","Democrat",3,"10k_Yllm_V","V",0.0139290253528664,0.00535794945992653,2.5996933074948,0.00342763738042457,0.0244304133253082
4,"gpt-4o","Democrat",3,"10k_Yllm_V","(Intercept)",0.0696969696969697,0.00404683042722355,17.2226069143173,0.0617653278080707,0.0776286115858687
4,"gpt-4o","Democrat",3,"10k_Yllm_V","V",0.0134156130844874,0.00538479921302905,2.49138594657848,0.00286160056297085,0.023969625606004
5,"gpt-4o","Democrat",3,"10k_Yllm_V","(Intercept)",0.0686868686868687,0.00401957894902502,17.0880755317741,0.0608086387137643,0.0765650986599731
5,"gpt-4o","Democrat",3,"10k_Yllm_V","V",0.014756839922403,0.00536860701739522,2.74872790550478,0.00423456352115938,0.0252791163236466
6,"gpt-4o","Democrat",3,"10k_Yllm_V","(Intercept)",0.0686868686868689,0.00401957894902502,17.0880755317741,0.0608086387137645,0.0765650986599733
6,"gpt-4o","Democrat",3,"10k_Yllm_V","V",0.0135978995250517,0.00535367456145455,2.5399189601389,0.00310489019965252,0.0240909088504509
7,"gpt-4o","Democrat",3,"10k_Yllm_V","(Intercept)",0.0681818181818183,0.00400585956565596,17.0205213298968,0.0603304777060074,0.0760331586576293
7,"gpt-4o","Democrat",3,"10k_Yllm_V","V",0.0142685129440096,0.0053455240467165,2.66924492702901,0.00379147833395245,0.0247455475540668
8,"gpt-4o","Democrat",3,"10k_Yllm_V","(Intercept)",0.0691919191919192,0.00403323569148811,17.1554365984474,0.061286922495441,0.0770969158883974
8,"gpt-4o","Democrat",3,"10k_Yllm_V","V",0.0129272861060942,0.00536179982426944,2.41099752504385,0.00241835155821288,0.0234362206539755
9,"gpt-4o","Democrat",3,"10k_Yllm_V","(Intercept)",0.0686868686868688,0.00401957894902501,17.0880755317742,0.0608086387137645,0.0765650986599732
9,"gpt-4o","Democrat",3,"10k_Yllm_V","V",0.0140945882667737,0.00536008436036318,2.62954597711195,0.00358901596636543,0.0246001605671819
10,"gpt-4o","Democrat",3,"10k_Yllm_V","(Intercept)",0.0676767676767677,0.00399207689555575,16.9527715641224,0.059852440737964,0.0755010946155715
10,"gpt-4o","Democrat",3,"10k_Yllm_V","V",0.0126212455682655,0.00530716356557048,2.37815273871417,0.00221939611968418,0.0230230950168468
11,"gpt-4o","Democrat",3,"10k_Yllm_V","(Intercept)",0.0724747474747476,0.00412052038902207,17.5887365265406,0.0643986759147014,0.0805508190347938
11,"gpt-4o","Democrat",3,"10k_Yllm_V","V",0.0169292260351864,0.00551905887542707,3.06741174850692,0.00611206941079317,0.0277463826595795
12,"gpt-4o","Democrat",3,"10k_Yllm_V","(Intercept)",0.066919191919192,0.00397128278555752,16.8507748082204,0.0591356206870753,0.0747027631513086
12,"gpt-4o","Democrat",3,"10k_Yllm_V","V",0.013213258411934,0.00528936442538188,2.49808055359696,0.00284629463707816,0.0235802221867899
1,"gpt-3.5","DW1",3,"10k_Yllm_V","(Intercept)",0.0428503895708071,0.00205119097178403,20.8904924798581,0.0388301291406967,0.0468706500009175
1,"gpt-3.5","DW1",3,"10k_Yllm_V","V",-0.00560425176049222,0.00591821861286475,-0.946949095173665,-0.0172037470943417,0.00599524357335728
2,"gpt-3.5","DW1",3,"10k_Yllm_V","(Intercept)",0.0644736324172369,0.00249609643416055,25.829784272305,0.0595813733043434,0.0693658915301304
2,"gpt-3.5","DW1",3,"10k_Yllm_V","V",-0.0020256711157168,0.00730813738540751,-0.277180218281275,-0.0163493571851862,0.0122980149537526
3,"gpt-3.5","DW1",3,"10k_Yllm_V","(Intercept)",0.0594165476530334,0.00239724483520989,24.785348071396,0.0547180341138973,0.0641150611921694
3,"gpt-3.5","DW1",3,"10k_Yllm_V","V",-0.00614673737140497,0.00697321993400575,-0.88147762863891,-0.019813997298333,0.00752052255552308
4,"gpt-3.5","DW1",3,"10k_Yllm_V","(Intercept)",0.0592869133955073,0.00238953007724005,24.8111182864811,0.0546035205041416,0.063970306286873
4,"gpt-3.5","DW1",3,"10k_Yllm_V","V",-0.00982777227354149,0.00687567242140591,-1.42935434837542,-0.0233038425889924,0.00364829804190939
5,"gpt-3.5","DW1",3,"10k_Yllm_V","(Intercept)",0.0524551245291351,0.00225146683142986,23.298199998719,0.0480423306271461,0.0568679184311242
5,"gpt-3.5","DW1",3,"10k_Yllm_V","V",-0.0119403465124865,0.00647758737126168,-1.84333237486859,-0.0246361844668709,0.000755491441897826
6,"gpt-3.5","DW1",3,"10k_Yllm_V","(Intercept)",0.0609191079658848,0.0024225009286483,25.1471969506638,0.0561710933932193,0.0656671225385503
6,"gpt-3.5","DW1",3,"10k_Yllm_V","V",-0.00770869460335869,0.00693886253562919,-1.11094499477063,-0.0213086152668662,0.0058912260601488
7,"gpt-3.5","DW1",3,"10k_Yllm_V","(Intercept)",0.069374392115471,0.00257532538862075,26.9381074803233,0.0643268471053027,0.0744219371256393
7,"gpt-3.5","DW1",3,"10k_Yllm_V","V",-0.0084254892481348,0.00747990444566315,-1.12641669547261,-0.0230858325694356,0.006234854073166
8,"gpt-3.5","DW1",3,"10k_Yllm_V","(Intercept)",0.0668126642951258,0.00252947114195733,26.4136890857848,0.0618549919569561,0.0717703366332956
8,"gpt-3.5","DW1",3,"10k_Yllm_V","V",-0.00941498560452025,0.00735565612696159,-1.27996543639531,-0.0238318066960264,0.00500183548698585
9,"gpt-3.5","DW1",3,"10k_Yllm_V","(Intercept)",0.0672856243593901,0.00254091043272999,26.4809115239444,0.0623055314232972,0.072265717295483
9,"gpt-3.5","DW1",3,"10k_Yllm_V","V",-0.00664243746605169,0.00739755273684837,-0.897923638038383,-0.0211413744040102,0.00785649947190682
10,"gpt-3.5","DW1",3,"10k_Yllm_V","(Intercept)",0.0680453176941366,0.00254007800240124,26.7886724855735,0.0630668562915078,0.0730237790967655
10,"gpt-3.5","DW1",3,"10k_Yllm_V","V",-0.0185095460692739,0.00730138730841945,-2.53507248518784,-0.0328200022309538,-0.00419908990759389
11,"gpt-3.5","DW1",3,"10k_Yllm_V","(Intercept)",0.0709770171355609,0.00259134310251375,27.3900499963549,0.0658980779830477,0.0760559562880741
11,"gpt-3.5","DW1",3,"10k_Yllm_V","V",-0.0180014043332889,0.00742512618381691,-2.4243903588498,-0.0325543842342354,-0.00344842443234247
12,"gpt-3.5","DW1",3,"10k_Yllm_V","(Intercept)",0.0828295135823868,0.00277718603629025,29.8249784134123,0.0773863289728904,0.0882726981918832
12,"gpt-3.5","DW1",3,"10k_Yllm_V","V",-0.0251748819137272,0.00792815730911231,-3.17537618543368,-0.0407137847033553,-0.00963597912409906
1,"gpt-4o","DW1",3,"10k_Yllm_V","(Intercept)",0.0789097288842047,0.00271755944613732,29.0369835318103,0.073583410243929,0.0842360475244805
1,"gpt-4o","DW1",3,"10k_Yllm_V","V",-0.0222860323882358,0.00771931936429946,-2.88704629728171,-0.0374156203274253,-0.00715644444904623
2,"gpt-4o","DW1",3,"10k_Yllm_V","(Intercept)",0.0763031055076205,0.00268272096267656,28.4424308637349,0.0710450690402038,0.0815611419750372
2,"gpt-4o","DW1",3,"10k_Yllm_V","V",-0.0159802089624192,0.00768188563290893,-2.08024562276228,-0.0310364281362764,-0.000923989788562073
3,"gpt-4o","DW1",3,"10k_Yllm_V","(Intercept)",0.0759491065629266,0.00267411368848819,28.4015997112914,0.0707079400429242,0.081190273082929
3,"gpt-4o","DW1",3,"10k_Yllm_V","V",-0.0184488105396287,0.00764118453805286,-2.41439143993372,-0.0334252570334366,-0.00347236404582078
4,"gpt-4o","DW1",3,"10k_Yllm_V","(Intercept)",0.0766594601533167,0.00268559300955585,28.5447049797002,0.0713957945774547,0.0819231257291787
4,"gpt-4o","DW1",3,"10k_Yllm_V","V",-0.0182828425869413,0.00764926091028527,-2.39014498281239,-0.0332751184794505,-0.00329056669443211
5,"gpt-4o","DW1",3,"10k_Yllm_V","(Intercept)",0.0763965345092638,0.00268009173701148,28.5051938537194,0.0711436512294579,0.0816494177890697
5,"gpt-4o","DW1",3,"10k_Yllm_V","V",-0.0192915400456467,0.00762380905223458,-2.53043326681854,-0.0342339312130369,-0.0043491488782565
6,"gpt-4o","DW1",3,"10k_Yllm_V","(Intercept)",0.075764933468043,0.00267096099368216,28.3661699467928,0.0705299461163146,0.0809999208197713
6,"gpt-4o","DW1",3,"10k_Yllm_V","V",-0.0181951054054135,0.00760382794514644,-2.39288757408399,-0.0330983343225397,-0.00329187648828726
7,"gpt-4o","DW1",3,"10k_Yllm_V","(Intercept)",0.0756615207293549,0.00266980336115156,28.3397353641506,0.0704288022956939,0.0808942391630159
7,"gpt-4o","DW1",3,"10k_Yllm_V","V",-0.0182498115732036,0.00764449139886901,-2.38731533871614,-0.033232739395113,-0.00326688375129412
8,"gpt-4o","DW1",3,"10k_Yllm_V","(Intercept)",0.0759291269722045,0.0026749356688219,28.3854030050919,0.070686349400352,0.081171904544057
8,"gpt-4o","DW1",3,"10k_Yllm_V","V",-0.0171660841615677,0.00762895119807959,-2.25012373468699,-0.0321185537496174,-0.00221361457351797
9,"gpt-4o","DW1",3,"10k_Yllm_V","(Intercept)",0.0760497491877793,0.00267601006260024,28.4190819199995,0.070804865842816,0.0812946325327425
9,"gpt-4o","DW1",3,"10k_Yllm_V","V",-0.0184385092695256,0.00766337173308745,-2.40605700881184,-0.0334584418665193,-0.00341857667253193
10,"gpt-4o","DW1",3,"10k_Yllm_V","(Intercept)",0.0742147209868067,0.00264767792455066,28.0301166160161,0.0690253676120257,0.0794040743615878
10,"gpt-4o","DW1",3,"10k_Yllm_V","V",-0.0173970119665922,0.0076510759295406,-2.2737994142004,-0.032392845231473,-0.0024011787017113
11,"gpt-4o","DW1",3,"10k_Yllm_V","(Intercept)",0.0813207939107757,0.00275655270088203,29.5009030245476,0.0759180498955603,0.0867235379259911
11,"gpt-4o","DW1",3,"10k_Yllm_V","V",-0.0221086601205279,0.0078605503243937,-2.8126097039183,-0.0375150556550042,-0.0067022645860516
12,"gpt-4o","DW1",3,"10k_Yllm_V","(Intercept)",0.0735726406368869,0.00263248010041058,27.9480329691427,0.0684130744500638,0.07873220682371
12,"gpt-4o","DW1",3,"10k_Yllm_V","V",-0.021277557608067,0.00758711032069664,-2.80443498363595,-0.0361480205833645,-0.00640709463276946
1,"gpt-3.5","Senate",14,"10k_Yllm_V","(Intercept)",0.080368906455863,0.0032896685587782,24.4307002422494,0.073921274559584,0.0868165383521421
1,"gpt-3.5","Senate",14,"10k_Yllm_V","V",-0.009053033940874,0.00563253154857077,-1.60727620658799,-0.0200925929178583,0.00198652503611033
2,"gpt-3.5","Senate",14,"10k_Yllm_V","(Intercept)",0.096764748938662,0.00357734081485441,27.0493514447547,0.0897532897811222,0.103776208096202
2,"gpt-3.5","Senate",14,"10k_Yllm_V","V",-0.00967102852212673,0.00615563289906898,-1.57108597616168,-0.0217358473063518,0.00239379026209835
3,"gpt-3.5","Senate",14,"10k_Yllm_V","(Intercept)",0.0964719660371835,0.00357250357270395,27.0040222700648,0.089469987700043,0.103473944374324
3,"gpt-3.5","Senate",14,"10k_Yllm_V","V",-0.00780046083049355,0.00618608792032831,-1.26096831001386,-0.0199249703595353,0.00432404869854822
4,"gpt-3.5","Senate",14,"10k_Yllm_V","(Intercept)",0.0945688771775728,0.00354081402469625,26.7082305136558,0.0876290092132139,0.101508745141932
4,"gpt-3.5","Senate",14,"10k_Yllm_V","V",-0.00495070109679004,0.00618771229128857,-0.800085857863807,-0.0170783943344114,0.00717699214083136
5,"gpt-3.5","Senate",14,"10k_Yllm_V","(Intercept)",0.0901771336553945,0.00346599497198644,26.017675843226,0.0833839083397042,0.0969703589710849
5,"gpt-3.5","Senate",14,"10k_Yllm_V","V",-0.00403008411295198,0.00607128851326096,-0.6637938724456,-0.0159295909386952,0.00786942271279122
6,"gpt-3.5","Senate",14,"10k_Yllm_V","(Intercept)",0.0928121797687016,0.00351117424963296,26.4333733304189,0.0859304046959765,0.0996939548414266
6,"gpt-3.5","Senate",14,"10k_Yllm_V","V",-0.00319400368791905,0.00617079930426874,-0.517599670711954,-0.0152885480801106,0.00890054070427249
7,"gpt-3.5","Senate",14,"10k_Yllm_V","(Intercept)",0.0884204362465232,0.00343538098878447,25.7381747570911,0.0816872132353321,0.0951536592577144
7,"gpt-3.5","Senate",14,"10k_Yllm_V","V",-0.00953119673879199,0.00589377683504972,-1.61716281521059,-0.0210827870684059,0.00202039359082193
8,"gpt-3.5","Senate",14,"10k_Yllm_V","(Intercept)",0.0834431269213879,0.00334638793299303,24.9352820390898,0.0768843270944221,0.0900019267483536
8,"gpt-3.5","Senate",14,"10k_Yllm_V","V",-0.00644722916184226,0.00579902161454029,-1.11177877759184,-0.0178131026719105,0.00491864434822603
9,"gpt-3.5","Senate",14,"10k_Yllm_V","(Intercept)",0.0863709559361733,0.003399148223726,25.4095880059909,0.0797087478395571,0.0930331640327896
9,"gpt-3.5","Senate",14,"10k_Yllm_V","V",-0.00874394426056584,0.00584405173481004,-1.49621267184933,-0.0201980751845823,0.00271018666345066
10,"gpt-3.5","Senate",14,"10k_Yllm_V","(Intercept)",0.0961791831357049,0.00356765625382209,26.9586463193214,0.0891867053689945,0.103171660902415
10,"gpt-3.5","Senate",14,"10k_Yllm_V","V",-0.0046676653067367,0.00624242968601674,-0.747732139809669,-0.0169026026673532,0.00756727205387979
11,"gpt-3.5","Senate",14,"10k_Yllm_V","(Intercept)",0.122822427170253,0.0039717681473637,30.9238663016566,0.115037904646477,0.13060694969403
11,"gpt-3.5","Senate",14,"10k_Yllm_V","V",-0.0114308209853369,0.0068568307357416,-1.66707060825537,-0.0248699622754777,0.00200832030480394
12,"gpt-3.5","Senate",14,"10k_Yllm_V","(Intercept)",0.114185331576636,0.00384837942086573,29.6710170929427,0.106642646512894,0.121728016640378
12,"gpt-3.5","Senate",14,"10k_Yllm_V","V",-0.0103670923844618,0.00664645172368905,-1.55979352825385,-0.0233938983878765,0.0026597136189529
1,"gpt-4o","Senate",14,"10k_Yllm_V","(Intercept)",0.0885668276972625,0.00343794758616851,25.7615410000964,0.0818285742476358,0.0953050811468892
1,"gpt-4o","Senate",14,"10k_Yllm_V","V",-0.00652201860922208,0.00596572908549177,-1.0932475336641,-0.018214632758309,0.00517059553986485
2,"gpt-4o","Senate",14,"10k_Yllm_V","(Intercept)",0.0851998243302591,0.00337818757652967,25.2205723927807,0.0785786983472403,0.0918209503132779
2,"gpt-4o","Senate",14,"10k_Yllm_V","V",-0.00220834436812591,0.00595248424094854,-0.370995416154854,-0.0138749990989273,0.00945831036267546
3,"gpt-4o","Senate",14,"10k_Yllm_V","(Intercept)",0.081393646611038,0.00330872952370453,24.5996676452138,0.0749086559099928,0.0878786373120832
3,"gpt-4o","Senate",14,"10k_Yllm_V","V",-0.00313552101936876,0.00580642439129208,-0.540008929431874,-0.0145159037052561,0.00824486166651862
4,"gpt-4o","Senate",14,"10k_Yllm_V","(Intercept)",0.0890060020494804,0.00344563044337366,25.8315578272908,0.0822526904764332,0.0957593136225275
4,"gpt-4o","Senate",14,"10k_Yllm_V","V",-0.00538340817128544,0.00600485557582756,-0.896509183827211,-0.017152708832272,0.0063858924897011
5,"gpt-4o","Senate",14,"10k_Yllm_V","(Intercept)",0.08300395256917,0.0033383695448828,24.8636202353338,0.0764608684941143,0.0895470366442257
5,"gpt-4o","Senate",14,"10k_Yllm_V","V",-0.00190581435522239,0.00588770821336493,-0.323693750803793,-0.0134455104048983,0.00963388169445353
6,"gpt-4o","Senate",14,"10k_Yllm_V","(Intercept)",0.0832967354706486,0.00334371821188844,24.9114100507904,0.0767431682008965,0.0898503027404006
