BillID,Year,Major,MajorText,Party,PassH,PassS,Description,DW1,Chamber,Postal
101-S-2365,1990,11,"Law, Crime, and Family Issues",Democrat,0,0,A bill to amend the Controlled Substances Act to prohibit advertisements intended to promote or facilitate the distribution or transfer of a Schedule I controlled substance.,-0.213,Senate,AZ
89-HR-12336,1966,14,"Banking, Finance, and Domestic Commerce",Democrat,0,0,To authorize establishment of Federal mutual savings .banks,-0.39,House,RI
111-HR-2809,2009,20,Public Lands and Water Management,Republican,0,0,"To amend the Wilderness Act to allow recreation organizations consisting of hikers or horseback riders to cross wilderness areas on established trails, and for other purposes.",0.842,House,CO
90-HR-14611,1968,19,Government Operations,Republican,0,0,To provide incentives for the establishment of new or expanded job-producing industrial and commercial establishment in rural areas,0.105,House,IA
106-S-3040,2000,2,"Civil Rights, Minority Issues, and Civil Liberties",Republican,0,0,"A bill to establish the Commission for the Comprehensive Study of Privacy Protection, and for other purposes.",0.395,Senate,TN
90-HR-9170,1967,2,"Civil Rights, Minority Issues, and Civil Liberties",Democrat,0,0,"To assure nondiscrimination in Federal and State jury selection and service, to provide relief against discriminatory employment and housing practices, to provide penalties for certain acts of violence or intimidation, to extend the life of the U.S. Commission on Civil Rights, and for other purposes",-0.582,House,CA
86-HR-865,1959,15,Defense,Democrat,0,0,To provide that the next cruiser commissioned in the U.S. Navy shall be named the Brooklyn,-0.579,House,NY
98-S-2603,1984,12,Social Welfare,Republican,1,1,"A bill to extend the authorization of appropriations for, and to revise the Older Americans Act of 1965.",0.24,Senate,IA
97-HR-2792,1981,4,Agriculture,Republican,0,0,"A bill to amend title II, title IV establishing a Fishermen's Contingency Fund, and title V of the Outer Continental Shelf Lands Act Amendments of 1978.",0.313,House,NJ
95-HR-7413,1977,11,"Law, Crime, and Family Issues",Democrat,0,0,A bill to add Muncie to the places where U.S. District Court shall be held for the Indianapolis Division of the Southern District of Indiana.,-0.144,House,IN
100-HR-3524,1987,7,Environment,Democrat,0,0,"A bill to provide grants and loans to enable rural areas near the international border separating the United States from Mexico to develop plans for the construction and improvement of, and to construct and improve, water and waste disposal facilities.",-0.262,House,TX
85-HR-4946,1957,19,Government Operations,Republican,0,0,"To include certain service performed for Members of Congress as annuitable service Under the Civil Service Retirement Act of May 29, 1930, as amended.",-0.025,House,MA
113-HR-2,2014,8,Energy,Republican,1,0,"To remove Federal Government obstacles to the production of more domestic energy; to ensure transport of that energy reliably to businesses, consumers, and other end users; to lower the cost of energy to consumers; to enable manufacturers and other businesses to access domestically produced energy affordably and reliably in order to create and sustain more secure and well-paying American jobs; and for other purposes.",0.67,House,NE
113-S-1863,2013,3,Health,Democrat,0,0,"A bill to establish in the Department of Veterans Affairs a continuing medical education program for licensed medical professionals to increase knowledge and recognition of medical conditions common to veterans and family members of veterans, and for other purposes.",-0.501,Senate,OH
84-S-2976,1956,5,Labor and Employment,Republican,0,0,A bill to encourage the establishment of voluntary pension plans by individuals,-0.023,Senate,ND
92-HR-16814,1972,5,Labor and Employment,Democrat,0,0,"To amend the Service Contract Act of 1965 to revise the method of computing wage rates under such act, and for other purposes",-0.56,House,AK
94-HR-8312,1975,19,Government Operations,Democrat,0,0,"A bill to amend chapter 83 of title 5, United States Code, to provide an annuity to individuals over age 18 who are disabled children of Federal employees entitled to receive a retirement annuity under such chapter.",-0.332,House,OH
89-HR-6132,1965,15,Defense,Republican,0,0,"To amend chapter 3, subchapter I, Veterans Administration, section 210(b), to require the Veterans Administration to sumbit to Congress 6 months before the closing of certain installations the reasons for such closings",0.07,House,NY
93-HR-14983,1974,20,Public Lands and Water Management,Democrat,0,0,"A bill to provide for the modification of the project for Tuttle Creek Lake, Big Blue River, Kan.",-0.211,House,KS
103-HR-4058,1994,10,Transportation,Democrat,0,0,"To amend title 46, United States Code, to improve the safety of towing vessels.",-0.483,House,MA
97-HR-2876,1981,8,Energy,Democrat,0,0,"A bill to amend the Federal Power Act and the Public Utility Regulatory Policies Act of 1978 to place electric utilities, including members of registered holding company systems, on the same basis as non-utilities with respect to encouraging their investment in cogeneration and small power production facilities, and for other purposes.",-0.377,House,AR
110-HR-2939,2007,4,Agriculture,Democrat,0,0,"To prohibit the commercial harvesting of Atlantic blackfish in the coastal waters and the exclusive economic zone, and for other purposes.",-0.507,House,NJ
91-S-4105,1970,7,Environment,Democrat,0,0,"A bill to amend the Federal Water Pollution Control Act in order to authorize the Secretary of the Interior to incur obligations for construction grants under section 8 of such act, and for other purposes",-0.321,Senate,WA
85-HR-10583,1958,12,Social Welfare,Democrat,0,0,"To amend title II of the Social Security Act to provide that certain determinations of permanent and total disability made by other Federal or State agencies shall be accepted by the Secretary of Health, Education, and Welfare as proof of disability for p",0.048,House,LA
83-HR-6231,1953,15,Defense,Republican,0,0,To provide for the payment of compensation to disabled veterans who are 65 years of age or older and who are suffering from non-service-connected disabilities,0.204,House,VA
85-HR-5467,1957,20,Public Lands and Water Management,Democrat,0,0,"Adopting and authorizing a project for the improvement of the Tombigbee River and tributaries, Alabama and Mississippi, for flood control.",-0.274,House,AL
111-S-1470,2009,20,Public Lands and Water Management,Democrat,0,0,"A bill to sustain the economic development and recreational use of National Forest System land and other public land in the State of Montana, to add certain land to the National Wilderness Preservation System, to release certain wilderness study areas, to designate new areas for recreation, and for other purposes.",-0.276,Senate,MT
90-HR-6156,1967,14,"Banking, Finance, and Domestic Commerce",Democrat,0,0,To amend the Federal Credit Union Act to permit Federal credit unions to make long-term loans secured by real estate,-0.283,House,TX
104-S-218,1995,19,Government Operations,Republican,0,0,"A bill to repeal the National Voter Registration Act of 1993, and for other purposes.",0.391,Senate,KY
81-S-1771,1949,10,Transportation,Republican,0,0,A bill to authorize the Maritime Commission to convert certain vessels to types suitable for use on the Great Lakes,0.197,Senate,MN
92-HR-12224,1971,15,Defense,Democrat,0,0,To provide that compensation received by an individual from the Veterans' Administration for service-connected disability shall not betaken into account as income so as to prevent his occupancy of Government-sponsored housing (or so as to increase the rent which he would atiierwise be required to pay),-0.39,House,FL
113-S-2357,2014,15,Defense,Republican,0,0,"A bill to provide for improvements in the consistency of data collection, reporting, and assessment in connection with the suicide prevention efforts of the Department of Defense.",0.187,Senate,AK
102-HR-4043,1991,5,Labor and Employment,Democrat,0,0,To amend the Emergency Unemployment Compensation Act of 1991 to increase the number of weeks of eligibility for emergency unemployment compensation.,-0.639,House,CA
86-HR-13265,1960,16,"Space, Science, Technology, and Communications",Democrat,0,0,To provide for the establishment of a U.S. Academy of Advanced Sciences and Research Coordination,-0.293,House,IL
98-HR-1967,1983,17,Foreign Trade,Republican,0,0,A bill to provide for an extension of the duty reduction on certain unwrought lead for a period of five years.,0.312,House,MN
87-S-3349,1962,15,Defense,Republican,0,0,"A bill to authorize the burial of the remains of Matthew A. Henson in the Arlington National Cemetery, Vu.",0.097,Senate,MD
84-S-4045,1956,10,Transportation,Republican,0,0,"A bill creating the city of Saint Francisville Bridge Commission, defining the authority, power, and duties of said commission; and authorizing the commission and its successors and assigns to construct, maintain, and operate a bridge across the Wabash Ri",0.467,Senate,IL
104-S-1311,1995,6,Education,Republican,0,1,"A bill to establish a National Fitness and Sports Foundation to carry out activities to support and supplement the mission of the President's Council on Physical Fitness and Sports, and for other purposes.",0.144,Senate,CO
113-HR-3304,2013,15,Defense,Democrat,1,1,An act to authorize the President to award the Medal of Honor to Bennie G. Adkins and Donald P. Sloat of the United States Army for acts of valor during the Vietnam Conflict and to authorize the award of the Medal of Honor to certain other veterans who were previously recommended for award of the Medal of Honor.,-0.405,House,FL
92-S-544,1971,14,"Banking, Finance, and Domestic Commerce",Republican,0,0,"A bill to amend the Internal Revenue Code of 1954 to ease the tax burdens of small businesses, and for other purposes",0.466,Senate,UT
110-HR-3716,2007,14,"Banking, Finance, and Domestic Commerce",Republican,0,0,"To amend the Consumer Product Safety Act to require independent safety certification of children's products, to increase the Consumer Product Safety Commission's inspection capability for imported products, and to prohibit hazardous imports based on manufacturing site, and for other purposes.",0.411,House,NY
83-S-1160,1953,20,Public Lands and Water Management,Republican,1,1,"A bill to authorize the Secretary of the Interior to convey certain land to the city of Tucson, Ariz., and to accept other_ land in, exchange therefor",0.653,Senate,AZ
106-HR-2133,1999,17,Foreign Trade,Republican,0,0,To suspend temporarily the duty on Cibacron Brilliant Blue FN-G.,0.643,House,NC
100-HR-1314,1987,20,Public Lands and Water Management,Democrat,0,0,"A bill to provide for the settlement of certain Tohono O'odham Indian water rights claims in Arizona, and for other purposes.",-0.39,House,AZ
85-HR-10072,1958,19,Government Operations,Democrat,0,0,To authorize the appointment of certain persons to permanent positions in hospital management and administration in the competitive civil service,0.068,House,TX
94-HR-8279,1975,17,Foreign Trade,Republican,0,0,A bill to amend the Tariff Act of 1930 in regard to iron pipe fittings.,0.574,House,OH
103-S-865,1993,5,Labor and Employment,Democrat,0,0,"A bill to establish a Mobility for Work Demonstration Program, and for other purposes.",-0.387,Senate,NJ
111-HR-6363,2010,11,"Law, Crime, and Family Issues",Democrat,0,0,To require the Attorney General to establish a competitive grant program for State and local law enforcement agencies to carry out training programs based on lessons from the Holocaust.,-0.28,House,NY
94-HR-2618,1975,19,Government Operations,Republican,0,0,"A bill to amend the Postal Revenue and Federal salary Act of 1967 to abolish the Commission of Executive, Legislative, and Judicial Salaries.",0.143,House,KS
86-S-912,1959,4,Agriculture,Republican,0,0,A bill to amend title II of the Agricultural Act of 1956 so as to provide for the utilization of surplus agricultural products through the use in motor fuels of alcohol manufactured from agricultural products grown on farms -in the United States.,0.367,Senate,SD
83-S-902,1953,20,Public Lands and Water Management,Democrat,0,0,"A bill to authorize the purchase of land and improvements in Gunnison County, Colo., to facilitate research into range improvement and rangeland management in the Rocky Mountain :area, and fm. other purposes",0.133,Senate,CO
101-S-1258,1989,6,Education,Democrat,0,0,"A bill to amend the Higher Education Act of 1965, and for other purposes.",-0.487,Senate,MA
84-HR-2016,1955,7,Environment,Republican,0,0,To provide for income Tax purposes a deduction with respect to the amortization of devices for the collection of atmospheric pollutants and contaminants,0.397,House,CA
107-HR-4247,2002,17,Foreign Trade,Democrat,0,0,"To suspend temporarily the duty on 1H-imidazole-2-methanol,5-[(3,5-dichlorophenyl)thio]-4-(1-me hlethyl)-1-(4-pyridinylmethyl)-(9C1).",-0.512,House,CA
106-S-492,1999,7,Environment,Democrat,0,0,"A bill to amend the Federal Water Pollution Act to assist in the restoration of the Chesapeake Bay, and for other purposes..",-0.482,Senate,MD
101-S-2866,1990,12,Social Welfare,Republican,0,0,"A bill to amend part F of title IV of the Social Security Act to allow States to assign participants in work supplementation programs, to existing unfilled jobs, and to amend such part and the Food Stamp Act of 1977 to allow States to use the sums that would otherwise be expended on food stamp benefits to subsidize jobs for participants in work supplementation programs, and to provide for States and localities to use such programs.",0.574,Senate,CO
114-HR-2423,2015,3,Health,Republican,0,0,"To amend the Federal Food, Drug, and Cosmetic Act with respect to valid scientific evidence.",0.371,House,IL
96-HR-7316,1980,19,Government Operations,Republican,0,0,"A bill to amend the Federal Election Campaign Act of 1971 to impose certain limitations on the value of honorariums which may be accepted by a person employed by a Member, or by a committee, of the House of Representatives.",0.159,House,IA
101-HR-4259,1990,17,Foreign Trade,Republican,0,0,"To extend the existing suspension of duty on m-Toluic acid until January 1, 1994.",0.523,House,NC
90-S-514,1967,20,Public Lands and Water Management,Democrat,0,0,"A bill to establish a Redwood National Park in the State of California, and for other purposes",-0.44,Senate,MT
89-HR-43,1965,14,"Banking, Finance, and Domestic Commerce",Democrat,0,0,To amend the Federal Deposit Insurance Act and title IV of the- NationalHousing-Act  (relating to the Insurance of savings and loan-accouiits) with reaped to the maximum amount of insurance which may be provided thereunder,-0.28,House,TX
113-HR-5050,2014,20,Public Lands and Water Management,Republican,1,1,"To repeal the Act of May 31, 1918, and for other purposes.",0.432,House,ID
84-S-1966,1955,10,Transportation,Republican,0,1,"A bill to amend the Interstate Commerce Act to provide for filing of documents evidencing the lease, mortgage, conditional sale, or bailment of motor vehicles sold to or owned by certain carriers subject to such act.",0.605,Senate,OH
100-HR-5046,1988,13,Community Development and Housing Issues,Democrat,0,0,"A bill to alleviate homelessness by expanding and preserving the supply of permanent, affordable, and decent housing.",-0.469,House,MN
102-HR-4344,1992,20,Public Lands and Water Management,Democrat,0,0,"To amend the Surface Mining Control and Reclamation Act of 1977 to extend the Abandoned Mine Reclamation Program, and for other purposes.",-0.32,House,WV
91-HR-14104,1969,12,Social Welfare,Republican,0,0,"To amend title II of the  _Security Act so as to liberalize the con V,~*~ ditions governing eligibility of blind per_ _~, sons .to receive disability insurerifits thereunder",-0.001,House,NJ
86-S-3054,1960,20,Public Lands and Water Management,Democrat,0,0,"A bill to amend certain laws of the United States in light of the admission of the State of Hawaii into the Union, and for other purposes.",-0.538,Senate,MT
99-HR-5119,1986,15,Defense,Democrat,0,0,A bill entitled: the Foreign Sourcing in Defense Contracts Act.,-0.464,House,IL
85-HR-2021,1957,20,Public Lands and Water Management,Democrat,0,0,To provide for the construction of Indian hospitals and to provide for grants to assist in the construction of community hospitals which will serve Indians and non Indians jointly.,-0.56,House,MT
80-HR-1818,1947,15,Defense,Democrat,0,0,"To provide that, in disposing of lands which have been acquired by the United States for national defense or war purposes, a preference shall be given to the former owners of such lands or their successors in interest",0.194,House,CA
80-S-1385,1947,20,Public Lands and Water Management,Democrat,0,0,A bill authorizing the issuance of a patent in fee to George Peters,-0.00021533801515431653,Senate,MT
86-HR-438,1959,5,Labor and Employment,Democrat,0,0,"To amend the Fair Labor Standards Act of 1938, as amended, with respect to handling of agricultural commodities, and for other purposes",-0.117,House,MS
87-HR-3292,1961,19,Government Operations,Republican,0,0,"To permit the flying of the flag of the United States for 24 hours of each day at Fort Phoenix, Fairhaven, Mass",0.131,House,MA
85-HR-12297,1958,4,Agriculture,Democrat,0,0,To provide a program of direct payments to support the income of dairy farmers,-0.552,House,WI
85-HR-9634,1958,5,Labor and Employment,Democrat,0,0,"To expedite the utilization of television facilities fu mar public schools and colleges Lind In adult, training programs",-0.26,House,LA
89-HR-6299,1965,19,Government Operations,Democrat,0,0,"To make the provisions of Public Law 82-253, as amended, Inapplicable to the Post Office Department",-0.32,House,LA
104-HR-2497,1995,5,Labor and Employment,Republican,0,0,To amend the National Labor Relations Act.,0.677,House,MI
85-S-3162,1958,6,Education,Democrat,0,0,A bill to amend the Internal Revenue Code of 1954 so as to allow a deduction for amounts paid by a taxpayer in obtaining a college education or in providing a college education for his spouse or dependents.,-0.017,Senate,FL
90-HR-13566,1967,17,Foreign Trade,Democrat,0,0,To impose annual quotas on the quantity of potassium chloride or muriate of potash which may be imported into the United States,-0.117,House,NM
97-HR-3523,1981,6,Education,Republican,0,0,A bill to amend the Internal Revenue Code of 1954 to provide a deduction for amounts paid into an education savings account.,0.177,House,PA
83-S-3315,1954,10,Transportation,Democrat,0,0,A bill to assist certain classes of municipalities to finance vitally needed and specific types of public works by providing for a guaranty by the United States of approved bonds hereafter issued by these municipalities,-0.073,Senate,LA
97-HR-6923,1982,6,Education,Democrat,0,0,A bill to prohibit prisoners from being eligible for basic educational opportunity grants (BEOG).,-0.206,House,TN
84-S-3984,1956,20,Public Lands and Water Management,Republican,0,0,"A bill to authorize the Chief of Engineers to reimburse owners and tenants of land acquired for Tuttle Creek Reservoir, Missouri River Basin, for certain business losses",0.282,Senate,KS
83-HR-388,1953,9,Immigration,Republican,0,0,"To provide for expeditious naturalization of persons serving in the present hostilities, and for other purposes",-0.024,House,NJ
85-S-2828,1957,18,International Affairs and Foreign Aid,Democrat,0,0,"A bill to authorize the President under certain conditions to permit the entering into of loan, grant, or other aid agreements with certain nations.",-0.402,Senate,MA
102-HR-3621,1991,14,"Banking, Finance, and Domestic Commerce",Republican,0,0,"To require the Board of Governors of the Federal Reserve System to conduct annual on-site examinations of all primary dealers in government debt instruments, to prohibit federally insured depository institutions from engaging in certain transactions with registered government securities dealers which do not meet capital requirements established for registered brokers and dealers, and for other purposes.",0.191,House,OH
86-HR-12037,1960,19,Government Operations,Republican,0,0,"To provide greater privacy in the furnishings to the United States of information required in connection with the 1970 and subsequent decennial censuses of population, unemployment, and housing",0.411,House,NY
104-HR-3083,1996,20,Public Lands and Water Management,Republican,0,0,To direct a property conveyance in the State of California.,0.573,House,CA
105-HR-4739,1998,3,Health,Democrat,0,0,To amend the Internal Revenue Code of 1986 and title XVIII of the Social Security Act to provide for comprehensive financing for graduate medical education.,-0.311,House,MD
95-S-327,1977,19,Government Operations,Democrat,0,0,A bill to provide a minimum level for retirement salaries of certain Federal judges in the territories and possessions.,-0.325,Senate,HI
114-HR-4140,2015,12,Social Welfare,Republican,0,0,"To provide for a one-time supplementary payment to beneficiaries of Social Security and Veterans benefits, and for other purposes.",0.427,House,NH
111-HR-1905,2009,7,Environment,Democrat,0,0,"To amend the Coastal Zone Management Act of 1972 to require the Secretary of Commerce to establish a coastal climate change adaptation planning and response program, and for other purposes.",-0.431,House,CA
97-HR-165,1981,1,Macroeconomics,Republican,0,0,"A bill to amend the Internal Revenue Code of 1954 to increase for taxable years beginning after December 31, 1980, the personal income tax exemptions of a taxpayer (including the exemption for a spouse, the exemptions for dependents, and the additional exemptions for old age and blindness).",0.12,House,CA
113-HR-2485,2013,15,Defense,Democrat,0,0,"To amend title 38, United States Code, to extend programs assisting homeless veterans and other veterans with special needs, and for other purposes.",-0.4,House,CA
110-HR-3700,2007,3,Health,Democrat,0,0,"To amend title XIX of the Social Security Act to ensure that individuals eligible for medical assistance under the Medicaid Program continue to have access to prescription drugs, and for other purposes.",-0.507,House,NJ
103-HR-2067,1993,11,"Law, Crime, and Family Issues",Republican,0,0,"To amend title 10, United States Code, to authorize the Secretaries of the military departments to provide temporary transitional and indemnity compensation payments to the dependents of a member of the Armed Forces who is separated from the Armed Forces following conviction for an offense involving the abuse of one of those dependents, and for other purposes.",0.545,House,AZ
106-S-1744,1999,7,Environment,Republican,1,1,An original bill to amend the Endangered Species Act of 1973 to provide that certain species conservation reports shall continue to be submitted.,0.031,Senate,RI
100-HR-3088,1987,15,Defense,Democrat,0,0,"A bill to amend title 10, United States Code, to provide catastrophic loss protection for dependents of active-duty members of the Armed Forces under the Civilian Health and Medical Program of the Uniformed Services.",-0.03,House,MD
95-S-628,1977,3,Health,Democrat,0,0,"A bill to amend the Federal Food, Drug, and Cosmetic Act to authorize the Secretary of Health, Education, and Welfare to impose conditions and limitations on the distribution of certain drugs.",-0.52,Senate,WI
106-HR-1866,1999,20,Public Lands and Water Management,Republican,0,0,To provide a process for the public to appeal certain decisions made by the National Park Service and by the United States Fish and Wildlife Service.,0.503,House,UT
82-HR-5310,1951,14,"Banking, Finance, and Domestic Commerce",Democrat,0,0,"To provide for the merger of two or more national banking associations and for. the merger of State banks with national banking associations, and for other purposes",-0.315,House,KY
80-HR-2543,1947,8,Energy,Republican,0,0,To repeal the Atomic Energy Act of 1946,0.544,House,IN
105-HR-1685,1997,18,International Affairs and Foreign Aid,Republican,0,0,"To establish an Office of Religious Persecution Monitoring, to provide for the imposition of sanctions against countries engaged in a pattern of religious persecution, and for other purposes.",0.369,House,VA
82-S-2898,1952,19,Government Operations,Democrat,0,0,"A bill to provide increased annuities to certain civilian officials and employees who performed service In the construction of the Panama Canal, and for other purposes",-0.418,Senate,WV
95-S-6,1977,4,Agriculture,Democrat,0,0,A bill to provide for the price support of milk at 85 percent of the parity price thereof.,-0.358,Senate,VT
92-HR-16349,1972,15,Defense,Republican,0,0,"To amend title 37, United States Code, so as to extend from one to three years the period that a member of the uniformed services has following his retirement to select his home for purposes of travel and transportation allowances under such title, and for other purposes",0.12,House,NJ
103-HR-2053,1993,1,Macroeconomics,Republican,0,0,"To amend the Federal Credit Reform Act of 1990 to include administrative costs in the estimated long-term costs to the Government of direct loans and loan guarantees, and for other purposes.",0.466,House,TX
99-HR-2412,1985,15,Defense,Democrat,0,0,"A bill to amend title 38, United States Code, to provide compensation to former prisoners of war of the Asian-Pacific Theater of World War II and of the Korean Conflict.",-0.296,House,MT
84-HR-8276,1956,20,Public Lands and Water Management,Democrat,0,0,"To provide for a preliminary examination and survey of the Little Gasparilla Pass, gulf coast, Charlotte County, Fla.",0.084,House,FL
96-HR-1962,1979,3,Health,Democrat,0,0,"A bill to amend title XVIII of the Social Security Act to make more realistic the determination of reasonable charges under the supplementary medical insurance program, to require that patients be given advance estimates of the reimbursement they will receive for services rendered under such program, and to provide for the conduct of pilot projects to test new methods and procedures for determining reasonable charges under such program.",-0.525,House,NY
88-HR-3108,1963,14,"Banking, Finance, and Domestic Commerce",Democrat,0,0,To enable Federal home loan banks to improve their services to their member institutions by establishing a secondary marketing facility for participation in conventional home mortgage loans,-0.258,House,AL
88-S-863,1963,11,"Law, Crime, and Family Issues",Republican,0,0,"A bill to amend chapter 402 of title 18, United States Code, to make the Federal Youth Corrections Act applicable to certain persons who violate the Federal narcotics statutes.",-0.063,Senate,NY
88-S-352,1963,11,"Law, Crime, and Family Issues",Democrat,0,0,"A bill to confer jurisdiction on the U.S. District Court for the District of Hawaii to hear, determine, and render judgment on the claims of Mrs. Agnes J. Wong against the United States.",-0.359,Senate,HI
81-HR-882,1949,15,Defense,Democrat,0,0,To provide adjusted compensation for veterans of World War II.,-0.083,House,GA
88-HR-3847,1963,18,International Affairs and Foreign Aid,Democrat,0,0,To provide that U.S. payments to the United Nations shall not be used for programs contrary to the policies of the United States,-0.003,House,FL
101-HR-3444,1989,6,Education,Democrat,0,0,"To amend title 38, United States Code, with respect to veterans vocational education.",-0.068,House,SC
91-HR-6224,1969,12,Social Welfare,Democrat,0,0,To amend ti''le PI of the'Social Security Act so as to liberalize the conditions governing eligibility of blind persons to receive disability insurance benefits thereunder.6200-6237 ',-0.57,House,NY
92-S-3860,1972,15,Defense,Republican,0,0,"A bill to amend the Strategic and Critical Materials Stock Piling Act, and for other purposes",0.622,Senate,AZ
95-HR-5574,1977,3,Health,Republican,0,0,"A bill to amend title XVIII of the Social Security Act to establish a program of long-term care services within the medicare program, to provide for the creation of community long-term care centers and State long-term care agencies as part of a new administrative structure for the organization and delivery of long-term care services, to provide a significant role for persons eligible for long-term care benefits in administration of the program.",0.321,House,NY
101-HR-3799,1989,19,Government Operations,Democrat,0,0,"To amend title 39, United States Code, to require the United States Postal Service to make space available in post offices for State voter registration authorities to place voter registration forms and for other purposes.",-0.689,House,IL
96-HR-7042,1980,3,Health,Democrat,0,0,A bill to provide payment for dental services under part B of the medicare program.,-0.525,House,IL
90-HR-7176,1967,19,Government Operations,Republican,0,0,To provide appropriations for sharing of Federal taxes with States out of funds derived from a cutback in projected new expansion of grant-in-aid programs and as a substitute for portion of existing grant-in-aid expenditures,0.385,House,MN
85-S-388,1957,15,Defense,Democrat,0,0,A bill to restore to the rolls certain emergency officers heretofore granted retirement pay.,-0.138,Senate,AL
80-HR-13,1947,10,Transportation,Republican,0,0,Approving the agreement between the United States and Canada relating to the Great Lakes St. Lawrence Basin with the exception of certain provisions thereof; expressing the sense of the Congress with respect to the negotiation of certain treaties; authori,0.393,House,NY
96-S-2318,1980,20,Public Lands and Water Management,Republican,1,1,"A bill to revise the boundary of Crater Lake National Park in the State of Oregon, and for other purposes.",0.025,Senate,OR
101-HR-5339,1990,9,Immigration,Democrat,0,0,"To authorize appropriations for refugee and entrant assistance for fiscal years 1991 and 1992, and for other purposes.",-0.404,House,CT
104-S-1001,1995,19,Government Operations,Democrat,0,0,"A bill to reform regulatory procedures, and for other purposes.",-0.337,Senate,OH
95-HR-699,1977,1,Macroeconomics,Democrat,0,0,A bill to amend the Internal Revenue Code of 1954 to provide that no reduction will be made in the amount of the charitable deduction in the case of certain contributions of appreciated capital assets which do not meet the holding period requirement for long-term capital gains.,-0.032,House,TX
113-S-600,2013,9,Immigration,Republican,0,0,"A bill to amend the Immigration and Nationality Act to reform and reduce fraud and abuse in certain visa programs for aliens working temporarily in the United States, and for other purposes.",0.453,Senate,IA
86-HR-8031,1959,10,Transportation,Democrat,0,0,To amend sections 204a and 406a of the Interstate Commerce Act in order to provide civil liability for violations of such act by common carriers by motor vehicle and freight forwarders,-0.049,House,AR
95-HR-5137,1977,19,Government Operations,Republican,0,0,"A bill to reorganize the executive branch; to require rules and regulations proposed by executive agencies to be acted upon by the Congress; to impose certain additional requirements upon the President and executive agencies, and to tighten the standards of official conduct by officers and employees of executive agencies.",0.253,House,NY
99-HR-4709,1986,15,Defense,Democrat,0,0,"A bill to provide that service of certain members of the United States merchant marine during World War II constituted active military service for purposes of any law administered by the Veterans' Administration, and for other purposes.",-0.469,House,NY
100-S-304,1987,10,Transportation,Democrat,0,0,A bill to provide for the fair and proper implementation of the cargo preference laws of the United States.,-0.337,Senate,HI
87-HR-8470,1961,15,Defense,Republican,0,0,To provide a moratorium on principal payments under federally insured or guaranteed mortgages for certain mortgagors who are called to serve on active duty in the Armed Forces and are unable to make such payments while so serving,0.008,House,MA
93-S-2566,1973,15,Defense,Democrat,0,0,A bill to authorize the Atomic Energy Commission to enter into a cooperative agreement with the State of Utah to contain and render harmless uranium mill tailings.,-0.322,Senate,UT
84-HR-2542,1955,20,Public Lands and Water Management,Republican,0,0,"To authorize the Secretary of the Army to review reports on Mississippi River (Frontenac), Minn",0.463,House,MN
83-S-2457,1953,19,Government Operations,Republican,0,0,A bill to authorize the Administrator of General Services and the Postmaster General to enter into building purchase contracts; to extend the authority of the Postmaster General to lease space for post office purposes; and for other purposes,0.503,Senate,IL
89-S-92,1965,20,Public Lands and Water Management,Democrat,0,0,"A bill to establish the Flaming Gorge National Recreation Area in the States of Utah and Wyoming, and for other purposes",-0.263,Senate,WY
