question,model,month,year,batch_id
2,gpt-5-nano,feb,19,batch_6924e12068dc819084d6fce33dbb8439
2,gpt-5-nano,mar,19,batch_6924e12cdf248190a4228b8a7f1c3633
2,gpt-5-mini,apr,19,batch_6924f57d4100819091c940a67d107d90
2,gpt-5-mini,may,19,batch_6924f59008f4819092cc2100ada2e845
2,gpt-5-mini,jun,19,batch_6924f59c2b948190b77206079c1674b5
2,gpt-5-nano,apr,19,batch_6924f5aaed6081909e44d65f0d63add9
2,gpt-5-nano,may,19,batch_6924f5bd8ca081909d2917d55c149efb
2,gpt-5-nano,jun,19,batch_6924f5cb4b308190870b11f6398369e5
2,gpt-5-mini,jul,19,batch_6924f86024908190a35d63dd5b240f14
2,gpt-5-mini,aug,19,batch_6924f87539dc8190a06f02180c870af1
2,gpt-5-mini,sep,19,batch_6924f88359988190ab321dfeccb0f928
2,gpt-5-mini,octfirst,19,batch_6924f8907e44819096e4b51762a9313d
2,gpt-5-mini,octsecond,19,batch_6924f89c19a0819093c7d7a87be8ba8b
2,gpt-5-mini,nov,19,batch_6924f8adb1b08190b71ed8be0df1aed6
2,gpt-5-mini,dec,19,batch_6924f8bbe80481909caa8a26f75c15db
2,gpt-5-nano,jul,19,batch_6924f8cdcd04819095a36b66bc3f2c9a
2,gpt-5-nano,aug,19,batch_6924f8e0fae4819091321f1e0ed69a20
2,gpt-5-nano,sep,19,batch_6924f8f33b7c819081a2187aa98af21d
2,gpt-5-nano,octfirst,19,batch_6924f8ff760881909c4cb6b744f1cdfc
2,gpt-5-nano,octsecond,19,batch_6924f90bbe348190a86816e13fff8acf
2,gpt-5-nano,nov,19,batch_6924f91e1b3c8190be44c63cd2bade02
2,gpt-5-nano,dec,19,batch_6924f92eaf348190b73aaa7764c48e47
4,gpt-5-mini,jan,19,batch_6925903f91648190abd753711c07b5b2
4,gpt-5-mini,feb,19,batch_692590508224819091efd1f665095484
4,gpt-5-mini,mar,19,batch_692590603f1c8190a53ecbe09628b2e4
4,gpt-5-mini,apr,19,batch_6925907298908190aae9b6ffdef587b9
4,gpt-5-mini,may,19,batch_692590871cd481908617709894c011d5
4,gpt-5-mini,jun,19,batch_6925909444a48190816cd38e92692a05
4,gpt-5-mini,jul,19,batch_692590a686ec8190ae9b1ed284292a1e
4,gpt-5-mini,aug,19,batch_692590b8551481908a3fe6316b632d4e
4,gpt-5-mini,sep,19,batch_692590c7be7081909efad401a4bb0040
4,gpt-5-mini,octfirst,19,batch_692590d243c88190a2b07467f9b761a0
4,gpt-5-mini,octsecond,19,batch_692590ddb6448190b79c5c251355b61a
4,gpt-5-mini,nov,19,batch_692590f384448190ac5407fb5e6b1aa6
4,gpt-5-mini,dec,19,batch_6925910190fc8190b3d44f002c5ba47c
4,gpt-5-nano,jan,19,batch_69259110120c8190bcd79232a6a05a9c
4,gpt-5-nano,feb,19,batch_6925912273608190ae0737029054c652
4,gpt-5-nano,mar,19,batch_6925912eeeb88190b837e83d00747bd0
4,gpt-5-nano,apr,19,batch_6925913f0d108190b6454f8e7570ca45
4,gpt-5-nano,may,19,batch_692591546cf08190a212fa94a1145229
4,gpt-5-nano,jun,19,batch_69259160e9b881908f7e067a52b3c442
4,gpt-5-nano,jul,19,batch_692591759d148190a08ad3c5866366c9
4,gpt-5-nano,aug,19,batch_6925918689048190a3ccddaf594d217c
4,gpt-5-nano,sep,19,batch_69259195ae648190bc628f4093926730
4,gpt-5-nano,octfirst,19,batch_692591a1631081908ba4225bbc13c92b
4,gpt-5-nano,octsecond,19,batch_692591ad94e881908bfcb9d53af59d04
4,gpt-5-nano,nov,19,batch_692591c33c448190a2aaad015422b11e
4,gpt-5-nano,dec,19,batch_692591d02d2481909fae76a0f8ddcafa
